rec;kd_term;kd_stats;kd_stats_value
USP;R;estimate;6,00000000000000e-01
USP;R;std.error;2,78198678201290e-02
USP;R;statistic;2,15673203007051e+01
USP;R;p.value;2,05434186139592e-21
USP;KD_eq;estimate;3,22086685946254e+00
USP;KD_eq;std.error;9,35624470900062e-01
USP;KD_eq;statistic;3,44247821603479e+00
USP;KD_eq;p.value;1,54655723889125e-03
CAP;R;estimate;6,00472412172402e-01
CAP;R;std.error;2,68992064153525e-02
CAP;R;statistic;2,23230530633680e+01
CAP;R;p.value;2,54300936755626e-26
CAP;KD_eq;estimate;2,67556012499348e+01
CAP;KD_eq;std.error;4,88958552917941e+00
CAP;KD_eq;statistic;5,47195689496917e+00
CAP;KD_eq;p.value;1,77677854390272e-06
