Conc1	1.8E-05	
Start1	2040.46	
Stop1	3240.66	
Kobs	1.09786916536138	
Error Kobs	0.0704429852932404	
Koff	0.601872936515675	
Error Koff	0.0709814404100661	
Time1	Data1	Fit1	
2040.46	0.30671273	0.30671273	
2040.66	0.3423197	0.3618508	
2040.86	0.37921752	0.40654304	
2041.06	0.41631579	0.44282327	
2041.26	0.45239207	0.47232588	
2041.46	0.48656462	0.4963645	
2041.66	0.51726721	0.51599514	
2041.86	0.5435732	0.53206692	
2042.06	0.56399457	0.54526273	
2042.26	0.57800851	0.55613197	
2042.46	0.58352173	0.5651168	
2042.66	0.57948153	0.57257318	
2042.86	0.57992804	0.57878786	
2043.06	0.58290434	0.5839919	
2043.26	0.58562978	0.58837166	
2043.46	0.5881094	0.59207753	
2043.66	0.59040573	0.59523096	
2043.86	0.59260109	0.59793018	
2044.06	0.59485088	0.60025465	
2044.26	0.59669109	0.60226881	
2044.46	0.59857317	0.60402495	
2044.66	0.60033609	0.60556557	
2044.86	0.60209612	0.60692532	
2045.06	0.60339197	0.60813247	
2045.26	0.60475001	0.60921018	
2045.46	0.60607963	0.61017743	
2045.66	0.60697422	0.61104988	
2045.86	0.60820748	0.61184046	
2046.06	0.60919104	0.6125599	
2046.26	0.61042636	0.61321712	
2046.46	0.61076689	0.61381962	
2046.66	0.61116254	0.61437369	
2046.86	0.61211357	0.61488464	
2047.06	0.61316978	0.61535701	
2047.26	0.61350965	0.61579467	
2047.46	0.61464528	0.61620096	
2047.66	0.61548493	0.61657875	
2047.86	0.61549957	0.61693058	
2048.06	0.61581295	0.61725863	
2048.26	0.6161496	0.61756487	
2048.46	0.61689526	0.61785102	
2048.66	0.61789	0.61811862	
2048.86	0.6187147	0.61836905	
2049.06	0.61880573	0.61860356	
2049.26	0.61928614	0.61882327	
2049.46	0.61967608	0.61902923	
2049.66	0.62021646	0.61922235	
2049.86	0.62079135	0.61940352	
2050.06	0.62087154	0.6195735	
2050.26	0.62131228	0.61973304	
2050.46	0.6214785	0.61988281	
2050.66	0.62196956	0.62002344	
2050.86	0.62286554	0.62015549	
2051.06	0.62322089	0.62027951	
2051.26	0.62348679	0.62039601	
2051.46	0.62428376	0.62050544	
2051.66	0.62402402	0.62060825	
2051.86	0.62418447	0.62070485	
2052.06	0.62427987	0.62079561	
2052.26	0.62454831	0.62088089	
2052.46	0.62515647	0.62096103	
2052.66	0.62547013	0.62103633	
2052.86	0.62536249	0.6211071	
2053.06	0.62482941	0.62117361	
2053.26	0.62476899	0.62123612	
2053.46	0.62462758	0.62129486	
2053.66	0.6246446	0.62135007	
2053.86	0.62449762	0.62140196	
2054.06	0.62423494	0.62145073	
2054.26	0.62443396	0.62149656	
2054.46	0.62454918	0.62153964	
2054.66	0.62465693	0.62158013	
2054.86	0.62461731	0.62161819	
2055.06	0.62456163	0.62165396	
2055.26	0.62464583	0.62168758	
2055.46	0.62467074	0.62171918	
2055.66	0.62445166	0.62174888	
2055.86	0.62486033	0.6217768	
2056.06	0.62476425	0.62180303	
2056.26	0.62531154	0.6218277	
2056.46	0.62588577	0.62185088	
2056.66	0.626195	0.62187267	
2056.86	0.62638972	0.62189315	
2057.06	0.62612504	0.6219124	
2057.26	0.62650323	0.62193049	
2057.46	0.62651219	0.62194749	
2057.66	0.62629408	0.62196348	
2057.86	0.62616437	0.6219785	
2058.06	0.62616424	0.62199263	
2058.26	0.62628028	0.6220059	
2058.46	0.62624766	0.62201837	
2058.66	0.62625896	0.6220301	
2058.86	0.62637498	0.62204112	
2059.06	0.62624173	0.62205148	
2059.26	0.62634222	0.62206122	
2059.46	0.62636248	0.62207037	
2059.66	0.62632469	0.62207898	
2059.86	0.62667933	0.62208706	
2060.06	0.62688397	0.62209466	
2060.26	0.62691722	0.62210181	
2060.46	0.62702526	0.62210852	
2060.66	0.62673083	0.62211484	
2060.86	0.62650755	0.62212077	
2061.06	0.62638872	0.62212634	
2061.26	0.62634538	0.62213159	
2061.46	0.62594179	0.62213651	
2061.66	0.62551089	0.62214114	
2061.86	0.62567674	0.62214549	
2062.06	0.62579071	0.62214959	
2062.26	0.62539192	0.62215343	
2062.46	0.6256012	0.62215704	
2062.66	0.62586838	0.62216044	
2062.86	0.62567469	0.62216363	
2063.06	0.62514552	0.62216664	
2063.26	0.62541899	0.62216946	
2063.46	0.62513299	0.62217211	
2063.66	0.62497317	0.6221746	
2063.86	0.62535879	0.62217694	
2064.06	0.62532263	0.62217914	
2064.26	0.62541765	0.62218121	
2064.46	0.62594844	0.62218316	
2064.66	0.62605335	0.62218499	
