Conc1	1.8E-05	
Start1	2040.46	
Stop1	3240.66	
Kobs	1.10022715037951	
Error Kobs	1062236.22830432	
Koff	0.629364526423741	
Error Koff	0.0453398610905302	
Time1	Data1	Fit1	
2040.46	0.26295003	0.26295003	
2040.66	0.29096585	0.3079169	
2040.86	0.31985142	0.34400202	
2041.06	0.34894195	0.37295969	
2041.26	0.37733108	0.3961977	
2041.46	0.40380734	0.4148458	
2041.66	0.42770376	0.42981057	
2041.86	0.44812082	0.44181953	
2042.06	0.46427274	0.45145651	
2042.26	0.47536013	0.45919002	
2042.46	0.47968011	0.46539602	
2042.66	0.47638935	0.47037623	
2042.86	0.47714409	0.47437276	
2043.06	0.47918287	0.4775799	
2043.26	0.48134105	0.48015358	
2043.46	0.48331008	0.48221891	
2043.66	0.48466251	0.4838763	
2043.86	0.48653031	0.48520632	
2044.06	0.48783329	0.48627364	
2044.26	0.48910111	0.48713015	
2044.46	0.49072036	0.48781748	
2044.66	0.49194113	0.48836906	
2044.86	0.49305233	0.48881168	
2045.06	0.4938291	0.48916688	
2045.26	0.4944981	0.48945193	
2045.46	0.49534421	0.48968067	
2045.66	0.49624261	0.48986423	
2045.86	0.49738055	0.49001153	
2046.06	0.49799993	0.49012974	
2046.26	0.49910922	0.4902246	
2046.46	0.49901022	0.49030072	
2046.66	0.49919795	0.49036181	
2046.86	0.50013893	0.49041084	
2047.06	0.50087693	0.49045017	
2047.26	0.50127741	0.49048174	
2047.46	0.50172339	0.49050708	
2047.66	0.50217287	0.49052741	
2047.86	0.50218325	0.49054372	
2048.06	0.50176244	0.49055681	
2048.26	0.50174176	0.49056732	
2048.46	0.50237731	0.49057575	
2048.66	0.5029714	0.49058252	
2048.86	0.50344885	0.49058795	
2049.06	0.50333075	0.4905923	
2049.26	0.50336879	0.4905958	
2049.46	0.50408278	0.4905986	
2049.66	0.50450907	0.49060086	
2049.86	0.50490239	0.49060266	
2050.06	0.50490802	0.49060411	
2050.26	0.5056386	0.49060528	
2050.46	0.50545184	0.49060621	
2050.66	0.50601562	0.49060696	
2050.86	0.50720548	0.49060756	
2051.06	0.5069893	0.49060804	
2051.26	0.50685809	0.49060843	
2051.46	0.50745346	0.49060874	
2051.66	0.50731626	0.49060899	
2051.86	0.50707053	0.49060919	
2052.06	0.50669639	0.49060935	
2052.26	0.50703091	0.49060948	
2052.46	0.5078102	0.49060958	
2052.66	0.50766722	0.49060967	
2052.86	0.50749651	0.49060973	
2053.06	0.50736086	0.49060979	
2053.26	0.50726047	0.49060983	
2053.46	0.50764002	0.49060986	
2053.66	0.50780466	0.49060989	
2053.86	0.50782383	0.49060991	
2054.06	0.50764197	0.49060993	
2054.26	0.50735902	0.49060995	
2054.46	0.50690953	0.49060996	
2054.66	0.50685423	0.49060997	
2054.86	0.506801	0.49060997	
2055.06	0.50675018	0.49060998	
2055.26	0.50728177	0.49060999	
2055.46	0.5073467	0.49060999	
