Conc1	1.8E-05	
Start1	2040.46	
Stop1	3240.66	
Kobs	579.735604579176	
Error Kobs	0	
Koff	0.717945856335516	
Error Koff	NaN	
Time1	Data1	Fit1	
2040.46	0.09175797	0.09175797	
2040.66	0.1048843	0.13142003	
2040.86	0.11856976	0.13142003	
2041.06	0.13222829	0.13142003	
2041.26	0.14521381	0.13142003	
2041.46	0.15733494	0.13142003	
2041.66	0.16855714	0.13142003	
2041.86	0.17794844	0.13142003	
2042.06	0.18508782	0.13142003	
2042.26	0.19013551	0.13142003	
2042.46	0.19203655	0.13142003	
2042.66	0.19046131	0.13142003	
2042.86	0.18950504	0.13142003	
2043.06	0.18948683	0.13142003	
2043.26	0.18957298	0.13142003	
2043.46	0.18954782	0.13142003	
2043.66	0.18930919	0.13142003	
2043.86	0.18948361	0.13142003	
2044.06	0.18959549	0.13142003	
2044.26	0.18921961	0.13142003	
2044.46	0.1894692	0.13142003	
2044.66	0.18951025	0.13142003	
2044.86	0.18904719	0.13142003	
2045.06	0.1883821	0.13142003	
2045.26	0.187949	0.13142003	
2045.46	0.18771828	0.13142003	
2045.66	0.18732748	0.13142003	
2045.86	0.18704596	0.13142003	
2046.06	0.18645408	0.13142003	
2046.26	0.18641626	0.13142003	
2046.46	0.18572786	0.13142003	
2046.66	0.18517683	0.13142003	
2046.86	0.18516663	0.13142003	
2047.06	0.18500528	0.13142003	
2047.26	0.18502816	0.13142003	
2047.46	0.18520063	0.13142003	
2047.66	0.18492931	0.13142003	
2047.86	0.1843455	0.13142003	
2048.06	0.18374045	0.13142003	
2048.26	0.18340251	0.13142003	
2048.46	0.18329768	0.13142003	
2048.66	0.18350357	0.13142003	
2048.86	0.18359717	0.13142003	
2049.06	0.18356414	0.13142003	
2049.26	0.18347557	0.13142003	
2049.46	0.18275743	0.13142003	
2049.66	0.18228119	0.13142003	
2049.86	0.1817033	0.13142003	
2050.06	0.18106667	0.13142003	
2050.26	0.18082512	0.13142003	
2050.46	0.18018272	0.13142003	
2050.66	0.18008777	0.13142003	
2050.86	0.18043787	0.13142003	
2051.06	0.17965107	0.13142003	
2051.26	0.17973206	0.13142003	
2051.46	0.1798996	0.13142003	
2051.66	0.17869144	0.13142003	
2051.86	0.17774057	0.13142003	
2052.06	0.17697989	0.13142003	
2052.26	0.17657987	0.13142003	
2052.46	0.17620856	0.13142003	
2052.66	0.17606751	0.13142003	
2052.86	0.17546143	0.13142003	
2053.06	0.17435855	0.13142003	
2053.26	0.17361729	0.13142003	
2053.46	0.17302058	0.13142003	
2053.66	0.17287324	0.13142003	
2053.86	0.17225127	0.13142003	
2054.06	0.17240408	0.13142003	
2054.26	0.17187877	0.13142003	
2054.46	0.17155565	0.13142003	
2054.66	0.1715597	0.13142003	
2054.86	0.17096426	0.13142003	
2055.06	0.17088772	0.13142003	
2055.26	0.171127	0.13142003	
