Conc1	1.8E-05	
Start1	2040.46	
Stop1	3240.66	
Kobs	1.32183105891767	
Error Kobs	700087.312856055	
Koff	0.0395135410589045	
Error Koff	0.00107701444856471	
Time1	Data1	Fit1	
2040.46	0.28985152	0.28985152	
2040.66	0.33505695	0.36717194	
2040.86	0.38156468	0.42653023	
2041.06	0.4279764	0.47209914	
2041.26	0.47278256	0.50708205	
2041.46	0.51465701	0.53393815	
2041.66	0.55244706	0.55455538	
2041.86	0.58402404	0.57038307	
2042.06	0.60866195	0.58253387	
2042.26	0.62454244	0.59186194	
2042.46	0.62982317	0.59902303	
2042.66	0.6231076	0.60452055	
2042.86	0.62119119	0.60874095	
2043.06	0.62165075	0.61198092	
2043.26	0.62244385	0.61446822	
2043.46	0.62403268	0.6163777	
2043.66	0.62565473	0.61784359	
2043.86	0.62714279	0.61896895	
2044.06	0.62833819	0.61983287	
2044.26	0.62911205	0.6204961	
2044.46	0.63040335	0.62100526	
2044.66	0.63182633	0.62139614	
2044.86	0.63288887	0.62169621	
2045.06	0.63354045	0.62192657	
2045.26	0.63417867	0.62210342	
2045.46	0.63495518	0.62223919	
2045.66	0.63530416	0.62234341	
2045.86	0.63569178	0.62242342	
2046.06	0.63641384	0.62248485	
2046.26	0.63726659	0.62253201	
2046.46	0.63768006	0.62256821	
2046.66	0.63819336	0.622596	
2046.86	0.63887111	0.62261733	
2047.06	0.63946281	0.62263371	
2047.26	0.63983482	0.62264629	
2047.46	0.6410121	0.62265594	
2047.66	0.64117834	0.62266335	
2047.86	0.64070443	0.62266904	
2048.06	0.64082745	0.62267341	
2048.26	0.64069723	0.62267676	
2048.46	0.64103274	0.62267933	
2048.66	0.64162118	0.62268131	
2048.86	0.64207883	0.62268283	
2049.06	0.64148868	0.62268399	
2049.26	0.64148449	0.62268489	
2049.46	0.64152395	0.62268557	
2049.66	0.6410779	0.6226861	
2049.86	0.64111642	0.6226865	
2050.06	0.64126287	0.62268681	
2050.26	0.64162727	0.62268705	
2050.46	0.64200122	0.62268723	
2050.66	0.64259457	0.62268738	
2050.86	0.64343542	0.62268748	
2051.06	0.6433544	0.62268757	
2051.26	0.64340131	0.62268763	
2051.46	0.64378798	0.62268768	
2051.66	0.6432177	0.62268772	
2051.86	0.6423392	0.62268774	
2052.06	0.64212679	0.62268777	
2052.26	0.64164481	0.62268778	
2052.46	0.64180388	0.6226878	
2052.66	0.64169063	0.62268781	
2052.86	0.64130065	0.62268781	
2053.06	0.64066049	0.62268782	
2053.26	0.64042426	0.62268782	
2053.46	0.64001226	0.62268783	
2053.66	0.6396452	0.62268783	
2053.86	0.63942467	0.62268783	
2054.06	0.63934646	0.62268783	
2054.26	0.63926194	0.62268784	
2054.46	0.63935401	0.62268784	
2054.66	0.63906243	0.62268784	
2054.86	0.63880764	0.62268784	
2055.06	0.63877731	0.62268784	
2055.26	0.6387876	0.62268784	
2055.46	0.63858174	0.62268784	
2055.66	0.63791161	0.62268784	
2055.86	0.6376194	0.62268784	
2056.06	0.63753955	0.62268784	
2056.26	0.63730835	0.62268784	
2056.46	0.63778884	0.62268784	
2056.66	0.63812933	0.62268784	
2056.86	0.63845961	0.62268784	
2057.06	0.63811166	0.62268784	
2057.26	0.63800948	0.62268784	
2057.46	0.63813254	0.62268784	
2057.66	0.63802815	0.62268784	
2057.86	0.63801728	0.62268784	
2058.06	0.63793602	0.62268784	
2058.26	0.63789134	0.62268784	
2058.46	0.63764215	0.62268784	
2058.66	0.63726433	0.62268784	
2058.86	0.63706726	0.62268784	
2059.06	0.63696995	0.62268784	
2059.26	0.63650913	0.62268784	
2059.46	0.63612518	0.62268784	
2059.66	0.63537781	0.62268784	
2059.86	0.63529708	0.62268784	
2060.06	0.63508065	0.62268784	
2060.26	0.63492315	0.62268784	
2060.46	0.63524989	0.62268784	
2060.66	0.63523156	0.62268784	
2060.86	0.63477725	0.62268784	
2061.06	0.63454913	0.62268784	
