Conc1	1.8E-05	
Start1	2040.46	
Stop1	3240.66	
Kobs	1.43816651613078	
Error Kobs	902929.652065986	
Koff	0.481999846786394	
Error Koff	0.0122246210297542	
Time1	Data1	Fit1	
2040.46	0.35266121	0.35266121	
2040.66	0.3828451	0.40723077	
2040.86	0.41416337	0.44815993	
2041.06	0.44546406	0.47885831	
2041.26	0.47578158	0.50188321	
2041.46	0.50440777	0.51915273	
2041.66	0.52981724	0.5321055	
2041.86	0.55108118	0.54182055	
2042.06	0.56770096	0.5491072	
2042.26	0.57854743	0.55457245	
2042.46	0.5820097	0.55867159	
2042.66	0.57776463	0.56174609	
2042.86	0.57745655	0.56405208	
2043.06	0.57869552	0.56578166	
2043.26	0.58035359	0.5670789	
2043.46	0.58174862	0.56805189	
2043.66	0.5827494	0.56878166	
2043.86	0.58410568	0.56932901	
2044.06	0.58520987	0.56973955	
2044.26	0.5860521	0.57004747	
2044.46	0.58734725	0.57027842	
2044.66	0.58799296	0.57045164	
2044.86	0.58889167	0.57058156	
2045.06	0.58923338	0.57067901	
2045.26	0.5899348	0.5707521	
2045.46	0.5905197	0.57080691	
2045.66	0.59051301	0.57084803	
2045.86	0.59036591	0.57087887	
2046.06	0.59062412	0.570902	
2046.26	0.59069924	0.57091935	
2046.46	0.59056906	0.57093236	
2046.66	0.59091281	0.57094212	
2046.86	0.5912203	0.57094944	
2047.06	0.59140967	0.57095493	
2047.26	0.59161609	0.57095905	
2047.46	0.5918728	0.57096213	
2047.66	0.59189546	0.57096445	
2047.86	0.59178772	0.57096619	
2048.06	0.59158244	0.57096749	
2048.26	0.59143302	0.57096847	
2048.46	0.59200533	0.5709692	
2048.66	0.59221404	0.57096975	
2048.86	0.59273293	0.57097016	
2049.06	0.59267796	0.57097047	
2049.26	0.59272843	0.57097071	
2049.46	0.59267756	0.57097088	
2049.66	0.59249804	0.57097101	
2049.86	0.59215606	0.57097111	
2050.06	0.59229727	0.57097118	
2050.26	0.59238833	0.57097124	
2050.46	0.59251984	0.57097128	
2050.66	0.59258239	0.57097131	
2050.86	0.593176	0.57097133	
2051.06	0.59285187	0.57097135	
2051.26	0.59330474	0.57097136	
2051.46	0.59350696	0.57097137	
2051.66	0.59308334	0.57097138	
2051.86	0.59291745	0.57097139	
2052.06	0.5928363	0.57097139	
2052.26	0.59255061	0.57097139	
2052.46	0.59296	0.5709714	
2052.66	0.59255933	0.5709714	
2052.86	0.59231193	0.5709714	
2053.06	0.59148708	0.5709714	
2053.26	0.59090948	0.5709714	
2053.46	0.59099246	0.5709714	
2053.66	0.5905737	0.5709714	
2053.86	0.59049963	0.5709714	
2054.06	0.5903813	0.5709714	
2054.26	0.59003114	0.5709714	
2054.46	0.58977634	0.5709714	
2054.66	0.58972989	0.5709714	
2054.86	0.5900097	0.5709714	
2055.06	0.58986233	0.5709714	
2055.26	0.59009173	0.5709714	
2055.46	0.58970039	0.5709714	
2055.66	0.58953387	0.5709714	
2055.86	0.58973975	0.5709714	
2056.06	0.58948151	0.5709714	
2056.26	0.58927755	0.5709714	
2056.46	0.58946356	0.5709714	
2056.66	0.58941402	0.5709714	
2056.86	0.5895168	0.5709714	
2057.06	0.58934004	0.5709714	
2057.26	0.58949139	0.5709714	
2057.46	0.58946046	0.5709714	
2057.66	0.58884815	0.5709714	
2057.86	0.5886318	0.5709714	
2058.06	0.58812905	0.5709714	
2058.26	0.58777936	0.5709714	
2058.46	0.58750484	0.5709714	
2058.66	0.58724235	0.5709714	
2058.86	0.58702142	0.5709714	
2059.06	0.58707099	0.5709714	
2059.26	0.58663307	0.5709714	
2059.46	0.58653908	0.5709714	
2059.66	0.58616777	0.5709714	
2059.86	0.58626573	0.5709714	
2060.06	0.58641531	0.5709714	
2060.26	0.58645146	0.5709714	
2060.46	0.58652823	0.5709714	
2060.66	0.58676523	0.5709714	
2060.86	0.58684492	0.5709714	
2061.06	0.58692867	0.5709714	
2061.26	0.58701448	0.5709714	
2061.46	0.58646259	0.5709714	
2061.66	0.58594687	0.5709714	
2061.86	0.58613123	0.5709714	
2062.06	0.58600707	0.5709714	
2062.26	0.58534766	0.5709714	
2062.46	0.58503688	0.5709714	
2062.66	0.58489445	0.5709714	
2062.86	0.58462681	0.5709714	
2063.06	0.58411017	0.5709714	
2063.26	0.58337953	0.5709714	
2063.46	0.58261244	0.5709714	
2063.66	0.58196668	0.5709714	
2063.86	0.58229797	0.5709714	
2064.06	0.58231438	0.5709714	
2064.26	0.58226198	0.5709714	
2064.46	0.58234983	0.5709714	
2064.66	0.58248101	0.5709714	
2064.86	0.58259033	0.5709714	
2065.06	0.58281152	0.5709714	
2065.26	0.58233725	0.5709714	
2065.46	0.58206727	0.5709714	
2065.66	0.58190122	0.5709714	
2065.86	0.58177465	0.5709714	
2066.06	0.58138432	0.5709714	
2066.26	0.5812944	0.5709714	
2066.46	0.5815852	0.5709714	
2066.66	0.58157563	0.5709714	
2066.86	0.58094874	0.5709714	
2067.06	0.58040632	0.5709714	
2067.26	0.58036743	0.5709714	
2067.46	0.58059849	0.5709714	
2067.66	0.58124144	0.5709714	
2067.86	0.58211987	0.5709714	
2068.06	0.58230621	0.5709714	
2068.26	0.58240429	0.5709714	
2068.46	0.58185318	0.5709714	
2068.66	0.58173197	0.5709714	
2068.86	0.58119691	0.5709714	
2069.06	0.58059851	0.5709714	
2069.26	0.57968837	0.5709714	
2069.46	0.57933066	0.5709714	
2069.66	0.57872157	0.5709714	
2069.86	0.57810884	0.5709714	
2070.06	0.57815108	0.5709714	
2070.26	0.57829028	0.5709714	
2070.46	0.57848833	0.5709714	
2070.66	0.57842046	0.5709714	
2070.86	0.57836774	0.5709714	
2071.06	0.57857176	0.5709714	
2071.26	0.57929224	0.5709714	
2071.46	0.57978214	0.5709714	
2071.66	0.57959491	0.5709714	
2071.86	0.57996121	0.5709714	
2072.06	0.57983881	0.5709714	
2072.26	0.57990916	0.5709714	
2072.46	0.57955935	0.5709714	
2072.66	0.57955726	0.5709714	
2072.86	0.57912184	0.5709714	
2073.06	0.57896202	0.5709714	
2073.26	0.57860472	0.5709714	
2073.46	0.57848368	0.5709714	
2073.66	0.57817004	0.5709714	
2073.86	0.57784848	0.5709714	
2074.06	0.57758913	0.5709714	
2074.26	0.57718614	0.5709714	
2074.46	0.57729103	0.5709714	
2074.66	0.57705929	0.5709714	
2074.86	0.57699428	0.5709714	
2075.06	0.57667481	0.5709714	
2075.26	0.5766728	0.5709714	
2075.46	0.57620685	0.5709714	
2075.66	0.57601668	0.5709714	
2075.86	0.57651995	0.5709714	
2076.06	0.57626968	0.5709714	
2076.26	0.57605924	0.5709714	
2076.46	0.57612581	0.5709714	
2076.66	0.57582316	0.5709714	
2076.86	0.57605723	0.5709714	
2077.06	0.57644362	0.5709714	
2077.26	0.57624312	0.5709714	
2077.46	0.57616218	0.5709714	
2077.66	0.57630189	0.5709714	
2077.86	0.57652594	0.5709714	
2078.06	0.57644669	0.5709714	
2078.26	0.57671127	0.5709714	
2078.46	0.57677333	0.5709714	
2078.66	0.57676744	0.5709714	
2078.86	0.57635348	0.5709714	
2079.06	0.57613806	0.5709714	
2079.26	0.57601695	0.5709714	
2079.46	0.57576888	0.5709714	
2079.66	0.57552883	0.5709714	
2079.86	0.57531435	0.5709714	
2080.06	0.57480437	0.5709714	
2080.26	0.57445668	0.5709714	
2080.46	0.57404709	0.5709714	
2080.66	0.57386955	0.5709714	
2080.86	0.57389592	0.5709714	
2081.06	0.5740976	0.5709714	
2081.26	0.57411886	0.5709714	
2081.46	0.57395732	0.5709714	
2081.66	0.57406622	0.5709714	
2081.86	0.57426189	0.5709714	
2082.06	0.57415523	0.5709714	
2082.26	0.57406456	0.5709714	
2082.46	0.57372985	0.5709714	
2082.66	0.57379285	0.5709714	
2082.86	0.57387364	0.5709714	
2083.06	0.57452301	0.5709714	
2083.26	0.57438705	0.5709714	
2083.46	0.57473078	0.5709714	
2083.66	0.57470323	0.5709714	
2083.86	0.57484146	0.5709714	
2084.06	0.5743585	0.5709714	
2084.26	0.57408354	0.5709714	
2084.46	0.57404149	0.5709714	
2084.66	0.57401958	0.5709714	
2084.86	0.57371132	0.5709714	
2085.06	0.574	0.5709714	
2085.26	0.57367863	0.5709714	
2085.46	0.57323473	0.5709714	
2085.66	0.57312104	0.5709714	
2085.86	0.57348682	0.5709714	
2086.06	0.57363896	0.5709714	
2086.26	0.57382579	0.5709714	
2086.46	0.57372976	0.5709714	
2086.66	0.57411951	0.5709714	
2086.86	0.57474923	0.5709714	
2087.06	0.57475921	0.5709714	
2087.26	0.5752069	0.5709714	
2087.46	0.57533832	0.5709714	
2087.66	0.57485561	0.5709714	
2087.86	0.57474501	0.5709714	
2088.06	0.57428685	0.5709714	
2088.26	0.57368615	0.5709714	
2088.46	0.57310707	0.5709714	
2088.66	0.57259052	0.5709714	
2088.86	0.57243567	0.5709714	
2089.06	0.57198528	0.5709714	
2089.26	0.57210899	0.5709714	
2089.46	0.57205059	0.5709714	
2089.66	0.5722182	0.5709714	
2089.86	0.57272447	0.5709714	
2090.06	0.57279601	0.5709714	
2090.26	0.57295802	0.5709714	
2090.46	0.57259314	0.5709714	
2090.66	0.57284212	0.5709714	
2090.86	0.57328498	0.5709714	
2091.06	0.57339872	0.5709714	
2091.26	0.57400741	0.5709714	
2091.46	0.57335051	0.5709714	
2091.66	0.5731253	0.5709714	
2091.86	0.57303428	0.5709714	
2092.06	0.57288239	0.5709714	
2092.26	0.57262272	0.5709714	
2092.46	0.57296011	0.5709714	
2092.66	0.57295345	0.5709714	
2092.86	0.57311014	0.5709714	
2093.06	0.57299866	0.5709714	
2093.26	0.57295201	0.5709714	
2093.46	0.57274161	0.5709714	
2093.66	0.57335221	0.5709714	
2093.86	0.57361216	0.5709714	
2094.06	0.57321305	0.5709714	
2094.26	0.57268194	0.5709714	
2094.46	0.57260594	0.5709714	
2094.66	0.57285574	0.5709714	
2094.86	0.57279223	0.5709714	
2095.06	0.57231368	0.5709714	
2095.26	0.57214944	0.5709714	
2095.46	0.57154011	0.5709714	
