Conc1	1.8E-05	
Start1	2040.46	
Stop1	3240.66	
Kobs	2.74583356979366E+23	
Error Kobs	0	
Koff	0.0815404265699885	
Error Koff	0.00723639296370378	
Time1	Data1	Fit1	
2040.46	0.08558605	0.08558605	
2040.66	0.10149851	0.14727108	
2040.86	0.11800473	0.14727108	
2041.06	0.13443346	0.14727108	
2041.26	0.15035418	0.14727108	
2041.46	0.16544182	0.14727108	
2041.66	0.17924291	0.14727108	
2041.86	0.19074292	0.14727108	
2042.06	0.19963074	0.14727108	
2042.26	0.20605722	0.14727108	
2042.46	0.20866467	0.14727108	
2042.66	0.20713844	0.14727108	
2042.86	0.2061818	0.14727108	
2043.06	0.20578704	0.14727108	
2043.26	0.2059228	0.14727108	
2043.46	0.20571218	0.14727108	
2043.66	0.20560391	0.14727108	
2043.86	0.20574707	0.14727108	
2044.06	0.20552769	0.14727108	
2044.26	0.205521	0.14727108	
2044.46	0.20618677	0.14727108	
2044.66	0.20647302	0.14727108	
2044.86	0.20636313	0.14727108	
2045.06	0.2061607	0.14727108	
2045.26	0.20576896	0.14727108	
2045.46	0.20573304	0.14727108	
2045.66	0.20556291	0.14727108	
2045.86	0.20514121	0.14727108	
2046.06	0.20469205	0.14727108	
2046.26	0.2048476	0.14727108	
2046.46	0.20426495	0.14727108	
2046.66	0.20356419	0.14727108	
2046.86	0.20306102	0.14727108	
2047.06	0.20277563	0.14727108	
2047.26	0.20223928	0.14727108	
2047.46	0.20222857	0.14727108	
2047.66	0.20243802	0.14727108	
2047.86	0.20221833	0.14727108	
2048.06	0.20197488	0.14727108	
2048.26	0.20196	0.14727108	
2048.46	0.2018319	0.14727108	
2048.66	0.20205681	0.14727108	
2048.86	0.20264209	0.14727108	
2049.06	0.20249747	0.14727108	
2049.26	0.20223529	0.14727108	
2049.46	0.20245097	0.14727108	
2049.66	0.20220983	0.14727108	
2049.86	0.20174382	0.14727108	
2050.06	0.20138454	0.14727108	
2050.26	0.20120881	0.14727108	
2050.46	0.20080183	0.14727108	
2050.66	0.20023451	0.14727108	
2050.86	0.20034651	0.14727108	
2051.06	0.19983286	0.14727108	
2051.26	0.19914899	0.14727108	
2051.46	0.19943135	0.14727108	
2051.66	0.19853654	0.14727108	
2051.86	0.19795653	0.14727108	
2052.06	0.19681587	0.14727108	
2052.26	0.19660216	0.14727108	
2052.46	0.19635101	0.14727108	
2052.66	0.19630323	0.14727108	
2052.86	0.19609694	0.14727108	
2053.06	0.19530639	0.14727108	
2053.26	0.19468893	0.14727108	
2053.46	0.19428696	0.14727108	
2053.66	0.19364475	0.14727108	
2053.86	0.19344615	0.14727108	
2054.06	0.19344441	0.14727108	
2054.26	0.19296642	0.14727108	
2054.46	0.19280439	0.14727108	
2054.66	0.19243211	0.14727108	
2054.86	0.19248418	0.14727108	
2055.06	0.19246115	0.14727108	
2055.26	0.1923329	0.14727108	
2055.46	0.19220674	0.14727108	
2055.66	0.19163197	0.14727108	
2055.86	0.1920921	0.14727108	
2056.06	0.19161138	0.14727108	
2056.26	0.1919125	0.14727108	
2056.46	0.19174457	0.14727108	
2056.66	0.19167942	0.14727108	
2056.86	0.19154515	0.14727108	
2057.06	0.19086824	0.14727108	
2057.26	0.19025058	0.14727108	
2057.46	0.18972462	0.14727108	
2057.66	0.18896377	0.14727108	
2057.86	0.18841953	0.14727108	
2058.06	0.18770371	0.14727108	
2058.26	0.18689406	0.14727108	
2058.46	0.18636761	0.14727108	
2058.66	0.18585176	0.14727108	
2058.86	0.18536108	0.14727108	
2059.06	0.18518672	0.14727108	
2059.26	0.18472252	0.14727108	
2059.46	0.18466372	0.14727108	
2059.66	0.18440528	0.14727108	
2059.86	0.18458733	0.14727108	
2060.06	0.1843521	0.14727108	
2060.26	0.1843925	0.14727108	
2060.46	0.18465845	0.14727108	
2060.66	0.18471966	0.14727108	
2060.86	0.18467155	0.14727108	
2061.06	0.1844889	0.14727108	
2061.26	0.18439004	0.14727108	
