Conc1	1E-06	
Start1	690.02	
Stop1	2789.81	
Kobs	0.389586992628302	
Error Kobs	0.00282452847061099	
Koff	0.00585066481569496	
Error Koff	7.68497085851164E-05	
Time1	Data1	Fit1	
690.02	0.01738247	0.01738247	
690.22	0.02959032	0.0427045	
690.42	0.04411921	0.06613029	
690.62	0.06075359	0.08780196	
690.82	0.07966562	0.10785102	
691.02	0.09990368	0.12639908	
691.22	0.12156567	0.14355867	
691.42	0.14351561	0.15943386	
691.62	0.16521953	0.17412092	
691.82	0.18644777	0.18770892	
692.02	0.20572976	0.20028025	
692.22	0.2225275	0.2119111	
692.42	0.23737795	0.22267198	
692.62	0.25014487	0.23262811	
692.82	0.26094176	0.24183979	
693.02	0.27023405	0.25036285	
693.22	0.27792161	0.25824888	
693.42	0.28408728	0.26554565	
693.62	0.28924201	0.27229733	
693.82	0.2933635	0.27854477	
694.02	0.29739916	0.28432577	
694.22	0.30083491	0.2896753	
694.42	0.30355577	0.29462569	
694.62	0.30572857	0.29920687	
694.82	0.30846166	0.30344651	
695.02	0.31049345	0.30737022	
695.22	0.31277554	0.31100166	
695.42	0.31481384	0.31436276	
695.62	0.31679892	0.31747378	
695.82	0.31886096	0.32035346	
696.02	0.32031944	0.32301914	
696.22	0.32221707	0.32548686	
696.42	0.32356414	0.32777146	
696.62	0.32446683	0.32988668	
696.82	0.32553205	0.33184519	
697.02	0.32658285	0.33365876	
697.22	0.32726853	0.33533824	
697.42	0.32794974	0.33689369	
697.62	0.32935677	0.3383344	
697.82	0.33051512	0.33966898	
698.02	0.33117912	0.34090537	
698.22	0.33200787	0.34205094	
698.42	0.33277689	0.3431125	
698.62	0.33322539	0.34409634	
698.82	0.33451317	0.34500829	
699.02	0.33518094	0.34585373	
699.22	0.3359057	0.34663766	
699.42	0.33643903	0.34736467	
699.62	0.33718485	0.34803905	
699.82	0.33806582	0.34866473	
700.02	0.33856845	0.34924536	
700.22	0.33934066	0.34978433	
700.42	0.33896481	0.35028474	
700.62	0.33924628	0.3507495	
700.82	0.33953211	0.35118127	
701.02	0.33972992	0.35158253	
701.22	0.34031581	0.35195557	
701.42	0.34087732	0.35230249	
701.62	0.34185398	0.35262526	
701.82	0.34240222	0.35292568	
702.02	0.34235103	0.35320544	
702.22	0.34252771	0.35346607	
702.42	0.3423833	0.35370902	
702.62	0.34266425	0.35393561	
702.82	0.34305669	0.35414706	
703.02	0.34335541	0.35434451	
703.22	0.3435135	0.35452901	
703.42	0.34393535	0.35470152	
703.62	0.34459112	0.35486295	
703.82	0.34492608	0.35501413	
704.02	0.34467989	0.35515583	
704.22	0.34485838	0.35528875	
704.42	0.34493565	0.35541355	
704.62	0.34581437	0.35553084	
704.82	0.34638444	0.35564119	
705.02	0.34749355	0.35574511	
705.22	0.34825733	0.35584308	
705.42	0.348924	0.35593556	
705.62	0.34937701	0.35602295	
705.82	0.34985239	0.35610563	
706.02	0.35018934	0.35618396	
706.22	0.34982868	0.35625826	
706.42	0.34992244	0.35632883	
706.62	0.35013414	0.35639595	
706.82	0.35003847	0.35645989	
707.02	0.35016288	0.35652088	
707.22	0.35021375	0.35657913	
707.42	0.34997556	0.35663486	
707.62	0.34939515	0.35668826	
707.82	0.34914809	0.35673949	
708.02	0.34919976	0.35678872	
708.22	0.34941764	0.3568361	
708.42	0.34947662	0.35688177	
708.62	0.35009117	0.35692586	
708.82	0.35074141	0.35696848	
709.02	0.35140563	0.35700974	
709.22	0.35167436	0.35704975	
709.42	0.35222687	0.3570886	
709.62	0.35278786	0.35712637	
709.82	0.35294426	0.35716315	
710.02	0.35338071	0.35719901	
710.22	0.35342105	0.35723402	
710.42	0.35351257	0.35726824	
710.62	0.35396316	0.35730173	
710.82	0.35414513	0.35733454	
711.02	0.35419603	0.35736673	
711.22	0.35428371	0.35739834	
711.42	0.35397488	0.35742942	
711.62	0.35440284	0.35746	
711.82	0.35460399	0.35749013	
712.02	0.35495209	0.35751983	
712.22	0.35468588	0.35754913	
712.42	0.35460266	0.35757808	
712.62	0.35500495	0.35760668	
712.82	0.35505178	0.35763497	
713.02	0.35455485	0.35766298	
713.22	0.35460053	0.35769071	
713.42	0.35468335	0.3577182	
713.62	0.35463628	0.35774546	
713.82	0.35417216	0.35777251	
714.02	0.35412785	0.35779936	
714.22	0.35390159	0.35782602	
714.42	0.35347148	0.35785252	
714.62	0.35406275	0.35787886	
714.82	0.35407904	0.35790505	
715.02	0.35412771	0.35793111	
715.22	0.35424633	0.35795704	
715.42	0.35426426	0.35798286	
715.62	0.35475639	0.35800857	
715.82	0.35471127	0.35803418	
716.02	0.35544858	0.3580597	
716.22	0.35586404	0.35808513	
716.42	0.35635531	0.35811048	
716.62	0.35658134	0.35813575	
716.82	0.35656535	0.35816096	
717.02	0.35664381	0.3581861	
717.22	0.35703184	0.35821119	
717.42	0.35707655	0.35823621	
717.62	0.35655704	0.35826119	
717.82	0.3560725	0.35828611	
718.02	0.3558254	0.35831099	
718.22	0.35579886	0.35833583	
718.42	0.35572339	0.35836063	
718.62	0.35560827	0.3583854	
718.82	0.35532654	0.35841013	
719.02	0.35489292	0.35843482	
719.22	0.35454896	0.35845949	
719.42	0.35495034	0.35848413	
719.62	0.35550637	0.35850874	
719.82	0.35578693	0.35853333	
720.02	0.3560639	0.3585579	
720.22	0.35681032	0.35858244	
720.42	0.35739982	0.35860696	
720.62	0.3574215	0.35863147	
720.82	0.357088	0.35865595	
721.02	0.35699215	0.35868042	
721.22	0.35692202	0.35870488	
721.42	0.35650392	0.35872931	
721.62	0.35624556	0.35875374	
721.82	0.35620545	0.35877815	
722.02	0.35697239	0.35880254	
722.22	0.3573599	0.35882693	
722.42	0.35765569	0.3588513	
722.62	0.35768622	0.35887566	
722.82	0.35802554	0.35890001	
723.02	0.35872644	0.35892435	
723.22	0.35931246	0.35894868	
723.42	0.3597784	0.358973	
723.62	0.36023568	0.35899731	
723.82	0.36074567	0.35902162	
724.02	0.36131033	0.35904591	
724.22	0.36208687	0.3590702	
724.42	0.36196839	0.35909448	
724.62	0.36146318	0.35911875	
724.82	0.36065369	0.35914301	
725.02	0.36050414	0.35916727	
725.22	0.36026989	0.35919152	
725.42	0.35995593	0.35921576	
725.62	0.35952495	0.35924	
725.82	0.3592439	0.35926423	
726.02	0.35982601	0.35928845	
726.22	0.3596374	0.35931267	
726.42	0.35951979	0.35933688	
726.62	0.3600723	0.35936109	
726.82	0.36040175	0.35938529	
727.02	0.36058193	0.35940948	
727.22	0.36056282	0.35943367	
727.42	0.36086173	0.35945785	
727.62	0.36176281	0.35948203	
727.82	0.36167519	0.3595062	
728.02	0.36156547	0.35953037	
728.22	0.36115899	0.35955453	
728.42	0.36104719	0.35957869	
728.62	0.36138532	0.35960284	
