Conc1	1E-06	
Start1	690.02	
Stop1	2789.81	
Kobs	0.00195963203865475	
Error Kobs	3.64061765403832E-06	
Koff	0.0885074349701292	
Error Koff	0.002440125417437	
Time1	Data1	Fit1	
690.02	0.03815074	0.03815074	
690.22	0.05576344	0.07399112	
690.42	0.07622777	0.10629253	
690.62	0.09927655	0.13540605	
690.82	0.12429422	0.16164794	
691.02	0.1508844	0.18530306	
691.22	0.17846442	0.20662804	
691.42	0.20562827	0.22585402	
691.62	0.23194173	0.24318924	
691.82	0.25642892	0.25882126	
692.02	0.27832878	0.27291904	
692.22	0.29617341	0.28563477	
692.42	0.31090247	0.29710557	
692.62	0.32331625	0.30745492	
692.82	0.33372281	0.31679407	
693.02	0.34253165	0.32522324	
693.22	0.34964525	0.33283269	
693.42	0.35565437	0.33970374	
693.62	0.36051453	0.34590963	
693.82	0.36440779	0.35151634	
694.02	0.36852365	0.35658332	
694.22	0.37184696	0.36116409	
694.42	0.37423332	0.36530689	
694.62	0.37656565	0.36905515	
694.82	0.37882188	0.37244802	
695.02	0.38068547	0.37552074	
695.22	0.38216802	0.37830506	
695.42	0.38363962	0.3808296	
695.62	0.38482618	0.38312011	
695.82	0.38627835	0.38519981	
696.02	0.38727879	0.3870896	
696.22	0.3879858	0.38880832	
696.42	0.38844614	0.39037293	
696.62	0.38940723	0.39179871	
696.82	0.39006269	0.39309943	
697.02	0.39059798	0.39428749	
697.22	0.3913553	0.39537407	
697.42	0.39188116	0.39636921	
697.62	0.39279991	0.39728199	
697.82	0.39346833	0.39812057	
698.02	0.39380384	0.39889231	
698.22	0.39440168	0.39960382	
698.42	0.3949396	0.40026108	
698.62	0.39577476	0.40086947	
698.82	0.3968566	0.40143382	
699.02	0.3974643	0.4019585	
699.22	0.39795893	0.40244743	
699.42	0.39895212	0.40290417	
699.62	0.39952984	0.40333188	
699.82	0.40046046	0.40373346	
700.02	0.40072664	0.40411148	
700.22	0.40143646	0.40446827	
700.42	0.40152349	0.40480594	
700.62	0.40197424	0.40512637	
700.82	0.40200039	0.40543127	
701.02	0.4026311	0.40572217	
701.22	0.40323743	0.40600046	
701.42	0.40374949	0.40626738	
701.62	0.40452715	0.40652405	
701.82	0.404741	0.40677148	
702.02	0.40439377	0.40701058	
702.22	0.40481771	0.40724218	
702.42	0.40520951	0.40746701	
702.62	0.40588623	0.40768573	
702.82	0.40620241	0.40789895	
703.02	0.40644105	0.4081072	
703.22	0.40629078	0.40831097	
703.42	0.406574	0.4085107	
703.62	0.40691487	0.40870679	
703.82	0.4067286	0.40889958	
704.02	0.4064325	0.40908941	
704.22	0.40670335	0.40927655	
704.42	0.40643329	0.40946126	
704.62	0.40679753	0.40964379	
704.82	0.40708702	0.40982435	
705.02	0.40788524	0.41000311	
705.22	0.4081754	0.41018026	
705.42	0.40860971	0.41035594	
705.62	0.40887902	0.4105303	
705.82	0.40893581	0.41070346	
706.02	0.4091204	0.41087553	
706.22	0.40935061	0.41104662	
706.42	0.40991532	0.41121682	
706.62	0.41029767	0.4113862	
706.82	0.41033953	0.41155485	
707.02	0.41082788	0.41172283	
707.22	0.41093317	0.4118902	
707.42	0.4110335	0.41205701	
707.62	0.41106351	0.41222331	
707.82	0.41080126	0.41238916	
708.02	0.41100649	0.41255457	
708.22	0.41156342	0.41271961	
708.42	0.41152815	0.41288428	
708.62	0.41226704	0.41304863	
708.82	0.41281054	0.41321268	
709.02	0.41338415	0.41337645	
709.22	0.41344324	0.41353997	
709.42	0.41383342	0.41370325	
709.62	0.41419607	0.41386631	
709.82	0.41426482	0.41402917	
710.02	0.41465476	0.41419184	
710.22	0.41471823	0.41435433	
710.42	0.41503823	0.41451665	
710.62	0.41501006	0.41467882	
710.82	0.41494438	0.41484084	
711.02	0.41465459	0.41500272	
711.22	0.41461592	0.41516448	
711.42	0.41457473	0.41532611	
711.62	0.41482727	0.41548762	
711.82	0.41468859	0.41564901	
712.02	0.41521808	0.41581031	
712.22	0.41557599	0.41597149	
712.42	0.41588173	0.41613258	
712.62	0.41643383	0.41629357	
712.82	0.41662452	0.41645448	
713.02	0.41680192	0.41661529	
713.22	0.41738448	0.41677601	
713.42	0.41785232	0.41693665	
713.62	0.41804952	0.41709721	
713.82	0.41804102	0.41725769	
714.02	0.41800315	0.41741809	
714.22	0.41819594	0.41757841	
714.42	0.41821586	0.41773866	
714.62	0.41810058	0.41789883	
714.82	0.41828691	0.41805893	
715.02	0.41823523	0.41821896	
715.22	0.4187567	0.41837891	
715.42	0.41872297	0.4185388	
715.62	0.41885923	0.41869862	
715.82	0.41868485	0.41885837	
716.02	0.4194845	0.41901805	
716.22	0.41979016	0.41917766	
716.42	0.42026888	0.41933721	
716.62	0.42064581	0.41949669	
716.82	0.42124716	0.4196561	
717.02	0.42173575	0.41981545	
717.22	0.42232718	0.41997473	
717.42	0.42204621	0.42013395	
717.62	0.42220173	0.4202931	
717.82	0.42222639	0.42045219	
718.02	0.42222152	0.42061121	
718.22	0.42270018	0.42077017	
718.42	0.42243457	0.42092907	
718.62	0.4222129	0.4210879	
718.82	0.42227853	0.42124667	
719.02	0.42194662	0.42140537	
719.22	0.42177825	0.42156401	
719.42	0.4217133	0.42172259	
719.62	0.4217835	0.42188111	
719.82	0.42204565	0.42203956	
720.02	0.42265957	0.42219795	
720.22	0.42329763	0.42235628	
720.42	0.42387625	0.42251454	
720.62	0.42445734	0.42267275	
720.82	0.42489193	0.42283089	
721.02	0.42530348	0.42298896	
721.22	0.4257447	0.42314698	
721.42	0.42575656	0.42330493	
721.62	0.42640244	0.42346282	
721.82	0.42637711	0.42362065	
722.02	0.42644031	0.42377842	
722.22	0.42682027	0.42393612	
722.42	0.42688305	0.42409377	
722.62	0.42679938	0.42425135	
722.82	0.4272149	0.42440887	
723.02	0.4276416	0.42456632	
723.22	0.4275114	0.42472372	
723.42	0.42732339	0.42488105	
723.62	0.4272572	0.42503832	
723.82	0.42758759	0.42519553	
724.02	0.4279559	0.42535268	
724.22	0.42830358	0.42550977	
724.42	0.42830081	0.42566679	
724.62	0.42865192	0.42582376	
724.82	0.42876103	0.42598066	
725.02	0.42942855	0.4261375	
725.22	0.42948739	0.42629428	
725.42	0.42976479	0.42645099	
725.62	0.4302624	0.42660765	
725.82	0.43011829	0.42676424	
726.02	0.4305377	0.42692078	
726.22	0.43100102	0.42707725	
726.42	0.43109075	0.42723366	
726.62	0.43144328	0.42739001	
726.82	0.43224604	0.4275463	
727.02	0.43216926	0.42770252	
727.22	0.43167342	0.42785869	
727.42	0.43188739	0.42801479	
727.62	0.43239018	0.42817083	
727.82	0.43254657	0.42832682	
728.02	0.43240351	0.42848274	
728.22	0.43193335	0.4286386	
728.42	0.43200604	0.42879439	
728.62	0.4322022	0.42895013	
728.82	0.43204616	0.42910581	
729.02	0.43197513	0.42926142	
729.22	0.43197103	0.42941698	
729.42	0.43216853	0.42957247	
729.62	0.432279	0.4297279	
729.82	0.43224396	0.42988327	
730.02	0.43264363	0.43003859	
730.22	0.43305409	0.43019383	
730.42	0.43317881	0.43034902	
730.62	0.43383757	0.43050415	
730.82	0.43380763	0.43065922	
731.02	0.43352539	0.43081423	
731.22	0.43409583	0.43096917	
731.42	0.43466105	0.43112406	
731.62	0.43471947	0.43127888	
731.82	0.43449047	0.43143364	
732.02	0.43389106	0.43158835	
732.22	0.43394451	0.43174299	
732.42	0.43433104	0.43189757	
732.62	0.43380175	0.43205209	
732.82	0.43359843	0.43220655	
733.02	0.43390206	0.43236095	
733.22	0.43432875	0.43251529	
733.42	0.43417806	0.43266957	
733.62	0.43409443	0.43282379	
733.82	0.43439704	0.43297795	
734.02	0.43432641	0.43313205	
734.22	0.4346211	0.43328609	
734.42	0.43443181	0.43344006	
734.62	0.43443927	0.43359398	
734.82	0.43429449	0.43374784	
735.02	0.43481344	0.43390163	
735.22	0.43518581	0.43405537	
735.42	0.43551462	0.43420904	
735.62	0.4356994	0.43436266	
735.82	0.43605732	0.43451621	
736.02	0.43642399	0.43466971	
736.22	0.4375147	0.43482314	
736.42	0.43765602	0.43497652	
736.62	0.43781784	0.43512983	
736.82	0.43849766	0.43528309	
737.02	0.43942401	0.43543628	
737.22	0.43916405	0.43558942	
737.42	0.43925839	0.43574249	
737.62	0.43881019	0.43589551	
737.82	0.43869942	0.43604846	
738.02	0.43818079	0.43620136	
738.22	0.43796006	0.43635419	
738.42	0.43776181	0.43650697	
738.62	0.43736684	0.43665968	
738.82	0.4372415	0.43681234	
739.02	0.43740685	0.43696493	
739.22	0.43709407	0.43711747	
739.42	0.43706154	0.43726994	
739.62	0.43771092	0.43742236	
739.82	0.43756952	0.43757472	
740.02	0.43783429	0.43772701	
740.22	0.43814918	0.43787925	
740.42	0.43793351	0.43803143	
740.62	0.43850912	0.43818354	
740.82	0.43884232	0.4383356	
741.02	0.43954978	0.4384876	
741.22	0.43919179	0.43863954	
741.42	0.43939461	0.43879142	
741.62	0.43917849	0.43894324	
741.82	0.43921395	0.439095	
742.02	0.43941124	0.4392467	
742.22	0.43965526	0.43939834	
742.42	0.43982621	0.43954992	
742.62	0.43993962	0.43970145	
742.82	0.44048214	0.43985291	
743.02	0.44121039	0.44000431	
743.22	0.4414698	0.44015566	
743.42	0.44133763	0.44030694	
743.62	0.44190154	0.44045817	
743.82	0.44182322	0.44060934	
744.02	0.44203915	0.44076044	
744.22	0.44215861	0.44091149	
744.42	0.44222278	0.44106248	
744.62	0.44256846	0.44121341	
744.82	0.44297697	0.44136428	
745.02	0.44349791	0.44151509	
745.22	0.44381509	0.44166585	
745.42	0.44368398	0.44181654	
745.62	0.44397907	0.44196718	
745.82	0.44380828	0.44211775	
746.02	0.44403772	0.44226827	
746.22	0.44413684	0.44241872	
746.42	0.44448059	0.44256912	
746.62	0.44500117	0.44271946	
746.82	0.44579994	0.44286974	
747.02	0.4458584	0.44301997	
747.22	0.44564187	0.44317013	
747.42	0.44592217	0.44332023	
747.62	0.44610573	0.44347028	
747.82	0.44605262	0.44362026	
748.02	0.44592032	0.44377019	
748.22	0.44604803	0.44392006	
748.42	0.44567912	0.44406987	
748.62	0.44586365	0.44421962	
748.82	0.44616951	0.44436932	
749.02	0.44629859	0.44451895	
749.22	0.44648307	0.44466853	
749.42	0.44606444	0.44481804	
749.62	0.44649234	0.4449675	
749.82	0.4460345	0.4451169	
750.02	0.44584003	0.44526624	
750.22	0.44580603	0.44541552	
750.42	0.44616194	0.44556475	
750.62	0.44623696	0.44571391	
750.82	0.44692365	0.44586302	
751.02	0.44692857	0.44601207	
751.22	0.44726205	0.44616106	
751.42	0.44756938	0.44630999	
751.62	0.44730287	0.44645887	
751.82	0.44759708	0.44660768	
752.02	0.44812982	0.44675644	
752.22	0.4482292	0.44690514	
752.42	0.4481533	0.44705378	
752.62	0.44861607	0.44720236	
752.82	0.44883594	0.44735089	
753.02	0.44895308	0.44749935	
753.22	0.448974	0.44764776	
753.42	0.44910387	0.44779611	
753.62	0.44941834	0.4479444	
753.82	0.4493775	0.44809263	
754.02	0.44914708	0.44824081	
754.22	0.44988061	0.44838893	
754.42	0.45019897	0.44853698	
754.62	0.45009346	0.44868499	
754.82	0.45060442	0.44883293	
755.02	0.45064486	0.44898081	
755.22	0.4509537	0.44912864	
