Conc1	1E-06	
Start1	690.02	
Stop1	2789.81	
Kobs	0.00166986753994441	
Error Kobs	3.54442137934733E-06	
Koff	0.00411280350753075	
Error Koff	1.34945171296954E-05	
Time1	Data1	Fit1	
690.02	0.02535464	0.02535464	
690.22	0.03865152	0.05421997	
690.42	0.0544681	0.08046434	
690.62	0.07230054	0.10432677	
690.82	0.09233554	0.12602448	
691.02	0.11370828	0.14575488	
691.22	0.13605272	0.16369738	
691.42	0.15874898	0.18001501	
691.62	0.18072542	0.19485597	
691.82	0.20185821	0.2083549	
692.02	0.22095714	0.2206342	
692.22	0.23705444	0.23180508	
692.42	0.25069848	0.24196862	
692.62	0.26260317	0.2512167	
692.82	0.27315518	0.25963278	
693.02	0.28172904	0.26729274	
693.22	0.28993922	0.27426553	
693.42	0.29638788	0.28061381	
693.62	0.30155481	0.28639454	
693.82	0.30582163	0.29165946	
694.02	0.30982356	0.29645562	
694.22	0.31305646	0.30082575	
694.42	0.31589876	0.30480872	
694.62	0.3181923	0.30843981	
694.82	0.32043261	0.31175112	
695.02	0.32198756	0.3147718	
695.22	0.32345742	0.31752836	
695.42	0.32480719	0.32004488	
695.62	0.32558655	0.32234324	
695.82	0.32665373	0.32444334	
696.02	0.32736723	0.32636325	
696.22	0.32829154	0.32811941	
696.42	0.32904521	0.32972673	
696.62	0.32995794	0.3311988	
696.82	0.33117625	0.33254794	
697.02	0.33166276	0.33378536	
697.22	0.33290851	0.33492124	
697.42	0.33333725	0.33596485	
697.62	0.33422887	0.33692458	
697.82	0.33508732	0.33780809	
698.02	0.33535008	0.33862232	
698.22	0.33609353	0.33937359	
698.42	0.33647959	0.34006764	
698.62	0.33686824	0.34070968	
698.82	0.33727751	0.34130444	
699.02	0.33777323	0.34185625	
699.22	0.33807627	0.342369	
699.42	0.33875746	0.34284627	
699.62	0.33900717	0.34329127	
699.82	0.33959897	0.34370696	
700.02	0.34035544	0.34409599	
700.22	0.34125445	0.3444608	
700.42	0.34168756	0.34480359	
700.62	0.3425659	0.34512637	
700.82	0.34270076	0.34543096	
701.02	0.34290519	0.34571901	
701.22	0.34357824	0.34599202	
701.42	0.34395829	0.34625137	
701.62	0.34473984	0.3464983	
701.82	0.34478598	0.34673393	
702.02	0.34459166	0.34695929	
702.22	0.34516711	0.34717532	
702.42	0.34520548	0.34738286	
702.62	0.34587353	0.34758269	
702.82	0.34612973	0.34777549	
703.02	0.3466104	0.34796192	
703.22	0.34662281	0.34814254	
703.42	0.34716006	0.34831789	
703.62	0.34725126	0.34848843	
703.82	0.34762118	0.34865461	
704.02	0.34734333	0.34881682	
704.22	0.34748231	0.34897541	
704.42	0.3479285	0.34913072	
704.62	0.34828564	0.34928304	
704.82	0.34831225	0.34943263	
705.02	0.34870874	0.34957975	
705.22	0.34886746	0.34972461	
705.42	0.34913329	0.34986742	
705.62	0.349415	0.35000836	
705.82	0.34948819	0.35014759	
706.02	0.34997597	0.35028528	
706.22	0.35002754	0.35042155	
706.42	0.34995549	0.35055653	
706.62	0.34999423	0.35069033	
706.82	0.35004392	0.35082307	
707.02	0.3504073	0.35095482	
707.22	0.35039906	0.35108569	
707.42	0.35026228	0.35121574	
707.62	0.34974682	0.35134505	
707.82	0.34948862	0.35147368	
708.02	0.34927276	0.35160168	
708.22	0.34960286	0.35172912	
708.42	0.3499494	0.35185604	
708.62	0.35021623	0.35198248	
708.82	0.35077552	0.35210849	
709.02	0.35127133	0.35223409	
709.22	0.35144686	0.35235933	
709.42	0.35197417	0.35248422	
709.62	0.35235398	0.35260881	
709.82	0.35220462	0.35273311	
710.02	0.35253262	0.35285715	
710.22	0.35232786	0.35298094	
710.42	0.35231489	0.35310451	
710.62	0.35273839	0.35322787	
