Conc1	1E-06	
Start1	690.02	
Stop1	2789.81	
Kobs	0.00215692915692242	
Error Kobs	5.96708181942687E-06	
Koff	0.00428173559993522	
Error Koff	2.03240821445444E-05	
Time1	Data1	Fit1	
690.02	0.01248467	0.01248467	
690.22	0.017391	0.01859049	
690.42	0.02287069	0.02414654	
690.62	0.02898103	0.02920328	
690.82	0.03524113	0.03380652	
691.02	0.04111337	0.03799787	
691.22	0.04648933	0.04181513	
691.42	0.05125386	0.04529263	
691.62	0.05559666	0.04846154	
691.82	0.05885374	0.05135017	
692.02	0.06131852	0.05398425	
692.22	0.06216134	0.05638713	
692.42	0.06230669	0.05858001	
692.62	0.06378366	0.06058218	
692.82	0.06458893	0.06241112	
693.02	0.06533993	0.06408273	
693.22	0.06550186	0.06561145	
693.42	0.06527474	0.06701037	
693.62	0.06628781	0.06829142	
693.82	0.06671169	0.06946539	
694.02	0.0678444	0.07054212	
694.22	0.06874115	0.07153053	
694.42	0.06986274	0.0724387	
694.62	0.07130116	0.07327401	
694.82	0.07179766	0.07404314	
695.02	0.07209101	0.07475214	
695.22	0.07223222	0.07540655	
695.42	0.07243522	0.07601136	
695.62	0.07270456	0.07657112	
695.82	0.07251625	0.07708995	
696.02	0.07271319	0.07757162	
696.22	0.07255533	0.07801953	
696.42	0.07318059	0.07843677	
696.62	0.07381026	0.07882614	
696.82	0.0737797	0.07919022	
697.02	0.07390224	0.0795313	
697.22	0.07402295	0.0798515	
697.42	0.07445979	0.08015273	
697.62	0.07527769	0.08043672	
697.82	0.07515946	0.08070505	
698.02	0.07594525	0.08095916	
698.22	0.07620615	0.08120035	
698.42	0.07670581	0.08142979	
698.62	0.07678443	0.08164856	
698.82	0.07633672	0.08185764	
699.02	0.07652752	0.08205791	
699.22	0.07634703	0.08225017	
699.42	0.07672534	0.08243516	
699.62	0.07646335	0.08261354	
699.82	0.07654868	0.0827859	
700.02	0.07721019	0.0829528	
700.22	0.07779718	0.08311474	
700.42	0.07853272	0.08327216	
700.62	0.07908863	0.08342548	
700.82	0.07930947	0.08357506	
701.02	0.07929781	0.08372125	
701.22	0.07953577	0.08386435	
701.42	0.07943871	0.08400465	
701.62	0.07953802	0.08414238	
701.82	0.08000488	0.0842778	
702.02	0.08025819	0.08441109	
702.22	0.08077841	0.08454246	
702.42	0.08095398	0.08467208	
702.62	0.0806317	0.0848001	
702.82	0.08063904	0.08492666	
703.02	0.08092322	0.0850519	
703.22	0.08137999	0.08517592	
703.42	0.08145099	0.08529885	
703.62	0.0811013	0.08542077	
703.82	0.08164695	0.08554177	
704.02	0.08204311	0.08566193	
704.22	0.08247745	0.08578133	
704.42	0.08264268	0.08590003	
704.62	0.08266999	0.08601808	
704.82	0.08199357	0.08613556	
705.02	0.08190385	0.08625249	
705.22	0.08176202	0.08636894	
705.42	0.08161413	0.08648493	
705.62	0.08194251	0.08660051	
705.82	0.08194574	0.08671571	
706.02	0.08204745	0.08683056	
706.22	0.0828047	0.08694508	
706.42	0.08291254	0.08705931	
706.62	0.08317334	0.08717327	
706.82	0.08356546	0.08728697	
707.02	0.08365636	0.08740044	
707.22	0.08396034	0.08751369	
707.42	0.08383672	0.08762674	
707.62	0.08416255	0.0877396	
707.82	0.08493845	0.08785229	
708.02	0.08516461	0.08796481	
708.22	0.08550438	0.08807718	
708.42	0.08532144	0.08818941	
708.62	0.08550611	0.0883015	
708.82	0.085319	0.08841347	
709.02	0.08519828	0.08852532	
709.22	0.08506394	0.08863705	
709.42	0.08484017	0.08874868	
709.62	0.08453526	0.08886021	
709.82	0.08454713	0.08897164	
710.02	0.08486042	0.08908298	
710.22	0.08471132	0.08919423	
710.42	0.0846097	0.0893054	
710.62	0.08485319	0.08941648	
710.82	0.08494551	0.08952749	
711.02	0.08486451	0.08963843	
711.22	0.08545485	0.08974929	
711.42	0.08590217	0.08986008	
711.62	0.08644008	0.0899708	
711.82	0.08686186	0.09008146	
712.02	0.08706202	0.09019205	
712.22	0.0876916	0.09030258	
712.42	0.0880926	0.09041305	
712.62	0.08872225	0.09052346	
712.82	0.08907341	0.09063381	
713.02	0.08947515	0.0907441	
713.22	0.09023347	0.09085433	
713.42	0.09051067	0.09096451	
713.62	0.09022956	0.09107463	
713.82	0.09063355	0.0911847	
714.02	0.09073434	0.09129472	
714.22	0.09076854	0.09140468	
714.42	0.09095398	0.09151459	
714.62	0.09092145	0.09162444	
714.82	0.09080414	0.09173425	
715.02	0.09054242	0.091844	
715.22	0.09053159	0.0919537	
715.42	0.09043794	0.09206335	
715.62	0.09029753	0.09217296	
715.82	0.09025608	0.09228251	
716.02	0.09065577	0.09239201	
716.22	0.0909182	0.09250146	
716.42	0.09061264	0.09261087	
716.62	0.09085999	0.09272022	
716.82	0.09106332	0.09282953	
717.02	0.09142953	0.09293878	
717.22	0.09135233	0.09304799	
717.42	0.09133338	0.09315715	
717.62	0.09108755	0.09326626	
717.82	0.09162409	0.09337533	
718.02	0.09172428	0.09348434	
718.22	0.09137092	0.09359331	
718.42	0.09139219	0.09370223	
718.62	0.09127048	0.0938111	
718.82	0.09149825	0.09391993	
719.02	0.09154315	0.09402871	
719.22	0.09153998	0.09413744	
719.42	0.09149256	0.09424612	
719.62	0.09158364	0.09435475	
719.82	0.09187249	0.09446334	
720.02	0.09210956	0.09457188	
720.22	0.09228595	0.09468038	
720.42	0.09279012	0.09478882	
720.62	0.09305023	0.09489722	
720.82	0.09310094	0.09500557	
721.02	0.09335881	0.09511388	
721.22	0.09316308	0.09522214	
721.42	0.09340887	0.09533035	
721.62	0.09341619	0.09543852	
721.82	0.09396967	0.09554663	
722.02	0.0944873	0.09565471	
722.22	0.09457122	0.09576273	
722.42	0.09530887	0.09587071	
722.62	0.09548238	0.09597864	
722.82	0.09532286	0.09608652	
723.02	0.09548021	0.09619436	
723.22	0.09538457	0.09630215	
723.42	0.0954	0.0964099	
723.62	0.09559969	0.0965176	
723.82	0.09579436	0.09662525	
724.02	0.09621187	0.09673285	
724.22	0.09666	0.09684041	
724.42	0.0968051	0.09694793	
724.62	0.09636392	0.09705539	
724.82	0.09623476	0.09716281	
725.02	0.09616465	0.09727018	
725.22	0.09581013	0.09737751	
725.42	0.09569073	0.09748479	
725.62	0.0957421	0.09759203	
725.82	0.09628154	0.09769922	
726.02	0.09635948	0.09780636	
726.22	0.09641304	0.09791345	
726.42	0.09678059	0.0980205	
726.62	0.09675884	0.09812751	
726.82	0.096349	0.09823446	
727.02	0.09664623	0.09834137	
727.22	0.09684738	0.09844824	
727.42	0.09719677	0.09855506	
727.62	0.09717156	0.09866183	
727.82	0.09765588	0.09876856	
728.02	0.09807872	0.09887524	
728.22	0.09872364	0.09898187	
728.42	0.09879056	0.09908846	
728.62	0.09888864	0.099195	
728.82	0.09910355	0.0993015	
729.02	0.09941995	0.09940795	
729.22	0.09905903	0.09951436	
729.42	0.09888827	0.09962071	
729.62	0.09924346	0.09972703	
729.82	0.09950184	0.09983329	
730.02	0.09963962	0.09993952	
730.22	0.10009475	0.10004569	
730.42	0.09965973	0.10015182	
730.62	0.09960817	0.1002579	
730.82	0.09988863	0.10036394	
731.02	0.09984304	0.10046994	
731.22	0.10042343	0.10057588	
731.42	0.10065169	0.10068178	
731.62	0.10036233	0.10078764	
731.82	0.10105727	0.10089345	
732.02	0.10112864	0.10099921	
732.22	0.10133734	0.10110493	
732.42	0.10154571	0.1012106	
732.62	0.10149341	0.10131623	
732.82	0.10160519	0.10142181	
733.02	0.1013366	0.10152735	
733.22	0.10114438	0.10163284	
733.42	0.1010996	0.10173828	
733.62	0.10181126	0.10184368	
733.82	0.10165338	0.10194904	
734.02	0.10174221	0.10205435	
734.22	0.10175379	0.10215961	
734.42	0.10155515	0.10226483	
734.62	0.10228934	0.10237	
734.82	0.10321699	0.10247513	
735.02	0.10296498	0.10258021	
735.22	0.10319731	0.10268525	
735.42	0.10310548	0.10279024	
735.62	0.10283865	0.10289518	
735.82	0.10282981	0.10300008	
736.02	0.1024421	0.10310494	
736.22	0.10198999	0.10320975	
736.42	0.1017308	0.10331452	
736.62	0.10127942	0.10341924	
736.82	0.10073289	0.10352391	
737.02	0.10096262	0.10362854	
737.22	0.10150643	0.10373312	
737.42	0.10150614	0.10383766	
737.62	0.10185513	0.10394216	
737.82	0.10181698	0.10404661	
738.02	0.1023731	0.10415101	
738.22	0.10265979	0.10425537	
738.42	0.10295874	0.10435968	
738.62	0.10390915	0.10446395	
738.82	0.10420657	0.10456818	
739.02	0.10427981	0.10467236	
739.22	0.10439927	0.10477649	
739.42	0.10477839	0.10488058	
739.62	0.1050435	0.10498462	
739.82	0.10483493	0.10508862	
740.02	0.10463135	0.10519258	
740.22	0.10460676	0.10529649	
740.42	0.10455358	0.10540035	
740.62	0.10467126	0.10550417	
740.82	0.10467236	0.10560795	
741.02	0.105196	0.10571168	
741.22	0.10465556	0.10581537	
741.42	0.10464188	0.10591901	
741.62	0.10463812	0.1060226	
741.82	0.1047988	0.10612616	
742.02	0.10475501	0.10622966	
742.22	0.1049141	0.10633313	
742.42	0.10521338	0.10643654	
742.62	0.10531633	0.10653992	
742.82	0.10500123	0.10664325	
743.02	0.10555835	0.10674653	
743.22	0.10586359	0.10684977	
743.42	0.10620159	0.10695296	
743.62	0.10648602	0.10705612	
743.82	0.10643131	0.10715922	
744.02	0.10680065	0.10726228	
744.22	0.10733599	0.1073653	
744.42	0.1071068	0.10746827	
744.62	0.107465	0.1075712	
744.82	0.10780956	0.10767409	
745.02	0.10758802	0.10777693	
745.22	0.10741384	0.10787972	
745.42	0.10810209	0.10798247	
745.62	0.10769028	0.10808518	
745.82	0.10764108	0.10818784	
746.02	0.10774406	0.10829046	
746.22	0.10844382	0.10839303	
746.42	0.10819271	0.10849556	
746.62	0.1080117	0.10859805	
746.82	0.10842465	0.10870049	
747.02	0.10876201	0.10880289	
747.22	0.10881523	0.10890524	
747.42	0.10890917	0.10900755	
747.62	0.10878312	0.10910981	
747.82	0.10878928	0.10921203	
748.02	0.10924654	0.10931421	
748.22	0.10937377	0.10941634	
748.42	0.10930709	0.10951843	
748.62	0.10931208	0.10962047	
748.82	0.10932896	0.10972247	
749.02	0.10914476	0.10982443	
749.22	0.10918943	0.10992634	
749.42	0.10912286	0.11002821	
749.62	0.10903524	0.11013003	
749.82	0.10913501	0.11023181	
750.02	0.10958652	0.11033355	
750.22	0.10991434	0.11043524	
750.42	0.1101754	0.11053689	
750.62	0.11085924	0.1106385	
750.82	0.11100104	0.11074006	
751.02	0.11081979	0.11084157	
751.22	0.11074552	0.11094305	
751.42	0.11092616	0.11104448	
751.62	0.11097716	0.11114586	
751.82	0.11111048	0.11124721	
752.02	0.11155114	0.1113485	
752.22	0.11128528	0.11144976	
752.42	0.11114713	0.11155097	
752.62	0.11130835	0.11165214	
752.82	0.111262	0.11175326	
753.02	0.11153666	0.11185434	
753.22	0.111608	0.11195538	
753.42	0.11162113	0.11205637	
753.62	0.11143929	0.11215732	
753.82	0.111278	0.11225823	
754.02	0.11157055	0.11235909	
754.22	0.11158881	0.11245991	
754.42	0.11174709	0.11256069	
754.62	0.11238881	0.11266142	
754.82	0.11221649	0.11276211	
755.02	0.11229429	0.11286275	
755.22	0.11260399	0.11296335	
755.42	0.11275119	0.11306391	
755.62	0.1128108	0.11316443	
755.82	0.11302598	0.1132649	
756.02	0.11304753	0.11336533	
756.22	0.11317637	0.11346571	
756.42	0.11353654	0.11356605	
756.62	0.11407483	0.11366635	
756.82	0.11384769	0.11376661	
757.02	0.11412073	0.11386682	
757.22	0.11448218	0.11396699	
757.42	0.11444849	0.11406711	
757.62	0.11430795	0.1141672	
757.82	0.11431712	0.11426723	
758.02	0.11418982	0.11436723	
758.22	0.11440605	0.11446718	
758.42	0.11484292	0.11456709	
758.62	0.11538219	0.11466696	
758.82	0.11477795	0.11476678	
759.02	0.11525808	0.11486656	
759.22	0.11554721	0.1149663	
759.42	0.11566734	0.115066	
759.62	0.11534969	0.11516565	
