Conc1	1E-06	
Start1	690.02	
Stop1	2789.81	
Kobs	0.381109705123438	
Error Kobs	0.018687549531443	
Koff	0.027148310098105	
Error Koff	0.000473593577043471	
Time1	Data1	Fit1	
690.02	0.01857086	0.01857086	
690.22	0.02224087	0.02259302	
690.42	0.02647933	0.02632942	
690.62	0.03117479	0.02980104	
690.82	0.03610986	0.03302729	
691.02	0.04062125	0.03602618	
691.22	0.04476771	0.0388144	
691.42	0.04779763	0.0414074	
691.62	0.05136566	0.04381949	
691.82	0.05397094	0.04606397	
692.02	0.05572552	0.04815311	
692.22	0.05633474	0.05009832	
692.42	0.05648164	0.05191016	
692.62	0.05708612	0.0535984	
692.82	0.05763338	0.05517212	
693.02	0.05863405	0.05663972	
693.22	0.05924322	0.05800898	
693.42	0.05989652	0.0592871	
693.62	0.06029428	0.06048079	
693.82	0.06083274	0.06159622	
694.02	0.06194646	0.06263914	
694.22	0.0626024	0.06361487	
694.42	0.06348425	0.06452832	
694.62	0.06492848	0.06538408	
694.82	0.06530963	0.06618636	
695.02	0.06590395	0.06693908	
695.22	0.06613003	0.06764589	
695.42	0.06607654	0.06831015	
695.62	0.06682297	0.06893496	
695.82	0.06634095	0.06952323	
696.02	0.06635043	0.07007764	
696.22	0.06610667	0.07060065	
696.42	0.0664947	0.07109458	
696.62	0.06703056	0.07156155	
696.82	0.06747675	0.07200354	
697.02	0.06792847	0.07242237	
697.22	0.06845031	0.07281974	
697.42	0.06912128	0.07319722	
697.62	0.06942055	0.07355627	
697.82	0.06977159	0.07389824	
698.02	0.07038194	0.07422437	
698.22	0.07046389	0.07453582	
698.42	0.07081863	0.07483366	
698.62	0.0715426	0.0751189	
698.82	0.0712588	0.07539245	
699.02	0.07210002	0.07565516	
699.22	0.07185286	0.07590782	
699.42	0.0718771	0.07615117	
699.62	0.0713583	0.07638589	
699.82	0.07138562	0.07661261	
700.02	0.07189623	0.0768319	
700.22	0.07145202	0.07704432	
700.42	0.07159413	0.07725035	
700.62	0.07175774	0.07745047	
700.82	0.07213547	0.0776451	
701.02	0.07248395	0.07783465	
701.22	0.07296561	0.07801947	
701.42	0.07290653	0.07819992	
701.62	0.07312763	0.07837631	
701.82	0.07370327	0.07854893	
702.02	0.07422474	0.07871806	
702.22	0.07481228	0.07888395	
702.42	0.07504229	0.07904683	
702.62	0.07527403	0.07920691	
702.82	0.07544978	0.07936441	
703.02	0.07595812	0.0795195	
703.22	0.0763423	0.07967236	
703.42	0.07674711	0.07982314	
703.62	0.07679116	0.079972	
703.82	0.07736844	0.08011907	
704.02	0.07726857	0.08026447	
704.22	0.07710523	0.08040834	
704.42	0.07743747	0.08055077	
704.62	0.07766702	0.08069186	
704.82	0.07758516	0.08083172	
705.02	0.07714072	0.08097042	
705.22	0.07687758	0.08110804	
705.42	0.07706996	0.08124467	
705.62	0.07730855	0.08138037	
705.82	0.07731429	0.08151521	
706.02	0.07743382	0.08164923	
706.22	0.07725387	0.08178251	
706.42	0.07673486	0.08191509	
706.62	0.07679754	0.08204701	
706.82	0.07696743	0.08217832	
707.02	0.07739966	0.08230906	
707.22	0.07791078	0.08243928	
707.42	0.07815783	0.08256899	
707.62	0.07855015	0.08269824	
707.82	0.07887103	0.08282706	
708.02	0.07909339	0.08295546	
708.22	0.07890449	0.08308349	
708.42	0.07860085	0.08321116	
708.62	0.07854745	0.08333849	
708.82	0.0787103	0.08346551	
709.02	0.07864611	0.08359223	
709.22	0.07873064	0.08371867	
709.42	0.07890065	0.08384485	
709.62	0.07902164	0.08397078	
709.82	0.07939544	0.08409648	
710.02	0.07979066	0.08422196	
710.22	0.07942397	0.08434723	
710.42	0.0800038	0.0844723	
710.62	0.08082233	0.08459718	
710.82	0.08119496	0.08472189	
711.02	0.08172896	0.08484643	
711.22	0.08214916	0.0849708	
711.42	0.08217073	0.08509503	
711.62	0.08232889	0.0852191	
711.82	0.08223877	0.08534304	
712.02	0.08196571	0.08546684	
712.22	0.08176958	0.08559052	
712.42	0.08204116	0.08571407	
712.62	0.08269019	0.08583751	
712.82	0.08296071	0.08596083	
713.02	0.08300298	0.08608404	
713.22	0.08350599	0.08620715	
713.42	0.08425608	0.08633015	
713.62	0.08419964	0.08645306	
713.82	0.08429697	0.08657587	
714.02	0.08445633	0.08669859	
714.22	0.08453798	0.08682121	
714.42	0.08528297	0.08694375	
714.62	0.08545165	0.08706621	
714.82	0.08483852	0.08718858	
715.02	0.08502936	0.08731087	
715.22	0.08522784	0.08743308	
715.42	0.08523664	0.08755521	
715.62	0.08532548	0.08767727	
715.82	0.08529106	0.08779925	
716.02	0.08528625	0.08792115	
716.22	0.08547049	0.08804299	
716.42	0.0853935	0.08816475	
716.62	0.08574229	0.08828645	
716.82	0.08576976	0.08840807	
717.02	0.08639047	0.08852963	
717.22	0.08671465	0.08865111	
717.42	0.08668828	0.08877254	
717.62	0.08611627	0.08889389	
717.82	0.08678525	0.08901518	
718.02	0.08708198	0.08913641	
718.22	0.08671358	0.08925757	
718.42	0.08687813	0.08937867	
718.62	0.08644886	0.08949971	
718.82	0.08609913	0.08962068	
719.02	0.08686929	0.08974159	
719.22	0.08669529	0.08986244	
719.42	0.08645351	0.08998323	
719.62	0.08614595	0.09010396	
719.82	0.08615914	0.09022463	
720.02	0.08614069	0.09034524	
720.22	0.08629849	0.09046579	
720.42	0.08703324	0.09058628	
720.62	0.08715702	0.09070671	
720.82	0.08754651	0.09082708	
721.02	0.08787376	0.09094739	
721.22	0.0879933	0.09106764	
721.42	0.08826948	0.09118784	
721.62	0.08863832	0.09130797	
721.82	0.08965525	0.09142805	
722.02	0.0897791	0.09154807	
722.22	0.08963937	0.09166803	
722.42	0.09017512	0.09178794	
722.62	0.08984109	0.09190778	
722.82	0.09031946	0.09202757	
723.02	0.09067168	0.09214731	
