Conc1	1E-06	
Start1	690.02	
Stop1	2789.81	
Kobs	0.373853688882771	
Error Kobs	0.00382094191782032	
Koff	0.00401974261038638	
Error Koff	1.47724808618814E-05	
Time1	Data1	Fit1	
690.02	0.03184786	0.03184786	
690.22	0.04723912	0.06199208	
690.42	0.06614215	0.08997364	
690.62	0.08807314	0.11594836	
690.82	0.11261349	0.1400608	
691.02	0.13843511	0.16244513	
691.22	0.16525157	0.18322585	
691.42	0.19208594	0.20251848	
691.62	0.21887094	0.22043023	
691.82	0.24412298	0.23706057	
692.02	0.26702878	0.25250183	
692.22	0.28623896	0.26683966	
692.42	0.30244117	0.28015356	
692.62	0.31712709	0.29251729	
692.82	0.32938826	0.3039993	
693.02	0.34020048	0.31466312	
693.22	0.34875714	0.32456767	
693.42	0.3560154	0.33376767	
693.62	0.36245744	0.34231386	
693.82	0.36788391	0.35025335	
694.02	0.37312519	0.35762983	
694.22	0.37790543	0.36448388	
694.42	0.38229127	0.37085312	
694.62	0.38661856	0.37677248	
694.82	0.38977012	0.38227436	
695.02	0.39228204	0.38738884	
695.22	0.39474368	0.39214383	
695.42	0.39697899	0.39656521	
695.62	0.39909845	0.40067703	
695.82	0.40086478	0.40450158	
696.02	0.40240808	0.40805956	
696.22	0.40356917	0.41137016	
696.42	0.40532004	0.4144512	
696.62	0.40706568	0.41731923	
696.82	0.4084649	0.41998957	
697.02	0.4099187	0.42247648	
697.22	0.41114064	0.42479315	
697.42	0.41295849	0.42695187	
697.62	0.4145699	0.42896399	
697.82	0.41546538	0.43084008	
698.02	0.41706949	0.43258994	
698.22	0.41819692	0.43422265	
698.42	0.4190042	0.43574665	
698.62	0.41982857	0.43716978	
698.82	0.41989872	0.43849929	
699.02	0.42048961	0.43974193	
699.22	0.421165	0.44090395	
699.42	0.42152392	0.44199115	
699.62	0.42164708	0.44300893	
699.82	0.42238854	0.44396229	
700.02	0.42351898	0.44485585	
700.22	0.42406938	0.44569392	
700.42	0.42534848	0.44648051	
700.62	0.42640223	0.44721931	
700.82	0.42769987	0.44791376	
701.02	0.4286854	0.44856706	
701.22	0.42935583	0.44918216	
701.42	0.43020874	0.44976183	
701.62	0.43082881	0.45030859	
701.82	0.43149549	0.45082484	
702.02	0.43227766	0.45131274	
702.22	0.43296024	0.45177436	
702.42	0.43335923	0.45221157	
702.62	0.43315046	0.45262614	
702.82	0.43314352	0.45301969	
703.02	0.43348922	0.45339372	
703.22	0.43414325	0.45374965	
703.42	0.43433411	0.45408878	
703.62	0.43483782	0.45441231	
703.82	0.43570626	0.45472136	
704.02	0.43664166	0.45501698	
704.22	0.4370717	0.45530012	
704.42	0.43783969	0.45557169	
704.62	0.43853841	0.45583251	
704.82	0.43866795	0.45608335	
705.02	0.43881094	0.45632493	
705.22	0.43912109	0.45655792	
705.42	0.43959453	0.45678293	
705.62	0.44019031	0.45700053	
705.82	0.44070685	0.45721125	
706.02	0.44164569	0.45741559	
706.22	0.44251675	0.457614	
706.42	0.44252237	0.4578069	
706.62	0.4426046	0.45799469	
706.82	0.44311291	0.45817773	
707.02	0.44343773	0.45835637	
707.22	0.44432856	0.45853091	
707.42	0.44459036	0.45870166	
707.62	0.44486938	0.45886887	
707.82	0.44536461	0.4590328	
708.02	0.44586168	0.45919368	
708.22	0.44574686	0.45935174	
708.42	0.44531819	0.45950716	
708.62	0.44577247	0.45966014	
708.82	0.44550428	0.45981085	
709.02	0.44532704	0.45995945	
709.22	0.44535461	0.46010609	
709.42	0.44530964	0.4602509	
709.62	0.44583746	0.46039402	
709.82	0.44666226	0.46053556	
710.02	0.44745009	0.46067564	
710.22	0.44719233	0.46081435	
710.42	0.44733974	0.46095179	
710.62	0.44811405	0.46108806	
710.82	0.44844007	0.46122322	
711.02	0.4488142	0.46135737	
711.22	0.44960872	0.46149056	
711.42	0.4495145	0.46162286	
711.62	0.44992272	0.46175434	
711.82	0.45033391	0.46188505	
712.02	0.4508099	0.46201504	
712.22	0.45090805	0.46214436	
712.42	0.45148386	0.46227306	
712.62	0.45255867	0.46240117	
712.82	0.45242821	0.46252874	
713.02	0.45237416	0.46265581	
713.22	0.45316223	0.4627824	
