Conc1	1E-06	
Start1	690.04	
Stop1	2789.85	
Kobs	0.00189776105873808	
Error Kobs	1.00742517463289E-05	
Koff	0.0328308330867333	
Error Koff	0.000814042094187378	
Time1	Data1	Fit1	
690.04	0.03527853	0.03527853	
690.24	0.04543663	0.05689859	
690.44	0.05786457	0.07737872	
690.64	0.07237489	0.09677937	
690.84	0.08923193	0.11515776	
691.04	0.10750499	0.13256809	
691.24	0.12733289	0.14906169	
691.44	0.14798211	0.16468717	
691.64	0.16870306	0.17949056	
691.84	0.18921371	0.19351544	
692.04	0.20865145	0.20680308	
692.24	0.22648657	0.21939258	
692.44	0.24256633	0.23132095	
692.64	0.25770659	0.24262324	
692.84	0.27132925	0.25333265	
693.04	0.28335712	0.26348061	
693.24	0.29472745	0.27309689	
693.44	0.30456493	0.28220968	
693.64	0.31383591	0.29084566	
693.84	0.32279336	0.29903013	
694.04	0.32994527	0.30678701	
694.24	0.33666437	0.31413898	
694.44	0.34270136	0.3211075	
694.64	0.34836886	0.3277129	
694.84	0.35343019	0.33397444	
695.04	0.35801324	0.33991035	
695.24	0.36229046	0.34553788	
695.44	0.36592926	0.35087339	
695.64	0.36883797	0.35593235	
695.84	0.37236318	0.36072944	
696.04	0.37444957	0.36527852	
696.24	0.37709108	0.36959276	
696.44	0.37889009	0.37368459	
696.64	0.38067298	0.37756581	
696.84	0.38263885	0.38124758	
697.04	0.38381673	0.38474048	
697.24	0.38562748	0.38805452	
697.44	0.38768299	0.39119918	
697.64	0.38982481	0.39418344	
697.84	0.39189617	0.3970158	
698.04	0.39390401	0.39970431	
698.24	0.39560084	0.4022566	
698.44	0.39689934	0.40467988	
698.64	0.39890523	0.406981	
698.84	0.40065693	0.40916643	
699.04	0.40185475	0.41124231	
699.24	0.40268326	0.41321443	
699.44	0.40379465	0.4150883	
699.64	0.40502279	0.41686912	
699.84	0.40600264	0.41856183	
700.04	0.40637145	0.4201711	
700.24	0.40748279	0.42170134	
700.44	0.40768335	0.42315675	
700.64	0.40777372	0.42454129	
700.84	0.40812463	0.42585872	
701.04	0.40877882	0.42711259	
701.24	0.40959137	0.42830627	
701.44	0.41068805	0.42944295	
701.64	0.41162054	0.43052564	
701.84	0.41246039	0.43155722	
702.04	0.41385379	0.43254038	
702.24	0.41463464	0.43347769	
702.44	0.41549447	0.43437159	
702.64	0.41724415	0.43522436	
702.84	0.41809119	0.43603819	
703.04	0.41849001	0.43681514	
703.24	0.41926129	0.43755717	
703.44	0.41999482	0.43826612	
703.64	0.42043109	0.43894374	
703.84	0.4208657	0.43959169	
704.04	0.42155924	0.44021155	
704.24	0.42219122	0.4408048	
704.44	0.42264394	0.44137285	
704.64	0.42331159	0.44191704	
704.84	0.42426325	0.44243862	
705.04	0.4253839	0.44293879	
705.24	0.42614595	0.44341869	
705.44	0.4274065	0.44387938	
705.64	0.42792391	0.44432189	
705.84	0.4284637	0.44474717	
706.04	0.42943879	0.44515615	
706.24	0.42957178	0.44554967	
706.44	0.42941434	0.44592855	
706.64	0.43010044	0.44629358	
706.84	0.42928731	0.44664548	
707.04	0.42899461	0.44698494	
707.24	0.42854826	0.44731263	
707.44	0.42838059	0.44762916	
707.64	0.42854098	0.44793512	
707.84	0.42934467	0.44823108	
708.04	0.42986134	0.44851756	
708.24	0.4306917	0.44879506	
708.44	0.43113514	0.44906405	
708.64	0.431702	0.44932499	
708.84	0.43247521	0.44957829	
709.04	0.43305004	0.44982436	
709.24	0.43397032	0.45006359	
709.44	0.43467593	0.45029632	
709.64	0.43468558	0.45052291	
709.84	0.43477276	0.45074368	
710.04	0.43508735	0.45095893	
710.24	0.43517288	0.45116895	
710.44	0.43504021	0.45137402	
710.64	0.43509013	0.4515744	
710.84	0.43462852	0.45177034	
711.04	0.4351108	0.45196206	
711.24	0.43570722	0.4521498	
711.44	0.43646554	0.45233375	
711.64	0.43711394	0.45251412	
711.84	0.43773999	0.45269109	
712.04	0.43863221	0.45286485	
712.24	0.43926734	0.45303555	
712.44	0.43884842	0.45320337	
712.64	0.43893191	0.45336844	
712.84	0.43958209	0.45353092	
713.04	0.43970762	0.45369094	
713.24	0.43977211	0.45384862	
713.44	0.43962272	0.4540041	
713.64	0.43968984	0.45415748	
713.84	0.43984005	0.45430886	
714.04	0.44027768	0.45445837	
714.24	0.44080819	0.45460609	
714.44	0.44092341	0.45475211	
714.64	0.44152502	0.45489652	
714.84	0.44219955	0.45503942	
715.04	0.44285832	0.45518086	
715.24	0.44388652	0.45532093	
715.44	0.44442427	0.45545971	
715.64	0.44488886	0.45559725	
715.84	0.44503311	0.45573361	
716.04	0.44557437	0.45586887	
716.24	0.44537772	0.45600307	
716.44	0.44488018	0.45613627	
716.64	0.44527602	0.45626852	
716.84	0.44577911	0.45639986	
717.04	0.44580805	0.45653035	
717.24	0.44589724	0.45666003	
717.44	0.44588129	0.45678893	
717.64	0.44652304	0.4569171	
717.84	0.44647351	0.45704457	
718.04	0.44636757	0.45717138	
718.24	0.44628937	0.45729755	
718.44	0.44643185	0.45742313	
718.64	0.44663217	0.45754814	
718.84	0.4470884	0.45767261	
719.04	0.44720232	0.45779656	
719.24	0.4474482	0.45792002	
719.44	0.44740428	0.45804302	
719.64	0.44726461	0.45816557	
719.84	0.44706906	0.4582877	
720.04	0.4472593	0.45840942	
720.24	0.44762197	0.45853076	
720.44	0.44833886	0.45865174	
720.64	0.44954153	0.45877237	
720.84	0.45027273	0.45889266	
721.04	0.45090715	0.45901264	
721.24	0.45122654	0.45913231	
721.44	0.45152093	0.4592517	
721.64	0.45184386	0.45937081	
721.84	0.45160428	0.45948966	
722.04	0.45173485	0.45960825	
722.24	0.45196541	0.45972661	
722.44	0.45254555	0.45984473	
722.64	0.45244462	0.45996263	
722.84	0.45281063	0.46008033	
723.04	0.45307528	0.46019782	
723.24	0.45357095	0.46031511	
723.44	0.45371387	0.46043223	
723.64	0.45341517	0.46054916	
723.84	0.45361297	0.46066592	
724.04	0.45399039	0.46078252	
724.24	0.45456238	0.46089896	
724.44	0.45512582	0.46101525	
724.64	0.45556605	0.46113139	
724.84	0.4556481	0.46124739	
725.04	0.45581324	0.46136326	
725.24	0.4556662	0.46147899	
725.44	0.45569894	0.4615946	
725.64	0.45578459	0.46171009	
725.84	0.45558333	0.46182547	
726.04	0.45541884	0.46194072	
726.24	0.45508733	0.46205587	
726.44	0.45501452	0.46217092	
726.64	0.45485013	0.46228586	
726.84	0.45488228	0.4624007	
727.04	0.45505009	0.46251544	
727.24	0.45480951	0.46263009	
727.44	0.4544567	0.46274465	
727.64	0.45438307	0.46285912	
727.84	0.45483977	0.46297351	
728.04	0.45559842	0.46308781	
728.24	0.45584648	0.46320203	
728.44	0.45635438	0.46331617	
728.64	0.45690535	0.46343023	
728.84	0.45778083	0.46354422	
729.04	0.45817228	0.46365813	
729.24	0.45849891	0.46377197	
729.44	0.45916154	0.46388574	
729.64	0.4591103	0.46399944	
729.84	0.4590558	0.46411307	
730.04	0.45953425	0.46422664	
730.24	0.46012191	0.46434014	
730.44	0.46018104	0.46445358	
730.64	0.4598653	0.46456695	
730.84	0.46012855	0.46468026	
731.04	0.46008869	0.46479351	
731.24	0.45993373	0.4649067	
731.44	0.46017797	0.46501984	
731.64	0.4603869	0.46513291	
731.84	0.46049494	0.46524593	
732.04	0.46139997	0.46535889	
732.24	0.46140897	0.46547179	
732.44	0.46201733	0.46558464	
732.64	0.46206864	0.46569744	
732.84	0.46217064	0.46581018	
733.04	0.46227891	0.46592287	
733.24	0.46244767	0.46603551	
733.44	0.46260305	0.46614809	
733.64	0.46239642	0.46626062	
733.84	0.46263333	0.46637311	
734.04	0.46318819	0.46648554	
734.24	0.46306923	0.46659792	
734.44	0.46261876	0.46671025	
734.64	0.46245913	0.46682253	
734.84	0.46255843	0.46693477	
735.04	0.46229782	0.46704695	
735.24	0.46219119	0.46715909	
735.44	0.4625281	0.46727118	
735.64	0.4624801	0.46738322	
735.84	0.46276097	0.46749521	
736.04	0.46353334	0.46760716	
736.24	0.46320465	0.46771906	
736.44	0.46336792	0.46783091	
736.64	0.46312642	0.46794272	
736.84	0.46342048	0.46805448	
737.04	0.46370212	0.46816619	
737.24	0.46401603	0.46827786	
737.44	0.46429258	0.46838948	
737.64	0.46474613	0.46850106	
737.84	0.46435551	0.4686126	
738.04	0.46457169	0.46872408	
738.24	0.46407417	0.46883553	
738.44	0.46404024	0.46894693	
738.64	0.46384758	0.46905828	
738.84	0.46407809	0.46916959	
739.04	0.46473714	0.46928086	
739.24	0.46493103	0.46939208	
739.44	0.46559653	0.46950326	
739.64	0.46590004	0.46961439	
739.84	0.46625251	0.46972548	
740.04	0.46635786	0.46983652	
740.24	0.46639293	0.46994753	
740.44	0.46687382	0.47005849	
740.64	0.46717971	0.4701694	
740.84	0.46761698	0.47028027	
741.04	0.46799117	0.4703911	
741.24	0.46841278	0.47050189	
741.44	0.46858334	0.47061263	
741.64	0.46834102	0.47072333	
741.84	0.46757242	0.47083399	
742.04	0.46799479	0.4709446	
742.24	0.46805625	0.47105517	
742.44	0.46884532	0.4711657	
742.64	0.46915906	0.47127619	
742.84	0.46963788	0.47138663	
