Conc1	1E-06	
Start1	690.04	
Stop1	2789.85	
Kobs	0.00194224133196637	
Error Kobs	3.61199511553838E-06	
Koff	0.00333208213458501	
Error Koff	1.52644185930654E-05	
Time1	Data1	Fit1	
690.04	0.06378675	0.06378675	
690.24	0.08237196	0.09906633	
690.44	0.10408956	0.13084124	
690.64	0.12829308	0.1594614	
690.84	0.15449075	0.18524181	
691.04	0.18172458	0.208466	
691.24	0.20929635	0.2293892	
691.44	0.23630128	0.24824116	
691.64	0.26194515	0.26522868	
691.84	0.2857597	0.28053791	
692.04	0.30620747	0.29433643	
692.24	0.32243992	0.30677507	
692.44	0.33542125	0.31798961	
692.64	0.34571338	0.32810226	
692.84	0.35453945	0.33722305	
693.04	0.36140124	0.34545099	
693.24	0.36740258	0.35287524	
693.44	0.37154503	0.35957603	
693.64	0.37569411	0.36562559	
693.84	0.38005449	0.37108894	
694.04	0.38304519	0.37602462	
694.24	0.3858046	0.38048528	
694.44	0.38854313	0.38451837	
694.64	0.39083656	0.38816657	
694.84	0.39280572	0.39146829	
695.04	0.39429706	0.39445813	
695.24	0.39558939	0.39716723	
695.44	0.39712036	0.3996236	
695.64	0.39825123	0.40185248	
695.84	0.39978679	0.40387657	
696.04	0.40065881	0.40571632	
696.24	0.40177979	0.40739012	
696.44	0.40238171	0.40891453	
696.64	0.40293698	0.41030447	
696.84	0.40403547	0.41157336	
697.04	0.40429018	0.41273327	
697.24	0.4047571	0.41379509	
697.44	0.40557233	0.41476859	
697.64	0.40666237	0.41566259	
697.84	0.40752804	0.41648502	
698.04	0.40856096	0.41724302	
698.24	0.40934089	0.41794302	
698.44	0.40977466	0.4185908	
698.64	0.41031127	0.41919156	
698.84	0.41079746	0.41975	
699.04	0.41105905	0.42027034	
699.24	0.41123337	0.42075637	
699.44	0.41161881	0.42121151	
699.64	0.41213778	0.42163883	
699.84	0.41242801	0.42204112	
700.04	0.41271027	0.42242086	
700.24	0.41327423	0.4227803	
700.44	0.41328886	0.42312145	
700.64	0.41339197	0.42344614	
700.84	0.41364479	0.423756	
701.04	0.41362304	0.42405251	
701.24	0.41439144	0.42433699	
701.44	0.41552818	0.42461063	
701.64	0.41639552	0.42487452	
701.84	0.41736999	0.42512962	
702.04	0.41839027	0.4253768	
702.24	0.41896926	0.42561685	
702.44	0.41979382	0.42585046	
702.64	0.42092399	0.42607828	
702.84	0.42150585	0.42630088	
703.04	0.42207946	0.42651876	
703.24	0.4220952	0.42673241	
703.44	0.42234697	0.42694222	
703.64	0.42274854	0.42714859	
703.84	0.42238097	0.42735183	
704.04	0.4222527	0.42755227	
704.24	0.42203024	0.42775017	
704.44	0.42217116	0.42794578	
704.64	0.42215892	0.42813932	
704.84	0.42212429	0.428331	
705.04	0.42262297	0.42852098	
705.24	0.42318577	0.42870944	
705.44	0.42370029	0.42889652	
705.64	0.42413491	0.42908235	
705.84	0.42484128	0.42926704	
706.04	0.42537881	0.42945071	
706.24	0.42583668	0.42963345	
706.44	0.42612544	0.42981535	
706.64	0.42645011	0.42999648	
706.84	0.42623704	0.43017691	
707.04	0.42606982	0.43035671	
707.24	0.42554969	0.43053593	
707.44	0.42557499	0.43071462	
707.64	0.42577603	0.43089284	
707.84	0.42591518	0.43107061	
708.04	0.42617639	0.43124799	
708.24	0.426576	0.43142499	
708.44	0.42699462	0.43160166	
708.64	0.42672434	0.43177801	
708.84	0.42747482	0.43195408	
709.04	0.42821946	0.43212988	
709.24	0.42863053	0.43230543	
709.44	0.42911282	0.43248076	
709.64	0.42986978	0.43265588	
709.84	0.4302052	0.43283079	
710.04	0.43035601	0.43300553	
710.24	0.4303329	0.43318009	
710.44	0.43052439	0.43335449	
710.64	0.43076842	0.43352874	
710.84	0.4307184	0.43370284	
711.04	0.43066564	0.43387681	
711.24	0.43100331	0.43405064	
711.44	0.43167801	0.43422436	
711.64	0.43199361	0.43439795	
711.84	0.4321855	0.43457144	
712.04	0.43269303	0.43474481	
712.24	0.43269649	0.43491808	
712.44	0.43259548	0.43509126	
712.64	0.43255289	0.43526433	
712.84	0.43335868	0.43543731	
713.04	0.43345394	0.4356102	
713.24	0.43321487	0.435783	
713.44	0.43320214	0.43595572	
