Conc1	1E-07	
Start1	690.01	
Stop1	2789.81	
Kobs	0.00209124940473285	
Error Kobs	2.59715468477414E-05	
Koff	0.0400528894967336	
Error Koff	0.00142962955550358	
Time1	Data1	Fit1	
690.01	0.00747386	0.00747386	
690.21	0.00904806	0.01145854	
690.41	0.0107473	0.01539024	
690.61	0.01299973	0.01926967	
690.81	0.01545464	0.02309752	
691.01	0.01847343	0.0268745	
691.21	0.0211768	0.03060129	
691.41	0.02395827	0.03427855	
691.61	0.02691705	0.03790697	
691.81	0.03021297	0.04148718	
692.01	0.0331922	0.04501985	
692.21	0.03620664	0.0485056	
692.41	0.03944806	0.05194507	
692.61	0.04267358	0.05533889	
692.81	0.04663319	0.05868766	
693.01	0.04957542	0.06199199	
693.21	0.05269883	0.06525248	
693.41	0.05579986	0.06846971	
693.61	0.05911989	0.07164427	
693.81	0.06271629	0.07477673	
694.01	0.06648222	0.07786766	
694.21	0.07012774	0.08091761	
694.41	0.07341679	0.08392713	
694.61	0.07709679	0.08689678	
694.81	0.08091843	0.08982708	
695.01	0.08456572	0.09271856	
695.21	0.08764646	0.09557174	
695.41	0.09074688	0.09838714	
695.61	0.09387016	0.10116527	
695.81	0.09661246	0.10390663	
696.01	0.09972894	0.10661171	
696.21	0.10279096	0.10928099	
696.41	0.10635906	0.11191497	
696.61	0.10912784	0.1145141	
696.81	0.11203696	0.11707887	
697.01	0.11428716	0.11960974	
697.21	0.11693509	0.12210715	
697.41	0.11952725	0.12457156	
697.61	0.12232009	0.12700341	
697.81	0.12567028	0.12940314	
698.01	0.12853719	0.13177118	
698.21	0.13090133	0.13410796	
698.41	0.13419877	0.13641389	
698.61	0.13736052	0.1386894	
698.81	0.14043589	0.14093488	
699.01	0.14330826	0.14315075	
699.21	0.14585707	0.14533739	
699.41	0.14820883	0.14749521	
699.61	0.15084926	0.14962459	
699.81	0.15340056	0.15172591	
700.01	0.15615534	0.15379956	
700.21	0.15915077	0.15584589	
700.41	0.16191566	0.15786528	
700.61	0.16370055	0.15985809	
700.81	0.16596921	0.16182467	
701.01	0.16780855	0.16376539	
701.21	0.16975278	0.16568058	
701.41	0.17205507	0.16757059	
701.61	0.17433065	0.16943576	
701.81	0.17675547	0.17127642	
702.01	0.17871511	0.1730929	
702.21	0.18103367	0.17488553	
702.41	0.18385356	0.17665462	
702.61	0.1864273	0.1784005	
702.81	0.18878227	0.18012346	
703.01	0.19107859	0.18182383	
703.21	0.19286582	0.18350191	
703.41	0.19495305	0.18515798	
703.61	0.19729064	0.18679236	
703.81	0.19928684	0.18840533	
704.01	0.20100369	0.18999718	
704.21	0.20324849	0.19156819	
704.41	0.20432853	0.19311864	
704.61	0.2059577	0.19464881	
704.81	0.20792236	0.19615897	
705.01	0.20904365	0.19764939	
705.21	0.21042575	0.19912033	
705.41	0.21197005	0.20057206	
705.61	0.2128317	0.20200484	
705.81	0.21417873	0.20341891	
706.01	0.21544992	0.20481453	
706.21	0.21646857	0.20619196	
706.41	0.21775156	0.20755142	
706.61	0.21882025	0.20889316	
706.81	0.21990392	0.21021743	
707.01	0.22118163	0.21152445	
707.21	0.22221643	0.21281446	
707.41	0.2238144	0.21408769	
707.61	0.22529346	0.21534435	
707.81	0.22658792	0.21658468	
708.01	0.22766012	0.2178089	
708.21	0.22865193	0.21901721	
708.41	0.22963142	0.22020983	
708.61	0.23122327	0.22138698	
708.81	0.23273373	0.22254886	
709.01	0.2333988	0.22369568	
709.21	0.23432219	0.22482763	
709.41	0.23515928	0.22594492	
709.61	0.23623212	0.22704775	
709.81	0.23745616	0.2281363	
710.01	0.2379035	0.22921078	
710.21	0.23803685	0.23027137	
