Conc1	1E-07	
Start1	690.04	
Stop1	2789.84	
Kobs	0.061277845852612	
Error Kobs	0.000342665966532381	
Koff	0.0313077055964915	
Error Koff	0.00103225624446612	
Time1	Data1	Fit1	
690.04	0.01592978	0.01592978	
690.24	0.01652092	0.01944782	
690.44	0.01800803	0.02292351	
690.64	0.01987402	0.02635738	
690.84	0.02180989	0.02974993	
691.04	0.02402775	0.03310167	
691.24	0.0269368	0.0364131	
691.44	0.02970906	0.0396847	
691.64	0.03216374	0.04291696	
691.84	0.03519483	0.04611035	
692.04	0.03827911	0.04926537	
692.24	0.04127543	0.05238246	
692.44	0.04446383	0.05546209	
692.64	0.0476641	0.05850472	
692.84	0.05090918	0.06151079	
693.04	0.05391702	0.06448077	
693.24	0.05634122	0.06741507	
693.44	0.0585649	0.07031414	
693.64	0.06099509	0.0731784	
693.84	0.06369188	0.07600829	
694.04	0.06585244	0.07880421	
694.24	0.06899463	0.08156659	
694.44	0.07257547	0.08429583	
694.64	0.07586927	0.08699233	
694.84	0.07935924	0.08965649	
695.04	0.08273434	0.09228871	
695.24	0.08585278	0.09488937	
695.44	0.0885484	0.09745887	
695.64	0.0909066	0.09999757	
695.84	0.09377721	0.10250586	
696.04	0.09656905	0.1049841	
696.24	0.09930354	0.10743266	
696.44	0.10246339	0.1098519	
696.64	0.10535436	0.11224218	
696.84	0.10863624	0.11460385	
697.04	0.11134756	0.11693725	
697.24	0.11340112	0.11924275	
697.44	0.11566408	0.12152066	
697.64	0.11802425	0.12377134	
697.84	0.12061809	0.1259951	
698.04	0.12307587	0.12819228	
698.24	0.12606794	0.13036321	
698.44	0.12878194	0.13250819	
698.64	0.13148735	0.13462755	
698.84	0.13436085	0.1367216	
699.04	0.13672984	0.13879065	
699.24	0.13925074	0.140835	
699.44	0.14180222	0.14285495	
699.64	0.14437469	0.14485081	
699.84	0.14694942	0.14682285	
700.04	0.14964743	0.14877138	
700.24	0.15213284	0.15069667	
700.44	0.15519892	0.15259902	
700.64	0.15795389	0.15447869	
700.84	0.16047183	0.15633598	
701.04	0.16275795	0.15817114	
701.24	0.16462423	0.15998446	
701.44	0.166654	0.16177618	
701.64	0.16896529	0.16354659	
701.84	0.1705264	0.16529593	
702.04	0.17264193	0.16702446	
702.24	0.17456562	0.16873245	
702.44	0.17601147	0.17042013	
702.64	0.17786612	0.17208775	
702.84	0.17988846	0.17373556	
703.04	0.18179788	0.1753638	
703.24	0.18340821	0.17697271	
703.44	0.18531411	0.17856252	
703.64	0.18731055	0.18013346	
703.84	0.18892023	0.18168578	
704.04	0.19073296	0.18321968	
704.24	0.19286442	0.1847354	
704.44	0.19481251	0.18623315	
704.64	0.19658892	0.18771316	
704.84	0.19857008	0.18917565	
705.04	0.20016649	0.19062082	
705.24	0.20155692	0.19204888	
705.44	0.20327051	0.19346005	
705.64	0.20471383	0.19485452	
705.84	0.20591213	0.19623252	
706.04	0.20818394	0.19759422	
706.24	0.2100742	0.19893983	
706.44	0.21138745	0.20026956	
706.64	0.21308638	0.20158358	
706.84	0.2146604	0.2028821	
707.04	0.21570509	0.20416529	
707.24	0.21687246	0.20543336	
707.44	0.21801912	0.20668647	
707.64	0.21943061	0.20792482	
707.84	0.22061156	0.20914858	
708.04	0.22184741	0.21035793	
708.24	0.22294499	0.21155305	
708.44	0.22420576	0.2127341	
708.64	0.22532225	0.21390127	
708.84	0.22606526	0.21505471	
709.04	0.22600114	0.2161946	
709.24	0.22713063	0.2173211	
709.44	0.22783316	0.21843438	
709.64	0.22860308	0.21953459	
709.84	0.22976839	0.22062189	
710.04	0.23064758	0.22169645	
710.24	0.23161053	0.22275841	
710.44	0.23244589	0.22380793	
710.64	0.23346124	0.22484516	
710.84	0.2348721	0.22587025	
711.04	0.23585094	0.22688335	
711.24	0.23711095	0.2278846	
711.44	0.23836733	0.22887415	
711.64	0.23995652	0.22985214	
711.84	0.24088382	0.23081872	
712.04	0.2418652	0.23177401	
712.24	0.24277696	0.23271816	
712.44	0.24361722	0.2336513	
712.64	0.24371212	0.23457356	
712.84	0.24396671	0.23548509	
713.04	0.24422943	0.23638601	
713.24	0.2447415	0.23727644	
713.44	0.24442487	0.23815652	
713.64	0.24422179	0.23902637	
713.84	0.2446332	0.23988612	
714.04	0.24464226	0.24073589	
714.24	0.24527509	0.2415758	
714.44	0.24617502	0.24240597	
714.64	0.24695101	0.24322652	
714.84	0.24757577	0.24403756	
715.04	0.24827555	0.24483922	
715.24	0.24891909	0.2456316	
715.44	0.25002352	0.24641482	
715.64	0.25068246	0.24718899	
715.84	0.25156778	0.24795422	
716.04	0.25258927	0.24871062	
716.24	0.25332694	0.2494583	
716.44	0.25445139	0.25019736	
716.64	0.25560184	0.25092791	
716.84	0.25618927	0.25165004	
717.04	0.25678228	0.25236387	
717.24	0.25707185	0.2530695	
717.44	0.25768387	0.25376702	
717.64	0.25848268	0.25445653	
717.84	0.25972926	0.25513813	
718.04	0.26031309	0.25581191	
718.24	0.26080955	0.25647798	
718.44	0.26161948	0.25713642	
718.64	0.2616396	0.25778733	
718.84	0.26130863	0.2584308	
719.04	0.26163163	0.25906692	
719.24	0.26204613	0.25969578	
719.44	0.2625042	0.26031746	
719.64	0.26264233	0.26093206	
719.84	0.26304649	0.26153966	
720.04	0.26347414	0.26214035	
720.24	0.26410392	0.2627342	
720.44	0.26516768	0.26332131	
720.64	0.26581095	0.26390176	
720.84	0.26617024	0.26447562	
721.04	0.26685275	0.26504297	
721.24	0.26727681	0.2656039	
721.44	0.26767645	0.26615848	
721.64	0.26787813	0.2667068	
721.84	0.26771089	0.26724892	
722.04	0.26755347	0.26778492	
722.24	0.26765364	0.26831488	
722.44	0.26817744	0.26883886	
722.64	0.26835416	0.26935695	
722.84	0.26825565	0.26986922	
723.04	0.26882401	0.27037572	
723.24	0.26972286	0.27087655	
723.44	0.27027787	0.27137175	
723.64	0.27056731	0.27186141	
723.84	0.27039036	0.27234559	
724.04	0.27055248	0.27282435	
724.24	0.27156257	0.27329776	
724.44	0.27258559	0.27376589	
724.64	0.27365898	0.27422881	
724.84	0.27402169	0.27468656	
725.04	0.27475455	0.27513922	
725.24	0.27461916	0.27558686	
725.44	0.27478745	0.27602952	
725.64	0.27455647	0.27646727	
725.84	0.27452478	0.27690017	
726.04	0.27486342	0.27732828	
726.24	0.27511864	0.27775166	
726.44	0.27543558	0.27817036	
726.64	0.27551864	0.27858444	
726.84	0.27585711	0.27899396	
727.04	0.27622883	0.27939898	
727.24	0.27661228	0.27979954	
727.44	0.27658739	0.2801957	
727.64	0.27600747	0.28058752	
727.84	0.27549797	0.28097504	
728.04	0.27554018	0.28135833	
728.24	0.2763733	0.28173742	
728.44	0.27669817	0.28211238	
728.64	0.27668074	0.28248325	
728.84	0.27684647	0.28285009	
729.04	0.27768821	0.28321293	
729.24	0.27739754	0.28357184	
729.44	0.27854874	0.28392685	
729.64	0.27878149	0.28427801	
729.84	0.27937708	0.28462538	
730.04	0.27973135	0.28496899	
730.24	0.28064773	0.2853089	
730.44	0.28112127	0.28564515	
730.64	0.28159644	0.28597778	
730.84	0.28226741	0.28630683	
731.04	0.28233055	0.28663235	
731.24	0.28262052	0.28695439	
731.44	0.28297198	0.28727298	
731.64	0.28283581	0.28758817	
731.84	0.28284538	0.2879	
732.04	0.28279293	0.2882085	
732.24	0.28296339	0.28851373	
732.44	0.28301775	0.28881571	
732.64	0.28325681	0.28911449	
732.84	0.28328692	0.28941011	
733.04	0.28323084	0.2897026	
733.24	0.28331773	0.28999201	
733.44	0.28398459	0.29027837	
733.64	0.28423202	0.29056171	
733.84	0.28428527	0.29084208	
734.04	0.28477791	0.29111951	
734.24	0.28513835	0.29139403	
734.44	0.28501499	0.29166569	
734.64	0.28503462	0.29193451	
734.84	0.28540439	0.29220054	
735.04	0.28585687	0.29246379	
735.24	0.28596787	0.29272432	
735.44	0.28604734	0.29298214	
735.64	0.28647308	0.2932373	
735.84	0.28698963	0.29348983	
736.04	0.28746593	0.29373975	
736.24	0.28759336	0.29398711	
736.44	0.2880168	0.29423192	
736.64	0.28776452	0.29447422	
736.84	0.2873271	0.29471405	
