Conc1	1E-07	
Start1	690.04	
Stop1	2789.84	
Kobs	0.000793102670017558	
Error Kobs	8.19128308133241E-06	
Koff	0.13057528583166	
Error Koff	0.0120252790946246	
Time1	Data1	Fit1	
690.04	0.01663031	0.01663031	
690.24	0.01635244	0.01690649	
690.44	0.01646696	0.01718004	
690.64	0.01658399	0.017451	
690.84	0.0165887	0.01771938	
691.04	0.01643611	0.01798521	
691.24	0.01680868	0.01824853	
691.44	0.01699837	0.01850936	
691.64	0.01761973	0.01876772	
691.84	0.01793278	0.01902364	
692.04	0.01851061	0.01927714	
692.24	0.01906069	0.01952826	
692.44	0.01964469	0.01977701	
692.64	0.02038185	0.02002342	
692.84	0.02068469	0.02026751	
693.04	0.02142256	0.02050931	
693.24	0.02198082	0.02074884	
693.44	0.02263632	0.02098613	
693.64	0.02247051	0.02122119	
693.84	0.02251211	0.02145406	
694.04	0.02268758	0.02168475	
694.24	0.02321126	0.02191329	
694.44	0.023339	0.0221397	
694.64	0.02368326	0.022364	
694.84	0.02426603	0.02258621	
695.04	0.02458349	0.02280636	
695.24	0.02483027	0.02302447	
695.44	0.02496149	0.02324055	
695.64	0.02533836	0.02345463	
695.84	0.0252278	0.02366674	
696.04	0.02556812	0.02387688	
696.24	0.02573005	0.02408508	
696.44	0.02601115	0.02429137	
696.64	0.02646494	0.02449575	
696.84	0.02719926	0.02469826	
697.04	0.02745106	0.0248989	
697.24	0.02718738	0.02509771	
697.44	0.02711121	0.02529469	
697.64	0.02700182	0.02548987	
697.84	0.02719216	0.02568327	
698.04	0.02739859	0.0258749	
698.24	0.0276783	0.02606479	
698.44	0.02767633	0.02625294	
698.64	0.02838106	0.02643939	
698.84	0.02863539	0.02662414	
699.04	0.02825169	0.02680722	
699.24	0.02840257	0.02698864	
699.44	0.02852961	0.02716842	
699.64	0.02942195	0.02734657	
699.84	0.02980612	0.02752312	
700.04	0.03019157	0.02769808	
700.24	0.03044609	0.02787147	
700.44	0.03054152	0.02804329	
700.64	0.03110352	0.02821358	
700.84	0.03135642	0.02838234	
701.04	0.03129276	0.02854959	
701.24	0.03151563	0.02871535	
701.44	0.03182649	0.02887963	
701.64	0.03208628	0.02904245	
701.84	0.03223456	0.02920382	
702.04	0.03181935	0.02936376	
702.24	0.03141356	0.02952228	
702.44	0.03137333	0.0296794	
702.64	0.03134332	0.02983513	
702.84	0.03112221	0.02998948	
703.04	0.03089869	0.03014248	
703.24	0.03108017	0.03029413	
703.44	0.03104331	0.03044445	
703.64	0.03196642	0.03059345	
703.84	0.03193786	0.03074115	
704.04	0.03192416	0.03088755	
704.24	0.03212536	0.03103268	
704.44	0.03183425	0.03117655	
704.64	0.03216572	0.03131916	
704.84	0.03248944	0.03146054	
705.04	0.03295485	0.0316007	
705.24	0.03312864	0.03173964	
705.44	0.03318758	0.03187738	
705.64	0.03311982	0.03201393	
705.84	0.03298413	0.03214931	
706.04	0.0328767	0.03228353	
706.24	0.03357037	0.0324166	
706.44	0.03387046	0.03254852	
706.64	0.03401121	0.03267933	
706.84	0.03428023	0.03280901	
707.04	0.03425048	0.0329376	
707.24	0.03426804	0.03306509	
707.44	0.03494987	0.0331915	
707.64	0.03561477	0.03331684	
707.84	0.03576137	0.03344112	
708.04	0.03542688	0.03356436	
708.24	0.03547389	0.03368655	
708.44	0.03556757	0.03380773	
708.64	0.03573724	0.03392789	
708.84	0.03559209	0.03404704	
709.04	0.03525978	0.0341652	
709.24	0.03534593	0.03428238	
709.44	0.03525337	0.03439858	
709.64	0.03522425	0.03451382	
709.84	0.03500491	0.0346281	
710.04	0.03470532	0.03474144	
710.24	0.03493012	0.03485385	
710.44	0.0349579	0.03496533	
710.64	0.0351841	0.0350759	
710.84	0.03576979	0.03518557	
711.04	0.03576847	0.03529433	
711.24	0.03603037	0.03540222	
711.44	0.03689499	0.03550922	
711.64	0.03693201	0.03561536	
711.84	0.03704384	0.03572064	
712.04	0.03704291	0.03582506	
712.24	0.03724636	0.03592865	
712.44	0.03741722	0.0360314	
712.64	0.03695657	0.03613333	
712.84	0.03653333	0.03623445	
713.04	0.03630648	0.03633475	
713.24	0.03617076	0.03643426	
713.44	0.03597167	0.03653298	
713.64	0.03530035	0.03663091	
713.84	0.03490411	0.03672808	
714.04	0.03471113	0.03682447	
714.24	0.03471577	0.03692011	
714.44	0.03514841	0.037015	
714.64	0.03540312	0.03710914	
714.84	0.03553112	0.03720255	
715.04	0.03574165	0.03729523	
715.24	0.0357272	0.0373872	
715.44	0.0359174	0.03747845	
715.64	0.0358158	0.03756899	
715.84	0.03637911	0.03765884	
716.04	0.0365825	0.037748	
716.24	0.0366478	0.03783648	
716.44	0.03729958	0.03792428	
716.64	0.03769702	0.03801141	
716.84	0.03760382	0.03809787	
717.04	0.03761791	0.03818369	
717.24	0.03780511	0.03826885	
717.44	0.03847828	0.03835338	
717.64	0.03878755	0.03843726	
717.84	0.03922513	0.03852052	
718.04	0.03933158	0.03860316	
718.24	0.03941722	0.03868518	
718.44	0.03988517	0.03876659	
718.64	0.03977962	0.0388474	
718.84	0.03943033	0.03892761	
719.04	0.03968978	0.03900724	
719.24	0.03937675	0.03908627	
719.44	0.03938239	0.03916473	
719.64	0.03928676	0.03924262	
719.84	0.03944288	0.03931994	
720.04	0.03942326	0.0393967	
720.24	0.03938572	0.03947291	
720.44	0.03979292	0.03954856	
720.64	0.03996939	0.03962368	
720.84	0.04001	0.03969825	
721.04	0.04035097	0.0397723	
721.24	0.04034287	0.03984581	
721.44	0.04027525	0.03991881	
721.64	0.0401767	0.03999129	
721.84	0.03980039	0.04006326	
722.04	0.03958716	0.04013472	
722.24	0.03920881	0.04020568	
722.44	0.03932058	0.04027615	
722.64	0.03905364	0.04034613	
722.84	0.03881321	0.04041563	
723.04	0.03882912	0.04048464	
723.24	0.03923947	0.04055318	
723.44	0.0392146	0.04062125	
723.64	0.0395093	0.04068886	
723.84	0.0390964	0.040756	
724.04	0.0389085	0.04082269	
724.24	0.03937653	0.04088893	
724.44	0.03989701	0.04095473	
724.64	0.04071858	0.04102008	
724.84	0.04100658	0.04108499	
725.04	0.04132334	0.04114948	
725.24	0.04131013	0.04121353	
725.44	0.04192697	0.04127716	
725.64	0.04210998	0.04134037	
725.84	0.04216963	0.04140317	
726.04	0.04216868	0.04146556	
726.24	0.04224259	0.04152754	
726.44	0.04248738	0.04158912	
726.64	0.04203321	0.0416503	
726.84	0.04215761	0.04171109	
727.04	0.04188271	0.04177149	
727.24	0.04194187	0.0418315	
727.44	0.04137732	0.04189113	
727.64	0.04076979	0.04195038	
727.84	0.04029387	0.04200926	
728.04	0.0403164	0.04206777	
728.24	0.04057026	0.04212591	
728.44	0.04067135	0.04218369	
728.64	0.04080541	0.04224111	
728.84	0.04103886	0.04229818	
729.04	0.04157376	0.04235489	
729.24	0.04156137	0.04241126	
729.44	0.04219431	0.04246728	
729.64	0.04219413	0.04252296	
729.84	0.04269129	0.04257831	
730.04	0.04251556	0.04263332	
730.24	0.04307448	0.042688	
730.44	0.04273148	0.04274236	
730.64	0.04250355	0.04279639	
730.84	0.04234342	0.0428501	
731.04	0.04160754	0.04290349	
731.24	0.04194217	0.04295657	
731.44	0.04211525	0.04300935	
731.64	0.04222389	0.04306181	
731.84	0.04229733	0.04311397	
732.04	0.04211025	0.04316583	
732.24	0.04213016	0.04321739	
732.44	0.04239409	0.04326865	
732.64	0.0423822	0.04331963	
732.84	0.04264047	0.04337031	
733.04	0.04262963	0.04342071	
733.24	0.04292873	0.04347083	
733.44	0.04344268	0.04352067	
733.64	0.04398563	0.04357023	
733.84	0.04388517	0.04361952	
734.04	0.0436592	0.04366853	
734.24	0.0438035	0.04371728	
734.44	0.04333477	0.04376576	
734.64	0.04341463	0.04381398	
734.84	0.04313154	0.04386194	
735.04	0.04335973	0.04390964	
735.24	0.0438005	0.04395708	
735.44	0.04368135	0.04400428	
735.64	0.04381717	0.04405122	
735.84	0.04334524	0.04409791	
736.04	0.04382288	0.04414437	
736.24	0.04342796	0.04419057	
736.44	0.0429035	0.04423654	
736.64	0.04270394	0.04428228	
736.84	0.04292221	0.04432777	
737.04	0.04265215	0.04437304	
737.24	0.04261467	0.04441807	
737.44	0.0424551	0.04446288	
737.64	0.04267777	0.04450746	
737.84	0.04226387	0.04455182	
738.04	0.04246804	0.04459596	
738.24	0.04259257	0.04463988	
738.44	0.04287713	0.04468358	
738.64	0.04312591	0.04472707	
738.84	0.04319617	0.04477035	
739.04	0.0436586	0.04481342	
739.24	0.04393618	0.04485628	
739.44	0.04458406	0.04489893	
739.64	0.04500234	0.04494138	
739.84	0.0446257	0.04498363	
740.04	0.04491033	0.04502569	
740.24	0.04467246	0.04506754	
740.44	0.04477265	0.0451092	
740.64	0.04520788	0.04515067	
740.84	0.04558182	0.04519194	
741.04	0.04536887	0.04523303	
741.24	0.04513233	0.04527392	
741.44	0.04510742	0.04531464	
741.64	0.04510229	0.04535517	
741.84	0.04546088	0.04539552	
742.04	0.04543336	0.04543568	
742.24	0.04511404	0.04547567	
742.44	0.0451817	0.04551549	
742.64	0.04519018	0.04555513	
742.84	0.04465577	0.0455946	
743.04	0.04461852	0.04563389	
743.24	0.04494316	0.04567302	
743.44	0.04503127	0.04571198	
743.64	0.04459927	0.04575078	
743.84	0.04480059	0.04578941	
744.04	0.04509929	0.04582788	
744.24	0.04521889	0.04586619	
744.44	0.04530325	0.04590434	
744.64	0.04528626	0.04594233	
744.84	0.04555731	0.04598016	
745.04	0.04529689	0.04601785	
745.24	0.04503816	0.04605538	
745.44	0.04518364	0.04609275	
745.64	0.04515973	0.04612998	
745.84	0.04522896	0.04616707	
746.04	0.04453313	0.046204	
746.24	0.0445212	0.04624079	
746.44	0.04454827	0.04627744	
746.64	0.04451099	0.04631394	
746.84	0.04406036	0.0463503	
747.04	0.04464246	0.04638653	
747.24	0.04503452	0.04642262	
747.44	0.04543528	0.04645857	
747.64	0.0456836	0.04649438	
747.84	0.04633647	0.04653006	
748.04	0.04628437	0.04656561	
748.24	0.04624829	0.04660103	
748.44	0.04621046	0.04663632	
748.64	0.04596978	0.04667148	
748.84	0.04601947	0.04670651	
749.04	0.04588527	0.04674142	
749.24	0.04589244	0.04677621	
749.44	0.04568704	0.04681087	
749.64	0.04560048	0.04684541	
749.84	0.04557191	0.04687982	
750.04	0.04531675	0.04691412	
750.24	0.0454794	0.0469483	
750.44	0.04549311	0.04698236	
750.64	0.04536598	0.04701631	
750.84	0.0453571	0.04705014	
751.04	0.04574928	0.04708386	
751.24	0.04581781	0.04711747	
751.44	0.04634325	0.04715096	
751.64	0.04649625	0.04718435	
751.84	0.04668192	0.04721763	
752.04	0.04656845	0.04725079	
752.24	0.04646611	0.04728385	
752.44	0.0466436	0.04731681	
