Conc1	1E-07	
Start1	690.04	
Stop1	2789.84	
Kobs	0.000999225090555491	
Error Kobs	1.0730132620453E-05	
Koff	0.0041001976633457	
Error Koff	926.121133822004	
Time1	Data1	Fit1	
690.04	0.00813131	0.00813131	
690.24	0.00781395	0.00837135	
690.44	0.00818928	0.00860854	
690.64	0.00840787	0.00884291	
690.84	0.00837438	0.0090745	
691.04	0.00852251	0.00930334	
691.24	0.00856428	0.00952947	
691.44	0.0089357	0.00975293	
691.64	0.00935349	0.00997375	
691.84	0.00965135	0.01019196	
692.04	0.00980909	0.0104076	
692.24	0.00990125	0.0106207	
692.44	0.00983568	0.0108313	
692.64	0.01054144	0.01103943	
692.84	0.01112348	0.01124512	
693.04	0.0122505	0.0114484	
693.24	0.01214541	0.01164931	
693.44	0.01265538	0.01184787	
693.64	0.01296426	0.01204412	
693.84	0.01310333	0.01223808	
694.04	0.01286462	0.01242979	
694.24	0.01306371	0.01261928	
694.44	0.01333812	0.01280657	
694.64	0.01326249	0.01299169	
694.84	0.0136315	0.01317468	
695.04	0.01437479	0.01335556	
695.24	0.01466418	0.01353435	
695.44	0.01502119	0.01371109	
695.64	0.01497377	0.0138858	
695.84	0.01496818	0.01405851	
696.04	0.01488867	0.01422925	
696.24	0.01508105	0.01439803	
696.44	0.0156393	0.01456489	
696.64	0.01612566	0.01472985	
696.84	0.01660898	0.01489294	
697.04	0.01691216	0.01505418	
697.24	0.01665339	0.01521359	
697.44	0.01659096	0.0153712	
697.64	0.01650061	0.01552703	
697.84	0.0160279	0.01568111	
698.04	0.01602934	0.01583345	
698.24	0.0162834	0.01598409	
698.44	0.01573058	0.01613304	
698.64	0.01559294	0.01628033	
698.84	0.01599786	0.01642597	
699.04	0.0158268	0.01656999	
699.24	0.01585699	0.01671241	
699.44	0.01559432	0.01685325	
699.64	0.01618687	0.01699253	
699.84	0.01659738	0.01713028	
700.04	0.0172188	0.01726651	
700.24	0.01761781	0.01740123	
700.44	0.0177487	0.01753448	
700.64	0.01836263	0.01766627	
700.84	0.01874303	0.01779662	
701.04	0.0186965	0.01792555	
701.24	0.01882221	0.01805307	
701.44	0.01909156	0.01817921	
701.64	0.01973071	0.01830399	
701.84	0.01965343	0.01842741	
702.04	0.01980917	0.01854951	
702.24	0.01979343	0.01867029	
702.44	0.01927191	0.01878977	
702.64	0.01916763	0.01890798	
702.84	0.01951704	0.01902492	
703.04	0.01932432	0.01914062	
703.24	0.01949946	0.01925508	
703.44	0.01957672	0.01936834	
703.64	0.02014012	0.01948039	
703.84	0.02015702	0.01959126	
704.04	0.02056826	0.01970097	
704.24	0.02074919	0.01980952	
704.44	0.02055851	0.01991694	
704.64	0.02119241	0.02002323	
704.84	0.0212115	0.02012842	
705.04	0.02139538	0.02023251	
705.24	0.02125815	0.02033553	
705.44	0.02161173	0.02043748	
705.64	0.02192791	0.02053838	
705.84	0.02146969	0.02063825	
706.04	0.02183937	0.02073709	
706.24	0.02250983	0.02083492	
706.44	0.02251891	0.02093176	
706.64	0.02278542	0.02102761	
706.84	0.02294397	0.02112249	
707.04	0.02255395	0.02121641	
707.24	0.02260161	0.02130939	
707.44	0.02242315	0.02140143	
707.64	0.02276895	0.02149255	
707.84	0.02300543	0.02158277	
708.04	0.02307682	0.02167209	
708.24	0.02307915	0.02176052	
708.44	0.023084	0.02184807	
708.64	0.02327888	0.02193477	
708.84	0.02332616	0.02202061	
709.04	0.02281108	0.02210561	
709.24	0.02259396	0.02218979	
709.44	0.02298089	0.02227314	
709.64	0.02314648	0.02235569	
709.84	0.02326459	0.02243744	
710.04	0.0230857	0.02251841	
710.24	0.0228457	0.02259859	
710.44	0.02298921	0.02267802	
710.64	0.0232701	0.02275668	
710.84	0.02376537	0.0228346	
711.04	0.02364881	0.02291178	
711.24	0.02392663	0.02298823	
711.44	0.02463778	0.02306397	
711.64	0.02546594	0.023139	
711.84	0.02560789	0.02321333	
712.04	0.02575202	0.02328697	
712.24	0.02588361	0.02335992	
712.44	0.02641828	0.02343221	
712.64	0.02616154	0.02350383	
712.84	0.02595373	0.0235748	
713.04	0.02567724	0.02364512	
713.24	0.02538016	0.0237148	
713.44	0.02531272	0.02378386	
713.64	0.02433367	0.02385229	
713.84	0.02390213	0.02392011	
714.04	0.02296303	0.02398732	
714.24	0.02294056	0.02405394	
714.44	0.02330287	0.02411997	
714.64	0.02337581	0.02418541	
714.84	0.02355998	0.02425028	
715.04	0.023197	0.02431459	
715.24	0.02301986	0.02437833	
715.44	0.02329585	0.02444152	
715.64	0.02287287	0.02450417	
715.84	0.02327415	0.02456628	
716.04	0.02355905	0.02462786	
716.24	0.02364013	0.02468891	
716.44	0.0242019	0.02474945	
716.64	0.02416722	0.02480948	
716.84	0.02382365	0.024869	
717.04	0.02364374	0.02492803	
717.24	0.02330872	0.02498656	
717.44	0.02357493	0.02504461	
717.64	0.02322509	0.02510218	
717.84	0.02374598	0.02515928	
718.04	0.02397579	0.02521592	
718.24	0.02436853	0.02527209	
718.44	0.02418751	0.02532781	
718.64	0.02428499	0.02538309	
718.84	0.02396353	0.02543792	
719.04	0.02431188	0.02549231	
719.24	0.02403885	0.02554628	
719.44	0.02442873	0.02559982	
719.64	0.02474549	0.02565293	
719.84	0.02508998	0.02570564	
720.04	0.02555142	0.02575794	
720.24	0.02611571	0.02580983	
720.44	0.02670077	0.02586132	
720.64	0.02698111	0.02591243	
720.84	0.02699476	0.02596314	
721.04	0.02715587	0.02601347	
721.24	0.02745111	0.02606342	
721.44	0.02740539	0.026113	
721.64	0.02708747	0.02616222	
721.84	0.02668518	0.02621106	
722.04	0.02659124	0.02625955	
722.24	0.02567912	0.02630769	
722.44	0.02518504	0.02635547	
722.64	0.02480733	0.02640292	
722.84	0.02413827	0.02645002	
723.04	0.02473846	0.02649678	
723.24	0.02498599	0.02654321	
723.44	0.02536917	0.02658932	
723.64	0.0252341	0.0266351	
723.84	0.02469143	0.02668056	
724.04	0.02519348	0.02672571	
724.24	0.02597717	0.02677055	
724.44	0.02632276	0.02681508	
724.64	0.02710529	0.02685931	
724.84	0.02728064	0.02690324	
725.04	0.02754257	0.02694687	
725.24	0.02779339	0.02699021	
