Conc1	1E-07	
Start1	690.02	
Stop1	2789.83	
Kobs	0.056680482216121	
Error Kobs	0.000302788663231688	
Koff	0.0385492319967277	
Error Koff	0.00155481010907313	
Time1	Data1	Fit1	
690.02	0.01411842	0.01411842	
690.22	0.01539199	0.01800615	
690.42	0.0171729	0.02185068	
690.62	0.01906908	0.0256525	
690.82	0.0212119	0.02941207	
691.02	0.02372112	0.03312989	
691.22	0.02649333	0.03680641	
691.42	0.02958005	0.04044211	
691.62	0.03279384	0.04403745	
691.82	0.03593214	0.04759288	
692.02	0.03903833	0.05110885	
692.22	0.04215467	0.0545858	
692.42	0.0447819	0.05802417	
692.62	0.04776768	0.06142441	
692.82	0.05034925	0.06478693	
693.02	0.05292503	0.06811217	
693.22	0.05610947	0.07140054	
693.42	0.05960996	0.07465247	
693.62	0.06325888	0.07786835	
693.82	0.06684653	0.0810486	
694.02	0.07000752	0.08419361	
694.22	0.07363548	0.08730379	
694.42	0.07666624	0.09037953	
694.62	0.08016848	0.09342121	
694.82	0.08309097	0.09642922	
695.02	0.08604657	0.09940394	
695.22	0.08944649	0.10234574	
695.42	0.09250346	0.105255	
695.62	0.09551767	0.10813208	
695.82	0.09828705	0.11097734	
696.02	0.10136597	0.11379114	
696.22	0.10426689	0.11657384	
696.42	0.10724666	0.11932579	
696.62	0.10974232	0.12204733	
696.82	0.11258074	0.12473881	
697.02	0.115957	0.12740056	
697.22	0.11948217	0.13003292	
697.42	0.12260325	0.13263622	
697.62	0.12651344	0.13521079	
697.82	0.1298842	0.13775696	
698.02	0.1329834	0.14027503	
698.22	0.13621247	0.14276533	
698.42	0.13905609	0.14522818	
698.62	0.14208707	0.14766387	
698.82	0.14488162	0.15007272	
699.02	0.14789097	0.15245503	
699.22	0.15089781	0.1548111	
699.42	0.15358048	0.15714122	
699.62	0.15646158	0.15944569	
699.82	0.1589825	0.16172479	
700.02	0.16148242	0.16397881	
700.22	0.16375204	0.16620804	
700.42	0.16576572	0.16841275	
700.62	0.16815312	0.17059322	
700.82	0.17109552	0.17274972	
701.02	0.1741345	0.17488252	
701.22	0.17672554	0.17699189	
701.42	0.17926931	0.17907809	
701.62	0.18213929	0.18114139	
701.82	0.18435372	0.18318204	
702.02	0.18670372	0.18520029	
702.22	0.18934546	0.18719641	
702.42	0.19271039	0.18917063	
702.62	0.19544333	0.19112321	
702.82	0.1985685	0.19305439	
703.02	0.20064847	0.19496441	
703.22	0.20301098	0.19685351	
703.42	0.2053605	0.19872192	
703.62	0.20779444	0.20056988	
703.82	0.20989746	0.20239762	
704.02	0.21170981	0.20420536	
704.22	0.21355733	0.20599333	
704.42	0.21552627	0.20776176	
704.62	0.21807661	0.20951086	
704.82	0.22045226	0.21124085	
705.02	0.22214	0.21295195	
705.22	0.22410673	0.21464437	
705.42	0.22536995	0.21631831	
705.62	0.22735949	0.217974	
705.82	0.22930493	0.21961163	
706.02	0.23169232	0.2212314	
706.22	0.23372256	0.22283352	
706.42	0.23603507	0.22441819	
706.62	0.23769684	0.22598561	
706.82	0.23915224	0.22753596	
707.02	0.24042101	0.22906944	
707.22	0.24197356	0.23058624	
707.42	0.24346001	0.23208655	
707.62	0.2452558	0.23357055	
707.82	0.24621421	0.23503843	
708.02	0.2471277	0.23649036	
708.22	0.24859085	0.23792654	
708.42	0.25029174	0.23934713	
708.62	0.25158861	0.24075231	
708.82	0.2531262	0.24214226	
709.02	0.25406591	0.24351714	
709.22	0.25628222	0.24487714	
709.42	0.25747084	0.2462224	
709.62	0.25924171	0.2475531	
709.82	0.26102449	0.24886941	
710.02	0.2624919	0.25017148	
710.22	0.26378257	0.25145948	
710.42	0.2653203	0.25273356	
710.62	0.26662674	0.25399389	
710.82	0.26716042	0.25524061	
711.02	0.26808935	0.25647388	
711.22	0.26907752	0.25769385	
711.42	0.27011071	0.25890067	
711.62	0.27104363	0.26009449	
711.82	0.2720744	0.26127546	
712.02	0.27318762	0.26244371	
712.22	0.2741329	0.2635994	
712.42	0.27479971	0.26474266	
712.62	0.27585799	0.26587364	
712.82	0.27730121	0.26699247	
713.02	0.27874526	0.26809929	
713.22	0.28002232	0.26919423	
713.42	0.28126044	0.27027743	
713.62	0.28233329	0.27134903	
713.82	0.28397749	0.27240914	
714.02	0.28490382	0.2734579	
714.22	0.286276	0.27449545	
714.42	0.28673758	0.27552189	
714.62	0.28685785	0.27653737	
714.82	0.28733291	0.277542	
715.02	0.28826276	0.2785359	
715.22	0.28884281	0.2795192	
715.42	0.28972121	0.28049202	
715.62	0.29022525	0.28145447	
715.82	0.29108619	0.28240667	
716.02	0.29131245	0.28334873	
716.22	0.2914937	0.28428078	
716.42	0.29205179	0.28520291	
716.62	0.29290091	0.28611525	
716.82	0.29374223	0.28701791	
717.02	0.29424985	0.28791098	
717.22	0.2948564	0.28879459	
717.42	0.29566248	0.28966884	
717.62	0.29630448	0.29053383	
717.82	0.29745579	0.29138966	
718.02	0.2980911	0.29223645	
718.22	0.29858574	0.29307429	
718.42	0.29862497	0.29390328	
718.62	0.29978292	0.29472352	
718.82	0.30099459	0.29553511	
719.02	0.3018793	0.29633816	
719.22	0.30231727	0.29713274	
719.42	0.30307825	0.29791897	
719.62	0.30326104	0.29869693	
719.82	0.30387983	0.29946671	
720.02	0.30470357	0.30022841	
720.22	0.30519506	0.30098213	
720.42	0.30565883	0.30172794	
720.62	0.30614365	0.30246594	
720.82	0.30676142	0.30319622	
721.02	0.30689645	0.30391886	
721.22	0.30734589	0.30463395	
721.42	0.3078328	0.30534157	
721.62	0.30821405	0.30604181	
721.82	0.30875925	0.30673476	
722.02	0.30913462	0.30742048	
722.22	0.30962098	0.30809907	
722.42	0.31052192	0.30877061	
722.62	0.31115923	0.30943517	
722.82	0.3114713	0.31009283	
723.02	0.31160641	0.31074367	
723.22	0.3124083	0.31138777	
723.42	0.31287387	0.3120252	
723.62	0.31316275	0.31265604	
723.82	0.31383672	0.31328036	
724.02	0.31507119	0.31389824	
724.22	0.31547839	0.31450974	
724.42	0.31596566	0.31511495	
724.62	0.31656441	0.31571392	
724.82	0.31726709	0.31630673	
725.02	0.31796065	0.31689346	
725.22	0.31854188	0.31747416	
725.42	0.31902642	0.31804891	
725.62	0.31914734	0.31861777	
725.82	0.31993595	0.31918081	
726.02	0.32097473	0.31973809	
726.22	0.32167061	0.32028968	
726.42	0.3217368	0.32083565	
726.62	0.32191939	0.32137605	
726.82	0.32284212	0.32191095	
727.02	0.32348165	0.32244042	
727.22	0.32405801	0.3229645	
727.42	0.32391695	0.32348327	
727.62	0.32409304	0.32399678	
727.82	0.32463561	0.32450509	
728.02	0.32498746	0.32500826	
728.22	0.32481135	0.32550635	
728.42	0.32494298	0.32599941	
728.62	0.32503793	0.32648751	
728.82	0.32549556	0.32697069	
729.02	0.32548689	0.32744901	
729.22	0.32539784	0.32792254	
729.42	0.32541485	0.32839131	
729.62	0.32556183	0.32885538	
729.82	0.32637689	0.32931482	
730.02	0.32659227	0.32976966	
730.22	0.32643882	0.33021997	
730.42	0.3263156	0.33066578	
730.62	0.32655168	0.33110716	
730.82	0.32705071	0.33154415	
731.02	0.32706312	0.3319768	
731.22	0.32716673	0.33240517	
731.42	0.32795559	0.33282929	
731.62	0.32816032	0.33324921	
731.82	0.32823321	0.333665	
732.02	0.32848603	0.33407668	
732.22	0.32883079	0.3344843	
732.42	0.3294441	0.33488792	
732.62	0.33029159	0.33528758	
732.82	0.33067289	0.33568331	
733.02	0.3309745	0.33607517	
733.22	0.33123198	0.3364632	
733.42	0.33136736	0.33684744	
733.62	0.33144168	0.33722794	
733.82	0.33201861	0.33760473	
734.02	0.33191443	0.33797786	
734.22	0.33204118	0.33834737	
734.42	0.33197723	0.3387133	
734.62	0.33177599	0.33907569	
734.82	0.33198225	0.33943457	
735.02	0.33227146	0.33979	
735.22	0.33305965	0.34014201	
735.42	0.3335265	0.34049063	
735.62	0.33372782	0.3408359	
735.82	0.33410782	0.34117787	
736.02	0.33482428	0.34151656	
736.22	0.33587933	0.34185203	
736.42	0.33653509	0.34218429	
736.62	0.33712929	0.34251339	
736.82	0.33751475	0.34283937	
737.02	0.33795612	0.34316225	
737.22	0.33781152	0.34348208	
737.42	0.33766619	0.34379888	
737.62	0.3379871	0.3441127	
737.82	0.33825379	0.34442356	
738.02	0.33817407	0.3447315	
738.22	0.33802077	0.34503655	
738.42	0.33773208	0.34533874	
738.62	0.33751642	0.34563811	
738.82	0.33774758	0.34593468	
739.02	0.33869432	0.3462285	
739.22	0.33908212	0.34651958	
739.42	0.33959119	0.34680796	
739.62	0.33968189	0.34709368	
739.82	0.33956228	0.34737675	
740.02	0.33982933	0.34765722	
740.22	0.34046072	0.3479351	
740.42	0.34091262	0.34821043	
740.62	0.34151118	0.34848324	
740.82	0.34191026	0.34875355	
741.02	0.34202453	0.3490214	
741.22	0.34232513	0.3492868	
741.42	0.34243853	0.3495498	
741.62	0.34265791	0.3498104	
741.82	0.3427996	0.35006866	
742.02	0.34331832	0.35032457	
742.22	0.34359725	0.35057819	
742.42	0.3440608	0.35082952	
742.62	0.34421174	0.3510786	
742.82	0.34467027	0.35132545	
743.02	0.34533772	0.3515701	
743.22	0.34531148	0.35181256	
743.42	0.34514372	0.35205288	
743.62	0.34450851	0.35229106	
743.82	0.34477335	0.35252713	
744.02	0.34472181	0.35276112	
744.22	0.34522258	0.35299305	
744.42	0.34535431	0.35322295	
744.62	0.34480255	0.35345083	
744.82	0.3447918	0.35367672	
745.02	0.34541412	0.35390064	
745.22	0.34531112	0.35412261	
745.42	0.34506837	0.35434266	
745.62	0.3453699	0.3545608	
745.82	0.34567614	0.35477706	
746.02	0.3460238	0.35499146	
746.22	0.34631022	0.35520402	
746.42	0.34677434	0.35541476	
746.62	0.34692578	0.35562369	
746.82	0.3471912	0.35583085	
747.02	0.34779962	0.35603625	
747.22	0.34809186	0.35623991	
747.42	0.34826748	0.35644185	
747.62	0.34872385	0.35664209	
747.82	0.34939638	0.35684065	
748.02	0.34949548	0.35703754	
748.22	0.34947276	0.35723279	
748.42	0.34945186	0.35742641	
748.62	0.34974785	0.35761843	
748.82	0.35065025	0.35780885	
749.02	0.3506624	0.3579977	
749.22	0.35014266	0.358185	
749.42	0.35047007	0.35837076	
749.62	0.35107256	0.35855499	
749.82	0.35074638	0.35873773	
750.02	0.35084246	0.35891898	
750.22	0.3508555	0.35909876	
750.42	0.35096378	0.35927708	
750.62	0.35082773	0.35945397	
