Conc1	1E-07	
Start1	690.02	
Stop1	2789.83	
Kobs	0.0013827313005384	
Error Kobs	4.38955840558243E-06	
Koff	0.00297290149362234	
Error Koff	NaN	
Time1	Data1	Fit1	
690.02	0.00370551	0.00370551	
690.22	0.00547424	0.0046416	
690.42	0.00720387	0.00554162	
690.62	0.0087601	0.00640706	
690.82	0.01046161	0.00723934	
691.02	0.01156792	0.00803982	
691.22	0.01289906	0.00880982	
691.42	0.01430671	0.00955057	
691.62	0.01491454	0.01026329	
691.82	0.01548682	0.01094912	
692.02	0.01585403	0.01160917	
692.22	0.01610769	0.0122445	
692.42	0.01603346	0.01285612	
692.62	0.01601811	0.01344501	
692.82	0.01607817	0.0140121	
693.02	0.01613124	0.01455829	
693.22	0.016341	0.01508443	
693.42	0.01655503	0.01559134	
693.62	0.01693844	0.01607982	
693.82	0.01732648	0.01655063	
694.02	0.01777219	0.01700449	
694.22	0.01832235	0.01744209	
694.42	0.01824175	0.0178641	
694.62	0.01854798	0.01827117	
694.82	0.01882441	0.01866391	
695.02	0.0186653	0.01904289	
695.22	0.01929951	0.0194087	
695.42	0.01926579	0.01976187	
695.62	0.01914643	0.02010292	
695.82	0.01977656	0.02043234	
696.02	0.02010075	0.02075062	
696.22	0.02024897	0.02105821	
696.42	0.01987571	0.02135555	
696.62	0.01977173	0.02164306	
696.82	0.02001097	0.02192114	
697.02	0.02016521	0.02219018	
697.22	0.02054892	0.02245056	
697.42	0.02032751	0.02270262	
697.62	0.02094797	0.02294671	
697.82	0.02108374	0.02318315	
698.02	0.02137146	0.02341227	
698.22	0.02196516	0.02363435	
698.42	0.02246465	0.02384969	
698.62	0.02320501	0.02405856	
698.82	0.02386182	0.02426123	
699.02	0.02409699	0.02445796	
699.22	0.02423573	0.02464898	
699.42	0.02462075	0.02483453	
699.62	0.02510115	0.02501484	
699.82	0.02544318	0.02519012	
700.02	0.02492067	0.02536057	
700.22	0.02448421	0.0255264	
700.42	0.02451232	0.02568779	
700.62	0.02446676	0.02584492	
700.82	0.02461307	0.02599798	
701.02	0.02493419	0.02614712	
701.22	0.02492234	0.0262925	
701.42	0.02525222	0.02643429	
701.62	0.02536069	0.02657262	
701.82	0.02527203	0.02670764	
702.02	0.02539426	0.02683948	
702.22	0.02595144	0.02696828	
702.42	0.02699615	0.02709416	
702.62	0.02738699	0.02721723	
702.82	0.02785599	0.02733762	
703.02	0.02773948	0.02745542	
703.22	0.02808615	0.02757076	
703.42	0.02880033	0.02768372	
703.62	0.02902809	0.02779441	
703.82	0.02874822	0.02790292	
704.02	0.02829227	0.02800933	
704.22	0.02811942	0.02811374	
704.42	0.02857107	0.02821621	
704.62	0.02859664	0.02831685	
704.82	0.02882149	0.02841571	
705.02	0.02898977	0.02851287	
705.22	0.02877226	0.0286084	
705.42	0.02851683	0.02870236	
705.62	0.02833948	0.02879483	
705.82	0.02862773	0.02888585	
706.02	0.02847214	0.0289755	
706.22	0.02883666	0.02906382	
706.42	0.02910733	0.02915086	
706.62	0.0289197	0.02923669	
706.82	0.02858694	0.02932135	
707.02	0.02844719	0.02940489	
707.22	0.02872874	0.02948734	
707.42	0.02864507	0.02956877	
707.62	0.02862839	0.0296492	
707.82	0.02828607	0.02972868	
708.02	0.0283082	0.02980725	
708.22	0.02857641	0.02988494	
708.42	0.02888814	0.02996179	
708.62	0.02919912	0.03003784	
708.82	0.02923224	0.03011311	
709.02	0.02950206	0.03018763	
709.22	0.03027731	0.03026144	
709.42	0.0302089	0.03033457	
709.62	0.0308736	0.03040704	
709.82	0.03114483	0.03047888	
710.02	0.03081641	0.03055012	
710.22	0.03113005	0.03062077	
710.42	0.03097248	0.03069086	
710.62	0.03094198	0.03076042	
710.82	0.03021377	0.03082947	
711.02	0.03007901	0.03089802	
711.22	0.02995683	0.03096609	
711.42	0.02954619	0.03103371	
711.62	0.02962093	0.0311009	
711.82	0.0298309	0.03116766	
712.02	0.03016838	0.03123402	
712.22	0.03014972	0.03129999	
712.42	0.02989726	0.03136559	
712.62	0.03042932	0.03143083	
712.82	0.03066798	0.03149573	
713.02	0.03135733	0.0315603	
713.22	0.03194727	0.03162455	
713.42	0.03208306	0.0316885	
713.62	0.03276642	0.03175215	
713.82	0.03313496	0.03181552	
714.02	0.03313452	0.03187862	
714.22	0.0334133	0.03194146	
714.42	0.03288194	0.03200406	
714.62	0.03273387	0.03206641	
714.82	0.03218593	0.03212853	
715.02	0.03220454	0.03219042	
715.22	0.03205677	0.03225211	
715.42	0.03242359	0.03231359	
715.62	0.0325682	0.03237487	
715.82	0.03267869	0.03243596	
716.02	0.03257118	0.03249686	
716.22	0.03207736	0.03255759	
716.42	0.03217709	0.03261815	
716.62	0.03254008	0.03267855	
716.82	0.03312199	0.03273879	
717.02	0.03363678	0.03279888	
717.22	0.03432472	0.03285882	
717.42	0.03437009	0.03291862	
717.62	0.03459504	0.03297829	
717.82	0.03503481	0.03303783	
718.02	0.03529995	0.03309724	
718.22	0.03485852	0.03315653	
718.42	0.03448347	0.0332157	
718.62	0.03461067	0.03327476	
718.82	0.03456661	0.03333371	
719.02	0.03497746	0.03339255	
719.22	0.03480266	0.0334513	
719.42	0.03498272	0.03350995	
719.62	0.03430143	0.0335685	
719.82	0.03398645	0.03362696	
720.02	0.03364257	0.03368533	
720.22	0.03332822	0.03374362	
720.42	0.03331702	0.03380183	
720.62	0.03318911	0.03385995	
720.82	0.03350329	0.033918	
721.02	0.0335314	0.03397598	
721.22	0.03345263	0.03403388	
721.42	0.03311708	0.03409172	
721.62	0.03328804	0.03414948	
721.82	0.03363106	0.03420718	
722.02	0.03362892	0.03426482	
722.22	0.03314004	0.0343224	
722.42	0.03332449	0.03437992	
722.62	0.03353499	0.03443738	
722.82	0.03424172	0.03449478	
723.02	0.03462711	0.03455213	
723.22	0.03469921	0.03460943	
723.42	0.03522365	0.03466668	
723.62	0.03532873	0.03472387	
723.82	0.03617244	0.03478102	
724.02	0.03709649	0.03483812	
724.22	0.03752802	0.03489518	
724.42	0.03817793	0.03495219	
724.62	0.03821942	0.03500916	
724.82	0.03885613	0.03506609	
725.02	0.03888645	0.03512298	
725.22	0.03862017	0.03517982	
725.42	0.03840961	0.03523663	
725.62	0.03805789	0.0352934	
725.82	0.03770766	0.03535013	
726.02	0.03751184	0.03540683	
726.22	0.03704918	0.03546349	
726.42	0.03690099	0.03552012	
726.62	0.03670036	0.03557671	
726.82	0.03726692	0.03563327	
727.02	0.03689445	0.0356898	
727.22	0.03700919	0.03574629	
727.42	0.03730373	0.03580276	
727.62	0.03725952	0.0358592	
727.82	0.03804934	0.0359156	
728.02	0.03855713	0.03597198	
728.22	0.03874029	0.03602833	
728.42	0.03857908	0.03608465	
728.62	0.03829268	0.03614094	
728.82	0.0383871	0.03619721	
729.02	0.03781053	0.03625345	
729.22	0.03760303	0.03630966	
729.42	0.03724017	0.03636585	
729.62	0.03714269	0.03642201	
729.82	0.03741938	0.03647815	
730.02	0.03774585	0.03653427	
730.22	0.03727543	0.03659036	
730.42	0.03720643	0.03664642	
730.62	0.03677711	0.03670247	
730.82	0.03699764	0.03675849	
731.02	0.03668289	0.03681449	
731.22	0.03689373	0.03687046	
731.42	0.03719533	0.03692641	
731.62	0.03698963	0.03698235	
731.82	0.03738995	0.03703826	
732.02	0.03748018	0.03709414	
732.22	0.03741084	0.03715001	
732.42	0.0367556	0.03720586	
732.62	0.03708501	0.03726169	
732.82	0.03696914	0.03731749	
733.02	0.03701498	0.03737328	
733.22	0.03714583	0.03742905	
733.42	0.0373754	0.03748479	
733.62	0.03733907	0.03754052	
733.82	0.03753311	0.03759623	
734.02	0.03710535	0.03765191	
734.22	0.03668208	0.03770758	
734.42	0.03648494	0.03776323	
734.62	0.03588804	0.03781887	
734.82	0.03635355	0.03787448	
735.02	0.03659316	0.03793007	
735.22	0.03749018	0.03798565	
735.42	0.03799944	0.03804121	
735.62	0.03837296	0.03809675	
735.82	0.03896223	0.03815227	
736.02	0.03940559	0.03820777	
736.22	0.04012044	0.03826326	
736.42	0.03988721	0.03831873	
736.62	0.04061481	0.03837418	
736.82	0.04099274	0.03842961	
737.02	0.0410364	0.03848503	
737.22	0.04083617	0.03854043	
737.42	0.04031347	0.03859581	
737.62	0.03975516	0.03865118	
737.82	0.03969658	0.03870652	
738.02	0.03928089	0.03876186	
738.22	0.03905437	0.03881717	
738.42	0.03850596	0.03887247	
738.62	0.03803823	0.03892775	
738.82	0.03853827	0.03898301	
739.02	0.0392097	0.03903826	
739.22	0.03937756	0.03909349	
739.42	0.03938492	0.0391487	
739.62	0.03914222	0.0392039	
739.82	0.03903825	0.03925908	
740.02	0.03910653	0.03931425	
740.22	0.03922235	0.03936939	
740.42	0.03918733	0.03942453	
740.62	0.04005078	0.03947964	
740.82	0.04001846	0.03953474	
741.02	0.03966732	0.03958983	
741.22	0.03982446	0.0396449	
741.42	0.03972949	0.03969995	
741.62	0.03989126	0.03975498	
741.82	0.03998883	0.03981	
742.02	0.04032386	0.03986501	
742.22	0.04045853	0.03992	
742.42	0.0407904	0.03997497	
742.62	0.04073328	0.04002992	
742.82	0.04129946	0.04008486	
743.02	0.04161812	0.04013979	
743.22	0.04119423	0.0401947	
