Conc1	1E-07	
Start1	690.02	
Stop1	2789.83	
Kobs	0.0810226259250141	
Error Kobs	0.000360327382060309	
Koff	0.0598470873255663	
Error Koff	0.00111625125239533	
Time1	Data1	Fit1	
690.02	0.0061692	0.0061692	
690.22	0.00800985	0.01007246	
690.42	0.01022549	0.01391363	
690.62	0.01218476	0.01769371	
690.82	0.0148133	0.02141368	
691.02	0.01771793	0.02507451	
691.22	0.02085895	0.02867714	
691.42	0.0244156	0.03222253	
691.62	0.02789252	0.03571157	
691.82	0.0309704	0.03914519	
692.02	0.03398508	0.04252426	
692.22	0.03688852	0.04584967	
692.42	0.0392625	0.04912229	
692.62	0.04192791	0.05234295	
692.82	0.04444059	0.05551249	
693.02	0.04724393	0.05863174	
693.22	0.0500319	0.0617015	
693.42	0.05281238	0.06472257	
693.62	0.05545341	0.06769573	
693.82	0.05858306	0.07062176	
694.02	0.06185086	0.0735014	
694.22	0.06512761	0.07633541	
694.42	0.06786209	0.07912451	
694.62	0.07085109	0.08186943	
694.82	0.07426974	0.08457089	
695.02	0.07745374	0.08722957	
695.22	0.08093765	0.08984617	
695.42	0.08380002	0.09242136	
695.62	0.0863987	0.09495581	
695.82	0.0891103	0.09745017	
696.02	0.09163604	0.09990508	
696.22	0.09411002	0.10232119	
696.42	0.09691257	0.10469912	
696.62	0.09942858	0.10703947	
696.82	0.10234196	0.10934285	
697.02	0.1053132	0.11160986	
697.22	0.10809824	0.11384108	
697.42	0.11045797	0.11603709	
697.62	0.11344543	0.11819845	
697.82	0.1161431	0.12032572	
698.02	0.11882041	0.12241944	
698.22	0.12174324	0.12448016	
698.42	0.12429728	0.12650841	
698.62	0.12688377	0.12850471	
698.82	0.12946041	0.13046957	
699.02	0.13198709	0.13240349	
699.22	0.1342082	0.13430698	
699.42	0.13638794	0.13618053	
699.62	0.13883224	0.13802461	
699.82	0.14080984	0.13983969	
700.02	0.14227757	0.14162626	
700.22	0.14413036	0.14338475	
700.42	0.14608418	0.14511563	
700.62	0.1477574	0.14681934	
700.82	0.15008251	0.14849631	
701.02	0.15215755	0.15014697	
701.22	0.15390506	0.15177175	
701.42	0.15556547	0.15337107	
701.62	0.15699242	0.15494533	
701.82	0.15831741	0.15649493	
702.02	0.16022686	0.15802027	
702.22	0.16223623	0.15952175	
702.42	0.16444799	0.16099974	
