Conc1	1E-07	
Start1	690.02	
Stop1	2789.83	
Kobs	0.0871711755562757	
Error Kobs	0.000416044488853877	
Koff	0.0028124419829909	
Error Koff	2.20614100231294E-05	
Time1	Data1	Fit1	
690.02	0.00888333	0.00888333	
690.22	0.01029237	0.01273518	
690.42	0.01225674	0.01652116	
690.62	0.01405006	0.02024241	
690.82	0.01660187	0.02390006	
691.02	0.01913943	0.0274952	
691.22	0.02179657	0.03102891	
691.42	0.02527247	0.03450225	
691.62	0.0284362	0.03791627	
691.82	0.03158014	0.04127199	
692.02	0.0345844	0.04457042	
692.22	0.03770937	0.04781255	
692.42	0.04031482	0.05099935	
692.62	0.04376171	0.05413178	
692.82	0.04669688	0.05721078	
693.02	0.04969142	0.06023727	
693.22	0.05284672	0.06321216	
693.42	0.05580359	0.06613634	
693.62	0.05856933	0.06901068	
693.82	0.0614305	0.07183606	
694.02	0.06406417	0.07461331	
694.22	0.06759023	0.07734327	
694.42	0.07051824	0.08002675	
694.62	0.07360072	0.08266455	
694.82	0.07668084	0.08525748	
695.02	0.07923999	0.08780629	
695.22	0.0824427	0.09031176	
695.42	0.08551556	0.09277463	
695.62	0.08768922	0.09519565	
695.82	0.09062544	0.09757552	
696.02	0.09304058	0.09991497	
696.22	0.09571708	0.10221469	
696.42	0.0982716	0.10447537	
696.62	0.10092371	0.10669768	
696.82	0.10331391	0.10888229	
697.02	0.10617704	0.11102985	
697.22	0.10865778	0.113141	
697.42	0.11069961	0.11521636	
697.62	0.11314087	0.11725656	
697.82	0.11588562	0.11926221	
698.02	0.1184065	0.12123389	
698.22	0.12147001	0.1231722	
698.42	0.12400613	0.12507772	
698.62	0.12666729	0.12695101	
698.82	0.12911155	0.12879263	
699.02	0.13167886	0.13060312	
699.22	0.1341674	0.13238302	
699.42	0.13600313	0.13413287	
699.62	0.1382584	0.13585318	
699.82	0.14054898	0.13754446	
700.02	0.14214026	0.13920722	
700.22	0.14412083	0.14084194	
700.42	0.14568838	0.14244911	
700.62	0.14764708	0.14402921	
700.82	0.14980293	0.1455827	
701.02	0.15178547	0.14711005	
701.22	0.15362062	0.14861171	
701.42	0.15546275	0.15008811	
701.62	0.15712021	0.15153971	
701.82	0.15866334	0.15296691	
702.02	0.15994023	0.15437016	
702.22	0.1616041	0.15574985	
702.42	0.1632919	0.15710641	
702.62	0.16456932	0.15844022	
702.82	0.16657113	0.15975168	
703.02	0.16732928	0.16104118	
703.22	0.1682521	0.1623091	
703.42	0.16923318	0.1635558	
703.62	0.17060422	0.16478166	
703.82	0.17170131	0.16598704	
704.02	0.17235238	0.16717229	
704.22	0.17332797	0.16833776	
704.42	0.17421763	0.16948378	
704.62	0.17584734	0.1706107	
704.82	0.17746697	0.17171885	
705.02	0.1785705	0.17280855	
705.22	0.17944906	0.17388012	
705.42	0.18001021	0.17493387	
