Conc1	1E-07	
Start1	690.02	
Stop1	2789.83	
Kobs	0.00111166894643679	
Error Kobs	1.31135691410233E-05	
Koff	0.0446990169202392	
Error Koff	0.00214004743147015	
Time1	Data1	Fit1	
690.02	-0.00047365	-0.00047365	
690.22	0.00145531	0.00355653	
690.42	0.00362984	0.00753735	
690.62	0.00616279	0.01146942	
690.82	0.00907515	0.01535333	
691.02	0.01247323	0.0191897	
691.22	0.01598978	0.02297911	
691.42	0.01924809	0.02672214	
691.62	0.02271581	0.03041936	
691.82	0.0258901	0.03407135	
692.02	0.02921624	0.03767867	
692.22	0.0325154	0.04124186	
692.42	0.03573319	0.04476149	
692.62	0.03915249	0.04823807	
692.82	0.04239823	0.05167216	
693.02	0.04515357	0.05506428	
693.22	0.04891554	0.05841495	
693.42	0.05208998	0.06172468	
693.62	0.05504642	0.06499398	
693.82	0.05846594	0.06822335	
694.02	0.06154936	0.07141329	
694.22	0.06478733	0.07456428	
694.42	0.06758247	0.07767682	
694.62	0.0709666	0.08075137	
694.82	0.07395815	0.0837884	
695.02	0.07680041	0.08678839	
695.22	0.07947244	0.08975179	
695.42	0.08178902	0.09267906	
695.62	0.08423386	0.09557063	
695.82	0.08699767	0.09842697	
696.02	0.09015981	0.1012485	
696.22	0.09338192	0.10403565	
696.42	0.09677446	0.10678885	
696.62	0.09980609	0.10950853	
696.82	0.10297481	0.11219509	
697.02	0.10637678	0.11484896	
697.22	0.11001251	0.11747052	
697.42	0.1126161	0.12006019	
697.62	0.11580124	0.12261836	
697.82	0.11927189	0.12514542	
698.02	0.12263918	0.12764176	
698.22	0.12587895	0.13010776	
698.42	0.1286978	0.13254379	
698.62	0.13166401	0.13495022	
698.82	0.13448638	0.13732743	
699.02	0.1371627	0.13967577	
699.22	0.13952679	0.1419956	
699.42	0.14180031	0.14428728	
699.62	0.14423148	0.14655116	
699.82	0.14719894	0.14878757	
700.02	0.14958004	0.15099687	
700.22	0.15240144	0.15317938	
700.42	0.15507308	0.15533544	
700.62	0.15788907	0.15746538	
700.82	0.16118523	0.15956952	
701.02	0.16393302	0.16164818	
701.22	0.16677267	0.16370168	
701.42	0.1693564	0.16573032	
701.62	0.17196695	0.16773443	
701.82	0.17445487	0.16971429	
702.02	0.17681261	0.17167021	
702.22	0.17912375	0.1736025	
702.42	0.18146686	0.17551143	
702.62	0.18350318	0.17739731	
702.82	0.18585289	0.17926042	
703.02	0.18789628	0.18110103	
703.22	0.19008423	0.18291943	
703.42	0.19237923	0.1847159	
703.62	0.19475963	0.1864907	
703.82	0.19695093	0.1882441	
704.02	0.19838816	0.18997638	
704.22	0.2004756	0.19168779	
704.42	0.20236751	0.19337858	
704.62	0.20488421	0.19504903	
704.82	0.20720937	0.19669937	
705.02	0.20875911	0.19832986	
705.22	0.21098457	0.19994074	
705.42	0.21226804	0.20153226	
705.62	0.21420342	0.20310466	
705.82	0.21642285	0.20465817	
706.02	0.21825872	0.20619302	
706.22	0.21972387	0.20770946	
706.42	0.22119505	0.2092077	
706.62	0.22257778	0.21068798	
706.82	0.22381529	0.21215052	
707.02	0.22546705	0.21359553	
707.22	0.2268534	0.21502323	
707.42	0.22822661	0.21643384	
707.62	0.22931001	0.21782757	
707.82	0.23011312	0.21920463	
708.02	0.23058654	0.22056522	
708.22	0.2319967	0.22190956	
708.42	0.23331758	0.22323783	
708.62	0.23452788	0.22455025	
708.82	0.2357805	0.225847	
709.02	0.23655204	0.22712828	
709.22	0.23859495	0.22839429	
709.42	0.23957412	0.22964521	
709.62	0.24143186	0.23088123	
709.82	0.24315202	0.23210253	
710.02	0.2438984	0.2333093	
710.22	0.24532031	0.23450171	
710.42	0.24643545	0.23567995	
710.62	0.24710825	0.23684419	
710.82	0.24744229	0.2379946	
711.02	0.24829538	0.23913136	
711.22	0.24905867	0.24025463	
711.42	0.25001633	0.24136459	
711.62	0.25096131	0.24246139	
711.82	0.25209417	0.2435452	
712.02	0.25301981	0.24461618	
712.22	0.25418227	0.24567449	
712.42	0.25501274	0.24672028	
712.62	0.25574494	0.24775372	
712.82	0.25669613	0.24877495	
713.02	0.25773559	0.24978413	
713.22	0.25907798	0.25078141	
713.42	0.2599964	0.25176693	
713.62	0.26081084	0.25274083	
713.82	0.26218542	0.25370327	
714.02	0.26320071	0.25465439	
714.22	0.26434332	0.25559432	
714.42	0.26454094	0.2565232	
714.62	0.26442123	0.25744118	
714.82	0.26459483	0.25834838	
715.02	0.26506832	0.25924494	
715.22	0.26594079	0.26013099	
715.42	0.26712331	0.26100666	
715.62	0.26827064	0.26187208	
715.82	0.26889032	0.26272738	
716.02	0.26916601	0.26357268	
716.22	0.26962527	0.26440811	
716.42	0.27014885	0.26523379	
716.62	0.27079564	0.26604984	
716.82	0.27170419	0.26685637	
717.02	0.27280656	0.26765352	
717.22	0.2735577	0.26844138	
717.42	0.27411314	0.26922009	
717.62	0.27433236	0.26998974	
717.82	0.27572291	0.27075046	
718.02	0.27653958	0.27150236	
718.22	0.27673463	0.27224554	
718.42	0.27680954	0.27298011	
718.62	0.27689753	0.27370618	
718.82	0.27758663	0.27442385	
719.02	0.27858124	0.27513323	
719.22	0.27972565	0.27583442	
719.42	0.2806259	0.27652752	
719.62	0.28076244	0.27721264	
719.82	0.28079007	0.27788986	
720.02	0.28082733	0.2785593	
720.22	0.28152475	0.27922104	
720.42	0.28195617	0.27987518	
720.62	0.28227627	0.28052182	
720.82	0.28274124	0.28116104	
721.02	0.28291227	0.28179294	
721.22	0.28276533	0.28241762	
721.42	0.28287247	0.28303515	
