Conc1	1E-06	
Start1	690.04	
Stop1	2789.84	
Kobs	0.212530310796409	
Error Kobs	0.00462763820423053	
Koff	0.00284185930913767	
Error Koff	2.33880318863732E-05	
Time1	Data1	Fit1	
690.04	0.03713381	0.03713381	
690.24	0.0555377	0.05528597	
690.44	0.07580898	0.07269262	
690.64	0.09865459	0.08938478	
690.84	0.12271002	0.10539219	
691.04	0.14772325	0.12074333	
691.24	0.17277431	0.1354655	
691.44	0.19706262	0.14958487	
691.64	0.21983037	0.16312652	
691.84	0.24017052	0.17611449	
692.04	0.25739435	0.18857181	
692.24	0.27065981	0.20052056	
692.44	0.28181367	0.21198189	
692.64	0.29119982	0.22297608	
692.84	0.29945597	0.23352257	
693.04	0.30645126	0.24363997	
693.24	0.3125846	0.25334615	
693.44	0.31849899	0.26265819	
693.64	0.32361391	0.27159251	
693.84	0.32870798	0.28016481	
694.04	0.33316273	0.28839015	
694.24	0.33702976	0.29628297	
694.44	0.3403868	0.30385708	
694.64	0.34460474	0.31112576	
694.84	0.34780757	0.3181017	
695.04	0.35118129	0.32479708	
695.24	0.35403139	0.33122357	
695.44	0.35677326	0.33739235	
695.64	0.35940537	0.34331413	
695.84	0.36220379	0.3489992	
696.04	0.36470094	0.3544574	
696.24	0.36745857	0.35969815	
696.44	0.36975265	0.3647305	
696.64	0.37203088	0.36956313	
696.84	0.37454594	0.37420432	
697.04	0.37656453	0.37866205	
697.24	0.37887372	0.38294393	
697.44	0.38107341	0.38705729	
697.64	0.38292131	0.39100912	
697.84	0.38458501	0.39480615	
698.04	0.3858258	0.39845481	
698.24	0.38715009	0.40196126	
698.44	0.38888653	0.40533142	
698.64	0.39062767	0.40857095	
698.84	0.39165092	0.41168528	
699.04	0.39345498	0.41467961	
699.24	0.39460813	0.41755894	
699.44	0.39637539	0.42032804	
699.64	0.39796812	0.42299149	
699.84	0.39971615	0.42555368	
700.04	0.40122329	0.42801882	
700.24	0.40276693	0.43039094	
700.44	0.40402687	0.4326739	
700.64	0.40539798	0.43487141	
700.84	0.40672816	0.43698702	
701.04	0.40783617	0.43902413	
701.24	0.40935963	0.440986	
701.44	0.41029704	0.44287575	
701.64	0.41212268	0.44469638	
701.84	0.41309941	0.44645076	
702.04	0.41417507	0.44814164	
702.24	0.41545638	0.44977165	
702.44	0.41654911	0.45134332	
702.64	0.41748914	0.45285907	
702.84	0.41872133	0.45432123	
703.04	0.42016609	0.45573201	
703.24	0.42101599	0.45709354	
703.44	0.42226877	0.45840788	
703.64	0.42337471	0.45967697	
703.84	0.42428109	0.4609027	
704.04	0.42479419	0.46208686	
704.24	0.42542583	0.46323117	
704.44	0.42600744	0.46433729	
704.64	0.4265325	0.4654068	
704.84	0.42728951	0.46644122	
705.04	0.42777621	0.46744199	
705.24	0.42888251	0.46841052	
705.44	0.42942675	0.46934813	
705.64	0.43070534	0.47025611	
705.84	0.43136831	0.47113569	
706.04	0.43231484	0.47198804	
706.24	0.43361753	0.47281428	
706.44	0.43460608	0.4736155	
706.64	0.4355222	0.47439273	
706.84	0.43665943	0.47514697	
707.04	0.43746397	0.47587915	
707.24	0.43860694	0.47659021	
707.44	0.43958566	0.47728099	
707.64	0.44035407	0.47795236	
707.84	0.4409684	0.47860509	
708.04	0.44149455	0.47923997	
708.24	0.44232062	0.47985774	
708.44	0.44294612	0.48045909	
708.64	0.44365907	0.4810447	
708.84	0.44444677	0.48161522	
709.04	0.44462475	0.48217127	
709.24	0.44529596	0.48271346	
709.44	0.44581025	0.48324234	
709.64	0.44645673	0.48375847	
709.84	0.44695261	0.48426237	
710.04	0.44748235	0.48475454	
710.24	0.44771769	0.48523546	
710.44	0.44786711	0.4857056	
710.64	0.44795908	0.4861654	
710.84	0.44825501	0.48661528	
711.04	0.4487155	0.48705565	
711.24	0.44943603	0.48748689	
711.44	0.44990509	0.48790939	
711.64	0.45059456	0.48832349	
711.84	0.45171127	0.48872954	
712.04	0.45258704	0.48912788	
712.24	0.4533576	0.4895188	
712.44	0.45457581	0.48990263	
712.64	0.45551706	0.49027963	
712.84	0.45649387	0.4906501	
713.04	0.45705313	0.4910143	
713.24	0.45824352	0.49137248	
713.44	0.45893226	0.49172489	
713.64	0.4590342	0.49207175	
713.84	0.45958813	0.4924133	
714.04	0.46029412	0.49274975	
714.24	0.460766	0.49308131	
714.44	0.46116928	0.49340816	
714.64	0.4616532	0.49373051	
714.84	0.46223562	0.49404853	
715.04	0.46279207	0.4943624	
715.24	0.46317441	0.49467228	
715.44	0.46365626	0.49497833	
715.64	0.46460418	0.4952807	
715.84	0.46514356	0.49557955	
716.04	0.46536428	0.49587501	
716.24	0.4661506	0.49616721	
716.44	0.46687613	0.49645629	
716.64	0.46750455	0.49674237	
716.84	0.46788021	0.49702557	
717.04	0.46814017	0.497306	
