Conc1	1E-06	
Start1	690.04	
Stop1	2789.84	
Kobs	0.336502249734532	
Error Kobs	0.0125372908600135	
Koff	0.00295386325135014	
Error Koff	2.32712436296115E-05	
Time1	Data1	Fit1	
690.04	0.04010386	0.04010386	
690.24	0.05882848	0.06664317	
690.44	0.07982577	0.09147764	
690.64	0.10398622	0.11471822	
690.84	0.12981024	0.13646863	
691.04	0.15696993	0.15682583	
691.24	0.18453316	0.17588049	
691.44	0.21117824	0.19371736	
691.64	0.23612662	0.21041568	
691.84	0.25893893	0.22604954	
692.04	0.27882135	0.24068819	
692.24	0.29476795	0.25439639	
692.44	0.30752414	0.26723468	
692.64	0.31811172	0.27925967	
692.84	0.3268524	0.29052425	
693.04	0.33409053	0.30107791	
693.24	0.34062727	0.3109669	
693.44	0.34640791	0.32023445	
693.64	0.35109304	0.328921	
693.84	0.35544324	0.33706433	
694.04	0.35957082	0.3446998	
694.24	0.36304355	0.35186042	
694.44	0.36628115	0.35857709	
694.64	0.37014867	0.36487868	
694.84	0.37315714	0.37079218	
695.04	0.3763281	0.37634285	
695.24	0.37897094	0.38155426	
695.44	0.38093231	0.3864485	
695.64	0.38278042	0.39104616	
695.84	0.38566193	0.39536655	
696.04	0.38786863	0.39942769	
696.24	0.39016021	0.40324643	
696.44	0.39185062	0.40683853	
696.64	0.39367235	0.41021872	
696.84	0.39572063	0.41340077	
697.04	0.39700963	0.41639757	
697.24	0.39843873	0.41922114	
697.44	0.39974462	0.42188274	
697.64	0.40088218	0.4243929	
697.84	0.40223054	0.42676146	
698.04	0.40350208	0.4289976	
698.24	0.40498692	0.43110993	
698.44	0.40665255	0.43310649	
698.64	0.40796966	0.4349948	
698.84	0.40931487	0.43678187	
699.04	0.41090052	0.43847429	
699.24	0.41223882	0.44007818	
699.44	0.41328529	0.4415993	
699.64	0.41455056	0.44304301	
699.84	0.41618294	0.44441434	
700.04	0.41709218	0.44571796	
700.24	0.41827054	0.44695828	
700.44	0.4190794	0.44813938	
700.64	0.42027269	0.44926512	
700.84	0.42101997	0.45033906	
701.04	0.42161152	0.45136457	
701.24	0.42255842	0.45234477	
701.44	0.42318762	0.45328259	
701.64	0.4247906	0.45418079	
701.84	0.42568779	0.4550419	
702.04	0.42694758	0.45586834	
702.24	0.42794447	0.45666233	
702.44	0.42878936	0.45742598	
702.64	0.42935505	0.45816123	
702.84	0.43006839	0.45886991	
703.04	0.43082983	0.45955374	
703.24	0.43161655	0.46021432	
703.44	0.43200297	0.46085313	
703.64	0.43291542	0.46147158	
703.84	0.43389408	0.46207098	
704.04	0.43433915	0.46265253	
704.24	0.43490228	0.4632174	
704.44	0.43524618	0.46376664	
704.64	0.43559385	0.46430125	
704.84	0.43582045	0.46482216	
705.04	0.43636824	0.46533026	
705.24	0.43715722	0.46582634	
705.44	0.43771953	0.46631119	
705.64	0.43860357	0.4667855	
705.84	0.43900425	0.46724995	
706.04	0.43986603	0.46770516	
706.24	0.4404759	0.46815171	
706.44	0.44081473	0.46859015	
706.64	0.44121049	0.46902099	
706.84	0.44204726	0.4694447	
707.04	0.4430868	0.46986172	
707.24	0.443936	0.47027248	
707.44	0.44410597	0.47067737	
707.64	0.44486366	0.47107674	
707.84	0.44558088	0.47147094	
708.04	0.44569146	0.47186029	
708.24	0.44672352	0.47224508	
708.44	0.44744926	0.47262559	
708.64	0.44824123	0.47300208	
708.84	0.44916623	0.4733748	
709.04	0.44981782	0.47374397	
709.24	0.45050097	0.4741098	
709.44	0.45137812	0.47447249	
709.64	0.45205419	0.47483224	
709.84	0.45238652	0.47518921	
710.04	0.45292646	0.47554356	
710.24	0.45309688	0.47589545	
710.44	0.45270749	0.47624501	
710.64	0.45302351	0.47659239	
710.84	0.45329932	0.47693771	
711.04	0.45324159	0.47728107	
711.24	0.45286141	0.4776226	
711.44	0.45246521	0.47796239	
711.64	0.4531502	0.47830053	
711.84	0.45387042	0.47863712	
712.04	0.45426838	0.47897224	
712.24	0.45523051	0.47930597	
712.44	0.45605272	0.47963837	
712.64	0.45679017	0.47996952	
712.84	0.45727099	0.48029948	
713.04	0.45772681	0.48062831	
