Conc1	1E-06	
Start1	690.04	
Stop1	2789.84	
Kobs	0.0043884373076798	
Error Kobs	4.39022972659936E-05	
Koff	0.0437065996023597	
Error Koff	0.000855073246923779	
Time1	Data1	Fit1	
690.04	0.03929971	0.03929971	
690.24	0.05837185	0.0633662	
690.44	0.07952769	0.0859291	
690.64	0.10358098	0.10708357	
690.84	0.12885603	0.12691877	
691.04	0.15522703	0.14551818	
691.24	0.1815174	0.16296003	
691.44	0.20672288	0.17931757	
691.64	0.23041535	0.19465942	
691.84	0.25177743	0.20904986	
692.04	0.269421	0.22254911	
692.24	0.28289279	0.23521357	
692.44	0.29336063	0.24709605	
692.64	0.30195138	0.25824606	
692.84	0.30873784	0.26870993	
693.04	0.31431856	0.27853108	
693.24	0.31914462	0.28775019	
693.44	0.32363006	0.29640535	
693.64	0.32765054	0.30453224	
693.84	0.33137397	0.31216429	
694.04	0.33444927	0.3193328	
694.24	0.33732623	0.3260671	
694.44	0.33985211	0.33239466	
694.64	0.34292862	0.33834122	
694.84	0.3451774	0.34393086	
695.04	0.34791619	0.34918618	
695.24	0.35013278	0.35412832	
695.44	0.35205417	0.35877708	
695.64	0.35397486	0.36315102	
695.84	0.35616864	0.36726753	
696.04	0.35754488	0.37114287	
696.24	0.35959898	0.37479231	
696.44	0.36123493	0.37823011	
696.64	0.36275856	0.38146968	
696.84	0.36467137	0.38452352	
697.04	0.36596571	0.3874034	
697.24	0.36721946	0.39012029	
697.44	0.36842713	0.39268451	
697.64	0.36979571	0.3951057	
697.84	0.37078237	0.39739289	
698.04	0.37195711	0.39955456	
698.24	0.37348289	0.40159863	
698.44	0.37500751	0.40353253	
698.64	0.37614059	0.40536322	
698.84	0.37748096	0.40709721	
699.04	0.37927995	0.40874061	
699.24	0.38036009	0.41029914	
699.44	0.38172336	0.41177815	
699.64	0.38260098	0.41318266	
699.84	0.38417794	0.41451737	
700.04	0.38494274	0.41578668	
700.24	0.38577004	0.41699471	
700.44	0.38657443	0.41814533	
700.64	0.38730422	0.41924215	
700.84	0.38816654	0.42028857	
