Conc1	1E-06	
Start1	690.04	
Stop1	2789.84	
Kobs	0.0296295748206684	
Error Kobs	0.000345931949094521	
Koff	0.00271340188530192	
Error Koff	2.19881295327178E-05	
Time1	Data1	Fit1	
690.04	0.01190711	0.01190711	
690.24	0.01672269	0.01347111	
690.44	0.02175568	0.01502621	
690.64	0.02794626	0.01657245	
690.84	0.03396609	0.01810989	
691.04	0.04059208	0.01963858	
691.24	0.0469079	0.02115857	
691.44	0.05311601	0.02266992	
691.64	0.05843075	0.02417267	
691.84	0.06336636	0.02566687	
692.04	0.06687271	0.02715258	
692.24	0.07008359	0.02862985	
692.44	0.07219548	0.03009872	
692.64	0.07443643	0.03155925	
692.84	0.076709	0.03301148	
693.04	0.07915576	0.03445546	
693.24	0.08082302	0.03589125	
693.44	0.0830153	0.03731888	
693.64	0.08507851	0.03873841	
693.84	0.08666553	0.04014989	
694.04	0.08813584	0.04155336	
694.24	0.08922794	0.04294888	
694.44	0.09033838	0.04433648	
694.64	0.0921689	0.04571621	
694.84	0.09303206	0.04708812	
695.04	0.0942948	0.04845226	
695.24	0.09546804	0.04980868	
695.44	0.09668249	0.05115741	
695.64	0.09775482	0.0524985	
695.84	0.09911802	0.053832	
696.04	0.0996455	0.05515796	
696.24	0.10144824	0.05647641	
696.44	0.10239954	0.0577874	
696.64	0.10386634	0.05909098	
696.84	0.10529562	0.06038719	
697.04	0.10665483	0.06167607	
697.24	0.10733994	0.06295767	
697.44	0.10875794	0.06423203	
697.64	0.10967682	0.06549919	
697.84	0.11028683	0.06675919	
698.04	0.11088356	0.06801208	
698.24	0.11167442	0.0692579	
698.44	0.11265879	0.07049668	
698.64	0.11351987	0.07172848	
698.84	0.11430149	0.07295333	
699.04	0.11556179	0.07417127	
699.24	0.11663658	0.07538235	
699.44	0.11753893	0.0765866	
699.64	0.11837723	0.07778407	
699.84	0.11910464	0.07897479	
700.04	0.11963166	0.08015881	
700.24	0.12070609	0.08133616	
700.44	0.12124641	0.08250689	
700.64	0.12194264	0.08367102	
700.84	0.12256592	0.08482861	
701.04	0.12312944	0.08597969	
701.24	0.12382149	0.08712429	
701.44	0.12399571	0.08826247	
701.64	0.12498494	0.08939424	
701.84	0.12583851	0.09051966	
702.04	0.12647913	0.09163876	
702.24	0.12753104	0.09275157	
702.44	0.12831372	0.09385814	
702.64	0.12893928	0.0949585	
702.84	0.13002756	0.09605269	
703.04	0.13066593	0.09714074	
703.24	0.13113076	0.09822269	
703.44	0.13154095	0.09929857	
703.64	0.13204404	0.10036843	
703.84	0.13215283	0.10143229	
704.04	0.13214893	0.10249019	
704.24	0.13218064	0.10354218	
704.44	0.13241495	0.10458827	
704.64	0.13324865	0.10562851	
704.84	0.1339254	0.10666293	
705.04	0.13453672	0.10769157	
705.24	0.13578391	0.10871446	
705.44	0.13612733	0.10973163	
705.64	0.13732222	0.11074312	
705.84	0.13796051	0.11174896	
706.04	0.13843617	0.11274918	
706.24	0.13947553	0.11374382	
706.44	0.13967246	0.11473291	
706.64	0.14013639	0.11571649	
706.84	0.14101985	0.11669457	
707.04	0.1415906	0.11766721	
707.24	0.14233563	0.11863442	
707.44	0.14276736	0.11959625	
707.64	0.14307504	0.12055272	
707.84	0.14293289	0.12150387	
708.04	0.14328147	0.12244972	
708.24	0.14408871	0.1233903	
708.44	0.1454115	0.12432566	
708.64	0.14622118	0.12525582	
708.84	0.14704203	0.1261808	
709.04	0.14760567	0.12710065	
709.24	0.14854679	0.12801538	
709.44	0.14910383	0.12892504	
709.64	0.14987619	0.12982965	
709.84	0.15016258	0.13072924	
710.04	0.15004578	0.13162383	
710.24	0.15021221	0.13251347	
710.44	0.14993002	0.13339817	
710.64	0.14998647	0.13427798	
710.84	0.14990615	0.13515291	
711.04	0.15022229	0.13602299	
711.24	0.15039257	0.13688826	
711.44	0.15046844	0.13774874	
711.64	0.15074397	0.13860446	
711.84	0.15133108	0.13945544	
712.04	0.15232543	0.14030173	
712.24	0.15326998	0.14114333	
712.44	0.15434975	0.14198029	
712.64	0.15497551	0.14281263	
712.84	0.15594824	0.14364037	
713.04	0.15661564	0.14446355	
713.24	0.15808025	0.14528218	
713.44	0.15904876	0.14609631	
713.64	0.15964152	0.14690594	
713.84	0.1596201	0.14771112	
714.04	0.16034651	0.14851186	
714.24	0.16120949	0.14930819	
714.44	0.16153909	0.15010014	
714.64	0.16184167	0.15088773	
714.84	0.16203831	0.15167099	
715.04	0.16278492	0.15244995	
715.24	0.16317684	0.15322463	
715.44	0.16326483	0.15399505	
715.64	0.16410066	0.15476124	
715.84	0.16422722	0.15552323	
716.04	0.16450485	0.15628104	
716.24	0.16494749	0.15703469	
716.44	0.16555947	0.15778421	
716.64	0.16601035	0.15852963	
716.84	0.16605027	0.15927096	
717.04	0.16631489	0.16000823	
717.24	0.16700547	0.16074147	
717.44	0.16690854	0.1614707	
717.64	0.16700142	0.16219594	
717.84	0.16766668	0.16291722	
718.04	0.16862604	0.16363455	
718.24	0.16912927	0.16434797	
718.44	0.16948898	0.1650575	
718.64	0.17035264	0.16576315	
718.84	0.17057535	0.16646495	
719.04	0.17141194	0.16716293	
719.24	0.17199033	0.16785711	
719.44	0.17258722	0.1685475	
719.64	0.17358291	0.16923414	
719.84	0.17334002	0.16991704	
720.04	0.17407625	0.17059622	
720.24	0.17470828	0.17127171	
720.44	0.17504873	0.17194353	
720.64	0.17580476	0.1726117	
720.84	0.17624379	0.17327625	
721.04	0.17641824	0.17393718	
721.24	0.17657327	0.17459453	
721.44	0.17646414	0.17524832	
721.64	0.17692309	0.17589856	
721.84	0.17781328	0.17654528	
722.04	0.1782599	0.1771885	
722.24	0.17860475	0.17782823	
722.44	0.17873925	0.17846451	
722.64	0.17879016	0.17909734	
722.84	0.17950745	0.17972676	
723.04	0.18012916	0.18035277	
723.24	0.18065478	0.18097541	
723.44	0.18165012	0.18159468	
723.64	0.18185371	0.18221062	
723.84	0.18205479	0.18282323	
724.04	0.18272749	0.18343254	
724.24	0.18320928	0.18403857	
724.44	0.18390782	0.18464134	
724.64	0.18459736	0.18524086	
724.84	0.18537347	0.18583716	
725.04	0.18553457	0.18643025	
725.24	0.18593644	0.18702016	
725.44	0.18643645	0.1876069	
725.64	0.18726957	0.18819049	
725.84	0.18776562	0.18877095	
726.04	0.18789628	0.1893483	
726.24	0.18797961	0.18992255	
726.44	0.18772881	0.19049373	
726.64	0.1875918	0.19106184	
726.84	0.18774074	0.19162692	
727.04	0.18772507	0.19218898	
727.24	0.18809581	0.19274803	
727.44	0.18849885	0.1933041	
727.64	0.18847976	0.1938572	
727.84	0.18893692	0.19440735	
728.04	0.18930829	0.19495456	
728.24	0.18989267	0.19549885	
728.44	0.19035637	0.19604025	
728.64	0.19083743	0.19657876	
728.84	0.19165407	0.19711441	
729.04	0.19239729	0.19764721	
729.24	0.19313565	0.19817717	
729.44	0.19387746	0.19870432	
729.64	0.19484418	0.19922867	
729.84	0.19546325	0.19975024	
730.04	0.19581638	0.20026904	
730.24	0.19635187	0.2007851	
730.44	0.19627108	0.20129842	
730.64	0.19632207	0.20180902	
730.84	0.1963706	0.20231691	
731.04	0.19723762	0.20282213	
731.24	0.1973053	0.20332467	
731.44	0.19772947	0.20382456	
731.64	0.19768014	0.20432181	
731.84	0.19789195	0.20481643	
732.04	0.19802717	0.20530845	
732.24	0.19791137	0.20579788	
732.44	0.19817298	0.20628472	
732.64	0.19865244	0.20676901	
732.84	0.19930706	0.20725075	
