Conc1	1E-06	
Start1	690.02	
Stop1	2789.83	
Kobs	0.00355329083014461	
Error Kobs	2.96994165812284E-05	
Koff	0.00257570645249454	
Error Koff	2.4501967772073E-05	
Time1	Data1	Fit1	
690.02	0.03132758	0.03132758	
690.22	0.04740588	0.04813471	
690.42	0.06614264	0.06428401	
690.62	0.0867985	0.07980162	
690.82	0.10898429	0.09471262	
691.02	0.13218589	0.10904109	
691.22	0.15532699	0.12281016	
691.42	0.17837368	0.13604204	
691.62	0.20043184	0.14875807	
691.82	0.22036246	0.16097873	
692.02	0.23739857	0.17272368	
692.22	0.25126282	0.18401181	
692.42	0.26303988	0.19486125	
692.62	0.27280125	0.20528944	
692.82	0.28100151	0.21531309	
693.02	0.28833615	0.22494825	
693.22	0.29475023	0.23421037	
693.42	0.30022611	0.24311423	
693.62	0.30551461	0.25167408	
693.82	0.31047768	0.25990356	
694.02	0.31547297	0.26781579	
694.22	0.32029642	0.27542336	
694.42	0.32422503	0.28273837	
694.62	0.32767118	0.28977242	
694.82	0.330763	0.29653669	
695.02	0.3337927	0.30304186	
695.22	0.33730834	0.30929822	
695.42	0.3400751	0.31531566	
695.62	0.34255043	0.32110365	
695.82	0.34433205	0.32667131	
696.02	0.34659006	0.33202736	
696.22	0.34879743	0.33718022	
696.42	0.35048716	0.34213794	
696.62	0.35190519	0.34690828	
696.82	0.35426647	0.35149866	
697.02	0.35587259	0.35591623	
697.22	0.35822191	0.36016784	
697.42	0.36038392	0.36426008	
697.62	0.36329216	0.36819927	
697.82	0.36555349	0.37199149	
698.02	0.36784603	0.37564256	
698.22	0.36986154	0.37915808	
698.42	0.37090579	0.38254344	
698.62	0.37208323	0.38580379	
698.82	0.373786	0.3889441	
699.02	0.37597183	0.39196911	
699.22	0.37753062	0.39488342	
699.42	0.37824874	0.3976914	
699.62	0.37944385	0.40039728	
699.82	0.38052229	0.40300509	
700.02	0.38187285	0.40551874	
700.22	0.38296251	0.40794195	
700.42	0.38415655	0.41027831	
700.62	0.38551189	0.41253127	
700.82	0.38635075	0.41470412	
701.02	0.38726831	0.41680004	
701.22	0.3886775	0.41882209	
701.42	0.38968615	0.42077319	
701.62	0.39130419	0.42265614	
701.82	0.39208775	0.42447366	
702.02	0.39337581	0.42622833	
702.22	0.39439629	0.42792265	
702.42	0.39502543	0.42955899	
702.62	0.39592326	0.43113967	
702.82	0.39730147	0.43266688	
703.02	0.39889442	0.43414274	
703.22	0.3996217	0.43556929	
703.42	0.40093006	0.43694847	
703.62	0.40250485	0.43828216	
703.82	0.40388507	0.43957216	
704.02	0.40545016	0.4408202	
704.22	0.40677075	0.44202794	
704.42	0.40751795	0.44319697	
704.62	0.40820005	0.44432883	
704.82	0.40893069	0.44542498	
705.02	0.41002559	0.44648683	
705.22	0.41078637	0.44751575	
705.42	0.41197069	0.44851303	
705.62	0.41274918	0.44947993	
705.82	0.41319095	0.45041763	
706.02	0.41447728	0.45132731	
706.22	0.41537587	0.45221006	
706.42	0.41567973	0.45306694	
706.62	0.41626908	0.45389898	
706.82	0.41704964	0.45470715	
707.02	0.4172778	0.45549241	
707.22	0.41758133	0.45625564	
707.42	0.41812105	0.45699773	
707.62	0.41892311	0.4577195	
707.82	0.41941808	0.45842176	
708.02	0.42027614	0.45910526	
708.22	0.42063785	0.45977076	
708.42	0.42151998	0.46041896	
708.62	0.42218151	0.46105054	
708.82	0.42294731	0.46166615	
709.02	0.4236856	0.46226642	
709.22	0.42415573	0.46285196	
709.42	0.42500422	0.46342334	
709.62	0.4256378	0.46398112	
709.82	0.42661559	0.46452583	
710.02	0.42739727	0.46505799	
710.22	0.42789529	0.46557809	
710.42	0.42818759	0.46608659	
710.62	0.42902869	0.46658396	
710.82	0.42938217	0.46707063	
711.02	0.42970324	0.46754702	
711.22	0.43131662	0.46801353	
711.42	0.43228547	0.46847054	
711.62	0.43296703	0.46891843	
711.82	0.43382941	0.46935756	
712.02	0.43410512	0.46978826	
712.22	0.43466353	0.47021086	
712.42	0.43554428	0.47062568	
712.62	0.43612432	0.47103302	
712.82	0.43725868	0.47143318	
713.02	0.43795162	0.47182642	
713.22	0.43838924	0.47221302	
713.42	0.43946758	0.47259324	
713.62	0.44020442	0.47296732	
713.82	0.44054291	0.47333551	
714.02	0.44064331	0.47369802	
714.22	0.44090456	0.47405508	
714.42	0.44148342	0.47440689	
714.62	0.44236841	0.47475367	
714.82	0.44337563	0.4750956	
715.02	0.44441667	0.47543287	
715.22	0.44544146	0.47576565	
715.42	0.446037	0.47609413	
715.62	0.44647501	0.47641846	
715.82	0.44701541	0.47673881	
716.02	0.44707042	0.47705532	
716.22	0.44754448	0.47736814	
716.42	0.44801685	0.47767742	
716.62	0.44877082	0.47798328	
716.82	0.44912051	0.47828585	
717.02	0.44937011	0.47858527	
717.22	0.44991873	0.47888164	
717.42	0.45034217	0.47917509	
717.62	0.45008015	0.47946572	
717.82	0.45012881	0.47975364	
718.02	0.44959517	0.48003895	
718.22	0.44983866	0.48032174	
718.42	0.4504835	0.48060212	
718.62	0.45109786	0.48088017	
718.82	0.45173217	0.48115597	
719.02	0.45253798	0.48142962	
719.22	0.45309478	0.48170119	
719.42	0.45388466	0.48197075	
719.62	0.45476515	0.48223838	
719.82	0.45573637	0.48250415	
720.02	0.45665603	0.48276813	
720.22	0.45754947	0.48303038	
720.42	0.45856493	0.48329096	
720.62	0.46002929	0.48354994	
720.82	0.46108605	0.48380738	
721.02	0.46190747	0.48406332	
721.22	0.46240398	0.48431782	
721.42	0.46311003	0.48457093	
721.62	0.46365297	0.4848227	
721.82	0.4647355	0.48507318	
722.02	0.46471221	0.48532242	
722.22	0.46467987	0.48557044	
722.42	0.464396	0.48581731	
722.62	0.46426924	0.48606306	
722.82	0.46443594	0.48630772	
723.02	0.46456389	0.48655133	
723.22	0.46407472	0.48679393	
723.42	0.4640499	0.48703556	
723.62	0.46439257	0.48727624	
723.82	0.46527455	0.487516	
724.02	0.46530606	0.48775488	
724.22	0.46562218	0.48799291	
724.42	0.46610953	0.48823011	
724.62	0.46710477	0.48846652	
724.82	0.46804844	0.48870214	
725.02	0.46831696	0.48893702	
725.22	0.4687895	0.48917117	
725.42	0.46976482	0.48940462	
725.62	0.47072761	0.48963739	
725.82	0.47152448	0.48986949	
726.02	0.47114589	0.49010096	
726.22	0.47098517	0.49033181	
726.42	0.47168074	0.49056205	
726.62	0.47201785	0.49079171	
726.82	0.47244259	0.4910208	
727.02	0.47235876	0.49124934	
727.22	0.47258234	0.49147734	
727.42	0.4735858	0.49170483	
727.62	0.47410354	0.49193181	
727.82	0.47479505	0.4921583	
728.02	0.4746723	0.49238431	
728.22	0.47495152	0.49260985	
728.42	0.47582172	0.49283494	
728.62	0.47667706	0.49305959	
728.82	0.4771818	0.49328382	
729.02	0.47760968	0.49350762	
729.22	0.47787775	0.49373102	
729.42	0.47859853	0.49395402	
729.62	0.47907563	0.49417663	
729.82	0.47950118	0.49439886	
730.02	0.47974023	0.49462073	
730.22	0.48021546	0.49484223	
730.42	0.48064515	0.49506338	
730.62	0.48033894	0.49528419	
730.82	0.48073379	0.49550466	
731.02	0.48031006	0.4957248	
731.22	0.4807016	0.49594462	
731.42	0.48099838	0.49616413	
731.62	0.48092328	0.49638332	
731.82	0.48136244	0.49660221	
732.02	0.48140485	0.49682081	
732.22	0.48182464	0.49703912	
732.42	0.48243058	0.49725714	
732.62	0.48264171	0.49747488	
732.82	0.48263025	0.49769234	
733.02	0.48309943	0.49790954	
733.22	0.48352031	0.49812647	
733.42	0.48350624	0.49834314	
733.62	0.4838058	0.49855956	
733.82	0.48492867	0.49877572	
734.02	0.48583266	0.49899164	
734.22	0.48653828	0.49920731	
734.42	0.48719984	0.49942275	
734.62	0.48742388	0.49963794	
734.82	0.48783091	0.49985291	
735.02	0.48790092	0.50006764	
735.22	0.48849125	0.50028215	
735.42	0.48867529	0.50049644	
735.62	0.48924764	0.5007105	
735.82	0.48937841	0.50092435	
736.02	0.48980743	0.50113798	
736.22	0.49014987	0.5013514	
736.42	0.48987857	0.50156461	
736.62	0.48984906	0.50177762	
736.82	0.49017505	0.50199042	
737.02	0.49032429	0.50220302	
737.22	0.4910269	0.50241541	
737.42	0.49107142	0.50262761	
737.62	0.49198097	0.50283962	
737.82	0.49368997	0.50305143	
738.02	0.49485831	0.50326304	
738.22	0.49560039	0.50347447	
738.42	0.49640495	0.50368571	
738.62	0.49635903	0.50389676	
738.82	0.49705501	0.50410763	
739.02	0.49782626	0.50431831	
739.22	0.49803152	0.50452881	
739.42	0.49777192	0.50473912	
739.62	0.49839888	0.50494926	
739.82	0.49857107	0.50515922	
740.02	0.49902128	0.50536901	
740.22	0.49884897	0.50557861	
740.42	0.49869113	0.50578805	
740.62	0.49878942	0.50599731	
740.82	0.49859084	0.50620639	
741.02	0.49813778	0.50641531	
741.22	0.49885918	0.50662405	
741.42	0.49904334	0.50683263	
741.62	0.49903557	0.50704104	
741.82	0.49977987	0.50724928	
742.02	0.49970224	0.50745735	
742.22	0.49971046	0.50766526	
742.42	0.49994965	0.507873	
742.62	0.50056125	0.50808058	
742.82	0.50156625	0.508288	
743.02	0.50185737	0.50849525	
743.22	0.50185939	0.50870234	
743.42	0.50202011	0.50890928	
743.62	0.50238601	0.50911605	
743.82	0.50271233	0.50932266	
744.02	0.50281881	0.50952911	
744.22	0.50285682	0.5097354	
744.42	0.50282844	0.50994154	
744.62	0.50250113	0.51014751	
744.82	0.50262659	0.51035333	
745.02	0.50322503	0.510559	
745.22	0.50410308	0.51076451	
745.42	0.50394514	0.51096986	
745.62	0.50406271	0.51117506	
745.82	0.50474574	0.5113801	
746.02	0.50495705	0.51158499	
746.22	0.50548436	0.51178973	
746.42	0.50652337	0.51199431	
746.62	0.50741343	0.51219874	
746.82	0.50771265	0.51240302	
747.02	0.50820933	0.51260715	
747.22	0.50862713	0.51281112	
747.42	0.50922957	0.51301495	
747.62	0.50951573	0.51321862	
747.82	0.5101668	0.51342214	
748.02	0.50992672	0.51362551	
748.22	0.50999215	0.51382874	
748.42	0.50987045	0.51403181	
748.62	0.5098436	0.51423473	
748.82	0.51069464	0.51443751	
749.02	0.51076106	0.51464014	
749.22	0.51095767	0.51484262	
749.42	0.51099155	0.51504495	
749.62	0.51126419	0.51524713	
749.82	0.51137223	0.51544917	
750.02	0.51099972	0.51565105	
750.22	0.51103073	0.51585279	
750.42	0.51185506	0.51605439	
750.62	0.5123347	0.51625584	
750.82	0.51283893	0.51645714	
751.02	0.51358431	0.5166583	
751.22	0.51444177	0.51685931	
751.42	0.51472812	0.51706017	
751.62	0.51489662	0.51726089	
751.82	0.51513158	0.51746146	
752.02	0.51551252	0.51766189	
752.22	0.51529461	0.51786218	
752.42	0.51571668	0.51806232	
752.62	0.51619455	0.51826231	
752.82	0.51644016	0.51846216	
753.02	0.5163013	0.51866187	
753.22	0.51684577	0.51886144	
753.42	0.51706832	0.51906086	
753.62	0.5176431	0.51926013	
753.82	0.51803367	0.51945927	
754.02	0.51838772	0.51965826	
754.22	0.51890497	0.5198571	
754.42	0.51996166	0.52005581	
754.62	0.52047916	0.52025437	
754.82	0.52084544	0.52045279	
755.02	0.52169157	0.52065107	
755.22	0.52198937	0.5208492	
755.42	0.52191665	0.52104719	
755.62	0.5222313	0.52124505	
755.82	0.52234773	0.52144275	
756.02	0.52273663	0.52164032	
756.22	0.52213106	0.52183775	
756.42	0.52293833	0.52203503	
756.62	0.52283802	0.52223218	
756.82	0.52275449	0.52242918	
757.02	0.52303314	0.52262604	
757.22	0.52384828	0.52282277	
757.42	0.52382696	0.52301935	
757.62	0.52454528	0.52321579	
757.82	0.5242931	0.52341209	
758.02	0.52484348	0.52360825	
758.22	0.52484759	0.52380427	
758.42	0.5250905	0.52400015	
758.62	0.52503011	0.52419589	
758.82	0.52498087	0.52439149	
759.02	0.52485386	0.52458695	
759.22	0.52461031	0.52478227	
759.42	0.52526128	0.52497746	
759.62	0.52567511	0.5251725	
759.82	0.52625114	0.5253674	
760.02	0.52689425	0.52556217	
760.22	0.52721341	0.52575679	
760.42	0.52797249	0.52595128	
760.62	0.52865501	0.52614563	
760.82	0.52909807	0.52633984	
761.02	0.5294492	0.52653391	
761.22	0.52998335	0.52672785	
761.42	0.53032897	0.52692164	
761.62	0.53088986	0.5271153	
761.82	0.53094228	0.52730882	
762.02	0.53141687	0.5275022	
762.22	0.53081635	0.52769545	
762.42	0.53070123	0.52788856	
762.62	0.5304861	0.52808153	
762.82	0.53009509	0.52827436	
763.02	0.53020534	0.52846705	
763.22	0.53065747	0.52865961	
763.42	0.53116719	0.52885203	
763.62	0.53188834	0.52904431	
763.82	0.53262377	0.52923646	
764.02	0.53283964	0.52942847	
764.22	0.53387317	0.52962034	
764.42	0.53455808	0.52981208	
764.62	0.53535177	0.53000368	
764.82	0.53549484	0.53019515	
765.02	0.53610144	0.53038647	
765.22	0.53685101	0.53057767	
765.42	0.53784146	0.53076872	
765.62	0.5380936	0.53095964	
765.82	0.53830204	0.53115043	
766.02	0.53824064	0.53134108	
766.22	0.53776602	0.53153159	
766.42	0.53790441	0.53172197	
766.62	0.53761735	0.53191221	
766.82	0.53759379	0.53210232	
767.02	0.53771711	0.53229229	
767.22	0.53681472	0.53248213	
767.42	0.53633126	0.53267183	
767.62	0.53685378	0.53286139	
767.82	0.5367679	0.53305083	
768.02	0.53676233	0.53324012	
768.22	0.53730861	0.53342929	
768.42	0.53727786	0.53361832	
768.62	0.53796489	0.53380721	
768.82	0.53860667	0.53399597	
769.02	0.53921558	0.53418459	
769.22	0.54010655	0.53437309	
769.42	0.54117617	0.53456144	
769.62	0.54114906	0.53474967	
769.82	0.54160632	0.53493776	
770.02	0.54194891	0.53512571	
770.22	0.54212245	0.53531354	
770.42	0.54248089	0.53550123	
770.62	0.54216251	0.53568878	
770.82	0.54253444	0.5358762	
771.02	0.54227648	0.53606349	
771.22	0.5418041	0.53625065	
771.42	0.54288844	0.53643767	
771.62	0.54304478	0.53662456	
771.82	0.54291306	0.53681132	
772.02	0.54253941	0.53699795	
772.22	0.54281447	0.53718444	
772.42	0.54335233	0.5373708	
772.62	0.54445408	0.53755702	
772.82	0.54458828	0.53774312	
773.02	0.54484283	0.53792908	
773.22	0.54520162	0.53811491	
773.42	0.54569129	0.53830061	
773.62	0.54529096	0.53848618	
773.82	0.54538856	0.53867161	
774.02	0.54544246	0.53885691	
774.22	0.54556224	0.53904209	
774.42	0.54597314	0.53922713	
774.62	0.54638757	0.53941203	
774.82	0.54708602	0.53959681	
775.02	0.54711757	0.53978146	
775.22	0.54715917	0.53996597	
775.42	0.54754438	0.54015035	
775.62	0.5463857	0.54033461	
775.82	0.54625616	0.54051873	
776.02	0.54645481	0.54070272	
776.22	0.54722888	0.54088658	
776.42	0.54755193	0.54107031	
776.62	0.54793119	0.5412539	
776.82	0.54792079	0.54143737	
777.02	0.54800188	0.54162071	
777.22	0.54765653	0.54180392	
777.42	0.54791007	0.541987	
777.62	0.54826175	0.54216994	
777.82	0.54854877	0.54235276	
778.02	0.54991571	0.54253545	
778.22	0.55082824	0.542718	
778.42	0.55150513	0.54290043	
778.62	0.55180742	0.54308273	
778.82	0.55195977	0.5432649	
779.02	0.55232343	0.54344694	
779.22	0.55217032	0.54362885	
779.42	0.55183864	0.54381063	
779.62	0.55144234	0.54399228	
779.82	0.55164298	0.5441738	
780.02	0.5515712	0.5443552	
780.22	0.55091941	0.54453646	
780.42	0.55081398	0.5447176	
780.62	0.55101575	0.54489861	
780.82	0.55055501	0.54507948	
781.02	0.55081292	0.54526023	
781.22	0.55094022	0.54544086	
781.42	0.55162091	0.54562135	
781.62	0.55260308	0.54580171	
781.82	0.55276778	0.54598195	
782.02	0.55376458	0.54616206	
782.22	0.55403288	0.54634204	
782.42	0.55453675	0.54652189	
782.62	0.5551011	0.54670162	
782.82	0.55582225	0.54688122	
783.02	0.55645296	0.54706069	
783.22	0.5563396	0.54724003	
783.42	0.55680222	0.54741925	
783.62	0.55652185	0.54759833	
783.82	0.5561928	0.54777729	
784.02	0.5558871	0.54795613	
784.22	0.55587918	0.54813483	
784.42	0.55638732	0.54831341	
784.62	0.55682054	0.54849187	
784.82	0.55749203	0.54867019	
785.02	0.55850838	0.54884839	
785.22	0.55864204	0.54902646	
785.42	0.55905982	0.54920441	
785.62	0.55888049	0.54938223	
785.82	0.55872304	0.54955992	
786.02	0.55947956	0.54973749	
786.22	0.55982117	0.54991493	
786.42	0.56014108	0.55009225	
786.62	0.5606767	0.55026944	
786.82	0.56132999	0.5504465	
787.02	0.56156187	0.55062344	
787.22	0.56162214	0.55080025	
787.42	0.5616476	0.55097693	
787.62	0.56061033	0.55115349	
787.82	0.56059884	0.55132993	
788.02	0.56024714	0.55150624	
788.22	0.56022034	0.55168242	
788.42	0.56019916	0.55185848	
788.62	0.56046791	0.55203442	
788.82	0.56095515	0.55221023	
789.02	0.56116385	0.55238591	
789.22	0.56123682	0.55256147	
789.42	0.56102756	0.5527369	
789.62	0.56083956	0.55291221	
789.82	0.56131808	0.5530874	
790.02	0.56203818	0.55326246	
790.22	0.56242311	0.5534374	
790.42	0.56298087	0.55361221	
790.62	0.56354536	0.5537869	
790.82	0.56367548	0.55396146	
791.02	0.5634719	0.5541359	
791.22	0.56342279	0.55431022	
791.42	0.56319234	0.55448441	
791.62	0.56279196	0.55465848	
791.82	0.56313048	0.55483243	
792.02	0.56326067	0.55500625	
792.22	0.56363641	0.55517995	
792.42	0.56426815	0.55535352	
792.62	0.56504832	0.55552697	
792.82	0.56579671	0.5557003	
793.02	0.56680128	0.5558735	
793.22	0.5672041	0.55604659	
793.42	0.56745123	0.55621954	
793.62	0.56817726	0.55639238	
793.82	0.5688758	0.55656509	
794.02	0.56935867	0.55673768	
794.22	0.56957895	0.55691015	
794.42	0.56970761	0.5570825	
794.62	0.56943469	0.55725472	
794.82	0.56889476	0.55742682	
795.02	0.56852725	0.5575988	
795.22	0.56812417	0.55777066	
795.42	0.56818512	0.55794239	
795.62	0.56824691	0.558114	
795.82	0.56837383	0.55828549	
796.02	0.56875297	0.55845686	
796.22	0.56891552	0.55862811	
796.42	0.56937154	0.55879923	
796.62	0.56992176	0.55897024	
796.82	0.57018187	0.55914112	
797.02	0.57071322	0.55931188	
797.22	0.57103422	0.55948252	
797.42	0.57101741	0.55965304	
797.62	0.57177101	0.55982343	
797.82	0.57253143	0.55999371	
798.02	0.57283711	0.56016386	
798.22	0.57275658	0.5603339	
798.42	0.57298592	0.56050381	
798.62	0.57326825	0.5606736	
798.82	0.57323422	0.56084327	
799.02	0.57338691	0.56101283	
799.22	0.57370945	0.56118226	
799.42	0.57407518	0.56135157	
799.62	0.57397849	0.56152076	
799.82	0.57396195	0.56168983	
800.02	0.5739463	0.56185878	
800.22	0.57401088	0.56202761	
800.42	0.57437261	0.56219632	
800.62	0.57484119	0.56236491	
800.82	0.57474472	0.56253338	
801.02	0.57455337	0.56270173	
801.22	0.57468636	0.56286996	
801.42	0.57475322	0.56303807	
801.62	0.57541169	0.56320606	
801.82	0.57548237	0.56337394	
802.02	0.57551064	0.56354169	
802.22	0.57549205	0.56370932	
802.42	0.57607062	0.56387684	
802.62	0.57601814	0.56404424	
802.82	0.57607877	0.56421151	
803.02	0.57648837	0.56437867	
803.22	0.57693113	0.56454571	
803.42	0.57720949	0.56471263	
803.62	0.57711915	0.56487943	
803.82	0.57732543	0.56504612	
804.02	0.57703109	0.56521268	
804.22	0.57739075	0.56537913	
804.42	0.57739551	0.56554546	
804.62	0.57706285	0.56571167	
804.82	0.57668396	0.56587776	
805.02	0.57676375	0.56604374	
805.22	0.57730583	0.5662096	
