Conc1	1E-06	
Start1	690.02	
Stop1	2789.83	
Kobs	0.0274724071306351	
Error Kobs	0.000303521259591252	
Koff	0.00307475686712383	
Error Koff	2.66828042810952E-05	
Time1	Data1	Fit1	
690.02	0.01153794	0.01153794	
690.22	0.01671187	0.01320594	
690.42	0.02240979	0.01486517	
690.62	0.02858675	0.01651567	
690.82	0.03486122	0.0181575	
691.02	0.04146353	0.01979071	
691.22	0.04812848	0.02141534	
691.42	0.05432921	0.02303143	
691.62	0.06071462	0.02463904	
691.82	0.06625398	0.02623821	
692.02	0.07083096	0.02782899	
692.22	0.07441975	0.02941142	
692.42	0.0771974	0.03098554	
692.62	0.07977501	0.03255142	
692.82	0.08177454	0.03410908	
693.02	0.08414809	0.03565857	
693.22	0.08577786	0.03719995	
693.42	0.08759964	0.03873324	
693.62	0.08956374	0.04025851	
693.82	0.09172596	0.04177578	
694.02	0.09338052	0.04328511	
694.22	0.095687	0.04478654	
694.42	0.09782228	0.04628011	
694.62	0.09932078	0.04776586	
694.82	0.10070515	0.04924384	
695.02	0.10228226	0.05071409	
695.22	0.10428664	0.05217665	
695.42	0.10557785	0.05363157	
695.62	0.10709214	0.05507888	
695.82	0.10792043	0.05651863	
696.02	0.10903919	0.05795085	
696.22	0.1097634	0.0593756	
696.42	0.11031597	0.0607929	
696.62	0.11124476	0.06220281	
696.82	0.11218573	0.06360536	
697.02	0.1128228	0.06500059	
697.22	0.11370185	0.06638854	
697.42	0.11475542	0.06776925	
697.62	0.1160917	0.06914277	
697.82	0.11722962	0.07050912	
698.02	0.1184316	0.07186836	
698.22	0.11985026	0.07322051	
698.42	0.12106971	0.07456562	
698.62	0.12176299	0.07590372	
698.82	0.12312873	0.07723486	
699.02	0.12458273	0.07855907	
699.22	0.12609639	0.0798764	
699.42	0.12669886	0.08118686	
699.62	0.12770275	0.08249052	
699.82	0.12873047	0.08378739	
700.02	0.1297829	0.08507753	
700.22	0.13045195	0.08636096	
700.42	0.13174627	0.08763772	
700.62	0.13295246	0.08890785	
700.82	0.13311511	0.09017139	
701.02	0.13354735	0.09142837	
701.22	0.13451256	0.09267882	
701.42	0.13499538	0.09392279	
701.62	0.13541321	0.0951603	
701.82	0.13559908	0.0963914	
702.02	0.13632902	0.09761612	
702.22	0.13689479	0.09883449	
702.42	0.13749873	0.10004655	
702.62	0.13835445	0.10125233	
702.82	0.13908474	0.10245187	
703.02	0.14007517	0.1036452	
703.22	0.1408756	0.10483236	
703.42	0.14116409	0.10601337	
703.62	0.14224093	0.10718827	
703.82	0.14312333	0.1083571	
704.02	0.14419454	0.10951989	
704.22	0.14506518	0.11067667	
704.42	0.1463179	0.11182748	
704.62	0.14653636	0.11297234	
704.82	0.14723009	0.11411129	
705.02	0.14800227	0.11524437	
705.22	0.14892212	0.11637159	
705.42	0.1504227	0.11749301	
705.62	0.1515078	0.11860864	
705.82	0.15227728	0.11971852	
706.02	0.15349678	0.12082268	
706.22	0.15457011	0.12192115	
706.42	0.15520853	0.12301396	
706.62	0.15578003	0.12410115	
706.82	0.15604613	0.12518274	
707.02	0.15618335	0.12625877	
707.22	0.15601311	0.12732926	
707.42	0.15579575	0.12839425	
707.62	0.15612851	0.12945377	
707.82	0.15595756	0.13050784	
708.02	0.15611587	0.13155649	
708.22	0.15627152	0.13259976	
708.42	0.15669502	0.13363768	
708.62	0.15623748	0.13467027	
708.82	0.15641102	0.13569756	
709.02	0.15683262	0.13671958	
709.22	0.15785234	0.13773636	
709.42	0.15898658	0.13874793	
709.62	0.15930139	0.13975432	
709.82	0.16022405	0.14075556	
710.02	0.16106678	0.14175166	
710.22	0.1622	0.14274267	
710.42	0.16291465	0.14372861	
710.62	0.16383567	0.14470951	
710.82	0.16437182	0.14568539	
711.02	0.16447309	0.14665629	
711.22	0.16550388	0.14762222	
711.42	0.16636609	0.14858322	
711.62	0.16679658	0.14953931	
711.82	0.16739933	0.15049052	
712.02	0.16769584	0.15143688	
712.22	0.16798894	0.15237842	
712.42	0.16825742	0.15331515	
712.62	0.16838425	0.15424711	
712.82	0.16902573	0.15517432	
713.02	0.17001682	0.1560968	
713.22	0.17021122	0.1570146	
713.42	0.17110693	0.15792772	
713.62	0.17134794	0.15883619	
713.82	0.17265574	0.15974005	
714.02	0.17324327	0.16063931	
714.22	0.17394033	0.161534	
714.42	0.17452374	0.16242414	
714.62	0.17570009	0.16330977	
714.82	0.17639612	0.1641909	
715.02	0.17717142	0.16506756	
715.22	0.17835477	0.16593977	
715.42	0.17868181	0.16680757	
715.62	0.17950671	0.16767096	
715.82	0.1803925	0.16852998	
716.02	0.18061621	0.16938465	
716.22	0.18111884	0.17023499	
716.42	0.18172458	0.17108103	
716.62	0.18277	0.17192279	
716.82	0.18329657	0.1727603	
717.02	0.18364892	0.17359357	
717.22	0.18348307	0.17442263	
717.42	0.18415456	0.17524751	
717.62	0.18390027	0.17606822	
717.82	0.18427179	0.17688479	
718.02	0.1835353	0.17769724	
718.22	0.1835171	0.1785056	
718.42	0.18373994	0.17930988	
718.62	0.18424309	0.18011011	
718.82	0.18435698	0.18090631	
719.02	0.18506423	0.1816985	
719.22	0.18533698	0.18248671	
719.42	0.18633566	0.18327096	
719.62	0.18796747	0.18405126	
719.82	0.18907319	0.18482764	
720.02	0.18994018	0.18560012	
720.22	0.19075608	0.18636872	
720.42	0.19173818	0.18713347	
720.62	0.19312356	0.18789438	
720.82	0.19364722	0.18865147	
721.02	0.19427666	0.18940478	
721.22	0.19491728	0.1901543	
721.42	0.19560066	0.19090008	
721.62	0.19592404	0.19164212	
721.82	0.19623693	0.19238045	
722.02	0.19668645	0.19311509	
722.22	0.19716899	0.19384605	
722.42	0.19715325	0.19457337	
722.62	0.19737931	0.19529705	
722.82	0.19764146	0.19601712	
723.02	0.19776651	0.1967336	
723.22	0.19724445	0.1974465	
723.42	0.19753643	0.19815585	
723.62	0.19811451	0.19886167	
723.82	0.19844696	0.19956397	
724.02	0.19860409	0.20026278	
724.22	0.19896956	0.20095811	
724.42	0.19960844	0.20164998	
724.62	0.20045551	0.20233842	
724.82	0.20130491	0.20302343	
725.02	0.20191793	0.20370504	
725.22	0.20283952	0.20438327	
725.42	0.20398	0.20505814	
725.62	0.20502863	0.20572966	
725.82	0.20576611	0.20639785	
726.02	0.20634111	0.20706273	
726.22	0.20658642	0.20772432	
726.42	0.2072257	0.20838264	
726.62	0.20733137	0.2090377	
726.82	0.20727432	0.20968952	
727.02	0.20737653	0.21033812	
727.22	0.20763993	0.21098352	
727.42	0.20808986	0.21162574	
727.62	0.20896926	0.21226478	
727.82	0.20935925	0.21290067	
728.02	0.20996172	0.21353343	
728.22	0.21036355	0.21416308	
728.42	0.21119246	0.21478962	
728.62	0.21180092	0.21541308	
728.82	0.21236762	0.21603348	
729.02	0.21299752	0.21665083	
729.22	0.21378553	0.21726514	
729.42	0.21468229	0.21787644	
729.62	0.21507353	0.21848473	
729.82	0.21547094	0.21909005	
730.02	0.21603661	0.21969239	
730.22	0.21626148	0.22029179	
730.42	0.21650064	0.22088825	
730.62	0.21625308	0.22148179	
730.82	0.21641813	0.22207243	
731.02	0.21653516	0.22266018	
731.22	0.21675879	0.22324506	
731.42	0.21691038	0.22382708	
731.62	0.21740448	0.22440626	
731.82	0.218154	0.22498262	
732.02	0.2183423	0.22555617	
732.22	0.21877198	0.22612692	
732.42	0.21982034	0.2266949	
732.62	0.22017834	0.22726011	
732.82	0.22041387	0.22782257	
733.02	0.22088004	0.2283823	
733.22	0.22174623	0.22893931	
733.42	0.22205843	0.22949361	
733.62	0.22274414	0.23004523	
733.82	0.22322771	0.23059417	
734.02	0.2238905	0.23114045	
734.22	0.22406306	0.23168408	
734.42	0.22394125	0.23222508	
734.62	0.22424631	0.23276347	
734.82	0.22460545	0.23329925	
735.02	0.22489997	0.23383244	
735.22	0.2254181	0.23436306	
735.42	0.22563893	0.23489112	
735.62	0.22587635	0.23541663	
735.82	0.22611687	0.23593961	
736.02	0.22652324	0.23646007	
736.22	0.22709283	0.23697802	
736.42	0.22724837	0.23749349	
736.62	0.22734811	0.23800647	
736.82	0.22784608	0.23851699	
737.02	0.22860096	0.23902506	
737.22	0.22986538	0.23953069	
737.42	0.23042636	0.24003389	
737.62	0.2314302	0.24053468	
737.82	0.2323778	0.24103308	
738.02	0.23335582	0.24152909	
738.22	0.23397535	0.24202273	
738.42	0.23477491	0.242514	
738.62	0.2352971	0.24300293	
738.82	0.23587358	0.24348953	
739.02	0.23594924	0.24397381	
739.22	0.23632631	0.24445577	
739.42	0.23594055	0.24493544	
739.62	0.23609038	0.24541283	
739.82	0.23629269	0.24588794	
740.02	0.23693723	0.2463608	
740.22	0.23689725	0.24683141	
740.42	0.23724816	0.24729979	
740.62	0.238026	0.24776594	
740.82	0.2383205	0.24822988	
741.02	0.23863895	0.24869163	
741.22	0.23943908	0.24915119	
741.42	0.24008484	0.24960857	
741.62	0.24026585	0.25006379	
741.82	0.24097456	0.25051686	
742.02	0.24115614	0.2509678	
742.22	0.24150246	0.2514166	
742.42	0.24154296	0.25186329	
742.62	0.24180773	0.25230787	
742.82	0.24234317	0.25275036	
743.02	0.24209994	0.25319077	
743.22	0.24232472	0.25362911	
743.42	0.24237847	0.25406539	
743.62	0.24250618	0.25449962	
743.82	0.24282029	0.25493182	
744.02	0.24345536	0.25536199	
744.22	0.24364001	0.25579014	
744.42	0.24384613	0.25621629	
744.62	0.24374254	0.25664045	
744.82	0.24401968	0.25706263	
745.02	0.24488198	0.25748283	
745.22	0.24605706	0.25790108	
745.42	0.24624907	0.25831737	
745.62	0.24680126	0.25873172	
745.82	0.24765925	0.25914415	
746.02	0.24795421	0.25955466	
746.22	0.24852647	0.25996326	
746.42	0.24897899	0.26036996	
746.62	0.25007613	0.26077477	
746.82	0.25033428	0.26117771	
747.02	0.25036132	0.26157878	
747.22	0.25058838	0.26197799	
747.42	0.25137523	0.26237536	
747.62	0.25162712	0.26277089	
