Conc1	1E-06	
Start1	690.02	
Stop1	2789.83	
Kobs	0.301611679643999	
Error Kobs	0.0124828193204479	
Koff	0.0422790908597003	
Error Koff	0.000865266768246945	
Time1	Data1	Fit1	
690.02	0.0405677	0.0405677	
690.22	0.05831036	0.06179616	
690.42	0.07854376	0.08180006	
690.62	0.10072162	0.10065107	
690.82	0.12442219	0.11841665	
691.02	0.14905077	0.13516033	
691.22	0.17361777	0.15094192	
691.42	0.19727109	0.16581771	
691.62	0.21959585	0.17984073	
691.82	0.23946133	0.19306086	
692.02	0.25604158	0.20552511	
692.22	0.26896094	0.21727769	
692.42	0.27898899	0.22836025	
692.62	0.2866556	0.238812	
692.82	0.29255327	0.24866986	
693.02	0.29820575	0.25796856	
693.22	0.30236283	0.26674083	
693.42	0.30599184	0.27501746	
693.62	0.30970563	0.28282747	
693.82	0.31302644	0.29019813	
694.02	0.31570048	0.29715517	
694.22	0.31884993	0.30372277	
694.42	0.32159885	0.30992371	
694.62	0.32397541	0.31577946	
694.82	0.3264826	0.32131018	
695.02	0.3289301	0.32653491	
695.22	0.33142637	0.33147152	
695.42	0.33332517	0.33613688	
695.62	0.33527508	0.34054685	
695.82	0.33670472	0.34471636	
696.02	0.33861154	0.34865947	
696.22	0.34048422	0.35238942	
696.42	0.34185472	0.35591867	
696.62	0.34317058	0.35925895	
696.82	0.34489049	0.36242132	
697.02	0.34610831	0.36541616	
697.22	0.34759509	0.36825328	
697.42	0.34917708	0.37094188	
697.62	0.35136642	0.37349065	
697.82	0.35258091	0.37590776	
698.02	0.35372631	0.3782009	
698.22	0.35537084	0.3803773	
698.42	0.35675855	0.38244379	
698.62	0.35761107	0.38440679	
698.82	0.35918349	0.38627234	
699.02	0.36072184	0.38804612	
699.22	0.36176453	0.3897335	
699.42	0.36251739	0.39133952	
699.62	0.36336839	0.39286891	
699.82	0.3638436	0.39432617	
700.02	0.36466795	0.39571548	
700.22	0.36518954	0.39704082	
700.42	0.36631712	0.39830591	
700.62	0.36717638	0.39951426	
700.82	0.36796146	0.40066918	
701.02	0.3687958	0.40177378	
701.22	0.36977095	0.402831	
701.42	0.37035741	0.40384359	
701.62	0.37110311	0.40481414	
701.82	0.37153061	0.40574511	
702.02	0.37227037	0.40663879	
702.22	0.3730313	0.40749736	
702.42	0.37349666	0.40832285	
702.62	0.3743156	0.40911718	
702.82	0.37514544	0.40988216	
703.02	0.37597657	0.4106195	
703.22	0.37620929	0.41133079	
703.42	0.37665024	0.41201756	
703.62	0.37683521	0.41268121	
703.82	0.37686358	0.41332308	
704.02	0.37779011	0.41394444	
704.22	0.37875598	0.41454648	
704.42	0.38032476	0.4151303	
704.62	0.38103792	0.41569695	
704.82	0.38235955	0.41624744	
705.02	0.38346011	0.41678268	
705.22	0.38410569	0.41730356	
705.42	0.38534058	0.4178109	
705.62	0.3862703	0.41830548	
705.82	0.38688421	0.41878803	
706.02	0.38778608	0.41925924	
706.22	0.38881478	0.41971976	
706.42	0.38935362	0.4201702	
706.62	0.38989804	0.42061114	
706.82	0.39013107	0.4210431	
707.02	0.39008243	0.42146662	
707.22	0.38974318	0.42188216	
707.42	0.38936114	0.42229018	
707.62	0.38959463	0.4226911	
707.82	0.38988916	0.42308532	
708.02	0.39028076	0.42347323	
708.22	0.39070012	0.42385517	
708.42	0.39145928	0.42423148	
708.62	0.39128909	0.42460247	
708.82	0.3916943	0.42496844	
709.02	0.3921028	0.42532968	
709.22	0.39266251	0.42568643	
709.42	0.39347643	0.42603895	
709.62	0.39368422	0.42638748	
709.82	0.39458887	0.42673223	
710.02	0.3957398	0.4270734	
710.22	0.39622842	0.4274112	
710.42	0.39675367	0.4277458	
710.62	0.39722848	0.42807738	
710.82	0.39764747	0.42840609	
711.02	0.39750674	0.4287321	
711.22	0.39870519	0.42905555	
711.42	0.39908598	0.42937656	
711.62	0.39945159	0.42969528	
711.82	0.4000636	0.43001181	
712.02	0.40012773	0.43032627	
712.22	0.4005489	0.43063877	
712.42	0.40100257	0.43094941	
712.62	0.40063317	0.43125829	
712.82	0.4013813	0.43156548	
713.02	0.40175859	0.43187108	
713.22	0.40200599	0.43217516	
713.42	0.40291593	0.4324778	
713.62	0.40338538	0.43277906	
713.82	0.404364	0.43307902	
714.02	0.40495438	0.43337774	
714.22	0.40485935	0.43367527	
714.42	0.40551849	0.43397167	
714.62	0.4058501	0.43426698	
714.82	0.40695356	0.43456127	
715.02	0.40779611	0.43485457	
715.22	0.40875019	0.43514693	
715.42	0.40862112	0.43543838	
715.62	0.40954945	0.43572898	
715.82	0.41060062	0.43601874	
716.02	0.41082172	0.43630772	
716.22	0.41107599	0.43659593	
716.42	0.41146519	0.43688341	
716.62	0.41151164	0.43717019	
716.82	0.41188455	0.43745629	
717.02	0.4116515	0.43774174	
717.22	0.41227223	0.43802657	
717.42	0.41287354	0.43831079	
717.62	0.41268054	0.43859443	
717.82	0.4128663	0.4388775	
718.02	0.41279743	0.43916002	
718.22	0.41251361	0.43944202	
718.42	0.41327212	0.43972351	
718.62	0.41399062	0.44000451	
718.82	0.41483307	0.44028502	
719.02	0.41506555	0.44056507	
719.22	0.41539247	0.44084466	
719.42	0.41623957	0.44112381	
719.62	0.41751279	0.44140253	
719.82	0.41828617	0.44168083	
720.02	0.41907388	0.44195873	
720.22	0.41954994	0.44223622	
720.42	0.42011379	0.44251333	
720.62	0.42076058	0.44279006	
720.82	0.4210204	0.44306641	
721.02	0.42144578	0.4433424	
721.22	0.42194966	0.44361803	
721.42	0.42193794	0.4438933	
721.62	0.42187076	0.44416824	
721.82	0.42175979	0.44444283	
722.02	0.42199132	0.4447171	
722.22	0.42210143	0.44499103	
722.42	0.42246348	0.44526465	
722.62	0.42238292	0.44553794	
722.82	0.4228435	0.44581093	
723.02	0.42286616	0.4460836	
723.22	0.42282972	0.44635597	
723.42	0.42315205	0.44662804	
723.62	0.42371925	0.44689982	
723.82	0.42422884	0.44717129	
724.02	0.42454199	0.44744248	
724.22	0.42503619	0.44771339	
724.42	0.42567525	0.447984	
724.62	0.42636212	0.44825434	
724.82	0.42717013	0.4485244	
725.02	0.4275371	0.44879418	
725.22	0.42753511	0.44906368	
725.42	0.42826603	0.44933292	
725.62	0.42871236	0.44960188	
725.82	0.42960693	0.44987058	
726.02	0.4302753	0.45013901	
726.22	0.43079748	0.45040718	
726.42	0.43153282	0.45067508	
726.62	0.43198576	0.45094272	
726.82	0.4324307	0.4512101	
727.02	0.43237221	0.45147723	
727.22	0.43246585	0.4517441	
727.42	0.43290824	0.45201071	
727.62	0.43358638	0.45227707	
727.82	0.43412768	0.45254317	
728.02	0.43441925	0.45280903	
728.22	0.43486173	0.45307463	
728.42	0.43539305	0.45333998	
728.62	0.43543096	0.45360508	
728.82	0.43528236	0.45386994	
729.02	0.43525162	0.45413455	
729.22	0.43516804	0.45439891	
729.42	0.43572922	0.45466303	
729.62	0.43587417	0.4549269	
729.82	0.43648563	0.45519053	
730.02	0.43689094	0.45545391	
730.22	0.43737199	0.45571706	
730.42	0.43761982	0.45597996	
730.62	0.43758706	0.45624262	
730.82	0.43793	0.45650503	
731.02	0.4382301	0.45676721	
731.22	0.43894385	0.45702915	
731.42	0.43946122	0.45729085	
731.62	0.44012247	0.45755231	
731.82	0.44064922	0.45781354	
732.02	0.44092741	0.45807452	
732.22	0.44130117	0.45833527	
732.42	0.44189384	0.45859578	
732.62	0.44194235	0.45885606	
732.82	0.44213189	0.4591161	
733.02	0.44251305	0.4593759	
733.22	0.44255137	0.45963547	
733.42	0.44230154	0.45989481	
733.62	0.44269434	0.46015391	
733.82	0.44350099	0.46041277	
734.02	0.44382132	0.46067141	
734.22	0.44400099	0.46092981	
734.42	0.44405111	0.46118798	
734.62	0.44440449	0.46144591	
734.82	0.44538952	0.46170361	
735.02	0.44582741	0.46196109	
735.22	0.44652905	0.46221833	
735.42	0.44666221	0.46247533	
735.62	0.44705805	0.46273211	
735.82	0.44736665	0.46298866	
736.02	0.44802925	0.46324497	
736.22	0.44823648	0.46350106	
736.42	0.44820033	0.46375692	
736.62	0.44830294	0.46401254	
736.82	0.44869077	0.46426794	
737.02	0.44903986	0.46452311	
737.22	0.44995391	0.46477805	
737.42	0.4499908	0.46503276	
737.62	0.45049779	0.46528724	
737.82	0.45148595	0.4655415	
738.02	0.45224973	0.46579553	
738.22	0.45307448	0.46604933	
738.42	0.45391809	0.4663029	
738.62	0.4546121	0.46655625	
738.82	0.45552174	0.46680937	
739.02	0.45571564	0.46706226	
739.22	0.45592568	0.46731492	
739.42	0.4563855	0.46756736	
739.62	0.45672788	0.46781958	
739.82	0.45692392	0.46807157	
740.02	0.45711723	0.46832333	
740.22	0.45675211	0.46857487	
740.42	0.45692779	0.46882618	
740.62	0.457249	0.46907727	
740.82	0.45750807	0.46932813	
741.02	0.45771336	0.46957877	
741.22	0.45776991	0.46982919	
741.42	0.4575822	0.47007938	
741.62	0.45763304	0.47032935	
741.82	0.45853469	0.47057909	
742.02	0.45865345	0.47082861	
742.22	0.45886352	0.47107791	
742.42	0.45951025	0.47132699	
742.62	0.45984583	0.47157584	
742.82	0.46042225	0.47182447	
743.02	0.46019406	0.47207288	
743.22	0.46014725	0.47232107	
743.42	0.46073984	0.47256903	
743.62	0.46071667	0.47281678	
743.82	0.46108044	0.4730643	
744.02	0.4614242	0.4733116	
744.22	0.46141832	0.47355868	
744.42	0.46153541	0.47380554	
744.62	0.4614985	0.47405218	
744.82	0.46174542	0.47429859	
745.02	0.46212241	0.47454479	
745.22	0.46265244	0.47479077	
745.42	0.46315899	0.47503653	
745.62	0.46383874	0.47528207	
745.82	0.46465174	0.47552739	
746.02	0.46498749	0.47577249	
746.22	0.46563149	0.47601737	
746.42	0.46647021	0.47626203	
746.62	0.46694231	0.47650648	
746.82	0.4673092	0.4767507	
747.02	0.46745689	0.47699471	
747.22	0.46766295	0.4772385	
747.42	0.46869861	0.47748207	
747.62	0.46925402	0.47772543	
747.82	0.46994413	0.47796857	
748.02	0.47003499	0.47821149	
748.22	0.46973832	0.47845419	
748.42	0.46981538	0.47869668	
748.62	0.47034835	0.47893895	
748.82	0.47082786	0.479181	
749.02	0.47115476	0.47942284	
749.22	0.47184439	0.47966446	
749.42	0.47219229	0.47990586	
749.62	0.47240028	0.48014705	
749.82	0.47240123	0.48038803	
750.02	0.47215965	0.48062879	
750.22	0.47218559	0.48086933	
750.42	0.47346267	0.48110966	
750.62	0.47375075	0.48134978	
750.82	0.47404712	0.48158968	
751.02	0.4744053	0.48182937	
751.22	0.47485972	0.48206884	
751.42	0.47552343	0.4823081	
751.62	0.47579038	0.48254714	
751.82	0.47593335	0.48278597	
752.02	0.47622646	0.48302459	
752.22	0.47650609	0.483263	
752.42	0.4772778	0.48350119	
752.62	0.47829329	0.48373917	
752.82	0.47885068	0.48397694	
753.02	0.47945194	0.48421449	
753.22	0.48021628	0.48445183	
753.42	0.48041649	0.48468897	
753.62	0.48082316	0.48492588	
753.82	0.48125698	0.48516259	
754.02	0.48188511	0.48539909	
754.22	0.48253538	0.48563537	
754.42	0.48344721	0.48587145	
754.62	0.4831644	0.48610731	
754.82	0.48324782	0.48634296	
755.02	0.48360622	0.4865784	
755.22	0.48366301	0.48681364	
755.42	0.48317635	0.48704866	
755.62	0.48303519	0.48728347	
755.82	0.48318263	0.48751807	
756.02	0.48358503	0.48775246	
756.22	0.48370875	0.48798665	
756.42	0.48408317	0.48822062	
756.62	0.48434839	0.48845439	
756.82	0.48468631	0.48868794	
757.02	0.4851527	0.48892129	
757.22	0.48561432	0.48915443	
757.42	0.48599927	0.48938736	
757.62	0.48661468	0.48962009	
757.82	0.48643481	0.4898526	
758.02	0.48739107	0.49008491	
758.22	0.48788855	0.49031701	
758.42	0.48861258	0.49054891	
758.62	0.48901492	0.49078059	
758.82	0.48923945	0.49101207	
759.02	0.48945564	0.49124334	
759.22	0.48911356	0.49147441	
759.42	0.48915206	0.49170527	
759.62	0.48949289	0.49193593	
759.82	0.49027653	0.49216637	
760.02	0.49046301	0.49239662	
760.22	0.49032374	0.49262665	
760.42	0.49066415	0.49285648	
760.62	0.49139426	0.49308611	
760.82	0.49157977	0.49331553	
761.02	0.49165178	0.49354475	
761.22	0.49222414	0.49377376	
761.42	0.49270098	0.49400256	
761.62	0.49334375	0.49423117	
761.82	0.49383672	0.49445956	
762.02	0.49479806	0.49468776	
762.22	0.49468514	0.49491575	
762.42	0.49523297	0.49514354	
762.62	0.49531932	0.49537112	
762.82	0.49525813	0.4955985	
763.02	0.49536306	0.49582568	
763.22	0.49558644	0.49605265	
763.42	0.49573859	0.49627943	
763.62	0.49601664	0.49650599	
763.82	0.49690322	0.49673236	
764.02	0.49716834	0.49695853	
764.22	0.49820405	0.49718449	
764.42	0.49942189	0.49741025	
764.62	0.50018348	0.49763581	
764.82	0.50013231	0.49786117	
765.02	0.50070646	0.49808633	
765.22	0.50168427	0.49831128	
765.42	0.5026056	0.49853604	
765.62	0.5033003	0.49876059	
765.82	0.50347428	0.49898495	
766.02	0.50257215	0.4992091	
766.22	0.50246466	0.49943305	
766.42	0.50264297	0.49965681	
766.62	0.50213788	0.49988036	
766.82	0.50218384	0.50010371	
767.02	0.50221116	0.50032687	
767.22	0.50155878	0.50054982	
767.42	0.50143213	0.50077258	
767.62	0.50226853	0.50099514	
767.82	0.50273052	0.5012175	
768.02	0.50321058	0.50143966	
768.22	0.50443228	0.50166162	
768.42	0.50517942	0.50188338	
768.62	0.50578762	0.50210495	
768.82	0.50643629	0.50232631	
769.02	0.50743182	0.50254748	
769.22	0.50845292	0.50276846	
769.42	0.50946033	0.50298923	
769.62	0.50973924	0.50320981	
769.82	0.50996471	0.50343019	
770.02	0.50952915	0.50365038	
770.22	0.50955433	0.50387036	
770.42	0.50933269	0.50409015	
770.62	0.50871145	0.50430975	
770.82	0.5090022	0.50452915	
771.02	0.50864569	0.50474835	
771.22	0.50855202	0.50496736	
771.42	0.50944641	0.50518617	
771.62	0.50964242	0.50540479	
771.82	0.50966862	0.50562321	
772.02	0.5099959	0.50584143	
772.22	0.51079162	0.50605947	
772.42	0.51156211	0.5062773	
772.62	0.51262888	0.50649494	
772.82	0.51321113	0.50671239	
773.02	0.51343988	0.50692965	
773.22	0.51374256	0.5071467	
773.42	0.5145963	0.50736357	
773.62	0.51454109	0.50758024	
773.82	0.51465287	0.50779672	
774.02	0.51424469	0.50801301	
774.22	0.51407612	0.5082291	
774.42	0.51434228	0.508445	
774.62	0.51422597	0.5086607	
774.82	0.51475935	0.50887622	
775.02	0.51488086	0.50909154	
775.22	0.51540891	0.50930667	
775.42	0.51577513	0.50952161	
775.62	0.51546487	0.50973635	
775.82	0.51575575	0.5099509	
776.02	0.51613713	0.51016527	
776.22	0.51661782	0.51037944	
776.42	0.51729395	0.51059342	
776.62	0.51810431	0.5108072	
776.82	0.51811102	0.5110208	
777.02	0.5181558	0.51123421	
777.22	0.51813995	0.51144742	
777.42	0.51835059	0.51166045	
777.62	0.51830461	0.51187328	
777.82	0.51848149	0.51208593	
778.02	0.51899462	0.51229838	
778.22	0.51945734	0.51251065	
778.42	0.51952002	0.51272273	
778.62	0.519589	0.51293461	
778.82	0.51992558	0.51314631	
779.02	0.52010515	0.51335782	
779.22	0.52021015	0.51356914	
779.42	0.52028889	0.51378027	
779.62	0.52049628	0.51399121	
779.82	0.52091319	0.51420197	
780.02	0.52121533	0.51441253	
780.22	0.52127453	0.51462291	
780.42	0.52240865	0.5148331	
780.62	0.52297121	0.5150431	
780.82	0.52304236	0.51525292	
781.02	0.52355282	0.51546254	
781.22	0.52361837	0.51567198	
781.42	0.52419994	0.51588124	
781.62	0.52460965	0.5160903	
781.82	0.52476424	0.51629918	
782.02	0.52534699	0.51650788	
782.22	0.52580968	0.51671638	
782.42	0.52591673	0.5169247	
782.62	0.52626134	0.51713284	
782.82	0.52674125	0.51734079	
783.02	0.52699728	0.51754855	
783.22	0.52711641	0.51775613	
783.42	0.527578	0.51796352	
783.62	0.52784065	0.51817073	
783.82	0.52809581	0.51837775	
784.02	0.52853262	0.51858459	
784.22	0.52910439	0.51879124	
784.42	0.53001587	0.51899771	
784.62	0.53039316	0.51920399	
784.82	0.53106717	0.51941009	
785.02	0.53148671	0.51961601	
785.22	0.5315778	0.51982174	
785.42	0.53205705	0.52002729	
785.62	0.53154464	0.52023265	
785.82	0.53136976	0.52043783	
786.02	0.5319179	0.52064283	
786.22	0.53176959	0.52084764	
786.42	0.53114516	0.52105227	
786.62	0.53126365	0.52125672	
786.82	0.53129997	0.52146099	
787.02	0.53136862	0.52166507	
787.22	0.53133724	0.52186898	
787.42	0.53169789	0.5220727	
787.62	0.53138185	0.52227623	
787.82	0.53158363	0.52247959	
788.02	0.53156703	0.52268276	
788.22	0.53196449	0.52288576	
788.42	0.53261074	0.52308857	
788.62	0.5335929	0.5232912	
788.82	0.53424377	0.52349365	
789.02	0.53512624	0.52369592	
789.22	0.53603078	0.52389801	
789.42	0.53635351	0.52409992	
789.62	0.53677685	0.52430164	
789.82	0.53726327	0.52450319	
790.02	0.53778889	0.52470456	
790.22	0.53748744	0.52490575	
790.42	0.53757885	0.52510675	
790.62	0.53820798	0.52530758	
790.82	0.53813234	0.52550823	
791.02	0.53813582	0.5257087	
791.22	0.53813467	0.52590899	
791.42	0.53787804	0.52610911	
791.62	0.53743101	0.52630904	
791.82	0.53776564	0.52650879	
792.02	0.53810056	0.52670837	
792.22	0.53866591	0.52690777	
792.42	0.53970957	0.52710699	
792.62	0.54096498	0.52730603	
792.82	0.54162779	0.5275049	
793.02	0.54286999	0.52770358	
793.22	0.54320345	0.52790209	
793.42	0.54363986	0.52810043	
793.62	0.54473297	0.52829858	
793.82	0.54494764	0.52849656	
794.02	0.54524935	0.52869436	
794.22	0.54518168	0.52889199	
