Conc1	1E-06	
Start1	690.02	
Stop1	2789.83	
Kobs	0.203855995450754	
Error Kobs	0.00488852571643272	
Koff	0.0311638609549926	
Error Koff	0.000580846854744842	
Time1	Data1	Fit1	
690.02	0.03934421	0.03934421	
690.22	0.05676907	0.05545589	
690.42	0.07692872	0.0709325	
690.62	0.0988159	0.08579941	
690.82	0.12194611	0.10008098	
691.02	0.14624469	0.11380057	
691.22	0.17015154	0.12698065	
691.42	0.19279554	0.13964275	
691.62	0.21437923	0.15180756	
691.82	0.23385765	0.16349495	
692.02	0.24975918	0.17472398	
692.22	0.26172498	0.18551295	
692.42	0.27094981	0.19587945	
692.62	0.27872548	0.20584035	
692.82	0.28473364	0.21541184	
693.02	0.2903662	0.22460947	
693.22	0.29536853	0.23344818	
693.42	0.29985345	0.24194229	
693.62	0.30409246	0.25010558	
693.82	0.30814183	0.25795124	
694.02	0.31186943	0.26549197	
694.22	0.31563913	0.27273994	
694.42	0.3192134	0.27970684	
694.62	0.32218129	0.28640389	
694.82	0.32519146	0.29284187	
695.02	0.3283476	0.29903112	
695.22	0.33084715	0.30498157	
695.42	0.33289116	0.31070276	
695.62	0.3353844	0.31620384	
695.82	0.33719476	0.3214936	
696.02	0.33880493	0.32658048	
696.22	0.34094754	0.33147257	
696.42	0.34222675	0.33617765	
696.62	0.34389147	0.34070318	
696.82	0.34576052	0.34505634	
697.02	0.34731538	0.349244	
697.22	0.34949585	0.35327277	
697.42	0.35120426	0.35714899	
697.62	0.35371827	0.36087876	
697.82	0.35587519	0.3644679	
698.02	0.35769485	0.36792205	
698.22	0.35949465	0.37124658	
698.42	0.36103618	0.37444666	
698.62	0.36218332	0.37752727	
698.82	0.36389839	0.38049317	
699.02	0.36528505	0.38334893	
699.22	0.36668739	0.38609896	
699.42	0.36774366	0.38874747	
699.62	0.36903196	0.3912985	
699.82	0.37005755	0.39375595	
700.02	0.37138351	0.39612356	
700.22	0.37274813	0.39840489	
700.42	0.37399091	0.40060341	
700.62	0.37529493	0.4027224	
700.82	0.37620399	0.40476503	
701.02	0.37721036	0.40673437	
701.22	0.37824672	0.40863331	
701.42	0.37906198	0.41046469	
701.62	0.38033143	0.41223117	
701.82	0.38114053	0.41393536	
702.02	0.38216204	0.41557974	
702.22	0.38285718	0.41716668	
702.42	0.38350475	0.41869848	
702.62	0.38411228	0.42017734	
702.82	0.38492888	0.42160536	
703.02	0.38560584	0.42298457	
703.22	0.38685281	0.42431692	
703.42	0.38789404	0.42560427	
703.62	0.38918902	0.4268484	
703.82	0.39017724	0.42805105	
704.02	0.39124987	0.42921387	
704.22	0.39237282	0.43033844	
704.42	0.39400319	0.43142627	
704.62	0.39467431	0.43247884	
704.82	0.39599541	0.43349755	
705.02	0.39699613	0.43448375	
705.22	0.39788942	0.43543872	
705.42	0.3995536	0.43636371	
705.62	0.40048626	0.43725991	
705.82	0.40152555	0.43812846	
706.02	0.40218555	0.43897047	
706.22	0.40319809	0.43978699	
706.42	0.40294827	0.44057903	
706.62	0.40326822	0.44134756	
706.82	0.40339436	0.44209352	
707.02	0.40370573	0.44281781	
707.22	0.40444391	0.44352127	
707.42	0.40505643	0.44420475	
707.62	0.40556898	0.44486903	
707.82	0.40571744	0.44551487	
708.02	0.40598729	0.44614301	
708.22	0.40634431	0.44675414	
708.42	0.40737656	0.44734894	
708.62	0.40742348	0.44792806	
708.82	0.40790668	0.44849211	
709.02	0.40849235	0.4490417	
709.22	0.40946914	0.4495774	
709.42	0.41028484	0.45009975	
709.62	0.41029674	0.45060928	
709.82	0.41100535	0.4511065	
710.02	0.41117106	0.45159189	
710.22	0.41176318	0.45206593	
710.42	0.4115761	0.45252905	
710.62	0.41246711	0.4529817	
710.82	0.41324186	0.45342428	
711.02	0.41372718	0.45385719	
711.22	0.41532553	0.4542808	
711.42	0.41652295	0.4546955	
711.62	0.4170449	0.45510162	
711.82	0.41814457	0.4554995	
712.02	0.4186004	0.45588947	
712.22	0.41939057	0.45627184	
712.42	0.4207506	0.45664691	
712.62	0.42136623	0.45701495	
712.82	0.422733	0.45737625	
713.02	0.42370115	0.45773108	
713.22	0.42413831	0.45807967	
713.42	0.42472685	0.45842228	
713.62	0.42508407	0.45875914	
713.82	0.4256632	0.45909048	
714.02	0.42606567	0.45941651	
714.22	0.42612933	0.45973743	
714.42	0.42658275	0.46005344	
714.62	0.42706748	0.46036474	
714.82	0.42771221	0.46067151	
715.02	0.428215	0.46097392	
715.22	0.42938945	0.46127214	
715.42	0.4296429	0.46156633	
715.62	0.43035406	0.46185666	
715.82	0.43108546	0.46214326	
716.02	0.43116403	0.46242628	
716.22	0.43184431	0.46270586	
716.42	0.43242083	0.46298213	
716.62	0.43330159	0.46325521	
716.82	0.43381972	0.46352524	
717.02	0.43382969	0.46379232	
717.22	0.43429514	0.46405656	
717.42	0.43457931	0.46431808	
717.62	0.43451188	0.46457698	
717.82	0.43483506	0.46483336	
718.02	0.43471221	0.46508731	
718.22	0.43439364	0.46533892	
718.42	0.43500069	0.46558829	
718.62	0.43568937	0.46583549	
718.82	0.4362179	0.46608061	
719.02	0.43696508	0.46632372	
719.22	0.4377919	0.46656491	
719.42	0.43825899	0.46680423	
719.62	0.43936745	0.46704177	
719.82	0.44005341	0.46727758	
720.02	0.44078981	0.46751173	
720.22	0.44132724	0.46774427	
720.42	0.44204971	0.46797528	
720.62	0.4434873	0.46820481	
720.82	0.44399058	0.4684329	
721.02	0.44446735	0.46865961	
721.22	0.44466494	0.46888499	
721.42	0.44462834	0.46910909	
721.62	0.44482659	0.46933195	
721.82	0.44568764	0.46955362	
722.02	0.44578219	0.46977414	
722.22	0.44618807	0.46999355	
722.42	0.44685609	0.47021189	
722.62	0.44710959	0.47042919	
722.82	0.44743451	0.4706455	
723.02	0.44779247	0.47086084	
723.22	0.44780124	0.47107526	
723.42	0.44797456	0.47128877	
723.62	0.4489519	0.47150142	
723.82	0.44926766	0.47171322	
724.02	0.4492755	0.47192422	
724.22	0.44964085	0.47213443	
724.42	0.4504235	0.47234389	
724.62	0.45130501	0.47255261	
724.82	0.45186129	0.47276062	
725.02	0.45189153	0.47296795	
725.22	0.45223817	0.47317461	
725.42	0.4530012	0.47338063	
725.62	0.45405969	0.47358603	
725.82	0.45489122	0.47379082	
726.02	0.45477549	0.47399503	
726.22	0.45523801	0.47419868	
726.42	0.45561325	0.47440177	
726.62	0.45582326	0.47460433	
726.82	0.45563663	0.47480638	
727.02	0.45563194	0.47500792	
727.22	0.45550625	0.47520898	
727.42	0.45575354	0.47540956	
727.62	0.45615348	0.47560968	
727.82	0.45628545	0.47580936	
728.02	0.45679426	0.47600861	
728.22	0.45719163	0.47620743	
728.42	0.45803849	0.47640584	
728.62	0.4581326	0.47660386	
728.82	0.45859757	0.47680148	
729.02	0.45928669	0.47699873	
729.22	0.46030443	0.47719561	
729.42	0.46099086	0.47739213	
729.62	0.46154021	0.4775883	
729.82	0.46199184	0.47778413	
730.02	0.46274166	0.47797962	
730.22	0.4633179	0.47817479	
730.42	0.46359346	0.47836965	
730.62	0.46396605	0.47856419	
730.82	0.46375117	0.47875843	
731.02	0.4638566	0.47895237	
731.22	0.46400424	0.47914603	
731.42	0.4640005	0.4793394	
731.62	0.46415899	0.4795325	
731.82	0.46475901	0.47972532	
732.02	0.46466363	0.47991788	
732.22	0.46484888	0.48011018	
732.42	0.46550156	0.48030222	
732.62	0.46543889	0.48049401	
732.82	0.46609513	0.48068556	
733.02	0.46648185	0.48087687	
733.22	0.46671739	0.48106793	
733.42	0.46686032	0.48125877	
733.62	0.46724284	0.48144938	
733.82	0.46797768	0.48163977	
734.02	0.46875208	0.48182993	
734.22	0.468957	0.48201988	
734.42	0.46928039	0.48220961	
734.62	0.47012788	0.48239913	
734.82	0.47066613	0.48258845	
735.02	0.4709407	0.48277756	
735.22	0.47159462	0.48296647	
735.42	0.47146721	0.48315518	
735.62	0.47152869	0.4833437	
735.82	0.47190235	0.48353202	
736.02	0.47216229	0.48372016	
736.22	0.472845	0.4839081	
736.42	0.47326745	0.48409586	
736.62	0.4733115	0.48428344	
736.82	0.47370356	0.48447084	
737.02	0.4739649	0.48465805	
737.22	0.47436013	0.48484509	
737.42	0.47449694	0.48503196	
737.62	0.47460788	0.48521865	
737.82	0.47543367	0.48540517	
738.02	0.47602333	0.48559152	
738.22	0.4761576	0.4857777	
738.42	0.47712934	0.48596371	
738.62	0.47790727	0.48614956	
738.82	0.47833002	0.48633524	
739.02	0.47856582	0.48652077	
739.22	0.47875749	0.48670613	
739.42	0.47826135	0.48689133	
739.62	0.47820077	0.48707638	
739.82	0.47872712	0.48726126	
740.02	0.47942651	0.48744599	
740.22	0.47958727	0.48763057	
740.42	0.47981984	0.48781499	
740.62	0.48027067	0.48799926	
740.82	0.48043349	0.48818338	
741.02	0.48050279	0.48836735	
741.22	0.48065488	0.48855116	
741.42	0.4807908	0.48873483	
741.62	0.48068296	0.48891835	
741.82	0.48147695	0.48910172	
742.02	0.48138526	0.48928495	
742.22	0.48158808	0.48946803	
742.42	0.48209803	0.48965097	
742.62	0.48225846	0.48983376	
742.82	0.48255069	0.4900164	
743.02	0.48246918	0.49019891	
743.22	0.48219463	0.49038127	
743.42	0.48228712	0.49056349	
743.62	0.48252111	0.49074557	
743.82	0.48316989	0.49092751	
744.02	0.48374597	0.49110931	
744.22	0.48362568	0.49129097	
744.42	0.48378676	0.4914725	
744.62	0.48392737	0.49165388	
744.82	0.48385176	0.49183513	
745.02	0.48438441	0.49201624	
745.22	0.4852099	0.49219721	
745.42	0.48542296	0.49237804	
745.62	0.48539894	0.49255874	
745.82	0.4861744	0.49273931	
746.02	0.48613686	0.49291974	
746.22	0.48626088	0.49310003	
746.42	0.48669213	0.49328019	
746.62	0.48748808	0.49346022	
746.82	0.48788517	0.49364011	
747.02	0.48836002	0.49381987	
747.22	0.48882683	0.4939995	
747.42	0.48974101	0.49417899	
747.62	0.49027908	0.49435835	
747.82	0.49144157	0.49453758	
748.02	0.49188125	0.49471668	
748.22	0.49178598	0.49489565	
748.42	0.49195513	0.49507449	
748.62	0.49212444	0.49525319	
748.82	0.49239638	0.49543177	
749.02	0.49282265	0.49561021	
749.22	0.49283977	0.49578852	
749.42	0.49227895	0.49596671	
749.62	0.49219563	0.49614476	
749.82	0.49228776	0.49632269	
750.02	0.49146511	0.49650049	
750.22	0.49086137	0.49667815	
750.42	0.49148349	0.49685569	
750.62	0.4921714	0.4970331	
750.82	0.49224605	0.49721039	
751.02	0.49264207	0.49738754	
751.22	0.49336735	0.49756457	
751.42	0.49385955	0.49774147	
751.62	0.49445867	0.49791824	
751.82	0.49498357	0.49809488	
752.02	0.49549404	0.4982714	
752.22	0.49576253	0.49844779	
752.42	0.49666019	0.49862406	
752.62	0.49745929	0.49880019	
752.82	0.49820575	0.49897621	
753.02	0.49910238	0.49915209	
753.22	0.49942564	0.49932785	
753.42	0.49962038	0.49950348	
753.62	0.50060329	0.49967899	
753.82	0.50060503	0.49985437	
754.02	0.50048461	0.50002963	
754.22	0.50092898	0.50020476	
754.42	0.50174279	0.50037977	
754.62	0.50200898	0.50055465	
754.82	0.5021803	0.5007294	
755.02	0.50227104	0.50090403	
755.22	0.50192976	0.50107854	
755.42	0.50140996	0.50125292	
755.62	0.50142579	0.50142718	
755.82	0.50101496	0.50160131	
756.02	0.50142714	0.50177532	
756.22	0.50098827	0.50194921	
756.42	0.50149012	0.50212297	
756.62	0.50170169	0.50229661	
756.82	0.50205264	0.50247013	
757.02	0.50217934	0.50264352	
757.22	0.50261465	0.50281679	
757.42	0.50258403	0.50298993	
757.62	0.50345693	0.50316295	
757.82	0.50357542	0.50333585	
758.02	0.50433754	0.50350863	
758.22	0.50480633	0.50368128	
758.42	0.50559273	0.50385381	
758.62	0.50614433	0.50402622	
758.82	0.50672924	0.50419851	
759.02	0.50653773	0.50437067	
759.22	0.50645902	0.50454271	
759.42	0.50695097	0.50471463	
759.62	0.50705822	0.50488643	
759.82	0.50737076	0.5050581	
760.02	0.50787679	0.50522966	
760.22	0.50768783	0.50540109	
760.42	0.50810912	0.5055724	
760.62	0.50841913	0.50574359	
760.82	0.50839393	0.50591466	
761.02	0.50847008	0.5060856	
761.22	0.50918068	0.50625643	
761.42	0.50924559	0.50642713	
761.62	0.50998514	0.50659771	
761.82	0.50991637	0.50676818	
762.02	0.5097668	0.50693852	
762.22	0.50943989	0.50710874	
762.42	0.50962378	0.50727884	
762.62	0.50952874	0.50744882	
762.82	0.50947357	0.50761868	
763.02	0.50897465	0.50778842	
763.22	0.50909454	0.50795804	
763.42	0.50945944	0.50812753	
763.62	0.50988361	0.50829691	
763.82	0.51095408	0.50846617	
764.02	0.5113827	0.50863531	
764.22	0.51219749	0.50880433	
764.42	0.51309193	0.50897323	
764.62	0.51378595	0.50914201	
764.82	0.51414338	0.50931067	
765.02	0.51470124	0.50947921	
765.22	0.51534057	0.50964763	
765.42	0.5155393	0.50981594	
765.62	0.51564798	0.50998412	
765.82	0.5154596	0.51015219	
766.02	0.5148764	0.51032013	
766.22	0.51469648	0.51048796	
766.42	0.51461673	0.51065567	
766.62	0.51449602	0.51082326	
766.82	0.51454483	0.51099073	
767.02	0.51469187	0.51115808	
767.22	0.51455889	0.51132531	
767.42	0.51488348	0.51149243	
767.62	0.51581719	0.51165943	
767.82	0.5168876	0.51182631	
768.02	0.5173324	0.51199307	
768.22	0.51824462	0.51215971	
768.42	0.5187725	0.51232624	
768.62	0.51897453	0.51249265	
768.82	0.51906088	0.51265894	
769.02	0.5194233	0.51282511	
769.22	0.52023508	0.51299117	
769.42	0.52086139	0.5131571	
769.62	0.52091018	0.51332292	
769.82	0.52111834	0.51348863	
770.02	0.52071712	0.51365421	
770.22	0.5202566	0.51381968	
770.42	0.52002694	0.51398503	
770.62	0.52021698	0.51415027	
770.82	0.52021215	0.51431539	
771.02	0.52018464	0.51448039	
771.22	0.51999593	0.51464527	
771.42	0.5209598	0.51481004	
771.62	0.52179583	0.51497469	
771.82	0.52187572	0.51513923	
772.02	0.52148848	0.51530365	
772.22	0.5216906	0.51546795	
772.42	0.52215626	0.51563214	
772.62	0.52265856	0.51579621	
772.82	0.52296141	0.51596016	
773.02	0.52319345	0.516124	
773.22	0.52340319	0.51628772	
773.42	0.52396597	0.51645133	
