Conc1	1E-06	
Start1	690.02	
Stop1	2789.81	
Kobs	8.3300267733464E-49	
Error Kobs	4.17413263046548E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
690.02	0.02808238	0	
690.22	0.04264895	0.01974707	
690.42	0.05909379	0.03855472	
690.62	0.07815805	0.05646827	
690.82	0.09829164	0.07353084	
691.02	0.11987253	0.0897835	
691.22	0.14132549	0.10526532	
691.42	0.16243533	0.12001347	
691.62	0.18296046	0.13406337	
691.82	0.20101982	0.14744868	
692.02	0.21657016	0.16020148	
692.22	0.22877325	0.17235226	
692.42	0.23826231	0.18393008	
692.62	0.24611121	0.19496257	
692.82	0.2534484	0.20547604	
693.02	0.26031866	0.21549552	
693.22	0.2667478	0.22504484	
693.42	0.27218844	0.23414668	
693.62	0.27770485	0.24282262	
693.82	0.28327949	0.25109321	
694.02	0.28780367	0.25897799	
694.22	0.29179435	0.26649557	
694.42	0.29534775	0.27366367	
694.62	0.29977088	0.28049913	
694.82	0.30380986	0.287018	
695.02	0.30756921	0.29323556	
695.22	0.31058672	0.29916632	
695.42	0.3131677	0.30482412	
695.62	0.31576881	0.31022212	
695.82	0.31709653	0.31537285	
696.02	0.31981149	0.32028823	
696.22	0.32165943	0.32497961	
696.42	0.32360754	0.32945779	
696.62	0.32617943	0.33373305	
696.82	0.328471	0.33781517	
697.02	0.33102883	0.34171346	
697.22	0.33377285	0.34543679	
697.42	0.33609629	0.34899358	
697.62	0.33818958	0.35239187	
697.82	0.33909316	0.3556393	
698.02	0.3405388	0.35874313	
698.22	0.341763	0.36171029	
698.42	0.34313208	0.36454736	
698.62	0.34534629	0.36726061	
698.82	0.34675549	0.36985601	
699.02	0.34778347	0.37233924	
699.22	0.34908002	0.37471569	
699.42	0.35024288	0.37699052	
699.62	0.35220276	0.37916861	
699.82	0.35386748	0.38125464	
700.02	0.35568845	0.38325302	
700.22	0.35654763	0.38516799	
700.42	0.35767549	0.38700356	
700.62	0.35848696	0.38876354	
700.82	0.35945861	0.39045159	
701.02	0.36096212	0.39207116	
701.22	0.36201805	0.39362555	
701.42	0.36320954	0.39511789	
701.62	0.36353978	0.39655117	
701.82	0.36412489	0.39792824	
702.02	0.36569406	0.39925179	
702.22	0.36657631	0.4005244	
702.42	0.36774734	0.40174852	
702.62	0.36886032	0.40292648	
702.82	0.36930847	0.4040605	
703.02	0.37032213	0.40515269	
703.22	0.37144964	0.40620506	
703.42	0.37249118	0.40721953	
703.62	0.3738728	0.40819791	
703.82	0.3740489	0.40914194	
704.02	0.37516262	0.41005326	
704.22	0.37610455	0.41093345	
704.42	0.37645366	0.411784	
704.62	0.3774113	0.41260633	
704.82	0.37857342	0.4134018	
705.02	0.37924148	0.41417169	
705.22	0.37998502	0.41491723	
705.42	0.38126288	0.41563958	
705.62	0.38174741	0.41633986	
705.82	0.38271717	0.41701912	
706.02	0.38346674	0.41767837	
706.22	0.38432015	0.41831857	
706.42	0.38547078	0.41894062	
706.62	0.38656689	0.41954539	
706.82	0.3871522	0.42013371	
707.02	0.38806567	0.42070637	
707.22	0.38890621	0.42126411	
707.42	0.38945679	0.42180764	
707.62	0.39045108	0.42233765	
707.82	0.39075817	0.42285476	
708.02	0.39194511	0.42335961	
708.22	0.39250478	0.42385277	
708.42	0.393223	0.42433479	
708.62	0.39434679	0.42480621	
708.82	0.39501481	0.42526754	
709.02	0.39598108	0.42571924	
709.22	0.39678475	0.42616177	
709.42	0.39770235	0.42659558	
709.62	0.39797221	0.42702106	
709.82	0.39897151	0.42743862	
710.02	0.39903554	0.42784863	
710.22	0.4003023	0.42825145	
710.42	0.40098576	0.42864741	
710.62	0.40149813	0.42903683	
710.82	0.40185963	0.42942003	
711.02	0.40273832	0.4297973	
711.22	0.40344278	0.4301689	
711.42	0.40398451	0.43053512	
711.62	0.40452628	0.4308962	
711.82	0.40468935	0.43125237	
712.02	0.40517226	0.43160388	
712.22	0.40578911	0.43195093	
712.42	0.40615416	0.43229373	
712.62	0.40702065	0.43263248	
712.82	0.40798341	0.43296737	
713.02	0.40856101	0.43329857	
713.22	0.40873095	0.43362626	
713.42	0.40957026	0.43395059	
713.62	0.41018333	0.43427172	
713.82	0.41050657	0.4345898	
714.02	0.4106049	0.43490496	
714.22	0.4112332	0.43521734	
714.42	0.41094408	0.43552706	
714.62	0.41145547	0.43583424	
714.82	0.41199902	0.43613901	
715.02	0.41287495	0.43644145	
715.22	0.41339794	0.43674169	
715.42	0.41335713	0.43703982	
715.62	0.41361611	0.43733592	
715.82	0.41396709	0.4376301	
716.02	0.41475289	0.43792244	
716.22	0.41559368	0.43821301	
716.42	0.41618322	0.4385019	
716.62	0.41741112	0.43878917	
716.82	0.41830784	0.4390749	
717.02	0.41900516	0.43935915	
717.22	0.41997605	0.43964199	
717.42	0.42092392	0.43992348	
717.62	0.42201751	0.44020367	
717.82	0.42206963	0.44048262	
718.02	0.4226738	0.44076037	
718.22	0.42272939	0.44103699	
718.42	0.42299289	0.44131251	
718.62	0.42367805	0.44158699	
718.82	0.42402786	0.44186046	
719.02	0.42493451	0.44213296	
719.22	0.42521925	0.44240453	
719.42	0.42569748	0.44267522	
719.62	0.42601261	0.44294505	
719.82	0.4265076	0.44321405	
720.02	0.4271274	0.44348227	
720.22	0.42751726	0.44374972	
720.42	0.42823307	0.44401644	
720.62	0.42926245	0.44428246	
720.82	0.42943769	0.4445478	
721.02	0.42986548	0.44481249	
721.22	0.42985619	0.44507654	
721.42	0.4302456	0.44533999	
721.62	0.43116056	0.44560285	
721.82	0.43166123	0.44586514	
722.02	0.43242775	0.44612689	
722.22	0.43256387	0.44638811	
722.42	0.43297909	0.44664881	
722.62	0.43341678	0.44690903	
722.82	0.43387324	0.44716876	
723.02	0.4341005	0.44742803	
723.22	0.43425533	0.44768686	
723.42	0.43436951	0.44794524	
723.62	0.43460485	0.44820321	
723.82	0.43518057	0.44846076	
724.02	0.43587102	0.44871792	
724.22	0.43623983	0.44897469	
724.42	0.43723591	0.44923109	
724.62	0.43790625	0.44948712	
724.82	0.4384172	0.44974279	
725.02	0.43892374	0.44999812	
725.22	0.43895649	0.45025311	
725.42	0.4399614	0.45050777	
725.62	0.44089658	0.45076211	
725.82	0.44204242	0.45101614	
726.02	0.44260181	0.45126986	
726.22	0.44250082	0.45152327	
726.42	0.44265649	0.4517764	
726.62	0.44267392	0.45202924	
726.82	0.4424629	0.4522818	
727.02	0.44207926	0.45253409	
727.22	0.44250666	0.4527861	
727.42	0.44288426	0.45303785	
727.62	0.44292006	0.45328934	
727.82	0.44277487	0.45354058	
728.02	0.44311652	0.45379156	
728.22	0.44343823	0.4540423	
728.42	0.44461784	0.4542928	
728.62	0.44531022	0.45454306	
728.82	0.44588821	0.45479309	
729.02	0.44610142	0.45504288	
729.22	0.44637868	0.45529245	
729.42	0.44734636	0.45554179	
729.62	0.44834698	0.45579091	
729.82	0.44964736	0.45603982	
730.02	0.44959216	0.45628851	
730.22	0.44984104	0.45653698	
730.42	0.44985608	0.45678524	
730.62	0.45025654	0.4570333	
730.82	0.44998079	0.45728115	
731.02	0.44993047	0.4575288	
731.22	0.45007563	0.45777624	
731.42	0.44998426	0.45802349	
731.62	0.44997231	0.45827054	
731.82	0.45034615	0.45851739	
732.02	0.45051312	0.45876405	
732.22	0.45140195	0.45901051	
732.42	0.45231817	0.45925679	
732.62	0.45294301	0.45950287	
732.82	0.45357908	0.45974877	
733.02	0.45445998	0.45999448	
733.22	0.45473137	0.46024001	
733.42	0.45552103	0.46048535	
733.62	0.45625305	0.46073051	
733.82	0.45640276	0.46097548	
734.02	0.45608573	0.46122028	
734.22	0.45649186	0.4614649	
734.42	0.45615092	0.46170934	
734.62	0.45622186	0.4619536	
734.82	0.45594217	0.46219768	
735.02	0.45618378	0.46244159	
735.22	0.45650511	0.46268533	
735.42	0.45709342	0.46292889	
735.62	0.45731964	0.46317227	
735.82	0.45743053	0.46341549	
736.02	0.45791395	0.46365853	
736.22	0.45906378	0.4639014	
736.42	0.45947294	0.4641441	
736.62	0.45998678	0.46438663	
736.82	0.46060458	0.46462899	
737.02	0.46139043	0.46487119	
737.22	0.46162712	0.46511321	
737.42	0.46186432	0.46535507	
737.62	0.46169418	0.46559676	
737.82	0.46132643	0.46583828	
738.02	0.46115644	0.46607964	
738.22	0.46127627	0.46632083	
738.42	0.46156183	0.46656186	
738.62	0.462017	0.46680272	
738.82	0.46263789	0.46704341	
739.02	0.46320663	0.46728395	
739.22	0.4639391	0.46752432	
739.42	0.46511315	0.46776452	
739.62	0.46573355	0.46800456	
739.82	0.46641698	0.46824444	
740.02	0.46692764	0.46848416	
740.22	0.46740115	0.46872372	
740.42	0.46771987	0.46896311	
740.62	0.46820855	0.46920235	
740.82	0.46844031	0.46944142	
741.02	0.46820039	0.46968033	
741.22	0.46823787	0.46991908	
741.42	0.46808304	0.47015767	
741.62	0.4681486	0.4703961	
741.82	0.46849504	0.47063437	
742.02	0.46834543	0.47087248	
742.22	0.46911686	0.47111043	
742.42	0.46990818	0.47134822	
742.62	0.47006886	0.47158586	
742.82	0.47034356	0.47182333	
743.02	0.47106996	0.47206065	
743.22	0.47203061	0.47229781	
743.42	0.47276029	0.47253481	
743.62	0.47314907	0.47277165	
743.82	0.4732853	0.47300834	
744.02	0.47400209	0.47324486	
744.22	0.47499571	0.47348123	
744.42	0.47551639	0.47371745	
744.62	0.47580828	0.4739535	
744.82	0.47603038	0.4741894	
745.02	0.47600837	0.47442515	
745.22	0.47654499	0.47466073	
745.42	0.47663351	0.47489616	
745.62	0.4767173	0.47513144	
745.82	0.47658267	0.47536656	
746.02	0.47655432	0.47560152	
746.22	0.47642524	0.47583632	
746.42	0.47589433	0.47607098	
746.62	0.4754939	0.47630547	
746.82	0.47544231	0.47653981	
747.02	0.47576513	0.476774	
747.22	0.47609006	0.47700803	
747.42	0.47651614	0.47724191	
747.62	0.47719094	0.47747563	
747.82	0.4778742	0.47770919	
748.02	0.47850552	0.47794261	
748.22	0.47987771	0.47817587	
748.42	0.4801404	0.47840897	
748.62	0.48025518	0.47864192	
748.82	0.48056554	0.47887472	
749.02	0.48111842	0.47910736	
749.22	0.48160946	0.47933985	
749.42	0.48209485	0.47957218	
749.62	0.4824444	0.47980437	
749.82	0.48232567	0.4800364	
750.02	0.48280403	0.48026827	
750.22	0.48258097	0.48049999	
750.42	0.48301754	0.48073156	
750.62	0.4834241	0.48096298	
750.82	0.48340628	0.48119425	
751.02	0.48336282	0.48142536	
751.22	0.48367116	0.48165632	
751.42	0.48399402	0.48188713	
751.62	0.48429185	0.48211778	
751.82	0.48443592	0.48234828	
752.02	0.48454984	0.48257863	
752.22	0.48503721	0.48280883	
752.42	0.48509186	0.48303888	
752.62	0.48532701	0.48326878	
752.82	0.48604074	0.48349852	
753.02	0.48694205	0.48372811	
753.22	0.48746213	0.48395756	
753.42	0.48825308	0.48418685	
753.62	0.48832368	0.48441599	
753.82	0.48875231	0.48464497	
754.02	0.48919931	0.48487381	
754.22	0.48951972	0.4851025	
754.42	0.49024726	0.48533103	
754.62	0.49041166	0.48555942	
754.82	0.49017111	0.48578765	
755.02	0.49005307	0.48601574	
755.22	0.49032203	0.48624367	
755.42	0.49045395	0.48647146	
755.62	0.49051889	0.48669909	
755.82	0.49059971	0.48692658	
756.02	0.49125983	0.48715391	
756.22	0.49126871	0.48738109	
756.42	0.49201777	0.48760813	
756.62	0.49193293	0.48783501	
756.82	0.49198913	0.48806175	
757.02	0.49228215	0.48828834	
757.22	0.49268815	0.48851477	
757.42	0.49376575	0.48874106	
757.62	0.49386942	0.4889672	
757.82	0.49418398	0.48919319	
758.02	0.49421805	0.48941903	
758.22	0.49505726	0.48964473	
758.42	0.49534065	0.48987027	
758.62	0.49507674	0.49009567	
758.82	0.49529587	0.49032091	
759.02	0.49551879	0.49054601	
759.22	0.49620094	0.49077096	
759.42	0.49634606	0.49099576	
759.62	0.49709033	0.49122042	
759.82	0.49777979	0.49144492	
760.02	0.49818967	0.49166928	
760.22	0.49798006	0.49189349	
760.42	0.49806042	0.49211756	
760.62	0.49815687	0.49234147	
760.82	0.49816559	0.49256524	
761.02	0.49852802	0.49278886	
761.22	0.49879051	0.49301234	
761.42	0.49923277	0.49323566	
761.62	0.49868531	0.49345884	
761.82	0.49850664	0.49368188	
762.02	0.49853997	0.49390476	
762.22	0.49838924	0.4941275	
762.42	0.49865673	0.49435009	
762.62	0.49907636	0.49457254	
762.82	0.49950779	0.49479484	
763.02	0.4999854	0.49501699	
763.22	0.5006699	0.495239	
763.42	0.50077556	0.49546086	
763.62	0.50096446	0.49568257	
763.82	0.50073441	0.49590414	
764.02	0.50081192	0.49612556	
764.22	0.50071822	0.49634684	
764.42	0.50084564	0.49656797	
764.62	0.5011262	0.49678896	
764.82	0.50118621	0.4970098	
765.02	0.50163749	0.49723049	
765.22	0.50199525	0.49745104	
765.42	0.50230807	0.49767144	
765.62	0.50271247	0.4978917	
765.82	0.50363163	0.49811182	
766.02	0.50395299	0.49833179	
766.22	0.50424382	0.49855161	
766.42	0.50522223	0.49877129	
766.62	0.50535727	0.49899082	
766.82	0.50591541	0.49921022	
767.02	0.50651198	0.49942946	
767.22	0.50643102	0.49964856	
767.42	0.50637675	0.49986752	
