Conc1	1E-06	
Start1	690.02	
Stop1	2789.81	
Kobs	0.000398783111523868	
Error Kobs	5.09154031860846E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
690.02	0.02746824	0	
690.22	0.04178794	0.02133136	
690.42	0.05788258	0.04129045	
690.62	0.07604145	0.05996674	
690.82	0.09477154	0.07744387	
691.02	0.11437454	0.09380003	
691.22	0.13363798	0.10910829	
691.42	0.15246875	0.12343698	
691.62	0.16985065	0.13684995	
691.82	0.18515842	0.14940691	
692.02	0.19804749	0.16116365	
692.22	0.20735039	0.17217235	
692.42	0.21501322	0.18248177	
692.62	0.22096678	0.19213749	
692.82	0.2261985	0.20118212	
693.02	0.23094045	0.20965549	
693.22	0.23522201	0.21759484	
693.42	0.23889938	0.22503498	
693.62	0.24306234	0.23200843	
693.82	0.24712375	0.23854562	
694.02	0.25075165	0.24467498	
694.22	0.25383137	0.25042307	
694.42	0.25685688	0.25581476	
694.62	0.26025841	0.26087325	
694.82	0.26304737	0.26562026	
695.02	0.26578539	0.27007608	
695.22	0.26782762	0.27425969	
695.42	0.27016905	0.27818881	
695.62	0.27172013	0.28188002	
695.82	0.27320387	0.28534882	
696.02	0.27513998	0.28860969	
696.22	0.27661564	0.29167617	
696.42	0.27820222	0.29456092	
696.62	0.28003302	0.29727577	
696.82	0.28108708	0.29983179	
697.02	0.28216815	0.3022393	
697.22	0.28364279	0.30450798	
697.42	0.28534008	0.30664686	
697.62	0.28736746	0.30866439	
697.82	0.2882072	0.31056845	
698.02	0.28961512	0.31236644	
698.22	0.29081801	0.31406524	
698.42	0.29201263	0.31567131	
698.62	0.29384675	0.31719067	
698.82	0.29523281	0.31862897	
699.02	0.2962345	0.31999146	
699.22	0.29763169	0.32128308	
699.42	0.29914531	0.32250841	
699.62	0.300605	0.32367178	
699.82	0.30206598	0.3247772	
700.02	0.30316972	0.32582843	
700.22	0.30434303	0.32682898	
700.42	0.30530638	0.32778214	
700.62	0.30541713	0.32869099	
700.82	0.30546335	0.32955838	
701.02	0.30604122	0.33038702	
701.22	0.30714776	0.3311794	
701.42	0.30808478	0.33193787	
701.62	0.30851942	0.33266462	
701.82	0.30897302	0.3333617	
702.02	0.30982494	0.33403104	
702.22	0.31068043	0.33467441	
702.42	0.31142517	0.3352935	
702.62	0.31257764	0.33588986	
702.82	0.31349035	0.33646496	
703.02	0.31458445	0.33702017	
703.22	0.31606153	0.33755677	
703.42	0.31722942	0.33807595	
703.62	0.31842884	0.33857883	
703.82	0.31867847	0.33906646	
704.02	0.31977046	0.3395398	
704.22	0.32078933	0.33999977	
704.42	0.32095558	0.34044723	
704.62	0.32088902	0.34088297	
704.82	0.32128806	0.34130774	
705.02	0.32148129	0.34172223	
705.22	0.32239712	0.3421271	
705.42	0.32326603	0.34252295	
705.62	0.32370684	0.34291036	
705.82	0.32488868	0.34328985	
706.02	0.32539556	0.34366193	
706.22	0.32616925	0.34402705	
706.42	0.32652507	0.34438566	
706.62	0.32738978	0.34473816	
706.82	0.32810757	0.34508493	
707.02	0.32912417	0.34542633	
707.22	0.33004745	0.34576268	
707.42	0.33016793	0.3460943	
707.62	0.33111975	0.34642147	
707.82	0.33112741	0.34674448	
708.02	0.33202663	0.34706357	
708.22	0.33225308	0.34737897	
708.42	0.33229389	0.34769092	
708.62	0.3324415	0.34799962	
708.82	0.332866	0.34830526	
709.02	0.33371102	0.34860803	
709.22	0.33462134	0.34890808	
709.42	0.33529393	0.34920559	
709.62	0.33604773	0.34950069	
709.82	0.33730232	0.34979354	
710.02	0.33719742	0.35008425	
710.22	0.33791646	0.35037294	
710.42	0.33811628	0.35065974	
710.62	0.33905593	0.35094475	
710.82	0.34029303	0.35122806	
711.02	0.34160949	0.35150976	
711.22	0.34221401	0.35178995	
711.42	0.34277741	0.35206871	
711.62	0.3436861	0.35234611	
711.82	0.34355296	0.35262221	
712.02	0.34413293	0.3528971	
712.22	0.34444891	0.35317082	
712.42	0.3446709	0.35344344	
712.62	0.34533293	0.35371501	
712.82	0.34605349	0.35398558	
713.02	0.34652833	0.3542552	
713.22	0.34632379	0.35452391	
713.42	0.34675812	0.35479176	
713.62	0.34771475	0.35505877	
713.82	0.34776955	0.355325	
714.02	0.34771135	0.35559047	
714.22	0.34827751	0.35585521	
714.42	0.34848976	0.35611926	
714.62	0.34957818	0.35638263	
714.82	0.35046461	0.35664537	
715.02	0.35071477	0.35690748	
715.22	0.35093382	0.357169	
715.42	0.35135423	0.35742995	
715.62	0.35126495	0.35769033	
715.82	0.35189984	0.35795019	
716.02	0.35198815	0.35820952	
716.22	0.35249308	0.35846835	
716.42	0.35259263	0.35872669	
716.62	0.35317052	0.35898456	
716.82	0.35339253	0.35924197	
717.02	0.35364617	0.35949893	
717.22	0.35379438	0.35975545	
717.42	0.35467432	0.36001155	
717.62	0.35569087	0.36026724	
717.82	0.3556361	0.36052251	
718.02	0.35651747	0.3607774	
718.22	0.35708052	0.36103189	
718.42	0.3573857	0.36128601	
718.62	0.35854845	0.36153975	
718.82	0.35897051	0.36179312	
719.02	0.35942373	0.36204614	
719.22	0.3600276	0.36229881	
