Conc1	1E-06	
Start1	690.02	
Stop1	2789.81	
Kobs	8.28422576065814E-49	
Error Kobs	2.54986016066768E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
690.02	0.0065766	0	
690.22	0.01171316	0.00169355	
690.42	0.01701355	0.00337561	
690.62	0.02316565	0.00504628	
690.82	0.02917246	0.00670564	
691.02	0.03604727	0.00835376	
691.22	0.04216075	0.00999074	
691.42	0.04782673	0.01161666	
691.62	0.05316275	0.0132316	
691.82	0.05716453	0.01483565	
692.02	0.06082576	0.01642888	
692.22	0.06316706	0.01801137	
692.42	0.06516335	0.01958321	
692.62	0.06640691	0.02114448	
692.82	0.06774263	0.02269525	
693.02	0.06890582	0.02423561	
693.22	0.0705254	0.02576562	
693.42	0.07200448	0.02728537	
693.62	0.0739019	0.02879494	
693.82	0.07565931	0.0302944	
694.02	0.07714316	0.03178383	
694.22	0.07864909	0.03326329	
694.42	0.08017582	0.03473288	
694.62	0.08205058	0.03619265	
694.82	0.08360217	0.03764268	
695.02	0.08536495	0.03908305	
695.22	0.08590644	0.04051383	
695.42	0.08698925	0.04193508	
695.62	0.08811649	0.04334689	
695.82	0.0885909	0.04474931	
696.02	0.09029085	0.04614243	
696.22	0.0912457	0.04752631	
696.42	0.09211006	0.04890101	
696.62	0.09335869	0.05026661	
696.82	0.09394648	0.05162318	
697.02	0.09504972	0.05297078	
697.22	0.09627671	0.05430948	
697.42	0.0973764	0.05563934	
697.62	0.0988069	0.05696044	
697.82	0.09896127	0.05827283	
698.02	0.09982171	0.05957659	
698.22	0.1003742	0.06087177	
698.42	0.10151766	0.06215844	
698.62	0.10226557	0.06343666	
698.82	0.10296704	0.0647065	
699.02	0.10325052	0.06596802	
699.22	0.10365337	0.06722127	
699.42	0.10479222	0.06846634	
699.62	0.10612225	0.06970326	
699.82	0.10700106	0.07093211	
700.02	0.10820137	0.07215294	
700.22	0.1092987	0.07336581	
700.42	0.1102154	0.07457079	
700.62	0.11067671	0.07576793	
700.82	0.1111816	0.07695728	
701.02	0.11220438	0.07813892	
701.22	0.11274746	0.07931289	
701.42	0.11359171	0.08047925	
701.62	0.11408446	0.08163806	
701.82	0.11391734	0.08278938	
702.02	0.1148167	0.08393325	
702.22	0.11533219	0.08506975	
702.42	0.11586406	0.08619891	
702.62	0.11624282	0.08732079	
702.82	0.11681255	0.08843546	
703.02	0.11741061	0.08954296	
703.22	0.11823883	0.09064334	
703.42	0.11933184	0.09173667	
703.62	0.12070822	0.09282298	
703.82	0.12084364	0.09390234	
704.02	0.12181207	0.09497479	
704.22	0.12281039	0.09604039	
704.42	0.12302721	0.09709919	
704.62	0.12310705	0.09815123	
704.82	0.1235412	0.09919657	
705.02	0.12395756	0.10023526	
705.22	0.12470809	0.10126734	
705.42	0.12521395	0.10229287	
705.62	0.1255021	0.1033119	
705.82	0.12599808	0.10432446	
706.02	0.12651662	0.10533062	
706.22	0.12680995	0.10633041	
706.42	0.12745545	0.10732389	
706.62	0.12829948	0.1083111	
706.82	0.12899201	0.10929209	
707.02	0.12970858	0.11026691	
707.22	0.13006464	0.11123559	
707.42	0.13073776	0.11219819	
707.62	0.13170845	0.11315475	
707.82	0.1316266	0.11410531	
708.02	0.13255119	0.11504993	
708.22	0.13271339	0.11598863	
708.42	0.13289856	0.11692148	
708.62	0.13312373	0.1178485	
708.82	0.13380005	0.11876975	
709.02	0.13500776	0.11968527	
709.22	0.13515093	0.12059509	
709.42	0.13569228	0.12149927	
709.62	0.13630853	0.12239783	
709.82	0.13747312	0.12329083	
710.02	0.13759103	0.12417831	
710.22	0.13815056	0.1250603	
710.42	0.13852723	0.12593685	
710.62	0.13906918	0.126808	
710.82	0.13973257	0.12767378	
711.02	0.14055422	0.12853424	
711.22	0.14068141	0.12938941	
711.42	0.14125884	0.13023934	
711.62	0.14147526	0.13108406	
711.82	0.14137418	0.13192361	
712.02	0.14187074	0.13275803	
712.22	0.14243269	0.13358736	
712.42	0.14308607	0.13441164	
712.62	0.14357861	0.1352309	
712.82	0.14423776	0.13604517	
713.02	0.14484344	0.1368545	
713.22	0.14439288	0.13765893	
713.42	0.1453067	0.13845848	
713.62	0.14637891	0.1392532	
713.82	0.14679024	0.14004312	
714.02	0.14664693	0.14082827	
714.22	0.14690674	0.1416087	
714.42	0.14742681	0.14238443	
714.62	0.14829267	0.1431555	
714.82	0.14896617	0.14392194	
715.02	0.14943026	0.14468379	
715.22	0.1494643	0.14544108	
715.42	0.14959239	0.14619385	
715.62	0.14928491	0.14694213	
715.82	0.14962938	0.14768595	
716.02	0.14982119	0.14842534	
716.22	0.15042541	0.14916035	
716.42	0.15024431	0.14989099	
716.62	0.15035081	0.1506173	
716.82	0.15055634	0.15133931	
