Conc1	1E-06	
Start1	690.02	
Stop1	2789.81	
Kobs	8.2422287534681E-49	
Error Kobs	3.3634868140018E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
690.02	0.03378148	0	
690.22	0.05077005	0.03450329	
690.42	0.06992668	0.06591633	
690.62	0.09170547	0.09451958	
690.82	0.11514047	0.120568	
691.02	0.13992486	0.14429346	
691.22	0.16472126	0.16590674	
691.42	0.18931414	0.18559951	
691.62	0.21268528	0.20354604	
691.82	0.23330434	0.21990478	
692.02	0.25157011	0.2348198	
692.22	0.26589637	0.24842209	
692.42	0.27750348	0.26083077	
692.62	0.28679877	0.2721541	
692.82	0.29526132	0.28249057	
693.02	0.30199643	0.2919297	
693.22	0.30846822	0.30055289	
693.42	0.31343236	0.30843414	
693.62	0.31830588	0.31564076	
693.82	0.32292024	0.32223393	
694.02	0.32736362	0.32826928	
694.22	0.33122483	0.3337974	
694.42	0.33511533	0.33886428	
694.62	0.33888513	0.34351173	
694.82	0.34260574	0.34777777	
695.02	0.34605836	0.35169699	
695.22	0.34886129	0.3553008	
695.42	0.35163749	0.35861779	
695.62	0.35386655	0.36167396	
695.82	0.35576644	0.36449291	
696.02	0.3583601	0.36709614	
696.22	0.36016344	0.36950318	
696.42	0.361386	0.37173179	
696.62	0.36302226	0.37379812	
696.82	0.36407882	0.37571685	
697.02	0.365247	0.37750133	
697.22	0.36659148	0.37916369	
697.42	0.36738953	0.38071499	
697.62	0.36877609	0.38216524	
697.82	0.36929471	0.38352357	
698.02	0.37055658	0.38479828	
698.22	0.37190545	0.38599692	
698.42	0.3733505	0.38712634	
698.62	0.37474446	0.38819277	
698.82	0.37648515	0.3892019	
699.02	0.37739854	0.39015886	
699.22	0.37862816	0.39106835	
699.42	0.37978675	0.39193464	
699.62	0.38161648	0.39276159	
699.82	0.38297748	0.39355274	
700.02	0.3840069	0.39431128	
700.22	0.38516494	0.39504012	
700.42	0.38589604	0.39574193	
700.62	0.38642408	0.39641909	
700.82	0.38696855	0.39707382	
701.02	0.38772293	0.39770809	
701.22	0.38822089	0.39832371	
701.42	0.38876127	0.39892234	
701.62	0.38954462	0.39950547	
701.82	0.38985631	0.40007446	
702.02	0.39124234	0.40063054	
702.22	0.39186291	0.40117485	
702.42	0.39257609	0.40170841	
702.62	0.39349919	0.40223214	
