Conc1	1E-06	
Start1	690.02	
Stop1	2789.81	
Kobs	0.000629504735075646	
Error Kobs	6.13650589521251E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
690.02	0.04341201	0	
690.22	0.06286754	0.03934081	
690.42	0.08420298	0.07446374	
690.62	0.10812754	0.10582677	
690.82	0.13316009	0.13383814	
691.02	0.15919319	0.15886177	
691.22	0.18464446	0.18122203	
691.42	0.20890579	0.20120809	
691.62	0.23188695	0.21907772	
691.82	0.25117569	0.23506067	
692.02	0.26741032	0.24936177	
692.22	0.2790712	0.26216359	
692.42	0.28773111	0.27362887	
692.62	0.29441588	0.28390269	
692.82	0.30007445	0.29311436	
693.02	0.30449933	0.30137917	
693.22	0.30883975	0.30879985	
693.42	0.3122616	0.31546803	
693.62	0.31606841	0.32146533	
693.82	0.31989068	0.32686455	
694.02	0.3232357	0.33173056	
694.22	0.32623856	0.33612121	
694.42	0.32877161	0.34008804	
694.62	0.33208404	0.343677	
694.82	0.33525907	0.34692906	
695.02	0.33780753	0.34988074	
695.22	0.33996346	0.35256459	
695.42	0.34203861	0.35500962	
695.62	0.34427967	0.3572417	
695.82	0.34553836	0.35928388	
696.02	0.34808594	0.36115671	
696.22	0.3500008	0.36287852	
696.42	0.3517204	0.36446564	
696.62	0.35363671	0.36593261	
696.82	0.35451037	0.36729243	
697.02	0.35572874	0.36855666	
697.22	0.357298	0.3697356	
697.42	0.35859968	0.37083846	
697.62	0.36021019	0.37187342	
697.82	0.36086511	0.37284779	
698.02	0.3618568	0.37376808	
698.22	0.36275059	0.37464009	
698.42	0.36358443	0.375469	
698.62	0.36484652	0.37625941	
698.82	0.36583195	0.37701545	
699.02	0.3662047	0.37774077	
699.22	0.3674129	0.37843864	
699.42	0.36868829	0.37911197	
699.62	0.37054945	0.37976337	
699.82	0.37190316	0.38039513	
700.02	0.37302424	0.38100934	
700.22	0.37380314	0.38160782	
700.42	0.37450203	0.38219221	
700.62	0.37454218	0.38276398	
700.82	0.37486852	0.38332444	
701.02	0.37604126	0.38387473	
701.22	0.37697753	0.3844159	
701.42	0.37753614	0.38494886	
701.62	0.37814824	0.38547445	
701.82	0.37846954	0.3859934	
702.02	0.37935523	0.38650636	
702.22	0.37994679	0.3870139	
702.42	0.38059138	0.38751657	
702.62	0.38139538	0.3880148	
702.82	0.38222193	0.38850903	
703.02	0.38318358	0.38899962	
703.22	0.38451831	0.38948689	
703.42	0.38576184	0.38997114	
703.62	0.3873923	0.39045264	
703.82	0.38815272	0.39093161	
704.02	0.38916594	0.39140826	
704.22	0.39020835	0.39188277	
704.42	0.39039756	0.39235532	
704.62	0.39067471	0.39282605	
704.82	0.39149237	0.39329509	
705.02	0.39202199	0.39376255	
705.22	0.39253907	0.39422855	
705.42	0.39276982	0.39469318	
705.62	0.39309092	0.39515652	
705.82	0.39328583	0.39561864	
706.02	0.39371433	0.39607961	
706.22	0.39350338	0.39653949	
706.42	0.39376197	0.39699833	
706.62	0.39407827	0.39745618	
706.82	0.39436606	0.39791309	
707.02	0.3951421	0.39836908	
707.22	0.39584495	0.3988242	
707.42	0.39650376	0.39927847	
707.62	0.39777496	0.39973192	
707.82	0.39814895	0.40018457	
708.02	0.39897106	0.40063646	
708.22	0.39958947	0.40108758	
708.42	0.40001179	0.40153797	
708.62	0.4009422	0.40198764	
708.82	0.40208737	0.4024366	
709.02	0.40336327	0.40288486	
709.22	0.40414337	0.40333244	
709.42	0.40522331	0.40377935	
709.62	0.4056519	0.40422559	
709.82	0.40666056	0.40467117	
710.02	0.40693401	0.40511611	
710.22	0.40690385	0.4055604	
710.42	0.40762488	0.40600406	
710.62	0.40781669	0.40644708	
710.82	0.40875391	0.40688948	
711.02	0.40968951	0.40733125	
711.22	0.4098232	0.40777241	
711.42	0.41027571	0.40821295	
711.62	0.41050966	0.40865289	
711.82	0.4102363	0.40909221	
712.02	0.41083289	0.40953093	
712.22	0.41089804	0.40996905	
712.42	0.41125629	0.41040657	
712.62	0.41230175	0.41084349	
712.82	0.41302505	0.41127982	
713.02	0.41344332	0.41171555	
713.22	0.41367246	0.41215069	
713.42	0.41474786	0.41258524	
713.62	0.41573718	0.4130192	
713.82	0.41614781	0.41345258	
714.02	0.41637305	0.41388537	
714.22	0.41698249	0.41431758	
714.42	0.41743781	0.41474921	
714.62	0.41817286	0.41518025	
714.82	0.41926397	0.41561071	
715.02	0.41976917	0.4160406	
715.22	0.42005507	0.41646991	
715.42	0.42015988	0.41689864	
715.62	0.4195642	0.41732679	
715.82	0.41962922	0.41775437	
716.02	0.41973642	0.41818138	
716.22	0.41989167	0.41860781	
716.42	0.42023606	0.41903367	
716.62	0.42085719	0.41945896	
716.82	0.42079699	0.41988368	
717.02	0.42127675	0.42030783	
717.22	0.42184664	0.42073142	
717.42	0.42285616	0.42115443	
717.62	0.42383902	0.42157688	
717.82	0.42348678	0.42199876	
718.02	0.42468778	0.42242008	
718.22	0.4252984	0.42284083	
718.42	0.4256705	0.42326102	
718.62	0.42700499	0.42368065	
718.82	0.42780866	0.42409972	
719.02	0.42839284	0.42451822	
719.22	0.42867565	0.42493617	
719.42	0.42910287	0.42535355	
719.62	0.42928029	0.42577038	
719.82	0.43020775	0.42618665	
720.02	0.43078447	0.42660236	
720.22	0.43139764	0.42701751	
720.42	0.43193598	0.42743211	
720.62	0.43263109	0.42784616	
720.82	0.43256546	0.42825965	
721.02	0.43249029	0.42867259	
721.22	0.43223532	0.42908497	
721.42	0.43242582	0.4294968	
721.62	0.43249634	0.42990808	
721.82	0.43228333	0.43031882	
722.02	0.43285773	0.430729	
722.22	0.43239174	0.43113863	
722.42	0.43227728	0.43154772	
722.62	0.43238869	0.43195625	
722.82	0.43245693	0.43236424	
723.02	0.43211028	0.43277169	
723.22	0.43215804	0.43317859	
723.42	0.43294958	0.43358494	
723.62	0.43342123	0.43399076	
723.82	0.43426694	0.43439602	
724.02	0.4353547	0.43480075	
724.22	0.43584239	0.43520494	
724.42	0.43674082	0.43560858	
724.62	0.43708046	0.43601168	
724.82	0.43758406	0.43641425	
725.02	0.43808672	0.43681628	
725.22	0.43849235	0.43721776	
725.42	0.43923075	0.43761871	
725.62	0.43993489	0.43801913	
725.82	0.44095503	0.43841901	
726.02	0.44144976	0.43881835	
726.22	0.44111912	0.43921716	
726.42	0.44149544	0.43961544	
726.62	0.4419951	0.44001318	
726.82	0.44252659	0.44041039	
727.02	0.44234861	0.44080707	
727.22	0.44323668	0.44120322	
727.42	0.44375753	0.44159884	
727.62	0.44367935	0.44199393	
