Conc1	1E-06	
Start1	690.02	
Stop1	2789.81	
Kobs	3.00649754100273E-47	
Error Kobs	2.71148526510491E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
690.02	0.00547841	0	
690.22	0.01108432	0.00208496	
690.42	0.01624893	0.0041502	
690.62	0.02261265	0.00619594	
690.82	0.02874472	0.00822236	
691.02	0.0350324	0.01022966	
691.22	0.04101779	0.01221804	
691.42	0.04635482	0.0141877	
691.62	0.05141208	0.01613882	
691.82	0.05499827	0.01807159	
692.02	0.05803795	0.0199862	
692.22	0.05982406	0.02188283	
692.42	0.06149892	0.02376168	
692.62	0.06292561	0.02562291	
692.82	0.06419542	0.02746672	
693.02	0.06601467	0.02929327	
693.22	0.06826438	0.03110274	
693.42	0.07010002	0.03289532	
693.62	0.07242519	0.03467116	
693.82	0.07474829	0.03643044	
694.02	0.0764017	0.03817333	
694.22	0.0779875	0.0399	
694.42	0.07904646	0.04161061	
694.62	0.0809321	0.04330533	
694.82	0.08201083	0.04498431	
695.02	0.08307416	0.04664772	
695.22	0.08397125	0.04829572	
695.42	0.08447115	0.04992846	
695.62	0.08555791	0.0515461	
695.82	0.08602309	0.0531488	
696.02	0.08763863	0.0547367	
696.22	0.08873628	0.05630995	
696.42	0.08950491	0.05786871	
696.62	0.09070955	0.05941312	
696.82	0.09129606	0.06094333	
697.02	0.09265079	0.06245949	
697.22	0.0943745	0.06396173	
697.42	0.09549891	0.0654502	
697.62	0.09710948	0.06692504	
697.82	0.0972215	0.06838638	
698.02	0.098146	0.06983437	
698.22	0.09878638	0.07126914	
698.42	0.09969021	0.07269082	
698.62	0.1007296	0.07409955	
698.82	0.10146975	0.07549546	
699.02	0.10213333	0.07687868	
699.22	0.10318178	0.07824934	
699.42	0.10399054	0.07960757	
699.62	0.10576564	0.08095349	
699.82	0.10656061	0.08228723	
700.02	0.10767736	0.08360891	
700.22	0.10859402	0.08491865	
700.42	0.10935221	0.08621658	
700.62	0.1095716	0.08750282	
700.82	0.11011848	0.08877748	
701.02	0.11114573	0.09004068	
701.22	0.1120979	0.09129255	
701.42	0.11227511	0.09253318	
701.62	0.11281545	0.09376271	
701.82	0.11283928	0.09498123	
702.02	0.1136272	0.09618887	
702.22	0.11446494	0.09738573	
702.42	0.11502916	0.09857192	
702.62	0.11513553	0.09974756	
702.82	0.11529786	0.10091274	
703.02	0.11546472	0.10206757	
703.22	0.1159211	0.10321217	
703.42	0.11670703	0.10434662	
703.62	0.11778733	0.10547104	
703.82	0.1179987	0.10658553	
704.02	0.11932642	0.10769019	
704.22	0.12027051	0.10878511	
704.42	0.12074962	0.10987041	
704.62	0.12123018	0.11094616	
704.82	0.12240968	0.11201248	
705.02	0.12326716	0.11306945	
705.22	0.12385548	0.11411717	
705.42	0.12440202	0.11515573	
705.62	0.1253433	0.11618524	
705.82	0.12599884	0.11720577	
706.02	0.12656373	0.11821742	
706.22	0.1271204	0.11922029	
706.42	0.12726546	0.12021445	
706.62	0.12755851	0.12119999	
706.82	0.12823301	0.12217701	
707.02	0.12863894	0.1231456	
707.22	0.12956876	0.12410582	
707.42	0.13054227	0.12505778	
707.62	0.13125099	0.12600155	
707.82	0.13151517	0.12693722	
708.02	0.13223641	0.12786486	
708.22	0.13233081	0.12878456	
708.42	0.13312049	0.12969641	
708.62	0.13365699	0.13060047	
708.82	0.13420317	0.13149683	
709.02	0.13483092	0.13238557	
709.22	0.13473826	0.13326675	
709.42	0.13543399	0.13414047	
709.62	0.13627883	0.13500679	
709.82	0.13717231	0.13586579	
710.02	0.13743098	0.13671754	
710.22	0.13812026	0.13756211	
710.42	0.1387381	0.13839959	
710.62	0.13962215	0.13923003	
710.82	0.14084868	0.14005352	
711.02	0.14189271	0.14087011	
711.22	0.14257755	0.14167988	
711.42	0.14314197	0.14248291	
711.62	0.14308038	0.14327925	
711.82	0.14277091	0.14406897	
712.02	0.14317274	0.14485215	
712.22	0.14338467	0.14562884	
712.42	0.14377461	0.14639911	
712.62	0.14393835	0.14716303	
712.82	0.14425516	0.14792066	
713.02	0.14468521	0.14867206	
713.22	0.14440489	0.1494173	
713.42	0.14535001	0.15015644	
713.62	0.14616377	0.15088954	
713.82	0.14630817	0.15161666	
714.02	0.14630906	0.15233785	
714.22	0.14735115	0.15305319	
714.42	0.14789989	0.15376273	
714.62	0.14945505	0.15446652	
714.82	0.15069717	0.15516463	
715.02	0.15160321	0.15585711	
715.22	0.15200871	0.15654402	
715.42	0.15265066	0.15722541	
715.62	0.15236671	0.15790134	
715.82	0.15274859	0.15857187	
716.02	0.15274094	0.15923704	
716.22	0.15336377	0.15989692	
716.42	0.15346082	0.16055155	
716.62	0.15375223	0.16120099	
716.82	0.15376524	0.16184528	
717.02	0.15391448	0.16248449	
717.22	0.15352317	0.16311867	
717.42	0.15407654	0.16374785	
717.62	0.15447682	0.16437209	
717.82	0.15391515	0.16499145	
718.02	0.15464302	0.16560597	
718.22	0.15574046	0.1662157	
718.42	0.15671632	0.16682068	
718.62	0.15859509	0.16742097	
718.82	0.15978405	0.16801661	
719.02	0.1608451	0.16860765	
719.22	0.16184629	0.16919413	
719.42	0.16325265	0.1697761	
719.62	0.16404406	0.1703536	
719.82	0.16499581	0.17092668	
720.02	0.1654531	0.17149539	
720.22	0.16659418	0.17205976	
720.42	0.16714144	0.17261984	
720.62	0.16767146	0.17317567	
720.82	0.16786183	0.1737273	
721.02	0.16788315	0.17427477	
721.22	0.16769725	0.17481811	
721.42	0.16820068	0.17535737	
721.62	0.16802509	0.17589259	
721.82	0.16768733	0.17642381	
722.02	0.16859023	0.17695107	
722.22	0.16889782	0.1774744	
722.42	0.16893339	0.17799386	
722.62	0.1686962	0.17850947	
722.82	0.1686739	0.17902128	
723.02	0.16826203	0.17952932	
723.22	0.16808114	0.18003362	
723.42	0.16843862	0.18053424	
723.62	0.16860905	0.1810312	
723.82	0.16865276	0.18152453	
724.02	0.16906295	0.18201429	
724.22	0.16952163	0.18250049	
724.42	0.17066652	0.18298318	
724.62	0.17165415	0.18346239	
724.82	0.17256161	0.18393815	
725.02	0.17341639	0.18441051	
725.22	0.17380814	0.18487949	
725.42	0.17475772	0.18534512	
725.62	0.17510228	0.18580744	
725.82	0.17632802	0.18626649	
726.02	0.1774153	0.18672229	
726.22	0.17715983	0.18717487	
726.42	0.17727683	0.18762428	
726.62	0.17766986	0.18807053	
726.82	0.17821878	0.18851367	
727.02	0.17765029	0.18895371	
727.22	0.17778423	0.1893907	
727.42	0.17803794	0.18982466	
727.62	0.17785412	0.19025562	
727.82	0.17754613	0.19068361	
728.02	0.17804576	0.19110866	
728.22	0.17817249	0.19153081	
728.42	0.17898583	0.19195007	
728.62	0.1794257	0.19236647	
728.82	0.17939048	0.19278005	
729.02	0.17968691	0.19319083	
729.22	0.17941366	0.19359884	
729.42	0.18030392	0.19400411	
729.62	0.18092481	0.19440666	
729.82	0.18202341	0.19480652	
730.02	0.18249033	0.19520372	
730.22	0.18284893	0.19559827	
730.42	0.18386455	0.19599022	
730.62	0.1850072	0.19637958	
730.82	0.18548834	0.19676638	
731.02	0.18591586	0.19715064	
731.22	0.18668268	0.1975324	
731.42	0.18709781	0.19791166	
731.62	0.18736454	0.19828846	
731.82	0.18796323	0.19866283	
732.02	0.18871088	0.19903478	
732.22	0.18950769	0.19940434	
732.42	0.19015091	0.19977153	
732.62	0.19008691	0.20013637	
732.82	0.18991473	0.20049889	
733.02	0.19015648	0.20085912	
733.22	0.18961466	0.20121706	
733.42	0.18990276	0.20157275	
733.62	0.19018242	0.20192621	
733.82	0.19036184	0.20227746	
734.02	0.19030708	0.20262651	
734.22	0.19042973	0.2029734	
734.42	0.19066221	0.20331814	
734.62	0.19084213	0.20366075	
734.82	0.19123666	0.20400125	
735.02	0.19170226	0.20433967	
735.22	0.19189528	0.20467602	
735.42	0.1920937	0.20501033	
735.62	0.19247965	0.20534261	
735.82	0.19333648	0.20567288	
736.02	0.1941378	0.20600116	
736.22	0.19538192	0.20632748	
736.42	0.19534066	0.20665185	
736.62	0.19524728	0.20697428	
736.82	0.19577941	0.20729481	
737.02	0.19636065	0.20761344	
737.22	0.19637649	0.20793019	
737.42	0.19680089	0.20824509	
737.62	0.1967244	0.20855815	
737.82	0.19658942	0.20886938	
738.02	0.19673425	0.20917881	
738.22	0.19728685	0.20948646	
738.42	0.19757398	0.20979233	
738.62	0.19788213	0.21009645	
738.82	0.19811725	0.21039883	
739.02	0.19826161	0.21069949	
739.22	0.19936013	0.21099845	
739.42	0.20046764	0.21129572	
739.62	0.20168513	0.21159132	
739.82	0.202281	0.21188526	
740.02	0.20290775	0.21217757	
740.22	0.20376621	0.21246825	
740.42	0.20426217	0.21275732	
740.62	0.20490088	0.2130448	
740.82	0.20560686	0.2133307	
741.02	0.20550355	0.21361503	
741.22	0.20543713	0.21389782	
741.42	0.20519314	0.21417907	
741.62	0.20480933	0.21445881	
741.82	0.20537036	0.21473703	
742.02	0.20533424	0.21501377	
742.22	0.20564156	0.21528903	
742.42	0.20576362	0.21556283	
742.62	0.20550089	0.21583518	
742.82	0.20507171	0.21610609	
743.02	0.20626689	0.21637559	
743.22	0.20717875	0.21664367	
743.42	0.20728634	0.21691036	
743.62	0.20761274	0.21717566	
743.82	0.20796683	0.2174396	
744.02	0.20901021	0.21770218	
744.22	0.21059323	0.21796341	
744.42	0.21132278	0.21822332	
744.62	0.21216204	0.2184819	
744.82	0.21292655	0.21873918	
745.02	0.21304034	0.21899516	
745.22	0.21337575	0.21924987	
745.42	0.21335349	0.2195033	
745.62	0.21328728	0.21975547	
745.82	0.21298198	0.2200064	
