Conc1	1E-06	
Start1	690.02	
Stop1	2789.81	
Kobs	0.000358427896235064	
Error Kobs	5.88450959951772E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
690.02	0.0361509	0	
690.22	0.05393968	0.02336642	
690.42	0.07338409	0.04539598	
690.62	0.09541096	0.0661661	
690.82	0.11822199	0.08574975	
691.02	0.1420493	0.10421562	
691.22	0.1652127	0.12162848	
691.42	0.18756812	0.1380493	
691.62	0.20806528	0.15353555	
691.82	0.22562821	0.16814134	
692.02	0.24035301	0.18191768	
692.22	0.25103693	0.1949126	
692.42	0.25898321	0.20717135	
692.62	0.26573588	0.21873658	
692.82	0.27130943	0.22964843	
693.02	0.27664757	0.23994475	
693.22	0.28148847	0.24966119	
693.42	0.28562215	0.25883131	
693.62	0.29017193	0.26748677	
693.82	0.29455704	0.27565736	
694.02	0.29839777	0.28337115	
694.22	0.30184722	0.29065459	
694.42	0.30509271	0.2975326	
694.62	0.30907531	0.30402866	
694.82	0.31224365	0.31016487	
695.02	0.31529888	0.31596207	
695.22	0.31745767	0.32143989	
695.42	0.31973846	0.32661681	
695.62	0.32177314	0.33151025	
695.82	0.32352295	0.33613661	
696.02	0.32591493	0.34051137	
696.22	0.32805862	0.34464907	
696.42	0.32984246	0.34856344	
696.62	0.33232826	0.3522674	
696.82	0.33403544	0.35577313	
697.02	0.33591589	0.3590921	
697.22	0.33796363	0.36223511	
697.42	0.33983323	0.36521234	
697.62	0.34173663	0.36803338	
697.82	0.34274082	0.37070726	
698.02	0.34442531	0.37324251	
698.22	0.34593856	0.37564713	
698.42	0.34749586	0.37792867	
698.62	0.34930637	0.38009426	
698.82	0.35087357	0.3821506	
699.02	0.35185612	0.384104	
699.22	0.3533608	0.38596041	
699.42	0.35509491	0.38772544	
699.62	0.35723273	0.38940437	
699.82	0.35879821	0.39100217	
700.02	0.36007861	0.39252352	
700.22	0.36117907	0.39397285	
700.42	0.36228015	0.3953543	
700.62	0.36280841	0.39667181	
700.82	0.36357389	0.39792905	
701.02	0.36465557	0.39912951	
701.22	0.36572105	0.40027647	
701.42	0.36656574	0.401373	
701.62	0.36742151	0.40242202	
701.82	0.36821451	0.40342626	
702.02	0.36966296	0.4043883	
702.22	0.37060782	0.40531058	
702.42	0.37175321	0.40619539	
702.62	0.37286806	0.40704488	
702.82	0.37392194	0.40786108	
703.02	0.37491585	0.40864591	
703.22	0.37647316	0.40940117	
703.42	0.3775344	0.41012857	
703.62	0.37911967	0.41082969	
703.82	0.37971569	0.41150606	
704.02	0.38048943	0.41215909	
704.22	0.38092901	0.41279012	
704.42	0.38112829	0.41340041	
704.62	0.38128143	0.41399115	
704.82	0.38226109	0.41456346	
705.02	0.38292541	0.41511838	
705.22	0.3835248	0.41565692	
705.42	0.38389083	0.41618002	
705.62	0.38434803	0.41668854	
705.82	0.38536489	0.41718332	
706.02	0.38606901	0.41766515	
706.22	0.38688606	0.41813477	
706.42	0.38788662	0.41859285	
706.62	0.38882963	0.41904007	
706.82	0.38984942	0.41947703	
707.02	0.3908523	0.41990432	
707.22	0.39189968	0.42032248	
707.42	0.39282831	0.42073203	
707.62	0.39418472	0.42113346	
707.82	0.39445136	0.42152721	
708.02	0.39517377	0.42191373	
708.22	0.39548739	0.42229342	
708.42	0.39618404	0.42266665	
708.62	0.39689402	0.4230338	
708.82	0.39742066	0.4233952	
709.02	0.39814315	0.42375116	
709.22	0.39820249	0.424102	
709.42	0.39885448	0.42444799	
709.62	0.39973329	0.42478941	
709.82	0.40116007	0.42512649	
710.02	0.40144679	0.42545949	
710.22	0.40208427	0.42578862	
710.42	0.40243155	0.4261141	
710.62	0.40322701	0.42643612	
710.82	0.40420972	0.42675487	
711.02	0.4051388	0.42707053	
711.22	0.40567767	0.42738326	
711.42	0.40646601	0.42769322	
711.62	0.40664147	0.42800056	
711.82	0.40658674	0.42830541	
712.02	0.40712012	0.42860791	
712.22	0.40781572	0.42890817	
712.42	0.40827216	0.42920632	
712.62	0.4087959	0.42950247	
712.82	0.40960645	0.42979671	
713.02	0.41021145	0.43008914	
713.22	0.41045069	0.43037987	
713.42	0.41174125	0.43066896	
713.62	0.412872	0.43095651	
713.82	0.41318308	0.43124258	
714.02	0.41362306	0.43152726	
714.22	0.41438909	0.43181061	
714.42	0.41500029	0.43209269	
714.62	0.41629926	0.43237356	
714.82	0.41711314	0.43265329	
715.02	0.41762408	0.43293192	
715.22	0.41765207	0.4332095	
715.42	0.41784364	0.43348609	
