Conc1	1.2E-05	
Start1	1568.05	
Stop1	3367.85	
Kobs	0.00143790833163632	
Error Kobs	3.17551367379046E-05	
Koff	0.0533742818190117	
Error Koff	0.00261184476173274	
Time1	Data1	Fit1	
1568.05	0.14821764	0.14821764	
1568.25	0.18246307	0.19886458	
1568.45	0.21790043	0.24027312	
1568.65	0.25295583	0.27412914	
1568.85	0.28741482	0.30181084	
1569.05	0.31980535	0.32444494	
1569.25	0.34839985	0.34295253	
1569.45	0.37233881	0.35808664	
1569.65	0.3909147	0.37046288	
1569.85	0.40292697	0.3805845	
1570.05	0.40684824	0.38886294	
1570.25	0.4015309	0.39563455	
1570.45	0.39981433	0.4011743	
1570.65	0.4001001	0.40570698	
1570.85	0.40063473	0.40941636	
1571.05	0.40193208	0.41245268	
1571.25	0.40244582	0.41493877	
1571.45	0.40348822	0.41697503	
1571.65	0.40456673	0.41864355	
1571.85	0.40561123	0.42001142	
1572.05	0.40679232	0.42113352	
1572.25	0.40788775	0.4220547	
1572.45	0.40886468	0.4228116	
1572.65	0.40986849	0.42343423	
1572.85	0.4114126	0.42394706	
1573.05	0.41233538	0.42437015	
1573.25	0.4134533	0.42471986	
1573.45	0.41469158	0.42500958	
1573.65	0.41616775	0.42525026	
1573.85	0.41713575	0.42545086	
1574.05	0.41820966	0.42561867	
1574.25	0.4190361	0.42575969	
1574.45	0.41947634	0.42587879	
1574.65	0.4198933	0.42597999	
1574.85	0.41992295	0.42606654	
1575.05	0.42055661	0.42614112	
1575.25	0.42072371	0.42620591	
1575.45	0.42110755	0.4262627	
1575.65	0.42137407	0.42631294	
1575.85	0.42130079	0.42635783	
1576.05	0.42173219	0.42639835	
1576.25	0.4220548	0.42643529	
1576.45	0.42264123	0.4264693	
1576.65	0.42311462	0.42650092	
1576.85	0.42326931	0.42653058	
1577.05	0.42357167	0.42655863	
1577.25	0.4245094	0.42658538	
1577.45	0.42460223	0.42661106	
1577.65	0.42488293	0.42663585	
1577.85	0.42493815	0.42665993	
1578.05	0.42520136	0.42668342	
1578.25	0.42510212	0.42670643	
1578.45	0.42535757	0.42672904	
1578.65	0.42535488	0.42675133	
1578.85	0.42553888	0.42677335	
1579.05	0.42633236	0.42679515	
1579.25	0.42651576	0.42681677	
1579.45	0.42638745	0.42683825	
1579.65	0.4265005	0.4268596	
1579.85	0.42662498	0.42688085	
