Conc1	1.2E-05	
Start1	1568.05	
Stop1	3367.85	
Kobs	0.00142253050656945	
Error Kobs	2.93613430992263E-05	
Koff	0.0481413085884388	
Error Koff	0.0011343704904871	
Time1	Data1	Fit1	
1568.05	0.1462796	0.1462796	
1568.25	0.18128962	0.19670962	
1568.45	0.21743744	0.23811761	
1568.65	0.25317802	0.27211836	
1568.85	0.2875296	0.30003765	
1569.05	0.31986755	0.32296395	
1569.25	0.34853859	0.34179092	
1569.45	0.37257432	0.35725229	
1569.65	0.39108451	0.36995042	
1569.85	0.40288027	0.38037991	
1570.05	0.4063316	0.38894679	
1570.25	0.40042964	0.39598443	
1570.45	0.3981667	0.40176656	
1570.65	0.39878336	0.40651788	
1570.85	0.40006213	0.41042289	
1571.05	0.40143565	0.41363306	
1571.25	0.40310134	0.41627276	
1571.45	0.40436601	0.41844408	
1571.65	0.40544061	0.42023087	
1571.85	0.40704245	0.42170195	
1572.05	0.40881424	0.42291382	
1572.25	0.41011289	0.42391287	
1572.45	0.41109074	0.42473719	
1572.65	0.41178316	0.42541806	
1572.85	0.41285885	0.42598116	
1573.05	0.41411617	0.42644755	
1573.25	0.41490081	0.42683455	
1573.45	0.41591736	0.42715636	
1573.65	0.41676248	0.42742466	
1573.85	0.41803835	0.42764901	
1574.05	0.4182146	0.42783729	
1574.25	0.41840148	0.42799595	
1574.45	0.41820528	0.42813028	
1574.65	0.418468	0.42824465	
1574.85	0.4188749	0.42834262	
1575.05	0.41940683	0.42842713	
1575.25	0.41993835	0.42850058	
1575.45	0.41989225	0.42856496	
1575.65	0.420783	0.42862189	
1575.85	0.42180297	0.42867269	
1576.05	0.42253946	0.42871847	
1576.25	0.42233615	0.42876012	
1576.45	0.42246374	0.42879838	
1576.65	0.4229737	0.42883385	
1576.85	0.42369427	0.42886704	
1577.05	0.42417389	0.42889835	
1577.25	0.4242578	0.42892812	
1577.45	0.42494731	0.42895661	
1577.65	0.42491267	0.42898407	
1577.85	0.42549417	0.42901066	
1578.05	0.4250085	0.42903656	
1578.25	0.42526217	0.42906187	
1578.45	0.4254887	0.4290867	
1578.65	0.42634249	0.42911114	
1578.85	0.42690047	0.42913526	
1579.05	0.42730089	0.42915911	
1579.25	0.427684	0.42918274	
1579.45	0.42777566	0.42920619	
1579.65	0.42846159	0.42922949	
1579.85	0.42864574	0.42925266	
1580.05	0.42804654	0.42927573	
1580.25	0.42786413	0.42929871	
1580.45	0.42806486	0.42932162	
1580.65	0.42781984	0.42934447	
1580.85	0.42751098	0.42936727	
1581.05	0.42726449	0.42939003	
1581.25	0.4269593	0.42941275	
1581.45	0.42711024	0.42943544	
1581.65	0.42689721	0.4294581	
1581.85	0.42771802	0.42948074	
1582.05	0.4281296	0.42950336	
1582.25	0.42886671	0.42952597	
1582.45	0.42983239	0.42954855	
1582.65	0.43070763	0.42957113	
1582.85	0.43113793	0.42959369	
1583.05	0.4316921	0.42961624	
1583.25	0.43234133	0.42963878	
1583.45	0.43275289	0.42966131	
1583.65	0.43341948	0.42968383	
1583.85	0.43382539	0.42970634	
1584.05	0.43375608	0.42972884	
1584.25	0.43394087	0.42975134	
1584.45	0.43302516	0.42977383	
1584.65	0.43197393	0.42979631	
1584.85	0.43136243	0.42981878	
1585.05	0.43084707	0.42984124	
1585.25	0.43067354	0.4298637	
1585.45	0.43029956	0.42988616	
1585.65	0.43045704	0.4299086	
1585.85	0.43021069	0.42993104	
1586.05	0.42973944	0.42995347	
1586.25	0.42994309	0.4299759	
1586.45	0.42999383	0.42999831	
1586.65	0.43009838	0.43002073	
1586.85	0.4298684	0.43004313	
1587.05	0.43012258	0.43006553	
1587.25	0.43022226	0.43008792	
1587.45	0.43045575	0.43011031	
1587.65	0.43077486	0.43013269	
1587.85	0.43120371	0.43015506	
1588.05	0.43135021	0.43017743	
1588.25	0.43142462	0.43019979	
1588.45	0.43107102	0.43022215	
1588.65	0.43137598	0.43024449	
1588.85	0.43143337	0.43026684	
1589.05	0.43177354	0.43028917	
1589.25	0.43249194	0.4303115	
1589.45	0.43257676	0.43033382	
1589.65	0.4326812	0.43035614	
1589.85	0.43211459	0.43037845	
1590.05	0.43244536	0.43040075	
1590.25	0.43257705	0.43042305	
1590.45	0.43215646	0.43044534	
1590.65	0.43194902	0.43046762	
1590.85	0.43138571	0.4304899	
1591.05	0.43139995	0.43051217	
1591.25	0.43123161	0.43053444	
1591.45	0.43162295	0.4305567	
1591.65	0.43132239	0.43057895	
1591.85	0.43144421	0.4306012	
1592.05	0.43127842	0.43062344	
1592.25	0.43181674	0.43064567	
1592.45	0.43179996	0.4306679	
1592.65	0.43219475	0.43069012	
1592.85	0.43231955	0.43071233	
1593.05	0.43288332	0.43073454	
1593.25	0.43350275	0.43075674	
1593.45	0.43377751	0.43077894	
1593.65	0.43366136	0.43080113	
1593.85	0.43406792	0.43082331	
1594.05	0.43472752	0.43084549	
1594.25	0.43441058	0.43086766	
1594.45	0.43482888	0.43088982	
1594.65	0.43508517	0.43091198	
1594.85	0.43501528	0.43093413	
1595.05	0.43523008	0.43095628	
1595.25	0.43539528	0.43097842	
1595.45	0.43468668	0.43100055	
1595.65	0.43403866	0.43102268	
1595.85	0.43422425	0.4310448	
1596.05	0.43346306	0.43106691	
1596.25	0.43379429	0.43108902	
1596.45	0.43307613	0.43111112	
1596.65	0.43276584	0.43113322	
1596.85	0.43251878	0.4311553	
1597.05	0.43291041	0.43117739	
1597.25	0.43284626	0.43119946	
1597.45	0.43264375	0.43122153	
1597.65	0.43245229	0.4312436	
1597.85	0.43327982	0.43126565	
1598.05	0.43304238	0.4312877	
1598.25	0.43308976	0.43130975	
1598.45	0.43362014	0.43133179	
1598.65	0.43330073	0.43135382	
1598.85	0.4331297	0.43137585	
1599.05	0.4329339	0.43139787	
1599.25	0.43236236	0.43141988	
1599.45	0.43186177	0.43144189	
1599.65	0.43205916	0.43146389	
1599.85	0.43194734	0.43148588	
1600.05	0.43107596	0.43150787	
1600.25	0.43181755	0.43152985	
1600.45	0.43131967	0.43155183	
1600.65	0.43155235	0.4315738	
1600.85	0.43231003	0.43159576	
1601.05	0.43300378	0.43161772	
1601.25	0.43309866	0.43163967	
1601.45	0.43317216	0.43166161	
1601.65	0.43348357	0.43168355	
1601.85	0.43385999	0.43170548	
1602.05	0.43349945	0.43172741	
1602.25	0.43416523	0.43174933	
1602.45	0.4342418	0.43177124	
1602.65	0.43386142	0.43179315	
1602.85	0.43367176	0.43181505	
1603.05	0.43330562	0.43183695	
1603.25	0.43322749	0.43185883	
1603.45	0.43345205	0.43188072	
1603.65	0.43322796	0.43190259	
1603.85	0.43287731	0.43192446	
1604.05	0.43262343	0.43194633	
1604.25	0.43261235	0.43196818	
1604.45	0.43226719	0.43199003	
1604.65	0.43209872	0.43201188	
1604.85	0.43225555	0.43203372	
1605.05	0.43257343	0.43205555	
1605.25	0.43275599	0.43207738	
1605.45	0.43236232	0.4320992	
1605.65	0.43248784	0.43212101	
1605.85	0.43220932	0.43214282	
1606.05	0.43190429	0.43216462	
1606.25	0.43219578	0.43218642	
1606.45	0.43232291	0.4322082	
1606.65	0.43223988	0.43222999	
1606.85	0.43253232	0.43225176	
1607.05	0.43325921	0.43227353	
1607.25	0.43356867	0.4322953	
1607.45	0.43349994	0.43231706	
1607.65	0.43352486	0.43233881	
1607.85	0.4335149	0.43236055	
1608.05	0.433572	0.43238229	
1608.25	0.43325966	0.43240403	
1608.45	0.43363336	0.43242575	
1608.65	0.43325452	0.43244748	
1608.85	0.43379325	0.43246919	
1609.05	0.43436358	0.4324909	
1609.25	0.43409111	0.4325126	
1609.45	0.43323241	0.4325343	
1609.65	0.43291067	0.43255599	
1609.85	0.43214869	0.43257767	
1610.05	0.43178561	0.43259935	
1610.25	0.43180819	0.43262102	
1610.45	0.43193898	0.43264269	
1610.65	0.43177018	0.43266435	
1610.85	0.43200752	0.432686	
1611.05	0.43240038	0.43270765	
1611.25	0.43249689	0.43272929	
1611.45	0.43255468	0.43275092	
1611.65	0.43334821	0.43277255	
1611.85	0.43413119	0.43279417	
