Conc1	1.2E-05	
Start1	1568.05	
Stop1	3367.85	
Kobs	0.00147056535889243	
Error Kobs	2.42396995273686E-05	
Koff	0.0548788658611774	
Error Koff	0.00189415371785662	
Time1	Data1	Fit1	
1568.05	0.15259749	0.15259749	
1568.25	0.18691369	0.20082791	
1568.45	0.22169766	0.24057553	
1568.65	0.25631831	0.27333321	
1568.85	0.28978309	0.30033109	
1569.05	0.32067198	0.32258281	
1569.25	0.34847596	0.34092364	
1569.45	0.37175701	0.35604184	
1569.65	0.38931042	0.36850456	
1569.85	0.40023577	0.37877911	
1570.05	0.40292514	0.38725059	
1570.25	0.39671437	0.39423632	
1570.45	0.39527968	0.39999776	
1570.65	0.396288	0.40475037	
1570.85	0.39825617	0.4086717	
1571.05	0.40007165	0.41190803	
1571.25	0.40217387	0.41457991	
1571.45	0.40402202	0.41678669	
1571.65	0.40566459	0.4186102	
1571.85	0.40770711	0.4201179	
1572.05	0.40913356	0.42136537	
1572.25	0.41007437	0.42239839	
1572.45	0.41053948	0.42325472	
1572.65	0.41120554	0.42396544	
1572.85	0.41166449	0.42455618	
1573.05	0.41215542	0.42504805	
1573.25	0.41282761	0.42545844	
1573.45	0.41318202	0.42580171	
1573.65	0.41363195	0.42608965	
1573.85	0.41400616	0.426332	
1574.05	0.41424821	0.42653679	
1574.25	0.41483213	0.42671063	
1574.45	0.41550501	0.42685895	
1574.65	0.4165329	0.42698626	
1574.85	0.41745032	0.42709623	
1575.05	0.41818251	0.42719194	
1575.25	0.41921046	0.42727587	
1575.45	0.41987581	0.42735011	
1575.65	0.42075414	0.42741636	
1575.85	0.42134283	0.42747602	
1576.05	0.421792	0.42753026	
1576.25	0.42203884	0.42758002	
1576.45	0.42261695	0.42762609	
1576.65	0.42283283	0.42766911	
1576.85	0.42329398	0.42770964	
1577.05	0.42389986	0.42774809	
1577.25	0.42357358	0.42778484	
1577.45	0.42358726	0.42782018	
1577.65	0.42383964	0.42785436	
1577.85	0.42374759	0.42788758	
1578.05	0.42413622	0.42792001	
1578.25	0.42462562	0.42795179	
1578.45	0.42526941	0.42798303	
1578.65	0.42581638	0.42801382	
1578.85	0.4260592	0.42804425	
1579.05	0.42642862	0.42807437	
1579.25	0.42678731	0.42810423	
1579.45	0.42705772	0.42813389	
1579.65	0.42658482	0.42816337	
1579.85	0.42628634	0.4281927	
1580.05	0.42668942	0.42822191	
1580.25	0.42696531	0.42825103	
1580.45	0.42681562	0.42828005	
1580.65	0.42712728	0.42830901	
1580.85	0.42737989	0.4283379	
1581.05	0.42703463	0.42836675	
1581.25	0.42670219	0.42839554	
1581.45	0.42705932	0.42842431	
1581.65	0.42726969	0.42845304	
1581.85	0.42740566	0.42848174	
1582.05	0.42795615	0.42851041	
1582.25	0.42771017	0.42853907	
1582.45	0.42799747	0.4285677	
1582.65	0.4278983	0.42859632	
1582.85	0.42821624	0.42862492	
1583.05	0.42804643	0.42865351	
1583.25	0.42801918	0.42868209	
1583.45	0.42789947	0.42871065	
1583.65	0.42743504	0.4287392	
1583.85	0.42767146	0.42876773	
1584.05	0.42809873	0.42879626	
1584.25	0.42813206	0.42882478	
1584.45	0.42829242	0.42885329	
1584.65	0.42873635	0.42888178	
1584.85	0.42888079	0.42891027	
1585.05	0.42902691	0.42893875	
1585.25	0.42974722	0.42896722	
1585.45	0.42990023	0.42899568	
1585.65	0.42992647	0.42902413	
1585.85	0.42979547	0.42905257	
1586.05	0.429759	0.42908101	
1586.25	0.42990618	0.42910943	
1586.45	0.43044934	0.42913785	
1586.65	0.43034525	0.42916626	
1586.85	0.43035326	0.42919466	
1587.05	0.43019883	0.42922305	
1587.25	0.43016863	0.42925143	
1587.45	0.43010572	0.42927981	
1587.65	0.42983676	0.42930817	
1587.85	0.43007107	0.42933653	
1588.05	0.43049706	0.42936488	
1588.25	0.4303802	0.42939322	
1588.45	0.4301156	0.42942155	
1588.65	0.42992225	0.42944988	
1588.85	0.43044331	0.42947819	
1589.05	0.43016921	0.4295065	
1589.25	0.43047244	0.4295348	
1589.45	0.43020116	0.42956309	
1589.65	0.43030075	0.42959138	
1589.85	0.43041631	0.42961965	
1590.05	0.43086808	0.42964792	
1590.25	0.43102095	0.42967617	
1590.45	0.43072163	0.42970442	
1590.65	0.43028917	0.42973266	
1590.85	0.42980653	0.4297609	
1591.05	0.42960395	0.42978912	
1591.25	0.42969067	0.42981734	
1591.45	0.42960982	0.42984554	
1591.65	0.42990249	0.42987374	
1591.85	0.4303978	0.42990193	
1592.05	0.43037477	0.42993012	
1592.25	0.43045389	0.42995829	
1592.45	0.43019138	0.42998646	
1592.65	0.43066853	0.43001462	
1592.85	0.43149651	0.43004277	
1593.05	0.43153629	0.43007091	
1593.25	0.4322397	0.43009904	
1593.45	0.4323298	0.43012717	
1593.65	0.43274315	0.43015528	
1593.85	0.43275483	0.43018339	
1594.05	0.43282507	0.43021149	
1594.25	0.43260735	0.43023958	
1594.45	0.43288173	0.43026767	
1594.65	0.4327556	0.43029574	
1594.85	0.43313973	0.43032381	
1595.05	0.4337265	0.43035187	
1595.25	0.43370593	0.43037992	
1595.45	0.43361492	0.43040796	
1595.65	0.43352453	0.43043599	
1595.85	0.43319479	0.43046402	
1596.05	0.43257829	0.43049204	
1596.25	0.43312848	0.43052005	
1596.45	0.43301677	0.43054805	
1596.65	0.43361864	0.43057604	
1596.85	0.43387258	0.43060402	
1597.05	0.43366967	0.430632	
1597.25	0.43367391	0.43065997	
1597.45	0.43337675	0.43068793	
1597.65	0.43330962	0.43071588	
1597.85	0.43302621	0.43074382	
1598.05	0.43259164	0.43077176	
1598.25	0.43262316	0.43079969	
1598.45	0.43247458	0.43082761	
1598.65	0.43245424	0.43085552	
1598.85	0.43253633	0.43088342	
1599.05	0.43231523	0.43091131	
1599.25	0.43200865	0.4309392	
1599.45	0.43209003	0.43096708	
1599.65	0.4319199	0.43099495	
1599.85	0.43201261	0.43102281	
1600.05	0.43224088	0.43105066	
1600.25	0.43327607	0.43107851	
1600.45	0.4330601	0.43110634	
1600.65	0.43344732	0.43113417	
1600.85	0.43354643	0.43116199	
1601.05	0.43411197	0.4311898	
1601.25	0.43413015	0.43121761	
1601.45	0.43426332	0.4312454	
1601.65	0.43392634	0.43127319	
1601.85	0.43335972	0.43130097	
1602.05	0.43310549	0.43132874	
1602.25	0.43340221	0.43135651	
1602.45	0.43330361	0.43138426	
1602.65	0.43360629	0.43141201	
1602.85	0.4336501	0.43143975	
1603.05	0.43428218	0.43146748	
1603.25	0.43457792	0.4314952	
1603.45	0.43458897	0.43152291	
1603.65	0.43471406	0.43155062	
1603.85	0.43466856	0.43157832	
1604.05	0.43478295	0.43160601	
1604.25	0.4346091	0.43163369	
1604.45	0.43381713	0.43166136	
1604.65	0.43407769	0.43168903	
1604.85	0.43423715	0.43171669	
1605.05	0.4348868	0.43174434	
1605.25	0.43455438	0.43177198	
1605.45	0.43481443	0.43179961	
1605.65	0.43447747	0.43182723	
1605.85	0.43455899	0.43185485	
1606.05	0.43514996	0.43188246	
1606.25	0.43520646	0.43191006	
1606.45	0.43518209	0.43193765	
1606.65	0.43495127	0.43196524	
1606.85	0.43496963	0.43199281	
1607.05	0.43507033	0.43202038	
1607.25	0.43436774	0.43204794	
1607.45	0.43382591	0.43207549	
1607.65	0.43369293	0.43210304	
1607.85	0.43298812	0.43213057	
1608.05	0.43298009	0.4321581	
1608.25	0.43238833	0.43218562	
1608.45	0.43205112	0.43221313	
1608.65	0.43234876	0.43224063	
1608.85	0.43276109	0.43226813	
1609.05	0.43308137	0.43229561	
1609.25	0.43315176	0.43232309	
1609.45	0.43385453	0.43235056	
1609.65	0.4340591	0.43237803	
1609.85	0.43439292	0.43240548	
1610.05	0.43474497	0.43243293	
1610.25	0.43494492	0.43246037	
1610.45	0.43504851	0.4324878	
1610.65	0.43492638	0.43251522	
1610.85	0.4351151	0.43254263	
1611.05	0.43496707	0.43257004	
1611.25	0.4346953	0.43259744	
1611.45	0.43476652	0.43262483	
1611.65	0.43466598	0.43265221	
1611.85	0.43411145	0.43267959	
1612.05	0.43465998	0.43270695	
1612.25	0.43442215	0.43273431	
1612.45	0.43425196	0.43276166	
1612.65	0.43368864	0.432789	
1612.85	0.4331453	0.43281634	
1613.05	0.43284828	0.43284366	
1613.25	0.43268339	0.43287098	
1613.45	0.43288925	0.43289829	
1613.65	0.43273283	0.43292559	
1613.85	0.43261769	0.43295288	
1614.05	0.43272977	0.43298017	
1614.25	0.43266983	0.43300745	
1614.45	0.43277609	0.43303472	
1614.65	0.43300471	0.43306198	
1614.85	0.43369555	0.43308923	
1615.05	0.43344636	0.43311648	
1615.25	0.43390854	0.43314371	
1615.45	0.43452085	0.43317094	
1615.65	0.43485078	0.43319817	
1615.85	0.43507977	0.43322538	
1616.05	0.43584257	0.43325258	
1616.25	0.43530674	0.43327978	
1616.45	0.43485044	0.43330697	
1616.65	0.43405154	0.43333415	
1616.85	0.43393727	0.43336133	
1617.05	0.43384884	0.43338849	
1617.25	0.43372742	0.43341565	
1617.45	0.43356943	0.4334428	
1617.65	0.43317063	0.43346994	
1617.85	0.43309967	0.43349707	
1618.05	0.43301558	0.4335242	
1618.25	0.43282556	0.43355132	
1618.45	0.43271462	0.43357843	
1618.65	0.43256868	0.43360553	
1618.85	0.43266984	0.43363262	
1619.05	0.43228175	0.43365971	
1619.25	0.43311498	0.43368679	
1619.45	0.43373472	0.43371386	
1619.65	0.43350623	0.43374092	
1619.85	0.43394714	0.43376797	
1620.05	0.43423281	0.43379502	
1620.25	0.43394466	0.43382206	
1620.45	0.43405706	0.43384909	
1620.65	0.43387568	0.43387611	
1620.85	0.43388451	0.43390312	
1621.05	0.43410187	0.43393013	
1621.25	0.43407779	0.43395713	
1621.45	0.43402934	0.43398412	
1621.65	0.43422628	0.4340111	
1621.85	0.43463264	0.43403807	
1622.05	0.4342393	0.43406504	
1622.25	0.43407637	0.434092	
1622.45	0.43365323	0.43411895	
1622.65	0.4339832	0.43414589	
1622.85	0.43440318	0.43417283	
1623.05	0.43493318	0.43419975	
1623.25	0.43554865	0.43422667	
1623.45	0.43575111	0.43425358	
1623.65	0.43532044	0.43428049	
1623.85	0.43589205	0.43430738	
1624.05	0.43549473	0.43433427	
1624.25	0.43522271	0.43436115	
1624.45	0.43525629	0.43438802	
1624.65	0.43500838	0.43441488	
1624.85	0.43493411	0.43444174	
1625.05	0.43526163	0.43446859	
1625.25	0.43495507	0.43449543	
1625.45	0.43493325	0.43452226	
1625.65	0.43417429	0.43454908	
1625.85	0.43317778	0.4345759	
1626.05	0.43234841	0.43460271	
1626.25	0.43258044	0.43462951	
1626.45	0.43275086	0.4346563	
1626.65	0.43323122	0.43468309	
1626.85	0.4338058	0.43470986	
1627.05	0.43429123	0.43473663	
1627.25	0.43437027	0.43476339	
1627.45	0.43414948	0.43479015	
1627.65	0.43425047	0.43481689	
1627.85	0.43430059	0.43484363	
1628.05	0.4347085	0.43487036	
1628.25	0.43521167	0.43489708	
1628.45	0.43561031	0.4349238	
1628.65	0.4360138	0.4349505	
1628.85	0.43656956	0.4349772	
1629.05	0.43705028	0.43500389	
1629.25	0.43666332	0.43503057	
1629.45	0.4361612	0.43505725	
1629.65	0.43552114	0.43508391	
1629.85	0.43488779	0.43511057	
1630.05	0.43534065	0.43513722	
1630.25	0.43580525	0.43516387	
1630.45	0.43592558	0.4351905	
1630.65	0.43626493	0.43521713	
1630.85	0.43655992	0.43524375	
1631.05	0.43599484	0.43527036	
1631.25	0.43591073	0.43529697	
1631.45	0.43589705	0.43532356	
1631.65	0.43600975	0.43535015	
1631.85	0.43560602	0.43537673	
1632.05	0.43606559	0.4354033	
1632.25	0.43590916	0.43542987	
1632.45	0.43580409	0.43545643	
1632.65	0.43592411	0.43548298	
1632.85	0.43619987	0.43550952	
1633.05	0.43575782	0.43553605	
1633.25	0.43539935	0.43556258	
1633.45	0.43535767	0.4355891	
1633.65	0.43518807	0.43561561	
1633.85	0.43510365	0.43564211	
1634.05	0.43510618	0.4356686	
1634.25	0.4353235	0.43569509	
1634.45	0.4357547	0.43572157	
1634.65	0.43607558	0.43574804	
1634.85	0.43583111	0.43577451	
1635.05	0.43549951	0.43580096	
1635.25	0.43588399	0.43582741	
1635.45	0.43557032	0.43585385	
1635.65	0.43535166	0.43588028	
1635.85	0.43526488	0.43590671	
1636.05	0.43555234	0.43593312	
1636.25	0.4356221	0.43595953	
1636.45	0.43564003	0.43598593	
1636.65	0.43541397	0.43601233	
1636.85	0.43537114	0.43603871	
1637.05	0.43471246	0.43606509	
1637.25	0.4347563	0.43609146	
1637.45	0.4347982	0.43611783	
1637.65	0.43481471	0.43614418	
1637.85	0.4351043	0.43617053	
1638.05	0.43485444	0.43619687	
1638.25	0.4355823	0.4362232	
1638.45	0.43584323	0.43624952	
1638.65	0.43556913	0.43627584	
1638.85	0.43494896	0.43630215	
1639.05	0.43496131	0.43632845	
1639.25	0.43505188	0.43635474	
1639.45	0.43507845	0.43638103	
1639.65	0.43510451	0.4364073	
1639.85	0.43533156	0.43643357	
1640.05	0.43538059	0.43645984	
1640.25	0.43581063	0.43648609	
