Conc1	2.4E-05	
Start1	690	
Stop1	2789.79	
Kobs	0.402237630968173	
Error Kobs	0.0108983519507764	
Koff	0.888441728434676	
Error Koff	0.281615465147872	
Time1	Data1	Fit1	
690	0.24698313	0.24698313	
690.2	0.2746884	0.26999091	
690.4	0.30307275	0.29122773	
690.6	0.33169315	0.31083048	
690.8	0.35964236	0.32892546	
691	0.38618183	0.34562921	
691.2	0.41029465	0.36104927	
691.4	0.43060009	0.37528486	
691.6	0.44630334	0.38842753	
691.8	0.45736551	0.40056176	
692	0.46179483	0.41176548	
692.2	0.45942291	0.42211063	
692.4	0.460704	0.43166356	
692.6	0.46363629	0.44048551	
692.8	0.46617549	0.44863297	
693	0.46878015	0.45615807	
693.2	0.47139239	0.46310893	
693.4	0.47282099	0.46952991	
693.6	0.47488234	0.47546198	
693.8	0.4765868	0.48094292	
694	0.47886588	0.4860076	
694.2	0.48072682	0.49068819	
694.4	0.48224876	0.49501437	
694.6	0.48385535	0.49901354	
694.8	0.48517081	0.50271097	
695	0.48682984	0.50612998	
695.2	0.48853213	0.50929209	
695.4	0.48947887	0.51221714	
695.6	0.49081168	0.51492346	
695.8	0.49252341	0.51742796	
696	0.49319313	0.51974623	
696.2	0.49426978	0.52189265	
696.4	0.49503229	0.52388052	
696.6	0.49647488	0.52572208	
696.8	0.49762398	0.52742863	
697	0.49827274	0.52901061	
697.2	0.49915237	0.53047765	
697.4	0.4996539	0.53183862	
697.6	0.50078194	0.53310172	
697.8	0.50132915	0.53427451	
698	0.50290005	0.53536396	
698.2	0.5034324	0.53637652	
698.4	0.50439572	0.53731813	
698.6	0.50543579	0.53819426	
698.8	0.50631986	0.53900997	
699	0.50753636	0.53976994	
699.2	0.50866685	0.54047845	
699.4	0.50922301	0.5411395	
699.6	0.50987028	0.54175673	
699.8	0.50998992	0.54233354	
700	0.51058457	0.54287305	
700.2	0.51102287	0.54337813	
700.4	0.51162402	0.54385145	
700.6	0.51226637	0.54429545	
700.8	0.51309797	0.54471239	
701	0.51357914	0.54510437	
701.2	0.51413827	0.54547331	
701.4	0.5142666	0.54582099	
701.6	0.51478786	0.54614904	
701.8	0.51512172	0.54645898	
702	0.51555605	0.54675221	
702.2	0.51627689	0.54703001	
702.4	0.51741771	0.54729358	
702.6	0.51821466	0.547544	
702.8	0.51870173	0.5477823	
703	0.51931387	0.54800939	
703.2	0.51990249	0.54822616	
703.4	0.52033043	0.54843339	
703.6	0.52064264	0.54863181	
703.8	0.52099881	0.5488221	
704	0.52183916	0.54900489	
704.2	0.52200467	0.54918075	
704.4	0.52234786	0.54935022	
704.6	0.52302715	0.54951378	
704.8	0.52355333	0.54967189	
705	0.52371374	0.54982496	
705.2	0.52401839	0.54997339	
705.4	0.52417429	0.55011752	
705.6	0.52437594	0.55025768	
705.8	0.52428137	0.55039418	
706	0.52441296	0.5505273	
706.2	0.52485419	0.55065729	
706.4	0.52503249	0.55078439	
706.6	0.52496839	0.55090882	
706.8	0.52533397	0.55103079	
707	0.52573204	0.55115048	
707.2	0.52611253	0.55126806	
707.4	0.52664081	0.5513837	
707.6	0.52718519	0.55149753	
707.8	0.52757154	0.5516097	
708	0.52797561	0.55172033	
708.2	0.52830305	0.55182953	
708.4	0.52859632	0.55193741	
708.6	0.52918145	0.55204408	
708.8	0.52911582	0.55214961	
709	0.52945188	0.5522541	
709.2	0.52960182	0.55235761	
709.4	0.52995214	0.55246023	
709.6	0.53059171	0.55256202	
709.8	0.53123628	0.55266304	
710	0.53237707	0.55276334	
710.2	0.53270003	0.55286297	
710.4	0.53290931	0.55296199	
710.6	0.53349939	0.55306043	
710.8	0.53430354	0.55315835	
711	0.53481249	0.55325577	
711.2	0.53566179	0.55335273	
711.4	0.53620203	0.55344926	
711.6	0.53649587	0.55354539	
711.8	0.53669538	0.55364115	
712	0.53688233	0.55373656	
712.2	0.53669741	0.55383165	
712.4	0.53690036	0.55392643	
712.6	0.53646032	0.55402094	
712.8	0.53627136	0.55411518	
713	0.53613909	0.55420917	
713.2	0.5362781	0.55430293	
713.4	0.53671349	0.55439647	
713.6	0.53730951	0.5544898	
713.8	0.53749517	0.55458295	
714	0.53760435	0.55467591	
714.2	0.53663321	0.5547687	
714.4	0.53693107	0.55486133	
714.6	0.53703978	0.5549538	
714.8	0.53727754	0.55504613	
715	0.53751326	0.55513832	
715.2	0.5378694	0.55523039	
715.4	0.53782916	0.55532233	
715.6	0.53801707	0.55541415	
715.8	0.53816922	0.55550586	
716	0.53823408	0.55559746	
716.2	0.53850844	0.55568895	
716.4	0.53908091	0.55578035	
716.6	0.53932893	0.55587166	
716.8	0.53996862	0.55596287	
717	0.54064845	0.556054	
717.2	0.54180411	0.55614504	
717.4	0.54244052	0.556236	
717.6	0.54303017	0.55632688	
717.8	0.54309505	0.55641768	
718	0.54326231	0.55650841	
718.2	0.54380282	0.55659907	
718.4	0.54461161	0.55668965	
718.6	0.54453011	0.55678017	
718.8	0.54526036	0.55687062	
719	0.5456054	0.55696101	
719.2	0.54584265	0.55705133	
719.4	0.54567181	0.55714159	
719.6	0.5455876	0.55723179	
719.8	0.5457836	0.55732193	
720	0.54591153	0.55741201	
720.2	0.54614548	0.55750203	
720.4	0.54652534	0.55759199	
720.6	0.54672094	0.55768189	
720.8	0.54696126	0.55777174	
721	0.54768146	0.55786154	
721.2	0.5484685	0.55795128	
721.4	0.54856213	0.55804096	
721.6	0.54877065	0.5581306	
721.8	0.54924548	0.55822018	
722	0.54925493	0.5583097	
722.2	0.5500501	0.55839918	
722.4	0.55007899	0.5584886	
722.6	0.55044228	0.55857798	
722.8	0.55084048	0.5586673	
723	0.55057929	0.55875657	
723.2	0.55030249	0.55884579	
723.4	0.54981483	0.55893496	
723.6	0.54996302	0.55902408	
723.8	0.54987878	0.55911315	
724	0.5494922	0.55920218	
724.2	0.54970541	0.55929115	
724.4	0.54990297	0.55938007	
724.6	0.54997849	0.55946895	
724.8	0.55017069	0.55955778	
725	0.55079097	0.55964656	
725.2	0.550956	0.55973529	
725.4	0.55022333	0.55982397	
725.6	0.55069779	0.5599126	
725.8	0.55066712	0.56000119	
726	0.55082677	0.56008973	
726.2	0.55122533	0.56017822	
726.4	0.55115434	0.56026667	
726.6	0.55136376	0.56035506	
726.8	0.55110219	0.56044341	
727	0.55112799	0.56053172	
727.2	0.55147659	0.56061997	
727.4	0.5513135	0.56070818	
727.6	0.55136566	0.56079634	
727.8	0.55153155	0.56088445	
728	0.55204272	0.56097252	
728.2	0.55260461	0.56106054	
728.4	0.55291802	0.56114852	
728.6	0.55331085	0.56123644	
728.8	0.55317344	0.56132432	
729	0.5532809	0.56141216	
729.2	0.55322	0.56149995	
729.4	0.55314461	0.56158769	
729.6	0.55406946	0.56167538	
729.8	0.55394137	0.56176303	
730	0.55420975	0.56185063	
730.2	0.55391681	0.56193819	
730.4	0.55416048	0.5620257	
730.6	0.55407524	0.56211316	
730.8	0.55414821	0.56220058	
731	0.55435565	0.56228795	
731.2	0.55461841	0.56237527	
731.4	0.55420494	0.56246255	
731.6	0.55513949	0.56254978	
731.8	0.55602061	0.56263697	
732	0.5564404	0.56272411	
732.2	0.55681825	0.56281121	
732.4	0.55754386	0.56289825	
732.6	0.55784757	0.56298526	
732.8	0.55829963	0.56307221	
733	0.55937708	0.56315913	
733.2	0.5600987	0.56324599	
733.4	0.56022169	0.56333281	
733.6	0.56040649	0.56341958	
733.8	0.5603619	0.56350631	
734	0.56037943	0.56359299	
734.2	0.56003712	0.56367963	
734.4	0.56007565	0.56376622	
734.6	0.55986144	0.56385277	
734.8	0.55980698	0.56393927	
735	0.55990005	0.56402572	
735.2	0.55998923	0.56411213	
735.4	0.56007363	0.56419849	
735.6	0.56057876	0.56428481	
735.8	0.56042794	0.56437109	
736	0.56021213	0.56445731	
736.2	0.56049623	0.56454349	
736.4	0.56071031	0.56462963	
736.6	0.56055109	0.56471572	
736.8	0.56080902	0.56480177	
737	0.56128453	0.56488777	
737.2	0.5608393	0.56497372	
737.4	0.56075796	0.56505963	
737.6	0.56086553	0.5651455	
737.8	0.56118259	0.56523132	
738	0.56100253	0.56531709	
738.2	0.56078671	0.56540282	
738.4	0.56113558	0.5654885	
738.6	0.56108031	0.56557414	
738.8	0.56121242	0.56565973	
739	0.56099142	0.56574528	
739.2	0.56100229	0.56583079	
739.4	0.56089037	0.56591625	
739.6	0.56066167	0.56600166	
739.8	0.56055462	0.56608703	
740	0.56068615	0.56617235	
740.2	0.56140529	0.56625763	
740.4	0.56139747	0.56634286	
740.6	0.56195718	0.56642805	
740.8	0.56220929	0.5665132	
741	0.56259366	0.5665983	
741.2	0.56276585	0.56668335	
741.4	0.5632675	0.56676836	
741.6	0.56389776	0.56685333	
741.8	0.56457277	0.56693825	
742	0.56431842	0.56702312	
742.2	0.56463518	0.56710795	
742.4	0.56501037	0.56719274	
742.6	0.56516481	0.56727748	
742.8	0.56548251	0.56736218	
743	0.56522649	0.56744683	
743.2	0.56537541	0.56753144	
743.4	0.5654021	0.567616	
743.6	0.56566617	0.56770052	
743.8	0.56590497	0.567785	
744	0.56640904	0.56786943	
744.2	0.56685477	0.56795381	
744.4	0.56674646	0.56803815	
744.6	0.56737853	0.56812245	
744.8	0.5669924	0.5682067	
745	0.56649518	0.56829091	
745.2	0.5662222	0.56837507	
745.4	0.56604973	0.56845919	
745.6	0.5662666	0.56854327	
745.8	0.56639594	0.5686273	
746	0.5661457	0.56871129	
746.2	0.56665334	0.56879523	
746.4	0.56701501	0.56887913	
746.6	0.56698432	0.56896298	
746.8	0.56748477	0.56904679	
747	0.56744897	0.56913056	
747.2	0.56794603	0.56921428	
747.4	0.56848767	0.56929796	
747.6	0.5684011	0.56938159	
747.8	0.56862594	0.56946518	
748	0.56857313	0.56954873	
748.2	0.56881915	0.56963223	
748.4	0.56885152	0.56971569	
748.6	0.56901137	0.5697991	
748.8	0.56875693	0.56988247	
749	0.5681594	0.5699658	
749.2	0.56830681	0.57004908	
749.4	0.56851224	0.57013232	
749.6	0.56893899	0.57021551	
749.8	0.56974526	0.57029866	
750	0.5702938	0.57038177	
750.2	0.57072614	0.57046483	
