Conc1	1.2E-05	
Start1	690	
Stop1	2789.79	
Kobs	0.43426266229693	
Error Kobs	0.00995696958813143	
Koff	0.0452163377757731	
Error Koff	0.000604513433734479	
Time1	Data1	Fit1	
690	0.18183455	0.18183455	
690.2	0.2113209	0.20781374	
690.4	0.24134927	0.23163794	
690.6	0.27165258	0.25348644	
690.8	0.30150014	0.27352357	
691	0.32967674	0.29190003	
691.2	0.35508375	0.30875395	
691.4	0.37713597	0.32421199	
691.6	0.39429655	0.33839027	
691.8	0.40552005	0.35139524	
692	0.41056779	0.36332451	
692.2	0.40805936	0.37426755	
692.4	0.40972643	0.38430642	
692.6	0.4126785	0.39351632	
692.8	0.41510315	0.4019662	
693	0.41727894	0.4097193	
693.2	0.41968964	0.41683357	
693.4	0.42211828	0.42336215	
693.6	0.42458235	0.42935377	
693.8	0.42669763	0.43485308	
694	0.42851032	0.43990104	
694.2	0.4301393	0.44453519	
694.4	0.43156915	0.44878996	
694.6	0.43336804	0.4526969	
694.8	0.43515219	0.45628495	
695	0.43646219	0.45958062	
695.2	0.43775321	0.46260824	
695.4	0.43948185	0.46539011	
695.6	0.44060133	0.46794666	
695.8	0.44220979	0.47029664	
696	0.44401311	0.47245723	
696.2	0.44572282	0.47444418	
696.4	0.44716353	0.47627193	
696.6	0.44815756	0.47795372	
696.8	0.44869712	0.4795017	
697	0.44956365	0.48092699	
697.2	0.45030314	0.4822398	
697.4	0.45098544	0.48344947	
697.6	0.45205076	0.48456459	
697.8	0.45271487	0.48559302	
698	0.45354706	0.48654197	
698.2	0.45464828	0.48741805	
698.4	0.45547364	0.48822732	
698.6	0.45646684	0.48897533	
698.8	0.45717516	0.48966717	
699	0.45798118	0.49030752	
699.2	0.45893365	0.49090066	
699.4	0.45998253	0.49145051	
699.6	0.46067131	0.49196067	
699.8	0.46158849	0.49243443	
700	0.46234169	0.49287484	
700.2	0.46347561	0.49328465	
700.4	0.46394784	0.4936664	
700.6	0.46474175	0.49402244	
700.8	0.4649634	0.4943549	
701	0.46544328	0.49466573	
701.2	0.46555228	0.49495673	
701.4	0.46620965	0.49522956	
701.6	0.46697697	0.49548571	
701.8	0.46734447	0.49572658	
702	0.46797649	0.49595342	
702.2	0.46865311	0.49616742	
702.4	0.46901424	0.49636963	
702.6	0.4699328	0.49656102	
702.8	0.47063994	0.49674251	
703	0.4708485	0.49691491	
703.2	0.47118743	0.49707896	
703.4	0.47161564	0.49723537	
703.6	0.47185335	0.49738477	
703.8	0.47206198	0.49752774	
704	0.47280738	0.49766481	
704.2	0.47345467	0.49779646	
704.4	0.47396305	0.49792316	
704.6	0.47491254	0.4980453	
704.8	0.47513166	0.49816326	
705	0.4752211	0.49827739	
705.2	0.47548098	0.49838801	
705.4	0.47626981	0.49849539	
705.6	0.47659856	0.49859982	
705.8	0.47700996	0.49870153	
706	0.47772736	0.49880075	
706.2	0.4782908	0.49889768	
706.4	0.47908798	0.49899251	
706.6	0.47984973	0.49908541	
706.8	0.4802888	0.49917655	
707	0.48031075	0.49926605	
707.2	0.48102696	0.49935406	
707.4	0.48134655	0.4994407	
707.6	0.48110635	0.49952608	
707.8	0.48078688	0.49961031	
708	0.48068913	0.49969347	
708.2	0.4806491	0.49977565	
708.4	0.48061821	0.49985693	
708.6	0.4807057	0.49993738	
708.8	0.48048028	0.50001708	
709	0.48022319	0.50009607	
709.2	0.48043305	0.50017442	
709.4	0.48092685	0.50025218	
709.6	0.48096676	0.50032939	
709.8	0.48170214	0.5004061	
710	0.48255493	0.50048234	
710.2	0.48333729	0.50055816	
710.4	0.48369414	0.50063358	
710.6	0.4840388	0.50070863	
710.8	0.48428365	0.50078335	
711	0.48488101	0.50085776	
711.2	0.4853981	0.50093187	
711.4	0.48511237	0.50100573	
711.6	0.4848828	0.50107933	
711.8	0.48443633	0.50115271	
712	0.48431817	0.50122587	
712.2	0.48426252	0.50129884	
712.4	0.48436041	0.50137162	
712.6	0.4845598	0.50144423	
712.8	0.4840457	0.50151668	
713	0.48394099	0.50158899	
713.2	0.48440064	0.50166116	
713.4	0.48488748	0.50173319	
713.6	0.48547215	0.50180511	
713.8	0.48621993	0.50187691	
714	0.48714064	0.5019486	
714.2	0.48745364	0.5020202	
714.4	0.48746995	0.5020917	
714.6	0.48826671	0.50216311	
714.8	0.48891389	0.50223443	
715	0.48926315	0.50230568	
715.2	0.48965639	0.50237685	
715.4	0.49001954	0.50244795	
715.6	0.49054328	0.50251898	
715.8	0.49074054	0.50258995	
716	0.49128113	0.50266085	
716.2	0.49129199	0.50273169	
716.4	0.49114221	0.50280248	
716.6	0.4908052	0.50287321	
716.8	0.4906029	0.50294388	
717	0.49112068	0.50301451	
