Conc1	3E-06	
Start1	690	
Stop1	2789.79	
Kobs	0.360109215168532	
Error Kobs	0.00692596457519802	
Koff	0.0562481685319199	
Error Koff	0.000907316874647557	
Time1	Data1	Fit1	
690	0.07657603	0.07657603	
690.2	0.10167739	0.10079489	
690.4	0.12902442	0.12333712	
690.6	0.15741418	0.14431924	
690.8	0.18613722	0.16384966	
691	0.21386295	0.18202924	
691.2	0.24005306	0.19895186	
691.4	0.26403505	0.21470486	
691.6	0.28431825	0.2293695	
691.8	0.30036843	0.24302142	
692	0.31165756	0.25573099	
692.2	0.31661216	0.26756368	
692.4	0.31931705	0.27858044	
692.6	0.32231321	0.28883794	
692.8	0.3256205	0.29838896	
693	0.32908421	0.30728258	
693.2	0.33239871	0.31556448	
693.4	0.33584777	0.32327716	
693.6	0.33860336	0.33046018	
693.8	0.34157758	0.33715034	
694	0.34441728	0.34338188	
694.2	0.34693996	0.34918668	
694.4	0.34972089	0.35459438	
694.6	0.35214658	0.35963257	
694.8	0.35417913	0.36432693	
695	0.35571153	0.36870134	
695.2	0.35748533	0.37277805	
695.4	0.35887705	0.37657772	
695.6	0.35975916	0.38011962	
695.8	0.36112068	0.38342164	
696	0.36267963	0.38650046	
696.2	0.36406479	0.38937158	
696.4	0.36562049	0.39204943	
696.6	0.36716067	0.39454744	
696.8	0.36911141	0.3968781	
697	0.37050845	0.39905305	
697.2	0.37193754	0.40108309	
697.4	0.37364639	0.40297829	
697.6	0.37518965	0.40474802	
697.8	0.37644972	0.406401	
698	0.37752222	0.40794533	
698.2	0.37838846	0.40938857	
698.4	0.37944727	0.41073773	
698.6	0.38063037	0.41199935	
698.8	0.38150294	0.41317951	
699	0.3822512	0.41428387	
699.2	0.38305603	0.41531769	
699.4	0.38358795	0.41628586	
699.6	0.38459357	0.41719296	
699.8	0.38575197	0.41804322	
700	0.38683374	0.41884058	
700.2	0.38815092	0.41958872	
700.4	0.38936222	0.42029106	
700.6	0.38997315	0.42095077	
700.8	0.39121849	0.42157083	
701	0.39181487	0.42215397	
701.2	0.3928565	0.42270276	
701.4	0.3933983	0.42321958	
701.6	0.39428863	0.42370666	
701.8	0.39440931	0.42416605	
702	0.39466767	0.42459969	
702.2	0.39478812	0.42500934	
702.4	0.39486226	0.42539669	
702.6	0.39556998	0.42576327	
702.8	0.39578778	0.42611053	
703	0.39643096	0.4264398	
703.2	0.3970133	0.42675233	
703.4	0.39785987	0.42704929	
703.6	0.39894596	0.42733175	
703.8	0.39969007	0.42760071	
704	0.40095347	0.42785712	
704.2	0.40189913	0.42810183	
704.4	0.40273507	0.42833567	
704.6	0.40313882	0.42855938	
704.8	0.40405439	0.42877367	
705	0.40456436	0.42897918	
705.2	0.405193	0.42917652	
705.4	0.40512091	0.42936626	
705.6	0.40584362	0.42954892	
705.8	0.40604087	0.429725	
706	0.40616176	0.42989494	
706.2	0.40594024	0.43005917	
706.4	0.40621247	0.43021808	
706.6	0.40663046	0.43037205	
706.8	0.40599892	0.43052141	
707	0.40650274	0.43066647	
707.2	0.40676162	0.43080754	
707.4	0.4072365	0.43094489	
707.6	0.40768295	0.43107877	
707.8	0.40803971	0.43120942	
708	0.40897417	0.43133707	
708.2	0.40942697	0.43146191	
708.4	0.40981861	0.43158415	
708.6	0.41022038	0.43170396	
708.8	0.41066776	0.4318215	
709	0.41055124	0.43193694	
709.2	0.41069568	0.4320504	
709.4	0.41078087	0.43216204	
709.6	0.41161401	0.43227196	
709.8	0.41198088	0.4323803	
710	0.41254327	0.43248714	
710.2	0.41272234	0.43259261	
710.4	0.4132453	0.43269678	
710.6	0.41332666	0.43279975	
710.8	0.41358572	0.4329016	
711	0.41483791	0.4330024	
711.2	0.41538396	0.43310222	
711.4	0.4157142	0.43320112	
711.6	0.41618513	0.43329917	
711.8	0.4167676	0.43339643	
712	0.4174082	0.43349294	
712.2	0.41728704	0.43358876	
712.4	0.41702226	0.43368393	
712.6	0.41733637	0.43377849	
712.8	0.4175352	0.43387248	
713	0.41742984	0.43396595	
713.2	0.41791051	0.43405891	
713.4	0.41857023	0.43415141	
713.6	0.4189825	0.43424347	
713.8	0.41962421	0.43433512	
714	0.41998727	0.43442639	
714.2	0.41988632	0.4345173	
714.4	0.42038076	0.43460787	
714.6	0.42038879	0.43469813	
714.8	0.42063302	0.43478809	
715	0.42109456	0.43487777	
715.2	0.4207696	0.43496718	
715.4	0.42064359	0.43505635	
715.6	0.42096442	0.43514528	
715.8	0.42097993	0.43523399	
716	0.42090554	0.4353225	
716.2	0.4206416	0.43541081	
716.4	0.42082191	0.43549893	
716.6	0.42141374	0.43558688	
716.8	0.4216962	0.43567466	
717	0.42234924	0.43576229	
717.2	0.4228029	0.43584976	
717.4	0.42324783	0.4359371	
717.6	0.42355281	0.43602429	
717.8	0.42399383	0.43611136	
718	0.4239463	0.43619831	
718.2	0.42405682	0.43628514	
718.4	0.4244164	0.43637187	
718.6	0.42454256	0.43645848	
718.8	0.42479594	0.43654499	
719	0.42512492	0.43663141	
719.2	0.42520298	0.43671773	
719.4	0.4263491	0.43680396	
719.6	0.42676789	0.4368901	
719.8	0.42678522	0.43697616	
720	0.42691439	0.43706214	
720.2	0.42714431	0.43714804	
720.4	0.4275398	0.43723387	
720.6	0.4281939	0.43731963	
720.8	0.4286304	0.43740531	
721	0.42906425	0.43749093	
721.2	0.42884982	0.43757647	
721.4	0.42902273	0.43766196	
721.6	0.42896618	0.43774738	
721.8	0.42843004	0.43783274	
722	0.42799722	0.43791804	
722.2	0.42783268	0.43800328	
722.4	0.42746682	0.43808846	
722.6	0.4278608	0.43817359	
722.8	0.42801811	0.43825866	
723	0.42891168	0.43834368	
723.2	0.42975133	0.43842864	
723.4	0.43049548	0.43851356	
723.6	0.43029739	0.43859842	
723.8	0.43022173	0.43868323	
724	0.43093572	0.43876799	
724.2	0.4312098	0.4388527	
724.4	0.43199371	0.43893736	
724.6	0.4323984	0.43902197	
724.8	0.43262547	0.43910654	
725	0.43281161	0.43919105	
725.2	0.43265045	0.43927553	
725.4	0.43249124	0.43935995	
725.6	0.43247543	0.43944433	
725.8	0.43218802	0.43952867	
726	0.43215307	0.43961296	
726.2	0.43239721	0.4396972	
726.4	0.43262498	0.4397814	
726.6	0.43344089	0.43986556	
726.8	0.43385121	0.43994967	
727	0.43427182	0.44003374	
727.2	0.43455399	0.44011776	
727.4	0.43431445	0.44020175	
727.6	0.43417802	0.44028568	
727.8	0.43393028	0.44036958	
728	0.43464461	0.44045344	
728.2	0.43465456	0.44053725	
728.4	0.43497972	0.44062102	
728.6	0.43486054	0.44070474	
728.8	0.43533502	0.44078843	
729	0.43506956	0.44087207	
729.2	0.43496986	0.44095568	
729.4	0.43558449	0.44103924	
729.6	0.43619147	0.44112275	
729.8	0.43631191	0.44120623	
730	0.43677075	0.44128967	
730.2	0.43732321	0.44137306	
730.4	0.43750528	0.44145642	
730.6	0.43776337	0.44153973	
730.8	0.43752025	0.44162301	
731	0.43694731	0.44170624	
731.2	0.43707321	0.44178943	
731.4	0.43706115	0.44187258	
731.6	0.43713035	0.44195569	
731.8	0.43709609	0.44203876	
732	0.43731938	0.44212179	
732.2	0.43700137	0.44220478	
732.4	0.43655578	0.44228772	
732.6	0.43669258	0.44237063	
732.8	0.43692747	0.4424535	
733	0.43701098	0.44253633	
733.2	0.43774989	0.44261911	
733.4	0.43835635	0.44270186	
733.6	0.43873818	0.44278457	
733.8	0.43954597	0.44286723	
734	0.44027337	0.44294986	
734.2	0.4410372	0.44303245	
734.4	0.44126193	0.44311499	
734.6	0.44160732	0.4431975	
734.8	0.44178178	0.44327997	
735	0.44196905	0.4433624	
735.2	0.44214968	0.44344478	
735.4	0.442221	0.44352713	
735.6	0.44178675	0.44360944	
735.8	0.44169014	0.44369171	
736	0.4415204	0.44377394	
736.2	0.44120652	0.44385613	
736.4	0.44116689	0.44393828	
736.6	0.44115121	0.44402038	
736.8	0.44123219	0.44410246	
737	0.4410394	0.44418449	
737.2	0.44082538	0.44426648	
737.4	0.44127229	0.44434843	
737.6	0.44152152	0.44443034	
737.8	0.44240283	0.44451221	
738	0.44275968	0.44459405	
738.2	0.44291582	0.44467584	
738.4	0.44335674	0.44475759	
