Conc1	7.5E-07	
Start1	690	
Stop1	2789.79	
Kobs	0.00148643197365475	
Error Kobs	1.39895045483033E-05	
Koff	0.0411372589595056	
Error Koff	0.000993594229797999	
Time1	Data1	Fit1	
690	0.02733542	0.02733542	
690.2	0.03883218	0.04200927	
690.4	0.05219095	0.05606388	
690.6	0.06690542	0.06952553	
690.8	0.08329633	0.08241939	
691	0.10111979	0.09476955	
691.2	0.11922931	0.10659908	
691.4	0.13746586	0.11793007	
691.6	0.15514587	0.12878369	
691.8	0.172042	0.13918018	
692	0.18690146	0.14913896	
692.2	0.19948782	0.15867858	
692.4	0.21013414	0.16781684	
692.6	0.21947765	0.17657078	
692.8	0.22780604	0.18495669	
693	0.23488923	0.1929902	
693.2	0.24075087	0.20068626	
693.4	0.24629494	0.20805919	
693.6	0.25096631	0.21512271	
693.8	0.25528696	0.22188993	
694	0.25954171	0.22837344	
694.2	0.26319396	0.23458527	
694.4	0.26645544	0.24053696	
694.6	0.26938733	0.24623954	
694.8	0.27243353	0.25170358	
695	0.27506902	0.2569392	
695.2	0.27788033	0.2619561	
695.4	0.28051445	0.26676356	
695.6	0.28321932	0.27137047	
695.8	0.28597427	0.27578532	
696	0.28797218	0.28001628	
696.2	0.29026486	0.28407115	
696.4	0.29227917	0.2879574	
696.6	0.29426358	0.29168218	
696.8	0.29587326	0.29525235	
697	0.29746081	0.29867446	
697.2	0.29893082	0.3019548	
697.4	0.30053549	0.30509938	
697.6	0.30242408	0.30811397	
697.8	0.30409876	0.31100407	
698	0.30566376	0.31377498	
698.2	0.30688062	0.31643174	
698.4	0.30868784	0.3189792	
698.6	0.30968199	0.32142201	
698.8	0.31084768	0.32376459	
699	0.31201646	0.3260112	
699.2	0.31346008	0.32816592	
699.4	0.31408357	0.33023263	
699.6	0.3154534	0.33221509	
699.8	0.31662325	0.33411685	
700	0.31764787	0.33594134	
700.2	0.31826976	0.33769185	
700.4	0.31909485	0.33937151	
700.6	0.32026165	0.34098332	
700.8	0.32077062	0.34253017	
701	0.32215204	0.34401481	
701.2	0.32324667	0.34543988	
701.4	0.32448513	0.3468079	
701.6	0.32576451	0.3481213	
701.8	0.32657427	0.34938239	
702	0.32734878	0.3505934	
702.2	0.32827757	0.35175644	
702.4	0.32921913	0.35287355	
702.6	0.32951051	0.35394668	
702.8	0.33055924	0.35497769	
703	0.33074505	0.35596838	
703.2	0.3311452	0.35692044	
703.4	0.33156627	0.35783553	
703.6	0.33275321	0.3587152	
703.8	0.33335883	0.35956097	
704	0.3343788	0.36037426	
704.2	0.33504463	0.36115645	
704.4	0.33586212	0.36190887	
704.6	0.33674188	0.36263277	
704.8	0.33752613	0.36332937	
705	0.3386218	0.36399982	
705.2	0.33933184	0.36464523	
705.4	0.3401765	0.36526666	
705.6	0.3406656	0.36586513	
705.8	0.3412215	0.36644162	
706	0.34190919	0.36699705	
706.2	0.34299778	0.36753232	
706.4	0.34358554	0.36804828	
706.6	0.34400113	0.36854574	
706.8	0.34491381	0.36902551	
707	0.3454612	0.36948831	
707.2	0.34587367	0.36993489	
707.4	0.34648104	0.37036591	
707.6	0.34666544	0.37078204	
707.8	0.34690109	0.37118391	
708	0.34766457	0.37157213	
708.2	0.34796972	0.37194726	
708.4	0.34778232	0.37230988	
708.6	0.34839559	0.37266051	
708.8	0.34864706	0.37299965	
709	0.34875107	0.37332779	
709.2	0.34941262	0.3736454	
709.4	0.34993091	0.37395292	
709.6	0.34989541	0.37425078	
709.8	0.35064867	0.3745394	
710	0.35124506	0.37481915	
710.2	0.35176152	0.37509042	
710.4	0.35180217	0.37535357	
710.6	0.3525076	0.37560893	
