Conc1	1.2E-05	
Start1	690.01	
Stop1	2789.81	
Kobs	0.287148842080792	
Error Kobs	0.00660960195866884	
Koff	0.0421880328123414	
Error Koff	0.00106825914949887	
Time1	Data1	Fit1	
690.01	0.15941707	0.15941707	
690.21	0.19062044	0.18047971	
690.41	0.22352288	0.20037126	
690.61	0.25654097	0.21915707	
690.81	0.28869782	0.23689887	
691.01	0.31919583	0.2536549	
691.21	0.34689779	0.2694802	
691.41	0.37073923	0.28442671	
691.61	0.39037442	0.29854347	
691.81	0.4036557	0.31187679	
692.01	0.40990152	0.3244704	
692.21	0.4084371	0.33636557	
692.41	0.40997779	0.34760129	
692.61	0.41290228	0.35821437	
692.81	0.4162973	0.36823955	
693.01	0.41913228	0.37770964	
693.21	0.42224719	0.38665562	
693.41	0.4252813	0.39510675	
693.61	0.42807414	0.40309064	
693.81	0.43076073	0.41063336	
694.01	0.43343445	0.41775954	
694.21	0.43578926	0.42449242	
694.41	0.43857765	0.43085396	
694.61	0.44089419	0.43686488	
694.81	0.44281857	0.44254474	
695.01	0.44468901	0.44791203	
695.21	0.44645573	0.45298418	
695.41	0.44829374	0.45777766	
695.61	0.45060096	0.46230804	
695.81	0.45217497	0.46658999	
696.01	0.45423249	0.47063737	
696.21	0.45584313	0.47446328	
696.41	0.45692372	0.47808008	
696.61	0.4579118	0.48149943	
696.81	0.45950459	0.48473235	
697.01	0.460426	0.48778926	
697.21	0.46137237	0.49067996	
697.41	0.46262595	0.49341375	
697.61	0.46423162	0.49599936	
697.81	0.46539802	0.49844508	
698.01	0.46675191	0.5007587	
698.21	0.46819192	0.5029476	
698.41	0.4694917	0.50501875	
698.61	0.47021467	0.5069787	
698.81	0.47084831	0.50883367	
699.01	0.47205481	0.51058951	
699.21	0.47338795	0.51225176	
699.41	0.4741436	0.51382563	
699.61	0.47563226	0.51531606	
699.81	0.47680515	0.51672771	
700.01	0.4778465	0.51806496	
700.21	0.4789039	0.51933198	
700.41	0.47963279	0.52053268	
700.61	0.48020143	0.52167075	
700.81	0.48118894	0.5227497	
701.01	0.48187665	0.52377283	
701.21	0.48297921	0.52474324	
701.41	0.48378196	0.52566388	
701.61	0.48479692	0.52653753	
701.81	0.48510652	0.5273668	
702.01	0.48599874	0.52815417	
702.21	0.4864326	0.52890199	
702.41	0.48645325	0.52961245	
702.61	0.48653943	0.53028764	
702.81	0.48757557	0.53092953	
703.01	0.48843763	0.53153997	
703.21	0.48887326	0.53212073	
703.41	0.48938148	0.53267344	
703.61	0.49069264	0.53319969	
703.81	0.49161372	0.53370094	
704.01	0.49278792	0.53417859	
704.21	0.49376261	0.53463395	
704.41	0.49411721	0.53506827	
704.61	0.49468591	0.53548273	
704.81	0.49568671	0.53587842	
705.01	0.49637895	0.53625639	
705.21	0.49694216	0.53661764	
705.41	0.49745004	0.53696309	
705.61	0.49811368	0.53729363	
705.81	0.49890287	0.53761008	
706.01	0.49939107	0.53791324	
706.21	0.49951853	0.53820384	
706.41	0.49963046	0.53848258	
706.61	0.50020664	0.53875012	
706.81	0.5005483	0.53900709	
707.01	0.50034076	0.53925408	
707.21	0.50011584	0.53949163	
707.41	0.50063505	0.53972029	
707.61	0.50081737	0.53994053	
707.81	0.50120829	0.54015284	
708.01	0.50197007	0.54035765	
708.21	0.50222379	0.54055538	
