Conc1	6.25E-07	
Start1	690.01	
Stop1	2789.81	
Kobs	0.0419578525363573	
Error Kobs	0.000211214009588218	
Koff	0.00387151646021527	
Error Koff	2.01705705417089E-05	
Time1	Data1	Fit1	
690.01	0.00585333	0.00585333	
690.21	0.00668422	0.0082419	
690.41	0.00769502	0.01061098	
690.61	0.00915234	0.01296073	
690.81	0.01047564	0.0152913	
691.01	0.01157433	0.01760286	
691.21	0.0132651	0.01989557	
691.41	0.01500182	0.02216958	
691.61	0.01699479	0.02442505	
691.81	0.01932045	0.02666214	
692.01	0.02133701	0.02888099	
692.21	0.02343386	0.03108177	
692.41	0.02541353	0.03326461	
692.61	0.0276232	0.03542968	
692.81	0.03014427	0.03757711	
693.01	0.03216572	0.03970707	
693.21	0.0346563	0.04181968	
693.41	0.03687936	0.0439151	
693.61	0.03911844	0.04599347	
693.81	0.04050661	0.04805493	
694.01	0.04166425	0.05009963	
694.21	0.04408146	0.0521277	
694.41	0.04609181	0.05413928	
694.61	0.04807808	0.05613452	
694.81	0.0495348	0.05811354	
695.01	0.05097767	0.06007648	
695.21	0.05340247	0.06202347	
695.41	0.05520212	0.06395466	
695.61	0.05719216	0.06587017	
695.81	0.05945298	0.06777013	
696.01	0.06108971	0.06965466	
696.21	0.06325144	0.07152391	
696.41	0.06560433	0.073378	
696.61	0.06754945	0.07521705	
696.81	0.0696747	0.07704119	
697.01	0.07212886	0.07885055	
697.21	0.07415926	0.08064524	
697.41	0.07605954	0.08242539	
697.61	0.0780029	0.08419112	
697.81	0.07965497	0.08594255	
698.01	0.08099894	0.08767981	
698.21	0.0830986	0.089403	
698.41	0.08476277	0.09111225	
698.61	0.08632709	0.09280767	
698.81	0.08792575	0.09448938	
699.01	0.08955035	0.09615749	
699.21	0.09153228	0.09781212	
699.41	0.09288345	0.09945337	
699.61	0.09454767	0.10108137	
699.81	0.09607972	0.10269621	
700.01	0.0976649	0.10429802	
700.21	0.09946551	0.10588689	
700.41	0.10152852	0.10746294	
700.61	0.10363748	0.10902627	
700.81	0.10524674	0.110577	
701.01	0.10772863	0.11211521	
701.21	0.1093701	0.11364103	
701.41	0.11108769	0.11515455	
701.61	0.11273067	0.11665588	
701.81	0.11443609	0.11814511	
702.01	0.11581562	0.11962235	
702.21	0.11761679	0.12108769	
702.41	0.1193972	0.12254125	
702.61	0.12059056	0.12398311	
702.81	0.12219206	0.12541337	
703.01	0.12388169	0.12683213	
703.21	0.12556138	0.12823949	
703.41	0.12691524	0.12963553	
703.61	0.12850531	0.13102037	
703.81	0.12968124	0.13239408	
704.01	0.13191555	0.13375676	
704.21	0.13371371	0.1351085	
704.41	0.13576943	0.1364494	
704.61	0.13763836	0.13777954	
704.81	0.13926724	0.13909902	
705.01	0.14182287	0.14040792	
705.21	0.14294422	0.14170634	
705.41	0.14453703	0.14299435	
705.61	0.14667299	0.14427204	
705.81	0.14874166	0.14553951	
706.01	0.15003702	0.14679684	
706.21	0.15197161	0.14804411	
706.41	0.153389	0.1492814	
706.61	0.15467431	0.1505088	
706.81	0.1561527	0.15172639	
707.01	0.15745061	0.15293426	
707.21	0.15860164	0.15413248	
707.41	0.15964152	0.15532113	
707.61	0.16068748	0.1565003	
707.81	0.16167584	0.15767006	
708.01	0.16347192	0.15883049	
708.21	0.16415118	0.15998167	
708.41	0.16483189	0.16112368	
708.61	0.16599559	0.16225659	
708.81	0.16761529	0.16338048	
709.01	0.16894435	0.16449542	
709.21	0.16934251	0.1656015	
709.41	0.17062627	0.16669877	
709.61	0.17179675	0.16778732	
