Conc1	1.6E-08	
Start1	690.01	
Stop1	2789.81	
Kobs	0.00938057026008789	
Error Kobs	5.60735515533468E-05	
Koff	0.00361295238645495	
Error Koff	342.893542190979	
Time1	Data1	Fit1	
690.01	-0.00086171	-0.00086171	
690.21	-0.00017249	-0.00039663	
690.41	0.00047731	0.0000676	
690.61	0.0012159	0.00053099	
690.81	0.00176826	0.00099354	
691.01	0.002354	0.00145525	
691.21	0.00295027	0.00191612	
691.41	0.00353688	0.00237615	
691.61	0.00395598	0.00283535	
691.81	0.00439382	0.00329371	
692.01	0.00498293	0.00375125	
692.21	0.00528487	0.00420795	
692.41	0.00527688	0.00466382	
692.61	0.00580276	0.00511887	
692.81	0.00604388	0.00557309	
693.01	0.00603903	0.00602649	
693.21	0.00572136	0.00647906	
693.41	0.00565786	0.00693082	
693.61	0.00587073	0.00738175	
693.81	0.00604218	0.00783187	
694.01	0.00694075	0.00828116	
694.21	0.00692136	0.00872965	
694.41	0.00699326	0.00917732	
694.61	0.00723241	0.00962418	
694.81	0.00703316	0.01007023	
695.01	0.00694973	0.01051547	
695.21	0.00714486	0.0109599	
695.41	0.00734211	0.01140353	
695.61	0.00741336	0.01184635	
695.81	0.00772923	0.01228837	
696.01	0.0084954	0.01272959	
696.21	0.00877022	0.01317001	
696.41	0.00908442	0.01360963	
696.61	0.01003522	0.01404846	
696.81	0.01030379	0.01448649	
697.01	0.01044661	0.01492372	
697.21	0.01084636	0.01536016	
697.41	0.01166447	0.01579582	
697.61	0.01252049	0.01623068	
697.81	0.01335055	0.01666475	
698.01	0.01404369	0.01709804	
698.21	0.01440453	0.01753055	
698.41	0.01488416	0.01796226	
698.61	0.01456027	0.0183932	
698.81	0.01398684	0.01882336	
699.01	0.01434141	0.01925274	
699.21	0.01466669	0.01968134	
699.41	0.01488379	0.02010916	
699.61	0.0146151	0.02053621	
699.81	0.01516484	0.02096249	
700.01	0.01628712	0.02138799	
700.21	0.01701615	0.02181273	
700.41	0.01738411	0.02223669	
700.61	0.01827391	0.02265989	
700.81	0.01847963	0.02308232	
701.01	0.01837397	0.02350399	
701.21	0.0189253	0.02392489	
701.41	0.01974913	0.02434503	
701.61	0.02013676	0.02476442	
701.81	0.02108723	0.02518304	
702.01	0.02185108	0.0256009	
702.21	0.0223858	0.02601801	
702.41	0.02227972	0.02643437	
702.61	0.02208861	0.02684997	
702.81	0.02270075	0.02726482	
703.01	0.02332105	0.02767892	
703.21	0.02351963	0.02809227	
703.41	0.02384387	0.02850487	
703.61	0.02417813	0.02891672	
703.81	0.02566761	0.02932783	
704.01	0.02605821	0.0297382	
704.21	0.02612482	0.03014783	
704.41	0.02605675	0.03055671	
704.61	0.02648817	0.03096486	
704.81	0.02606888	0.03137226	
705.01	0.02593965	0.03177893	
705.21	0.02675798	0.03218487	
705.41	0.02687107	0.03259007	
705.61	0.02729524	0.03299454	
705.81	0.02770056	0.03339828	
706.01	0.02834338	0.03380129	
706.21	0.02831755	0.03420357	
706.41	0.02824493	0.03460512	
706.61	0.02863908	0.03500595	
706.81	0.02900117	0.03540605	
707.01	0.02887173	0.03580543	
707.21	0.0291223	0.03620409	
707.41	0.0292477	0.03660203	
707.61	0.02978624	0.03699925	
707.81	0.03006863	0.03739575	
708.01	0.02925864	0.03779154	
708.21	0.02951875	0.03818661	
708.41	0.03024114	0.03858097	
708.61	0.03082827	0.03897461	
708.81	0.03135474	0.03936755	
709.01	0.03209692	0.03975977	
709.21	0.03277322	0.04015129	
709.41	0.03335916	0.0405421	
709.61	0.03428949	0.04093221	
709.81	0.03485221	0.04132161	
710.01	0.03563437	0.04171031	
710.21	0.03663054	0.0420983	
710.41	0.03675111	0.0424856	
710.61	0.03719765	0.04287219	
710.81	0.03738334	0.04325809	
711.01	0.03796327	0.0436433	
711.21	0.03821402	0.0440278	
711.41	0.03811634	0.04441162	
711.61	0.03857024	0.04479474	
711.81	0.03857749	0.04517717	
712.01	0.03818842	0.04555891	
712.21	0.03853948	0.04593996	
712.41	0.03918605	0.04632033	
712.61	0.03953749	0.04670001	
712.81	0.03954323	0.047079	
713.01	0.03982075	0.04745731	
713.21	0.03969564	0.04783494	
713.41	0.04044189	0.04821189	
713.61	0.04098632	0.04858816	
713.81	0.0415641	0.04896375	
714.01	0.04219902	0.04933866	
714.21	0.04254682	0.0497129	
714.41	0.04263838	0.05008646	
714.61	0.04316365	0.05045935	
714.81	0.0438585	0.05083157	
715.01	0.04476143	0.05120311	
715.21	0.04510177	0.05157399	
715.41	0.04516676	0.0519442	
715.61	0.04534673	0.05231374	
715.81	0.04507126	0.05268262	
716.01	0.04540228	0.05305083	
716.21	0.04536996	0.05341838	
716.41	0.04535041	0.05378526	
716.61	0.04552662	0.05415149	
716.81	0.04547747	0.05451705	
717.01	0.04600494	0.05488196	
717.21	0.04605923	0.05524621	
717.41	0.04671837	0.0556098	
717.61	0.04709346	0.05597274	
717.81	0.04730937	0.05633503	
718.01	0.04766413	0.05669666	
718.21	0.04806954	0.05705765	
718.41	0.0491394	0.05741798	
718.61	0.04975876	0.05777766	
718.81	0.05091479	0.0581367	
719.01	0.05153626	0.05849509	
719.21	0.05182117	0.05885284	
719.41	0.05191694	0.05920994	
719.61	0.05195712	0.0595664	
719.81	0.05251767	0.05992222	
720.01	0.05326008	0.0602774	
720.21	0.05272867	0.06063194	
720.41	0.05332224	0.06098584	
720.61	0.05395177	0.06133911	
720.81	0.05467466	0.06169174	
721.01	0.05535533	0.06204373	
721.21	0.05539478	0.0623951	
721.41	0.05563045	0.06274583	
721.61	0.05601433	0.06309593	
721.81	0.05654965	0.0634454	
722.01	0.05684861	0.06379424	
722.21	0.05726507	0.06414246	
722.41	0.05777258	0.06449005	
722.61	0.05773941	0.06483701	
722.81	0.05804971	0.06518336	
723.01	0.05786645	0.06552908	
723.21	0.05774022	0.06587417	
723.41	0.05814221	0.06621865	
723.61	0.05794039	0.06656251	
723.81	0.05797074	0.06690575	
724.01	0.05801722	0.06724838	
724.21	0.05795606	0.06759039	
724.41	0.05871072	0.06793178	
724.61	0.0587508	0.06827256	
724.81	0.05898331	0.06861273	
725.01	0.0595432	0.06895229	
725.21	0.05961712	0.06929124	
725.41	0.06013579	0.06962958	
725.61	0.06158647	0.06996731	
725.81	0.06234971	0.07030444	
726.01	0.06271233	0.07064096	
726.21	0.06309744	0.07097688	
726.41	0.0639473	0.07131219	
726.61	0.06447468	0.07164691	
726.81	0.06504447	0.07198102	
727.01	0.06532936	0.07231453	
727.21	0.06550925	0.07264745	
727.41	0.06630514	0.07297976	
727.61	0.06616514	0.07331148	
727.81	0.06634733	0.07364261	
728.01	0.06663381	0.07397314	
728.21	0.06696228	0.07430308	
728.41	0.06717933	0.07463243	
728.61	0.06695173	0.07496118	
728.81	0.06705465	0.07528935	
729.01	0.06805213	0.07561693	
729.21	0.0684365	0.07594392	
729.41	0.06901288	0.07627033	
729.61	0.06986277	0.07659615	
729.81	0.06965329	0.07692138	
730.01	0.06985848	0.07724603	
730.21	0.06997057	0.07757011	
730.41	0.0707948	0.0778936	
730.61	0.0705354	0.07821651	
730.81	0.07047714	0.07853884	
731.01	0.07046701	0.07886059	
731.21	0.07066433	0.07918177	
731.41	0.07099737	0.07950237	
731.61	0.07106141	0.0798224	
731.81	0.07174594	0.08014186	
732.01	0.07268968	0.08046074	
732.21	0.07334563	0.08077905	
732.41	0.07338875	0.08109679	
732.61	0.07367011	0.08141396	
732.81	0.07449033	0.08173057	
733.01	0.07500637	0.08204661	
733.21	0.0754611	0.08236208	
733.41	0.07543841	0.08267699	
733.61	0.07550319	0.08299133	
733.81	0.07582899	0.08330511	
734.01	0.07613909	0.08361833	
734.21	0.07641053	0.08393099	
734.41	0.07675253	0.08424309	
734.61	0.07645278	0.08455463	
734.81	0.07698128	0.08486562	
735.01	0.07711229	0.08517604	
735.21	0.07813077	0.08548592	
735.41	0.07862898	0.08579523	
735.61	0.07956898	0.086104	
735.81	0.08027847	0.08641221	
736.01	0.08091717	0.08671987	
736.21	0.08135169	0.08702698	
736.41	0.08084474	0.08733355	
736.61	0.08112953	0.08763956	
736.81	0.08110684	0.08794503	
737.01	0.08065143	0.08824995	
737.21	0.08083946	0.08855433	
737.41	0.08085199	0.08885816	
737.61	0.08131402	0.08916145	
737.81	0.0815829	0.08946419	
738.01	0.08186957	0.0897664	
738.21	0.08261903	0.09006807	
738.41	0.08287999	0.09036919	
738.61	0.08326552	0.09066978	
738.81	0.08362104	0.09096984	
739.01	0.08407929	0.09126935	
739.21	0.08506397	0.09156833	
739.41	0.08572036	0.09186678	
739.61	0.08653327	0.0921647	
739.81	0.08704575	0.09246208	
740.01	0.08778013	0.09275893	
740.21	0.08811075	0.09305525	
740.41	0.08756746	0.09335105	
740.61	0.08778105	0.09364631	
740.81	0.08799032	0.09394105	
741.01	0.08844322	0.09423526	
741.21	0.08899549	0.09452895	
741.41	0.0894547	0.09482211	
741.61	0.08946061	0.09511476	
741.81	0.08913687	0.09540687	
742.01	0.08998524	0.09569847	
742.21	0.09034883	0.09598955	
742.41	0.0903664	0.09628011	
742.61	0.0905811	0.09657015	
742.81	0.09087038	0.09685967	
743.01	0.09148661	0.09714867	
743.21	0.09159248	0.09743717	
743.41	0.09167395	0.09772514	
743.61	0.09201957	0.09801261	
743.81	0.09223865	0.09829956	
744.01	0.09232637	0.098586	
744.21	0.09222437	0.09887192	
744.41	0.0925252	0.09915734	
744.61	0.09296991	0.09944226	
744.81	0.09380984	0.09972666	
745.01	0.09379456	0.10001056	
745.21	0.09352423	0.10029395	
745.41	0.09355477	0.10057683	
745.61	0.09378268	0.10085921	
745.81	0.09427901	0.10114109	
746.01	0.09552867	0.10142247	
746.21	0.09640596	0.10170335	
746.41	0.09686162	0.10198372	
746.61	0.0972421	0.1022636	
746.81	0.09771977	0.10254298	
747.01	0.09796931	0.10282186	
747.21	0.09777142	0.10310025	
747.41	0.0985652	0.10337814	
747.61	0.09888609	0.10365553	
747.81	0.09905915	0.10393243	
748.01	0.09877543	0.10420884	
748.21	0.09924173	0.10448476	
748.41	0.09983264	0.10476019	
748.61	0.1002347	0.10503512	
748.81	0.10042333	0.10530957	
749.01	0.10051764	0.10558353	
749.21	0.10051706	0.105857	
749.41	0.10103008	0.10612999	
749.61	0.10132722	0.10640249	
749.81	0.10229529	0.10667451	
750.01	0.10303409	0.10694604	
750.21	0.10322259	0.10721709	
750.41	0.10335426	0.10748766	
750.61	0.10401618	0.10775775	
750.81	0.10450893	0.10802735	
751.01	0.10447378	0.10829648	
751.21	0.10479634	0.10856513	
751.41	0.10511697	0.10883331	
751.61	0.10500211	0.109101	
751.81	0.10503828	0.10936822	
752.01	0.10482769	0.10963497	
752.21	0.10510639	0.10990124	
752.41	0.10536731	0.11016704	
752.61	0.10573293	0.11043237	
752.81	0.10575638	0.11069723	
753.01	0.10585051	0.11096162	
753.21	0.10561596	0.11122553	
753.41	0.10552646	0.11148898	
753.61	0.10599183	0.11175197	
753.81	0.10707503	0.11201448	
754.01	0.10713157	0.11227653	
754.21	0.10742981	0.11253811	
754.41	0.10829639	0.11279924	
754.61	0.10870407	0.11305989	
754.81	0.1092538	0.11332009	
755.01	0.10973439	0.11357982	
755.21	0.11035992	0.11383909	
755.41	0.11077108	0.11409791	
755.61	0.11075337	0.11435626	
755.81	0.11061144	0.11461416	
756.01	0.11112452	0.1148716	
756.21	0.11114539	0.11512858	
756.41	0.11179499	0.11538511	
756.61	0.1119688	0.11564118	
756.81	0.11181774	0.1158968	
757.01	0.11188752	0.11615196	
757.21	0.11226392	0.11640668	
757.41	0.11282819	0.11666094	
757.61	0.11354132	0.11691475	
757.81	0.11390146	0.11716811	
758.01	0.11400574	0.11742103	
758.21	0.11444021	0.11767349	
758.41	0.11474392	0.11792551	
758.61	0.11513011	0.11817709	
758.81	0.11568654	0.11842821	
759.01	0.11549313	0.1186789	
759.21	0.11525439	0.11892913	
759.41	0.11584221	0.11917893	
759.61	0.11599162	0.11942829	
759.81	0.11668984	0.1196772	
760.01	0.11714054	0.11992567	
760.21	0.11747259	0.1201737	
760.41	0.11804363	0.1204213	
760.61	0.11827482	0.12066845	
760.81	0.11807837	0.12091517	
761.01	0.11862583	0.12116146	
761.21	0.11944825	0.1214073	
761.41	0.12015771	0.12165272	
761.61	0.12025487	0.1218977	
761.81	0.12090765	0.12214224	
762.01	0.1211929	0.12238635	
762.21	0.12123274	0.12263004	
762.41	0.12136752	0.12287329	
762.61	0.12183538	0.12311611	
762.81	0.12164873	0.1233585	
763.01	0.12119329	0.12360047	
763.21	0.12160411	0.123842	
763.41	0.12230285	0.12408311	
763.61	0.1226267	0.1243238	
763.81	0.12312018	0.12456406	
764.01	0.12315039	0.12480389	
764.21	0.12352244	0.1250433	
764.41	0.12315074	0.12528229	
764.61	0.12327572	0.12552086	
764.81	0.12337704	0.12575901	
765.01	0.12452408	0.12599673	
765.21	0.12512102	0.12623404	
765.41	0.12563093	0.12647093	
765.61	0.12561624	0.1267074	
765.81	0.12587111	0.12694345	
766.01	0.12647088	0.12717908	
766.21	0.12646645	0.1274143	
766.41	0.12653546	0.12764911	
766.61	0.12644297	0.1278835	
766.81	0.12638558	0.12811748	
767.01	0.12625935	0.12835105	
767.21	0.1264476	0.1285842	
767.41	0.12647664	0.12881694	
767.61	0.12646665	0.12904927	
767.81	0.12626719	0.1292812	
768.01	0.12593496	0.12951271	
768.21	0.12620659	0.12974382	
768.41	0.12621209	0.12997452	
768.61	0.1267405	0.13020481	
768.81	0.12765759	0.1304347	
769.01	0.12859047	0.13066418	
769.21	0.12876536	0.13089326	
769.41	0.12911138	0.13112193	
769.61	0.12897259	0.13135021	
769.81	0.12935602	0.13157808	
770.01	0.13025843	0.13180555	
770.21	0.13030274	0.13203262	
770.41	0.13091902	0.13225928	
770.61	0.13120998	0.13248556	
770.81	0.13156974	0.13271143	
771.01	0.13181308	0.1329369	
771.21	0.13209611	0.13316198	
771.41	0.1323621	0.13338666	
771.61	0.13200669	0.13361095	
771.81	0.13212007	0.13383484	
772.01	0.13245573	0.13405834	
772.21	0.13266736	0.13428145	
772.41	0.13264053	0.13450416	
772.61	0.13254046	0.13472648	
772.81	0.13300883	0.13494842	
773.01	0.13288633	0.13516996	
773.21	0.13271342	0.13539111	
773.41	0.13280399	0.13561187	
773.61	0.13264193	0.13583225	
773.81	0.13293131	0.13605224	
774.01	0.13310979	0.13627184	
774.21	0.13343177	0.13649106	
774.41	0.13408228	0.13670989	
774.61	0.1343808	0.13692833	
774.81	0.13488965	0.1371464	
775.01	0.13578347	0.13736408	
775.21	0.13619274	0.13758138	
775.41	0.1371358	0.13779829	
775.61	0.13741687	0.13801483	
775.81	0.13808353	0.13823099	
776.01	0.13857687	0.13844677	
776.21	0.13877507	0.13866216	
776.41	0.13895645	0.13887719	
776.61	0.13931219	0.13909183	
