Conc1	6.2E-08	
Start1	690.01	
Stop1	2789.81	
Kobs	0.0341619131703663	
Error Kobs	0.000159988695172768	
Koff	0.00347312865152932	
Error Koff	2.05198875989222E-05	
Time1	Data1	Fit1	
690.01	0.00849815	0.00849815	
690.21	0.0090287	0.01025793	
690.41	0.00958849	0.01200606	
690.61	0.01062107	0.01374262	
690.81	0.01159765	0.0154677	
691.01	0.01294146	0.01718137	
691.21	0.0138092	0.01888371	
691.41	0.01500232	0.02057479	
691.61	0.01639029	0.02225469	
691.81	0.01795587	0.0239235	
692.01	0.01920971	0.02558127	
692.21	0.02000631	0.0272281	
692.41	0.02066552	0.02886404	
692.61	0.02226416	0.03048918	
692.81	0.02345822	0.0321036	
693.01	0.02438366	0.03370735	
693.21	0.02519014	0.03530052	
693.41	0.02650382	0.03688318	
693.61	0.02756418	0.0384554	
693.81	0.02839261	0.04001724	
694.01	0.03021452	0.04156879	
694.21	0.03149181	0.0431101	
694.41	0.03351803	0.04464126	
694.61	0.03562786	0.04616232	
694.81	0.03726199	0.04767337	
695.01	0.03895976	0.04917445	
695.21	0.04052399	0.05066565	
695.41	0.0424443	0.05214703	
695.61	0.04406083	0.05361866	
695.81	0.04545007	0.0550806	
696.01	0.04658427	0.05653291	
696.21	0.04777379	0.05797568	
696.41	0.04952475	0.05940895	
696.61	0.05199483	0.06083279	
696.81	0.05284078	0.06224727	
697.01	0.05404228	0.06365246	
697.21	0.05494426	0.06504841	
697.41	0.05598253	0.06643518	
697.61	0.05712453	0.06781285	
697.81	0.0581783	0.06918146	
698.01	0.05958305	0.07054109	
698.21	0.06085741	0.07189179	
698.41	0.06262504	0.07323363	
698.61	0.06363371	0.07456666	
698.81	0.06469874	0.07589095	
699.01	0.06613369	0.07720655	
699.21	0.06761449	0.07851352	
699.41	0.06845668	0.07981193	
699.61	0.06971093	0.08110182	
699.81	0.07123556	0.08238326	
700.01	0.07281986	0.08365631	
700.21	0.07439255	0.08492102	
700.41	0.07654486	0.08617745	
700.61	0.07811315	0.08742565	
700.81	0.07929678	0.08866568	
701.01	0.080476	0.0898976	
701.21	0.08162918	0.09112146	
701.41	0.08331879	0.09233732	
701.61	0.08497362	0.09354523	
701.81	0.08626054	0.09474524	
702.01	0.08810032	0.09593741	
702.21	0.08927914	0.09712179	
702.41	0.09115134	0.09829844	
702.61	0.09260729	0.0994674	
702.81	0.09395782	0.10062873	
703.01	0.0953178	0.10178248	
703.21	0.09655326	0.1029287	
703.41	0.09781526	0.10406745	
703.61	0.09975521	0.10519877	
703.81	0.10102921	0.10632271	
704.01	0.10223975	0.10743933	
704.21	0.10340906	0.10854867	
704.41	0.10485993	0.10965079	
704.61	0.10609045	0.11074573	
704.81	0.10722808	0.11183354	
705.01	0.10805379	0.11291427	
705.21	0.1096178	0.11398797	
705.41	0.11060192	0.11505469	
705.61	0.11173216	0.11611446	
705.81	0.11307848	0.11716735	
706.01	0.11456837	0.1182134	
706.21	0.11560034	0.11925264	
706.41	0.11791335	0.12028514	
706.61	0.11901369	0.12131093	
706.81	0.120091	0.12233007	
707.01	0.12144222	0.12334259	
707.21	0.12224928	0.12434854	
707.41	0.12380027	0.12534796	
707.61	0.1252697	0.12634091	
707.81	0.12616793	0.12732742	
708.01	0.12752135	0.12830753	
708.21	0.12878468	0.1292813	
708.41	0.12979598	0.13024876	
708.61	0.13137435	0.13120996	
708.81	0.13207831	0.13216494	
709.01	0.13299402	0.13311374	
709.21	0.13369486	0.1340564	
709.41	0.13440246	0.13499297	
709.61	0.135416	0.13592348	
709.81	0.13638708	0.13684798	
710.01	0.1373104	0.13776651	
710.21	0.13850338	0.13867911	
710.41	0.13976115	0.13958581	
710.61	0.14057125	0.14048667	
710.81	0.14198794	0.14138171	
711.01	0.14281795	0.14227099	
711.21	0.14375205	0.14315453	
711.41	0.14501255	0.14403237	
711.61	0.14608367	0.14490456	
711.81	0.14743462	0.14577114	
712.01	0.14889514	0.14663213	
712.21	0.14997615	0.14748759	
712.41	0.15069381	0.14833754	
712.61	0.15235922	0.14918203	
712.81	0.15317325	0.15002108	
713.01	0.15428663	0.15085475	
713.21	0.15465002	0.15168305	
713.41	0.1559314	0.15250604	
713.61	0.15652802	0.15332375	
713.81	0.15746398	0.15413621	
714.01	0.15844392	0.15494346	
714.21	0.15955021	0.15574553	
714.41	0.16050417	0.15654246	
714.61	0.16150867	0.15733428	
714.81	0.1626027	0.15812103	
715.01	0.16290959	0.15890275	
715.21	0.16327768	0.15967946	
715.41	0.16364533	0.1604512	
715.61	0.16501029	0.16121801	
715.81	0.16591528	0.16197991	
716.01	0.16705838	0.16273695	
716.21	0.1674785	0.16348915	
716.41	0.168205	0.16423655	
716.61	0.16985118	0.16497917	
716.81	0.17063712	0.16571706	
717.01	0.17155006	0.16645024	
717.21	0.17194823	0.16717875	
717.41	0.17289784	0.16790262	
717.61	0.17358733	0.16862187	
717.81	0.17454888	0.16933655	
718.01	0.17567853	0.17004667	
718.21	0.17641412	0.17075228	
718.41	0.17660218	0.1714534	
718.61	0.17720938	0.17215007	
718.81	0.17786185	0.17284231	
719.01	0.17823881	0.17353015	
719.21	0.17922241	0.17421362	
719.41	0.18038147	0.17489276	
719.61	0.18154307	0.17556759	
719.81	0.18238404	0.17623814	
720.01	0.18360498	0.17690444	
720.21	0.18410405	0.17756652	
720.41	0.18527767	0.17822441	
720.61	0.18626157	0.17887814	
720.81	0.18659477	0.17952773	
721.01	0.18723824	0.18017321	
721.21	0.18783149	0.18081461	
721.41	0.18839786	0.18145196	
721.61	0.18951252	0.18208528	
721.81	0.19033052	0.18271461	
722.01	0.19098648	0.18333997	
722.21	0.19120961	0.18396138	
722.41	0.19123432	0.18457888	
722.61	0.19201223	0.18519249	
722.81	0.19266358	0.18580223	
