Conc1	1E-09	
Start1	690.03	
Stop1	2789.83	
Kobs	0.000512399172421385	
Error Kobs	13.1996390125221	
Koff	0.00190907922771667	
Error Koff	475.251326453858	
Time1	Data1	Fit1	
690.03	-0.00085828	-0.00085828	
690.23	-0.00110865	-0.00082506	
690.43	-0.00076526	-0.00079185	
690.63	-0.00120236	-0.00075864	
690.83	-0.00110003	-0.00072543	
691.03	-0.00074825	-0.00069222	
691.23	-0.00068516	-0.00065902	
691.43	-0.00057713	-0.00062582	
691.63	-0.0005309	-0.00059263	
691.83	-0.00084095	-0.00055944	
692.03	-0.00113383	-0.00052625	
692.23	-0.00099225	-0.00049306	
692.43	-0.00148222	-0.00045988	
692.63	-0.00133228	-0.0004267	
692.83	-0.00103986	-0.00039353	
693.03	-0.00122466	-0.00036036	
693.23	-0.00136515	-0.00032719	
693.43	-0.00136214	-0.00029402	
693.63	-0.00117594	-0.00026086	
693.83	-0.00158671	-0.00022771	
694.03	-0.0014141	-0.00019455	
694.23	-0.00133635	-0.0001614	
694.43	-0.00067158	-0.00012825	
694.63	-0.0005534	-0.00009511	
694.83	-0.00015434	-0.00006197	
695.03	0.00049636	-0.00002883	
695.23	0.0005143	0.0000043	
695.43	0.00049125	0.00003743	
695.63	0.00038489	0.00007056	
695.83	-0.00036581	0.00010369	
696.03	-0.00056797	0.00013681	
696.23	-0.00061464	0.00016992	
696.43	-0.00081436	0.00020304	
696.63	-0.00040687	0.00023615	
696.83	-0.00040523	0.00026925	
697.03	-0.00020452	0.00030236	
697.23	-0.0002423	0.00033546	
697.43	-0.00055088	0.00036855	
697.63	-0.00078377	0.00040165	
697.83	-0.00103725	0.00043474	
698.03	-0.00100925	0.00046782	
698.23	-0.00102497	0.00050091	
698.43	-0.00020086	0.00053399	
698.63	-0.00017389	0.00056706	
698.83	-0.00035796	0.00060013	
699.03	-0.00009656	0.0006332	
699.23	-0.00023074	0.00066627	
699.43	0.00003871	0.00069933	
699.63	-0.00042621	0.00073239	
699.83	-0.00122005	0.00076545	
700.03	-0.0013262	0.0007985	
700.23	-0.00145406	0.00083155	
700.43	-0.00137544	0.0008646	
700.63	-0.00117953	0.00089764	
700.83	-0.00162222	0.00093068	
701.03	-0.00123029	0.00096371	
701.23	-0.00125953	0.00099675	
701.43	-0.00156569	0.00102977	
701.63	-0.00146424	0.0010628	
701.83	-0.00124226	0.00109582	
702.03	-0.00106251	0.00112884	
702.23	-0.0004387	0.00116186	
702.43	0.00020117	0.00119487	
702.63	-0.00032507	0.00122788	
702.83	-0.00013042	0.00126088	
703.03	-0.00012741	0.00129388	
703.23	-0.00010433	0.00132688	
703.43	0.00002012	0.00135988	
703.63	-0.00070649	0.00139287	
703.83	-0.00066358	0.00142586	
704.03	0.00009288	0.00145884	
704.23	0.00020311	0.00149182	
704.43	0.00017612	0.0015248	
704.63	0.00002657	0.00155778	
704.83	0.00016392	0.00159075	
705.03	0.00094679	0.00162371	
705.23	0.00098859	0.00165668	
705.43	0.00124816	0.00168964	
705.63	0.00149973	0.0017226	
705.83	0.00182895	0.00175555	
706.03	0.00193073	0.0017885	
