Conc1	1E-06	
Start1	690.03	
Stop1	2789.83	
Kobs	0.222287475296845	
Error Kobs	0.0029978896992773	
Koff	0.0418241467210711	
Error Koff	0.00113393747357154	
Time1	Data1	Fit1	
690.03	0.01888853	0.01888853	
690.23	0.03057556	0.03300136	
690.43	0.04456328	0.04650486	
690.63	0.05971548	0.05942554	
690.83	0.0761972	0.07178874	
691.03	0.09342785	0.0836187	
691.23	0.11129901	0.0949386	
691.43	0.12887373	0.10577062	
691.63	0.14604923	0.11613598	
691.83	0.1618907	0.12605495	
692.03	0.17600186	0.13554696	
692.23	0.18729016	0.14463057	
692.43	0.19687515	0.15332353	
692.63	0.20470471	0.16164283	
692.83	0.21145789	0.16960472	
693.03	0.2173441	0.17722473	
693.23	0.22247713	0.18451773	
693.43	0.22676188	0.19149794	
693.63	0.23089794	0.19817895	
693.83	0.23430629	0.20457378	
694.03	0.23754367	0.21069487	
694.23	0.24118582	0.21655412	
694.43	0.24431406	0.22216291	
694.63	0.24642808	0.22753213	
694.83	0.24916554	0.23267221	
695.03	0.25208472	0.23759309	
695.23	0.2549227	0.24230431	
695.43	0.25748203	0.24681499	
695.63	0.26014658	0.25113385	
695.83	0.26250951	0.25526921	
696.03	0.26472029	0.25922907	
696.23	0.26645231	0.26302105	
696.43	0.26809612	0.26665244	
696.63	0.26988814	0.27013024	
696.83	0.27150098	0.27346111	
697.03	0.27285704	0.27665145	
697.23	0.27441325	0.27970736	
697.43	0.27603636	0.28263469	
697.63	0.27749091	0.28543903	
697.83	0.27869665	0.28812572	
698.03	0.28020308	0.29069987	
698.23	0.28170969	0.29316639	
698.43	0.28280134	0.29552994	
698.63	0.28424428	0.297795	
698.83	0.28618926	0.29996586	
699.03	0.28792095	0.30204661	
699.23	0.28936903	0.30404116	
699.43	0.29095829	0.30595327	
699.63	0.29239007	0.30778651	
699.83	0.29389515	0.30954431	
700.03	0.2949905	0.31122995	
700.23	0.29600779	0.31284658	
700.43	0.29707182	0.31439717	
700.63	0.29788426	0.31588462	
700.83	0.29895978	0.31731165	
701.03	0.29957719	0.3186809	
701.23	0.30056773	0.31999488	
701.43	0.30112648	0.32125599	
701.63	0.30192195	0.32246652	
701.83	0.30197622	0.32362867	
702.03	0.30232328	0.32474455	
702.23	0.30246957	0.32581617	
702.43	0.30300405	0.32684544	
702.63	0.30349345	0.32783421	
702.83	0.30433525	0.32878424	
703.03	0.3050617	0.32969721	
