Conc1	1E-07	
Start1	690.03	
Stop1	2789.83	
Kobs	0.0601298800631424	
Error Kobs	0.000418445845498185	
Koff	0.0332052583269296	
Error Koff	0.00120338927749454	
Time1	Data1	Fit1	
690.03	-0.00389432	-0.00389432	
690.23	-0.00179011	-0.00051825	
690.43	0.00024469	0.00281817	
690.63	0.00246937	0.00611542	
690.83	0.00505967	0.00937396	
691.03	0.00779708	0.01259426	
691.23	0.01081036	0.01577677	
691.43	0.01392964	0.01892194	
691.63	0.01698799	0.02203023	
691.83	0.01991278	0.02510206	
692.03	0.02275198	0.02813789	
692.23	0.02545955	0.03113812	
692.43	0.02787804	0.0341032	
692.63	0.03108842	0.03703354	
692.83	0.0341971	0.03992956	
693.03	0.03740411	0.04279166	
693.23	0.03996024	0.04562026	
693.43	0.04302722	0.04841575	
693.63	0.04626198	0.05117852	
693.83	0.04906674	0.05390897	
694.03	0.05244605	0.05660748	
694.23	0.05565944	0.05927444	
694.43	0.05854258	0.06191022	
694.63	0.06117942	0.0645152	
694.83	0.06389404	0.06708974	
695.03	0.06656629	0.0696342	
695.23	0.06957249	0.07214895	
695.43	0.07207125	0.07463434	
695.63	0.07481336	0.07709072	
695.83	0.07789596	0.07951843	
696.03	0.08060687	0.08191783	
696.23	0.08361895	0.08428924	
696.43	0.08653317	0.08663301	
696.63	0.08970915	0.08894945	
696.83	0.09226676	0.09123891	
697.03	0.09517256	0.09350169	
697.23	0.09696689	0.09573812	
697.43	0.100534	0.09794852	
697.63	0.10369045	0.10013319	
697.83	0.10690488	0.10229244	
698.03	0.10917364	0.10442658	
698.23	0.11171753	0.1065359	
698.43	0.11451023	0.1086207	
698.63	0.11668503	0.11068128	
698.83	0.11918012	0.11271792	
699.03	0.12168012	0.11473091	
699.23	0.12385371	0.11672053	
699.43	0.12585776	0.11868706	
699.63	0.12798707	0.12063078	
699.83	0.13026521	0.12255196	
700.03	0.13160358	0.12445086	
700.23	0.13376128	0.12632776	
700.43	0.13561125	0.12818291	
700.63	0.13732414	0.13001658	
700.83	0.13899651	0.13182902	
701.03	0.14073149	0.13362049	
701.23	0.14204756	0.13539123	
701.43	0.14449347	0.1371415	
701.63	0.14639957	0.13887153	
701.83	0.14880437	0.14058158	
702.03	0.15051494	0.14227187	
702.23	0.15292348	0.14394265	
702.43	0.1554207	0.14559414	
702.63	0.15743515	0.14722658	
702.83	0.15966307	0.1488402	
703.03	0.16145336	0.15043521	
703.23	0.16295082	0.15201185	
703.43	0.16472713	0.15357032	
703.63	0.16641859	0.15511086	
703.83	0.16861085	0.15663366	
704.03	0.1700876	0.15813895	
704.23	0.17152097	0.15962693	
704.43	0.17252822	0.16109781	
704.63	0.17395705	0.16255179	
704.83	0.17537154	0.16398907	
705.03	0.17650895	0.16540986	
705.23	0.17788007	0.16681436	
705.43	0.17935859	0.16820274	
705.63	0.18076839	0.16957521	
705.83	0.18231505	0.17093196	
706.03	0.18330996	0.17227318	
706.23	0.18422796	0.17359904	
706.43	0.18570272	0.17490974	
706.63	0.18672132	0.17620545	
706.83	0.18822374	0.17748636	
707.03	0.18880571	0.17875263	
707.23	0.18990856	0.18000445	
707.43	0.1911133	0.18124199	
707.63	0.19230355	0.18246541	
707.83	0.19379675	0.18367489	
708.03	0.19449813	0.18487059	
708.23	0.19510373	0.18605268	
708.43	0.19615808	0.18722132	
708.63	0.19746546	0.18837666	
708.83	0.19862119	0.18951888	
709.03	0.19952334	0.19064812	
709.23	0.20005011	0.19176453	
709.43	0.20099021	0.19286828	
709.63	0.20207665	0.19395951	
709.83	0.2034225	0.19503838	
710.03	0.20446168	0.19610502	
710.23	0.20555684	0.19715959	
710.43	0.20628106	0.19820224	
710.63	0.20712844	0.19923309	
710.83	0.2077455	0.20025229	
711.03	0.2080106	0.20125999	
711.23	0.20876302	0.20225632	
711.43	0.2092544	0.20324141	
711.63	0.21005749	0.2042154	
711.83	0.21119348	0.20517841	
712.03	0.21165147	0.2061306	
712.23	0.21213844	0.20707207	
712.43	0.21249975	0.20800296	
712.63	0.21307793	0.20892339	
712.83	0.21350663	0.2098335	
713.03	0.21403694	0.21073339	
713.23	0.21470915	0.21162321	
713.43	0.21574259	0.21250305	
713.63	0.21666594	0.21337305	
713.83	0.21775568	0.21423332	
714.03	0.2185808	0.21508398	
714.23	0.21893962	0.21592513	
714.43	0.21897094	0.21675691	
714.63	0.21972526	0.2175794	
714.83	0.21996039	0.21839274	
715.03	0.22068067	0.21919702	
715.23	0.22127211	0.21999236	
715.43	0.22227672	0.22077885	
