Conc1	1E-08	
Start1	690.03	
Stop1	2789.83	
Kobs	0.00631920521976139	
Error Kobs	3664.52708317275	
Koff	0.00319549353934018	
Error Koff	810.277971822271	
Time1	Data1	Fit1	
690.03	-0.00128147	-0.00128147	
690.23	-0.00144444	-0.00091514	
690.43	-0.0018484	-0.00054928	
690.63	-0.00181063	-0.00018388	
690.83	-0.0015357	0.00018106	
691.03	-0.0014696	0.00054554	
691.23	-0.0012204	0.00090956	
691.43	-0.00051039	0.00127312	
691.63	-0.000073	0.00163622	
691.83	0.00047781	0.00199886	
692.03	0.00080771	0.00236104	
692.23	0.00145988	0.00272277	
692.43	0.00190361	0.00308404	
692.63	0.00214552	0.00344485	
692.83	0.00214276	0.00380521	
693.03	0.00234128	0.00416511	
693.23	0.00291216	0.00452456	
693.43	0.00271892	0.00488355	
693.63	0.00306257	0.00524209	
693.83	0.00311635	0.00560018	
694.03	0.00348377	0.00595781	
694.23	0.00387933	0.00631499	
694.43	0.00412611	0.00667173	
694.63	0.004625	0.00702801	
694.83	0.00529782	0.00738384	
695.03	0.0054803	0.00773922	
695.23	0.00573041	0.00809415	
695.43	0.00620367	0.00844864	
695.63	0.0059284	0.00880267	
695.83	0.00587635	0.00915626	
696.03	0.00606776	0.00950941	
696.23	0.00643259	0.0098621	
696.43	0.00638248	0.01021436	
696.63	0.00653595	0.01056616	
696.83	0.00664823	0.01091752	
697.03	0.00718062	0.01126844	
697.23	0.00754503	0.01161892	
697.43	0.00823244	0.01196895	
697.63	0.0090483	0.01231854	
697.83	0.00963055	0.01266769	
698.03	0.01050941	0.0130164	
698.23	0.01094556	0.01336467	
698.43	0.01122881	0.01371249	
698.63	0.01156231	0.01405988	
698.83	0.01177357	0.01440683	
699.03	0.0119234	0.01475334	
699.23	0.01198612	0.01509942	
699.43	0.01211004	0.01544505	
699.63	0.01219878	0.01579025	
699.83	0.01265496	0.01613502	
700.03	0.01313801	0.01647935	
700.23	0.01324137	0.01682324	
700.43	0.01324225	0.0171667	
700.63	0.01353734	0.01750973	
700.83	0.01397528	0.01785232	
701.03	0.01485452	0.01819448	
701.23	0.01558201	0.0185362	
701.43	0.01630113	0.0188775	
701.63	0.01723693	0.01921837	
701.83	0.01756415	0.0195588	
702.03	0.01848551	0.0198988	
702.23	0.01851566	0.02023838	
702.43	0.01845267	0.02057752	
702.63	0.0185986	0.02091624	
702.83	0.01940049	0.02125453	
703.03	0.01993604	0.02159239	
703.23	0.02008987	0.02192983	
703.43	0.02002032	0.02226684	
703.63	0.02014669	0.02260342	
703.83	0.01983221	0.02293958	
704.03	0.01940693	0.02327532	
704.23	0.01913659	0.02361063	
704.43	0.01909852	0.02394551	
704.63	0.01932984	0.02427998	
704.83	0.01942752	0.02461402	
705.03	0.0200905	0.02494764	
705.23	0.02069046	0.02528084	
705.43	0.02063867	0.02561361	
