Conc1	1E-06	
Start1	689.99	
Stop1	2789.79	
Kobs	0.00181663536423112	
Error Kobs	1.6450664947309E-05	
Koff	0.0397365603242642	
Error Koff	0.00118476860171054	
Time1	Data1	Fit1	
689.99	0.02479434	0.02479434	
690.19	0.03598248	0.03819406	
690.39	0.0489739	0.05101829	
690.59	0.06341728	0.06329192	
690.79	0.07971534	0.07503872	
690.99	0.09654516	0.08628147	
691.19	0.11384134	0.09704196	
691.39	0.13119592	0.10734101	
691.59	0.14746279	0.11719859	
691.79	0.16302319	0.12663376	
691.99	0.17660941	0.13566477	
692.19	0.18747418	0.14430911	
692.39	0.19618936	0.15258347	
692.59	0.20338895	0.16050384	
692.79	0.20958628	0.16808553	
692.99	0.21489073	0.17534316	
693.19	0.21996042	0.18229075	
693.39	0.2242274	0.18894169	
693.59	0.22799604	0.1953088	
693.79	0.23146408	0.20140435	
693.99	0.23458846	0.20724007	
694.19	0.23712252	0.21282719	
694.39	0.23939913	0.21817646	
694.59	0.24188643	0.22329814	
694.79	0.24493849	0.22820209	
694.99	0.24729001	0.2328977	
695.19	0.2495208	0.23739397	
695.39	0.25174332	0.24169954	
695.59	0.25333054	0.24582262	
695.79	0.25578136	0.24977111	
695.99	0.25768473	0.25355256	
696.19	0.25972587	0.25717418	
696.39	0.26228903	0.26064288	
696.59	0.26420437	0.26396526	
696.79	0.265893	0.26714765	
696.99	0.26790358	0.2701961	
697.19	0.26991221	0.27311639	
697.39	0.27177217	0.27591407	
697.59	0.27369743	0.27859443	
697.79	0.27488939	0.28116253	
697.99	0.27602842	0.28362324	
698.19	0.27693984	0.28598118	
698.39	0.27788133	0.28824081	
698.59	0.27935435	0.29040636	
698.79	0.28069667	0.29248191	
698.99	0.28126122	0.29447134	
699.19	0.28202182	0.29637837	
699.39	0.28232892	0.29820656	
699.59	0.28281683	0.29995932	
699.79	0.28358476	0.3016399	
699.99	0.28424752	0.30325143	
700.19	0.28505938	0.30479689	
700.39	0.28598231	0.30627913	
700.59	0.28659866	0.30770089	
700.79	0.28767948	0.30906477	
700.99	0.28856934	0.31037328	
701.19	0.2893866	0.3116288	
701.39	0.28982372	0.31283363	
701.59	0.29049321	0.31398996	
701.79	0.29144708	0.31509988	
701.99	0.29258952	0.31616539	
702.19	0.29381972	0.31718842	
702.39	0.29499734	0.31817079	
702.59	0.29655634	0.31911427	
702.79	0.29750018	0.32002053	
702.99	0.29807217	0.32089119	
703.19	0.29922961	0.32172777	
703.39	0.29962272	0.32253175	
703.59	0.30078769	0.32330454	
703.79	0.30136271	0.32404749	
703.99	0.30269877	0.32476188	
704.19	0.30338507	0.32544894	
704.39	0.3039918	0.32610986	
704.59	0.30454588	0.32674576	
704.79	0.30512004	0.32735773	
704.99	0.30494343	0.32794679	
705.19	0.30497479	0.32851395	
