Conc1	1E-10	
Start1	689.99	
Stop1	2789.79	
Kobs	6.68622925442239E-07	
Error Kobs	NaN	
Koff	0.00117241408787444	
Error Koff	479.814271319027	
Time1	Data1	Fit1	
689.99	0.00001111	0.00001111	
690.19	-0.00052232	0.00001367	
690.39	-0.00092043	0.00001623	
690.59	-0.00112506	0.00001879	
690.79	-0.00168879	0.00002135	
690.99	-0.00209645	0.00002391	
691.19	-0.00230111	0.00002647	
691.39	-0.00227784	0.00002904	
691.59	-0.00248663	0.0000316	
691.79	-0.00202728	0.00003416	
691.99	-0.00164975	0.00003672	
692.19	-0.00121572	0.00003928	
692.39	-0.00109882	0.00004184	
692.59	-0.00057239	0.0000444	
692.79	-0.0011859	0.00004696	
692.99	-0.00103686	0.00004953	
693.19	-0.00057178	0.00005209	
693.39	0.00006386	0.00005465	
693.59	0.00029872	0.00005721	
693.79	0.00041414	0.00005977	
693.99	0.00012653	0.00006233	
694.19	0.00032501	0.00006489	
694.39	0.00062378	0.00006745	
694.59	0.00049639	0.00007002	
694.79	0.00001147	0.00007258	
694.99	-0.00027044	0.00007514	
695.19	-0.00070017	0.0000777	
695.39	-0.00083653	0.00008026	
695.59	-0.00092266	0.00008282	
695.79	-0.00124275	0.00008538	
695.99	-0.00186694	0.00008794	
696.19	-0.00210487	0.00009051	
696.39	-0.00217395	0.00009307	
696.59	-0.00251134	0.00009563	
696.79	-0.00301498	0.00009819	
696.99	-0.0025616	0.00010075	
697.19	-0.0019448	0.00010331	
697.39	-0.00224783	0.00010587	
697.59	-0.00237791	0.00010843	
697.79	-0.00243872	0.000111	
697.99	-0.00239637	0.00011356	
698.19	-0.00204683	0.00011612	
698.39	-0.00246789	0.00011868	
698.59	-0.00266522	0.00012124	
698.79	-0.00257253	0.0001238	
698.99	-0.00279437	0.00012636	
699.19	-0.00281906	0.00012892	
699.39	-0.00260182	0.00013149	
699.59	-0.00204663	0.00013405	
699.79	-0.00212925	0.00013661	
699.99	-0.00170656	0.00013917	
700.19	-0.00136851	0.00014173	
700.39	-0.00101038	0.00014429	
700.59	-0.00114843	0.00014685	
700.79	-0.00094336	0.00014942	
700.99	-0.00113116	0.00015198	
701.19	-0.00141421	0.00015454	
701.39	-0.00168506	0.0001571	
701.59	-0.00141337	0.00015966	
701.79	-0.00165502	0.00016222	
701.99	-0.00170211	0.00016478	
702.19	-0.00217294	0.00016734	
702.39	-0.00287147	0.00016991	
702.59	-0.0021913	0.00017247	
702.79	-0.00229048	0.00017503	
702.99	-0.00286406	0.00017759	
703.19	-0.00257783	0.00018015	
703.39	-0.0028302	0.00018271	
703.59	-0.00213759	0.00018527	
703.79	-0.00195835	0.00018783	
703.99	-0.0018105	0.0001904	
704.19	-0.00177241	0.00019296	
704.39	-0.00143069	0.00019552	
704.59	-0.00130151	0.00019808	
704.79	-0.00140208	0.00020064	
704.99	-0.00149423	0.0002032	
705.19	-0.00105963	0.00020576	
705.39	-0.00028245	0.00020832	
705.59	-0.00019324	0.00021089	
705.79	-0.00038644	0.00021345	
705.99	-0.00022881	0.00021601	
706.19	0.00010036	0.00021857	
706.39	0.00004196	0.00022113	
706.59	0.00018622	0.00022369	
706.79	-0.00031995	0.00022625	
706.99	-0.00025618	0.00022881	
707.19	0.00008572	0.00023138	
707.39	-0.0002325	0.00023394	
707.59	-0.00000993	0.0002365	
707.79	-0.0001809	0.00023906	
707.99	-0.00009732	0.00024162	
708.19	0.00009784	0.00024418	
708.39	0.00000828	0.00024674	
708.59	-0.00032764	0.0002493	
708.79	-0.00108131	0.00025187	
708.99	-0.00092811	0.00025443	
709.19	-0.00077722	0.00025699	
709.39	-0.00080126	0.00025955	
709.59	-0.00145412	0.00026211	
709.79	-0.00128054	0.00026467	
709.99	-0.00094876	0.00026723	
710.19	-0.00091602	0.00026979	
710.39	-0.00111068	0.00027236	
710.59	-0.00110911	0.00027492	
710.79	-0.00117479	0.00027748	
710.99	-0.00086008	0.00028004	
711.19	-0.00063516	0.0002826	
711.39	-0.00075374	0.00028516	
711.59	-0.00065221	0.00028772	
711.79	-0.0004702	0.00029028	
711.99	-0.00026216	0.00029285	
712.19	-0.00020103	0.00029541	
712.39	-0.00058708	0.00029797	
712.59	-0.00119549	0.00030053	
712.79	-0.00134454	0.00030309	
712.99	-0.00086771	0.00030565	
713.19	-0.00076551	0.00030821	
713.39	-0.00071507	0.00031077	
713.59	-0.00081506	0.00031334	
713.79	-0.00110626	0.0003159	
713.99	-0.00069147	0.00031846	
714.19	-0.00051418	0.00032102	
714.39	-0.00051387	0.00032358	
714.59	-0.00073575	0.00032614	
714.79	-0.00056727	0.0003287	
714.99	-0.00043031	0.00033126	
715.19	-0.00057832	0.00033383	
715.39	-0.0009078	0.00033639	
715.59	-0.00082585	0.00033895	
715.79	-0.00105846	0.00034151	
715.99	-0.00114993	0.00034407	
716.19	-0.00128128	0.00034663	
716.39	-0.00177412	0.00034919	
716.59	-0.00271718	0.00035175	
716.79	-0.00238609	0.00035432	
716.99	-0.00225898	0.00035688	
717.19	-0.0019959	0.00035944	
717.39	-0.00188926	0.000362	
717.59	-0.00198544	0.00036456	
717.79	-0.00193324	0.00036712	
717.99	-0.000858	0.00036968	
718.19	-0.00081348	0.00037224	
718.39	-0.00041304	0.00037481	
718.59	-0.0001719	0.00037737	
718.79	0.00040993	0.00037993	
718.99	0.00040006	0.00038249	
719.19	0.00000193	0.00038505	
719.39	-0.00003138	0.00038761	
719.59	-0.00003791	0.00039017	
719.79	-0.00014327	0.00039273	
719.99	0.00034035	0.00039529	
720.19	0.00013499	0.00039786	
720.39	-0.00042779	0.00040042	
720.59	-0.0005391	0.00040298	
