Conc1	5E-09	
Start1	689.99	
Stop1	2789.79	
Kobs	0.00380373082482393	
Error Kobs	NaN	
Koff	0.00322384717252245	
Error Koff	NaN	
Time1	Data1	Fit1	
689.99	0.00615544	0.00615544	
690.19	0.00607862	0.00634047	
690.39	0.00575768	0.00652536	
690.59	0.00561337	0.00671012	
690.79	0.00531636	0.00689473	
690.99	0.00551361	0.0070792	
691.19	0.00576652	0.00726353	
691.39	0.00617275	0.00744772	
691.59	0.00598343	0.00763177	
691.79	0.00621589	0.00781568	
691.99	0.00644148	0.00799946	
692.19	0.00685006	0.00818309	
692.39	0.00681251	0.00836658	
692.59	0.0064935	0.00854993	
692.79	0.00670004	0.00873315	
692.99	0.00657548	0.00891622	
693.19	0.00617035	0.00909915	
693.39	0.00616593	0.00928195	
693.59	0.00564468	0.00946461	
693.79	0.00523584	0.00964712	
693.99	0.00511647	0.0098295	
694.19	0.00562167	0.01001174	
694.39	0.00559785	0.01019384	
694.59	0.00568219	0.01037581	
694.79	0.0056293	0.01055763	
694.99	0.00611399	0.01073932	
695.19	0.0063585	0.01092087	
695.39	0.00671591	0.01110228	
695.59	0.00675217	0.01128355	
695.79	0.00710092	0.01146468	
695.99	0.00712785	0.01164568	
696.19	0.00758804	0.01182654	
696.39	0.00754202	0.01200726	
696.59	0.00803442	0.01218784	
696.79	0.00898083	0.01236829	
696.99	0.00924966	0.0125486	
697.19	0.00903805	0.01272877	
697.39	0.00933468	0.01290881	
697.59	0.00943303	0.01308871	
697.79	0.00967051	0.01326847	
697.99	0.00961643	0.01344809	
698.19	0.00982923	0.01362758	
698.39	0.01012648	0.01380693	
698.59	0.00972208	0.01398615	
698.79	0.00942735	0.01416523	
698.99	0.00924049	0.01434417	
699.19	0.0092812	0.01452298	
699.39	0.0094173	0.01470165	
699.59	0.00947183	0.01488018	
699.79	0.00968001	0.01505858	
699.99	0.00984423	0.01523684	
700.19	0.01023825	0.01541497	
700.39	0.01054438	0.01559296	
700.59	0.01096118	0.01577082	
700.79	0.01128789	0.01594854	
700.99	0.0113854	0.01612613	
701.19	0.01116344	0.01630358	
701.39	0.01155893	0.0164809	
701.59	0.01127365	0.01665808	
701.79	0.01154099	0.01683513	
701.99	0.01159226	0.01701204	
702.19	0.01174993	0.01718882	
