Conc1	1E-08	
Start1	690.02	
Stop1	2789.81	
Kobs	0.000582430111472833	
Error Kobs	6.78719473998083E-05	
Koff	0.00368202357530085	
Error Koff	4278.21324130283	
Time1	Data1	Fit1	
690.02	-0.00058116	-0.00058116	
690.22	0.00041579	-0.00011475	
690.42	0.00115672	0.00035075	
690.62	0.00202396	0.00081534	
690.82	0.00247007	0.00127902	
691.02	0.00324986	0.0017418	
691.22	0.00429704	0.00220367	
691.42	0.00458351	0.00266464	
691.62	0.00487948	0.00312471	
691.82	0.00455625	0.00358388	
692.02	0.004745	0.00404215	
692.22	0.00480439	0.00449953	
692.42	0.00488636	0.00495602	
692.62	0.00504164	0.00541161	
692.82	0.0058209	0.00586632	
693.02	0.00632317	0.00632013	
693.22	0.00610364	0.00677306	
693.42	0.00629799	0.00722511	
693.62	0.00623671	0.00767627	
693.82	0.00661878	0.00812656	
694.02	0.00654612	0.00857596	
694.22	0.00707201	0.00902449	
694.42	0.00683805	0.00947214	
694.62	0.00705809	0.00991892	
694.82	0.00696704	0.01036482	
695.02	0.00842499	0.01080986	
695.22	0.00919821	0.01125402	
695.42	0.00952845	0.01169732	
695.62	0.01049597	0.01213976	
695.82	0.01112398	0.01258133	
696.02	0.01272606	0.01302204	
696.22	0.0135601	0.01346189	
696.42	0.0139505	0.01390089	
696.62	0.01484378	0.01433902	
696.82	0.01517154	0.0147763	
697.02	0.01474647	0.01521273	
697.22	0.01476194	0.01564831	
697.42	0.01466178	0.01608304	
697.62	0.01478287	0.01651692	
697.82	0.01471066	0.01694995	
698.02	0.01400581	0.01738214	
698.22	0.01351202	0.01781349	
698.42	0.01340775	0.01824399	
698.62	0.01392424	0.01867366	
698.82	0.01403541	0.01910249	
699.02	0.01482577	0.01953048	
699.22	0.0150526	0.01995764	
699.42	0.01529739	0.02038396	
699.62	0.0161888	0.02080946	
699.82	0.016799	0.02123412	
700.02	0.01754745	0.02165796	
700.22	0.01794102	0.02208097	
700.42	0.01834329	0.02250316	
700.62	0.01835075	0.02292452	
700.82	0.0185216	0.02334507	
701.02	0.01908458	0.02376479	
701.22	0.01984038	0.0241837	
701.42	0.02090809	0.02460179	
701.62	0.02128051	0.02501906	
701.82	0.02137882	0.02543553	
