Conc1	1E-06	
Start1	690.02	
Stop1	2789.81	
Kobs	0.00173323198310269	
Error Kobs	1.60562307099497E-05	
Koff	0.0459028796032152	
Error Koff	0.00149904086180031	
Time1	Data1	Fit1	
690.02	0.0406046	0.0406046	
690.22	0.05242929	0.05473567	
690.42	0.06629165	0.06822536	
690.62	0.08169314	0.08110291	
690.82	0.09821026	0.09339628	
691.02	0.1154364	0.1051321	
691.22	0.13304489	0.11633583	
691.42	0.15011144	0.12703174	
691.62	0.16641475	0.13724299	
691.82	0.18138475	0.14699172	
692.02	0.19417803	0.15629901	
692.22	0.20445697	0.16518502	
692.42	0.21367569	0.17366896	
692.62	0.22117366	0.18176918	
692.82	0.22770829	0.18950319	
693.02	0.23321321	0.1968877	
693.22	0.23827869	0.20393865	
693.42	0.24246118	0.21067126	
693.62	0.24646085	0.21710007	
693.82	0.24952188	0.22323892	
694.02	0.25279553	0.22910106	
694.22	0.25615703	0.2346991	
694.42	0.25936281	0.24004509	
694.62	0.26228362	0.24515055	
694.82	0.26543423	0.25002643	
695.02	0.26810905	0.25468322	
695.22	0.27063516	0.2591309	
695.42	0.2729739	0.26337903	
695.62	0.27526218	0.26743671	
695.82	0.27750151	0.27131262	
696.02	0.27925488	0.27501506	
696.22	0.28136305	0.27855195	
696.42	0.28257211	0.28193083	
696.62	0.28372923	0.28515892	
696.82	0.28546578	0.28824309	
697.02	0.28677171	0.29118991	
697.22	0.28816256	0.29400565	
697.42	0.28910531	0.29669628	
697.62	0.29044242	0.29926752	
697.82	0.29161678	0.30172481	
698.02	0.29295572	0.30407335	
698.22	0.29410799	0.30631811	
698.42	0.29498402	0.30846381	
698.62	0.29635474	0.31051497	
698.82	0.29751113	0.31247591	
699.02	0.29838414	0.31435074	
699.22	0.29918541	0.3161434	
699.42	0.30043441	0.31785762	
699.62	0.30108622	0.31949699	
699.82	0.30196566	0.32106493	
700.02	0.30282655	0.32256468	
700.22	0.30332434	0.32399937	
700.42	0.3032871	0.32537195	
700.62	0.30432593	0.32668526	
700.82	0.30583898	0.32794201	
701.02	0.30691234	0.32914478	
701.22	0.30765134	0.33029601	
701.42	0.30891846	0.33139808	
701.62	0.31006689	0.33245322	
701.82	0.31084086	0.33346356	
702.02	0.3116355	0.33443116	
702.22	0.31220139	0.33535796	
702.42	0.31338788	0.33624582	
702.62	0.31420952	0.33709651	
702.82	0.31489761	0.33791174	
703.02	0.31553026	0.33869313	
703.22	0.31626763	0.3394422	
703.42	0.31688765	0.34016044	
703.62	0.31704081	0.34084925	
703.82	0.31719579	0.34150997	
704.02	0.31792582	0.34214389	
704.22	0.31775648	0.34275223	
704.42	0.31810262	0.34333614	
704.62	0.31920773	0.34389676	
704.82	0.32030704	0.34443513	
705.02	0.32060158	0.34495227	
705.22	0.32105647	0.34544915	
705.42	0.32197286	0.34592669	
705.62	0.32190336	0.34638578	
705.82	0.32263119	0.34682725	
706.02	0.32355319	0.34725191	
706.22	0.32414951	0.34766052	
706.42	0.32496364	0.34805382	
706.62	0.32582905	0.34843249	
706.82	0.32647057	0.34879722	
707.02	0.32696106	0.34914863	
707.22	0.32760745	0.34948733	
707.42	0.32774227	0.3498139	
707.62	0.32815577	0.35012889	
707.82	0.32909047	0.35043282	
708.02	0.33040027	0.35072621	
708.22	0.33032116	0.35100953	
708.42	0.33095618	0.35128324	
708.62	0.33149733	0.35154778	
708.82	0.33189073	0.35180356	
709.02	0.3320435	0.35205099	
709.22	0.332405	0.35229044	
709.42	0.33237705	0.35252227	
709.62	0.33241085	0.35274684	
709.82	0.3330643	0.35296447	
710.02	0.33280521	0.35317548	
710.22	0.33323065	0.35338017	
710.42	0.33317638	0.35357882	
710.62	0.33346691	0.35377172	
710.82	0.33342523	0.35395911	
711.02	0.33385809	0.35414126	
711.22	0.33443495	0.3543184	
711.42	0.33487597	0.35449076	
711.62	0.3352851	0.35465856	
711.82	0.33622231	0.35482199	
712.02	0.33664153	0.35498127	
712.22	0.33658294	0.35513657	
712.42	0.33739016	0.35528808	
712.62	0.33776953	0.35543597	
712.82	0.3386217	0.35558041	
713.02	0.33903268	0.35572155	
713.22	0.33926793	0.35585954	
713.42	0.33930715	0.35599452	
713.62	0.33922755	0.35612663	
713.82	0.33896197	0.356256	
714.02	0.33882324	0.35638275	
714.22	0.33895457	0.356507	
714.42	0.33871478	0.35662887	
714.62	0.33893677	0.35674846	
714.82	0.33943133	0.35686587	
715.02	0.33954734	0.35698121	
715.22	0.34005479	0.35709456	
715.42	0.34028618	0.35720602	
715.62	0.34055473	0.35731567	
715.82	0.34098201	0.35742359	
716.02	0.34113454	0.35752986	
716.22	0.34134939	0.35763456	
716.42	0.34212004	0.35773775	
716.62	0.34270497	0.3578395	
716.82	0.34324999	0.35793988	
717.02	0.34302779	0.35803895	
717.22	0.34337161	0.35813677	
717.42	0.34317448	0.35823339	
717.62	0.34318741	0.35832887	
717.82	0.34358515	0.35842325	
718.02	0.3443182	0.35851659	
718.22	0.34475247	0.35860894	
718.42	0.34552242	0.35870033	
718.62	0.34586539	0.35879081	
718.82	0.34634192	0.35888042	
719.02	0.34680465	0.3589692	
719.22	0.34783517	0.35905719	
719.42	0.34825687	0.35914442	
719.62	0.34887051	0.35923092	
719.82	0.34905348	0.35931672	
720.02	0.34932539	0.35940187	
720.22	0.34994027	0.35948637	
720.42	0.35059075	0.35957028	
720.62	0.35057025	0.3596536	
720.82	0.35040374	0.35973637	
721.02	0.350589	0.35981861	
721.22	0.35090474	0.35990034	
721.42	0.35055594	0.35998158	
721.62	0.35053698	0.36006236	
721.82	0.35082619	0.3601427	
722.02	0.35089568	0.36022261	
722.22	0.35079139	0.36030212	
722.42	0.35065708	0.36038123	
722.62	0.35061208	0.36045998	
722.82	0.35063671	0.36053836	
723.02	0.35078864	0.36061641	
723.22	0.35072497	0.36069413	
723.42	0.35084016	0.36077153	
723.62	0.3516123	0.36084864	
723.82	0.35175472	0.36092545	
724.02	0.35216388	0.36100199	
724.22	0.35242985	0.36107827	
724.42	0.35260891	0.36115429	
724.62	0.35308658	0.36123008	
724.82	0.35351123	0.36130562	
725.02	0.35337641	0.36138095	
725.22	0.35351922	0.36145606	
725.42	0.35386153	0.36153096	
725.62	0.35432254	0.36160567	
725.82	0.35473465	0.36168019	
726.02	0.35461978	0.36175453	
726.22	0.354703	0.36182869	
726.42	0.3551851	0.36190268	
726.62	0.35535797	0.36197652	
726.82	0.35566458	0.36205019	
727.02	0.35558435	0.36212372	
727.22	0.35560842	0.36219711	
727.42	0.35577074	0.36227035	
727.62	0.35622483	0.36234347	
727.82	0.35609781	0.36241646	
728.02	0.35586918	0.36248932	
728.22	0.35587589	0.36256206	
728.42	0.35615079	0.36263469	
728.62	0.35613009	0.36270721	
728.82	0.35556595	0.36277963	
729.02	0.35490875	0.36285194	
729.22	0.35589323	0.36292415	
729.42	0.35604898	0.36299627	
729.62	0.3565797	0.36306829	
729.82	0.35704997	0.36314023	
730.02	0.35757487	0.36321208	
730.22	0.3579863	0.36328384	
730.42	0.35835323	0.36335553	
730.62	0.35845861	0.36342713	
730.82	0.35910379	0.36349867	
731.02	0.35950227	0.36357012	
731.22	0.35982704	0.36364151	
731.42	0.3600993	0.36371283	
731.62	0.36075315	0.36378408	
731.82	0.36080221	0.36385526	
732.02	0.36103882	0.36392639	
732.22	0.36121749	0.36399745	
732.42	0.36110135	0.36406845	
732.62	0.36036566	0.36413939	
732.82	0.36037236	0.36421028	
733.02	0.36054909	0.36428111	
733.22	0.36137432	0.36435189	
733.42	0.36127794	0.36442262	
733.62	0.36119804	0.36449329	
733.82	0.36072935	0.36456392	
734.02	0.36029978	0.36463449	
734.22	0.35988059	0.36470502	
734.42	0.35973263	0.36477551	
734.62	0.35979064	0.36484594	
734.82	0.36059804	0.36491634	
735.02	0.36048224	0.36498669	
735.22	0.36089123	0.36505699	
735.42	0.36129555	0.36512726	
735.62	0.36175887	0.36519749	
735.82	0.36221249	0.36526767	
736.02	0.36242756	0.36533781	
736.22	0.36241018	0.36540792	
736.42	0.36260403	0.36547799	
736.62	0.36284564	0.36554802	
736.82	0.36349375	0.36561801	
737.02	0.36403671	0.36568797	
737.22	0.36422984	0.36575789	
737.42	0.36407473	0.36582778	
737.62	0.36403992	0.36589763	
737.82	0.364196	0.36596745	
738.02	0.36441883	0.36603724	
738.22	0.3646551	0.36610699	
738.42	0.36477968	0.36617671	
738.62	0.36488611	0.36624639	
738.82	0.36481714	0.36631605	
739.02	0.36451123	0.36638567	
739.22	0.36487083	0.36645526	
739.42	0.36500647	0.36652482	
739.62	0.36475212	0.36659435	
739.82	0.36430154	0.36666385	
740.02	0.36398297	0.36673332	
740.22	0.3637992	0.36680276	
740.42	0.36365752	0.36687217	
740.62	0.36371679	0.36694155	
740.82	0.36364776	0.3670109	
741.02	0.36438686	0.36708022	
741.22	0.36455128	0.36714952	
741.42	0.36481161	0.36721879	
741.62	0.36509884	0.36728802	
741.82	0.36545941	0.36735723	
742.02	0.36561885	0.36742642	
742.22	0.36575287	0.36749557	
742.42	0.36584884	0.3675647	
742.62	0.36615443	0.3676338	
742.82	0.36626485	0.36770287	
743.02	0.36667334	0.36777192	
743.22	0.36694912	0.36784094	
743.42	0.36694686	0.36790993	
743.62	0.36655646	0.3679789	
743.82	0.36669304	0.36804784	
