Conc1	2E-07	
Start1	690.02	
Stop1	2789.81	
Kobs	0.101752245839007	
Error Kobs	0.000977947512136782	
Koff	0.00330689705989646	
Error Koff	1.48766260798356E-05	
Time1	Data1	Fit1	
690.02	0.01842896	0.01842896	
690.22	0.02139184	0.02422786	
690.42	0.02522651	0.02991104	
690.62	0.02975545	0.03548084	
690.82	0.03468333	0.04093955	
691.02	0.04012245	0.0462894	
691.22	0.04594	0.05153258	
691.42	0.05217566	0.05667124	
691.62	0.05834949	0.06170749	
691.82	0.06493108	0.0666434	
692.02	0.07130576	0.07148097	
692.22	0.07694428	0.07622219	
692.42	0.08293406	0.08086901	
692.62	0.08943441	0.08542331	
692.82	0.09530705	0.08988698	
693.02	0.10112819	0.09426182	
693.22	0.10677086	0.09854964	
693.42	0.11148401	0.10275218	
693.62	0.11689315	0.10687116	
693.82	0.12251437	0.11090826	
694.02	0.12749966	0.11486513	
694.22	0.13204803	0.1187434	
694.42	0.13660571	0.12254463	
694.62	0.14107332	0.12627039	
694.82	0.14529402	0.12992219	
695.02	0.14959128	0.13350152	
695.22	0.15330148	0.13700984	
695.42	0.15737824	0.14044858	
695.62	0.16116529	0.14381915	
695.82	0.16478577	0.14712291	
696.02	0.16796469	0.15036121	
696.22	0.17158434	0.15353537	
696.42	0.17517096	0.15664668	
696.62	0.17871785	0.15969641	
696.82	0.18175819	0.16268579	
697.02	0.18494831	0.16561605	
697.22	0.18797517	0.16848836	
697.42	0.1909883	0.17130391	
697.62	0.19368251	0.17406383	
697.82	0.19620097	0.17676924	
698.02	0.19832033	0.17942124	
698.22	0.2008445	0.1820209	
698.42	0.20322517	0.18456928	
698.62	0.20566231	0.18706742	
698.82	0.20849634	0.18951632	
699.02	0.21087037	0.19191697	
699.22	0.21265568	0.19427035	
699.42	0.21461222	0.19657741	
699.62	0.21611848	0.19883907	
699.82	0.21705294	0.20105627	
700.02	0.21861995	0.20322988	
700.22	0.22014858	0.20536079	
700.42	0.22066193	0.20744986	
700.62	0.22201718	0.20949792	
700.82	0.22326084	0.21150582	
701.02	0.22435043	0.21347434	
701.22	0.22583308	0.2154043	
701.42	0.22718019	0.21729645	
701.62	0.22830108	0.21915157	
701.82	0.22964594	0.2209704	
702.02	0.23096657	0.22275367	
702.22	0.23282712	0.2245021	
702.42	0.23419807	0.22621639	
702.62	0.23557938	0.22789722	
702.82	0.23718067	0.22954527	
703.02	0.23805009	0.23116119	
703.22	0.23858414	0.23274565	
703.42	0.23946628	0.23429926	
703.62	0.24011592	0.23582265	
703.82	0.24078509	0.23731643	
704.02	0.24210714	0.23878119	
704.22	0.2432382	0.24021752	
704.42	0.24407413	0.24162599	
704.62	0.24537456	0.24300716	
704.82	0.24610208	0.24436159	
705.02	0.24696348	0.2456898	
705.22	0.24815845	0.24699233	
705.42	0.24916634	0.24826969	
705.62	0.24987213	0.24952239	
705.82	0.25027945	0.25075093	
706.02	0.25117331	0.25195579	
706.22	0.2523222	0.25313745	
706.42	0.25248158	0.25429638	
706.62	0.2529306	0.25543303	
706.82	0.25305328	0.25654785	
707.02	0.25349237	0.25764128	
707.22	0.25398958	0.25871376	
707.42	0.25474431	0.2597657	
707.62	0.25570382	0.26079751	
707.82	0.25678705	0.26180961	
708.02	0.25800908	0.26280238	
708.22	0.25914373	0.26377622	
708.42	0.25970104	0.26473151	
708.62	0.26055586	0.26566862	
708.82	0.26098068	0.26658792	
709.02	0.26195457	0.26748976	
709.22	0.26283913	0.2683745	
709.42	0.26328904	0.26924249	
709.62	0.26336922	0.27009404	
709.82	0.26376583	0.27092951	
710.02	0.2646188	0.27174921	
710.22	0.26502278	0.27255346	
710.42	0.26490844	0.27334257	
710.62	0.26524281	0.27411684	
710.82	0.26559948	0.27487657	
711.02	0.26634492	0.27562206	
711.22	0.26711123	0.2763536	
711.42	0.2674734	0.27707145	
711.62	0.26806009	0.27777591	
711.82	0.26827929	0.27846723	
712.02	0.26868116	0.27914568	
712.22	0.26896294	0.27981152	
712.42	0.26938325	0.280465	
712.62	0.2695518	0.28110638	
712.82	0.26970105	0.28173589	
713.02	0.27034896	0.28235378	
713.22	0.27102468	0.28296028	
713.42	0.27108235	0.28355561	
713.62	0.27112842	0.28414	
713.82	0.27187448	0.28471368	
714.02	0.27243912	0.28527685	
714.22	0.27287333	0.28582973	
714.42	0.27356291	0.28637252	
714.62	0.2743685	0.28690543	
714.82	0.27489587	0.28742866	
715.02	0.27573652	0.2879424	
715.22	0.27638131	0.28844684	
715.42	0.27648271	0.28894217	
715.62	0.27702289	0.28942857	
715.82	0.27747855	0.28990622	
716.02	0.27774894	0.2903753	
716.22	0.27801179	0.29083597	
716.42	0.27888776	0.29128842	
716.62	0.27899389	0.29173279	
716.82	0.27940344	0.29216927	
717.02	0.2803201	0.29259799	
717.22	0.28070464	0.29301913	
717.42	0.28066638	0.29343283	
717.62	0.28087114	0.29383924	
717.82	0.28089684	0.29423851	
718.02	0.28105476	0.29463078	
718.22	0.2815027	0.29501619	
718.42	0.28184997	0.29539488	
718.62	0.2822248	0.29576698	
718.82	0.28196242	0.29613263	
719.02	0.28242169	0.29649196	
719.22	0.2823649	0.29684509	
719.42	0.28235949	0.29719215	
719.62	0.28249627	0.29753326	
719.82	0.28286345	0.29786854	
720.02	0.28318964	0.2981981	
720.22	0.28327475	0.29852206	
720.42	0.28370649	0.29884054	
720.62	0.28364679	0.29915364	
720.82	0.28397228	0.29946147	
721.02	0.28466448	0.29976414	
721.22	0.28467659	0.30006175	
721.42	0.28476451	0.3003544	
721.62	0.28497167	0.30064219	
721.82	0.28506038	0.30092522	
722.02	0.28555321	0.30120358	
722.22	0.28600661	0.30147737	
722.42	0.28657706	0.30174668	
722.62	0.2866386	0.3020116	
722.82	0.28659011	0.30227222	
723.02	0.28694472	0.30252862	
723.22	0.28726017	0.30278089	
723.42	0.28799693	0.30302911	
723.62	0.28846625	0.30327336	
723.82	0.28895477	0.30351372	
724.02	0.28893422	0.30375027	
724.22	0.28876155	0.30398309	
724.42	0.28936351	0.30421225	
724.62	0.28987945	0.30443782	
724.82	0.29057746	0.30465987	
725.02	0.29094052	0.30487849	
725.22	0.29118786	0.30509372	
725.42	0.29117044	0.30530565	
725.62	0.29154168	0.30551434	
725.82	0.29170006	0.30571985	
726.02	0.29175357	0.30592225	
726.22	0.29203973	0.3061216	
726.42	0.2922593	0.30631796	
726.62	0.29220511	0.30651139	
726.82	0.29225617	0.30670194	
727.02	0.2920793	0.30688969	
727.22	0.29272794	0.30707467	
727.42	0.29301593	0.30725695	
727.62	0.2927441	0.30743659	
727.82	0.29311095	0.30761363	
728.02	0.29334771	0.30778812	
728.22	0.29348361	0.30796012	
728.42	0.29367489	0.30812968	
728.62	0.29391516	0.30829684	
728.82	0.29413125	0.30846166	
729.02	0.29432664	0.30862418	
729.22	0.29457848	0.30878444	
729.42	0.29435422	0.3089425	
729.62	0.29458257	0.30909839	
729.82	0.29465967	0.30925216	
730.02	0.29501421	0.30940385	
730.22	0.29550371	0.3095535	
730.42	0.29582274	0.30970115	
730.62	0.29632115	0.30984685	
730.82	0.29680571	0.30999063	
731.02	0.29701248	0.31013252	
731.22	0.29750472	0.31027258	
731.42	0.29803879	0.31041083	
731.62	0.29827672	0.31054731	
731.82	0.2987663	0.31068205	
732.02	0.29848742	0.3108151	
732.22	0.29846682	0.31094647	
732.42	0.29838485	0.31107622	
732.62	0.29900156	0.31120436	
732.82	0.29888276	0.31133093	
733.02	0.2987574	0.31145597	
733.22	0.29888747	0.3115795	
733.42	0.29871512	0.31170155	
733.62	0.29956114	0.31182215	
733.82	0.29990759	0.31194134	
734.02	0.30078853	0.31205913	
734.22	0.30114307	0.31217556	
734.42	0.30190909	0.31229065	
734.62	0.30250299	0.31240443	
734.82	0.30282463	0.31251693	
735.02	0.30271173	0.31262817	
735.22	0.30258271	0.31273817	
735.42	0.30272005	0.31284697	
735.62	0.30205531	0.31295458	
735.82	0.30139175	0.31306103	
736.02	0.30177981	0.31316634	
736.22	0.30179007	0.31327053	
736.42	0.30151035	0.31337363	
736.62	0.30128101	0.31347566	
736.82	0.30113971	0.31357664	
737.02	0.30125093	0.31367658	
737.22	0.30158554	0.31377552	
737.42	0.30182435	0.31387346	
737.62	0.30254472	0.31397043	
737.82	0.30231909	0.31406645	
738.02	0.30282418	0.31416154	
738.22	0.30256702	0.31425571	
738.42	0.30295004	0.31434899	
738.62	0.30324294	0.31444139	
738.82	0.30337835	0.31453292	
739.02	0.30392625	0.31462361	
739.22	0.30407408	0.31471348	
739.42	0.30414379	0.31480253	
739.62	0.30417753	0.31489078	
739.82	0.30448234	0.31497825	
740.02	0.30532346	0.31506496	
740.22	0.30509456	0.31515092	
740.42	0.30531273	0.31523615	
740.62	0.30563022	0.31532065	
740.82	0.30645562	0.31540444	
741.02	0.30633332	0.31548754	
741.22	0.3061096	0.31556997	
741.42	0.30645218	0.31565172	
741.62	0.30692352	0.31573283	
741.82	0.30696136	0.31581329	
742.02	0.30700397	0.31589312	
742.22	0.30701453	0.31597234	
742.42	0.30726408	0.31605096	
742.62	0.30802277	0.31612898	
742.82	0.30827235	0.31620642	
743.02	0.30861545	0.31628329	
743.22	0.30812786	0.31635961	
