Conc1	2.5E-09	
Start1	689.97	
Stop1	2789.78	
Kobs	0.00406945471359858	
Error Kobs	NaN	
Koff	0.00308374002099824	
Error Koff	2069.38399630345	
Time1	Data1	Fit1	
689.97	-0.00040388	-0.00040388	
690.17	-0.00029935	-0.00021834	
690.37	0.00004502	-0.00003295	
690.57	0.00033734	0.00015228	
690.77	0.00031343	0.00033737	
690.97	0.00082965	0.00052231	
691.17	0.00111253	0.00070709	
691.37	0.00108044	0.00089173	
691.57	0.00169035	0.00107621	
691.77	0.00210504	0.00126055	
691.97	0.00223769	0.00144473	
692.17	0.00203693	0.00162877	
692.37	0.00222483	0.00181266	
692.57	0.0023147	0.00199639	
692.77	0.00185153	0.00217998	
692.97	0.00165069	0.00236342	
693.17	0.0017581	0.0025467	
693.37	0.00161496	0.00272984	
693.57	0.00148037	0.00291283	
693.77	0.00119087	0.00309567	
693.97	0.00076878	0.00327837	
694.17	0.00002982	0.00346091	
694.37	-0.00019597	0.0036433	
694.57	-0.00030008	0.00382555	
694.77	-0.00015921	0.00400765	
694.97	0.0002988	0.0041896	
695.17	0.00013368	0.0043714	
695.37	0.00035849	0.00455306	
695.57	0.00086543	0.00473456	
695.77	0.00112442	0.00491592	
695.97	0.00090218	0.00509713	
696.17	0.0012888	0.0052782	
696.37	0.00159675	0.00545912	
696.57	0.00196745	0.00563989	
696.77	0.00208497	0.00582051	
696.97	0.00304625	0.00600098	
697.17	0.0029823	0.00618131	
697.37	0.00292671	0.00636149	
697.57	0.00255493	0.00654153	
697.77	0.00203235	0.00672142	
697.97	0.00192864	0.00690116	
698.17	0.00200627	0.00708076	
698.37	0.00225623	0.00726021	
698.57	0.00299875	0.00743951	
698.77	0.0036869	0.00761867	
698.97	0.00381883	0.00779768	
699.17	0.00386046	0.00797655	
699.37	0.00412199	0.00815527	
699.57	0.00461029	0.00833385	
699.77	0.00531004	0.00851228	
699.97	0.00531238	0.00869056	
700.17	0.00610715	0.0088687	
700.37	0.00620285	0.0090467	
700.57	0.00660499	0.00922455	
700.77	0.00707403	0.00940226	
700.97	0.00745778	0.00957982	
701.17	0.00694559	0.00975724	
701.37	0.00693291	0.00993451	
701.57	0.00653565	0.01011164	
701.77	0.00598689	0.01028862	
701.97	0.00567956	0.01046546	
702.17	0.0057435	0.01064216	
702.37	0.00603498	0.01081871	
702.57	0.00653767	0.01099512	
702.77	0.00648943	0.01117139	
702.97	0.00615337	0.01134751	
703.17	0.00660911	0.01152349	
703.37	0.00732047	0.01169932	
703.57	0.00809951	0.01187502	
703.77	0.00810641	0.01205057	
703.97	0.00865864	0.01222597	
704.17	0.00886604	0.01240124	
704.37	0.00893104	0.01257636	
704.57	0.00906449	0.01275134	
704.77	0.0097182	0.01292618	
704.97	0.00997938	0.01310087	
705.17	0.00959891	0.01327542	
705.37	0.00990693	0.01344983	
705.57	0.0097805	0.0136241	
705.77	0.01018015	0.01379823	
705.97	0.00989797	0.01397221	
706.17	0.00989882	0.01414606	
706.37	0.00988573	0.01431976	
706.57	0.00988915	0.01449332	
706.77	0.00925589	0.01466674	
706.97	0.00986315	0.01484002	
707.17	0.01027122	0.01501316	
707.37	0.01027585	0.01518615	
707.57	0.01038012	0.01535901	
707.77	0.01009492	0.01553172	
707.97	0.01003257	0.0157043	
708.17	0.00980938	0.01587673	
708.37	0.0101009	0.01604903	
708.57	0.01003582	0.01622118	
708.77	0.01047302	0.0163932	
708.97	0.01058152	0.01656507	
709.17	0.0103119	0.0167368	
709.37	0.01068414	0.0169084	
709.57	0.01093811	0.01707985	
709.77	0.01098497	0.01725117	
709.97	0.01048338	0.01742234	
710.17	0.01045644	0.01759338	
710.37	0.01058193	0.01776428	
710.57	0.01096781	0.01793504	
710.77	0.01128046	0.01810566	
710.97	0.01224653	0.01827614	
711.17	0.01197544	0.01844648	
711.37	0.01229431	0.01861668	
711.57	0.01290194	0.01878675	
711.77	0.0129044	0.01895668	
711.97	0.01292645	0.01912646	
712.17	0.01372398	0.01929611	
712.37	0.01407945	0.01946563	
712.57	0.01407424	0.019635	
712.77	0.0147609	0.01980424	
712.97	0.01505032	0.01997334	
713.17	0.01500439	0.0201423	
713.37	0.01524694	0.02031112	
713.57	0.01546019	0.02047981	
713.77	0.01549326	0.02064836	
713.97	0.01559259	0.02081677	
714.17	0.0156502	0.02098505	
714.37	0.01568996	0.02115318	
714.57	0.01607401	0.02132119	
714.77	0.01565296	0.02148905	
714.97	0.01558337	0.02165678	
715.17	0.01521038	0.02182437	
715.37	0.01525765	0.02199183	
715.57	0.01549527	0.02215914	
715.77	0.01564308	0.02232633	
715.97	0.01559956	0.02249337	
716.17	0.01623808	0.02266029	
716.37	0.01682876	0.02282706	
716.57	0.01723469	0.0229937	
716.77	0.01780492	0.02316021	
716.97	0.01816244	0.02332657	
717.17	0.01852618	0.02349281	
717.37	0.01918513	0.02365891	
717.57	0.01935944	0.02382487	
717.77	0.02010532	0.0239907	
717.97	0.02069391	0.02415639	
718.17	0.02057002	0.02432195	
718.37	0.02046973	0.02448737	
718.57	0.02025378	0.02465266	
718.77	0.01992856	0.02481781	
718.97	0.01965677	0.02498283	
719.17	0.01880495	0.02514772	
719.37	0.01839902	0.02531247	
719.57	0.01783835	0.02547709	
719.77	0.01797479	0.02564157	
719.97	0.01796857	0.02580592	
720.17	0.01828169	0.02597014	
720.37	0.01867821	0.02613422	
720.57	0.01892821	0.02629817	
720.77	0.01918305	0.02646199	
720.97	0.01958787	0.02662567	
721.17	0.01977405	0.02678922	
721.37	0.02056882	0.02695263	
721.57	0.02119268	0.02711592	
721.77	0.02207162	0.02727907	
721.97	0.02274385	0.02744209	
722.17	0.02264202	0.02760497	
722.37	0.02338757	0.02776772	
722.57	0.02368343	0.02793034	
722.77	0.02366772	0.02809283	
722.97	0.02321631	0.02825519	
723.17	0.0228376	0.02841741	
723.37	0.02311377	0.0285795	
723.57	0.02285278	0.02874146	
723.77	0.02314655	0.02890329	
723.97	0.02323702	0.02906499	
724.17	0.02366392	0.02922655	
724.37	0.02415852	0.02938799	
724.57	0.02421964	0.02954929	
724.77	0.02461919	0.02971046	
724.97	0.02474542	0.0298715	
725.17	0.02502771	0.03003241	
725.37	0.025951	0.03019318	
725.57	0.02596742	0.03035383	
725.77	0.02612717	0.03051435	
725.97	0.02641925	0.03067473	
726.17	0.02641625	0.03083499	
726.37	0.02636738	0.03099511	
726.57	0.02604197	0.03115511	
726.77	0.0258293	0.03131497	
726.97	0.0263698	0.03147471	
727.17	0.0261048	0.03163431	
727.37	0.02586896	0.03179378	
727.57	0.02505812	0.03195313	
727.77	0.02522794	0.03211234	
727.97	0.02522107	0.03227143	
728.17	0.02583463	0.03243039	
728.37	0.02574451	0.03258921	
728.57	0.02610921	0.03274791	
728.77	0.02613701	0.03290648	
728.97	0.02638743	0.03306492	
729.17	0.02680978	0.03322323	
729.37	0.02682885	0.03338141	
729.57	0.02641159	0.03353946	
729.77	0.02643476	0.03369739	
729.97	0.02619038	0.03385518	
730.17	0.02620272	0.03401285	
730.37	0.02607687	0.03417039	
730.57	0.0265076	0.0343278	
730.77	0.02663552	0.03448509	
730.97	0.02656148	0.03464224	
731.17	0.02628304	0.03479927	
731.37	0.02591671	0.03495617	
731.57	0.02607335	0.03511294	
731.77	0.02661995	0.03526958	
731.97	0.02659849	0.0354261	
732.17	0.02697149	0.03558249	
732.37	0.02749975	0.03573875	
732.57	0.02787461	0.03589489	
732.77	0.0279607	0.0360509	
732.97	0.02841557	0.03620678	
733.17	0.02826881	0.03636253	
733.37	0.02832652	0.03651816	
733.57	0.02834142	0.03667366	
733.77	0.02815405	0.03682904	
733.97	0.0281195	0.03698428	
734.17	0.02824908	0.03713941	
734.37	0.02848317	0.0372944	
734.57	0.02882667	0.03744927	
734.77	0.02867661	0.03760402	
734.97	0.02858202	0.03775863	
735.17	0.02928964	0.03791312	
735.37	0.02958587	0.03806749	
735.57	0.03038265	0.03822173	
735.77	0.03115242	0.03837585	
735.97	0.03173614	0.03852984	
736.17	0.03248894	0.0386837	
736.37	0.0333473	0.03883744	
736.57	0.03350102	0.03899106	
736.77	0.03361178	0.03914454	
736.97	0.03381891	0.03929791	
737.17	0.03383717	0.03945115	
737.37	0.03400436	0.03960426	
737.57	0.03371023	0.03975725	
737.77	0.03334743	0.03991012	
737.97	0.03310403	0.04006286	
738.17	0.03344074	0.04021548	
738.37	0.0338775	0.04036797	
738.57	0.0334822	0.04052034	
738.77	0.03297882	0.04067259	
738.97	0.0331533	0.04082471	
739.17	0.03395666	0.04097671	
739.37	0.03398658	0.04112858	
739.57	0.03417072	0.04128033	
739.77	0.03494969	0.04143196	
739.97	0.03512724	0.04158346	
740.17	0.03531671	0.04173484	
740.37	0.03508886	0.0418861	
740.57	0.03548643	0.04203723	
740.77	0.03548948	0.04218824	
740.97	0.03593896	0.04233913	
741.17	0.03624019	0.0424899	
741.37	0.03639121	0.04264054	
741.57	0.03670704	0.04279106	
741.77	0.03687593	0.04294146	
741.97	0.03705106	0.04309173	
742.17	0.03792157	0.04324189	
742.37	0.03732749	0.04339192	
742.57	0.03629351	0.04354183	
742.77	0.03624375	0.04369161	
742.97	0.03628849	0.04384128	
743.17	0.0363592	0.04399082	
743.37	0.03605332	0.04414024	
743.57	0.0360244	0.04428954	
743.77	0.03610572	0.04443872	
743.97	0.03611616	0.04458778	
744.17	0.03602612	0.04473671	
744.37	0.03563288	0.04488553	
744.57	0.03629421	0.04503422	
744.77	0.03657153	0.0451828	
744.97	0.03717475	0.04533125	
745.17	0.03794342	0.04547958	
745.37	0.03873965	0.04562779	
745.57	0.0398178	0.04577588	
745.77	0.0400051	0.04592385	
745.97	0.04045414	0.0460717	
746.17	0.04075622	0.04621943	
746.37	0.04026162	0.04636704	
746.57	0.04038915	0.04651452	
746.77	0.04088365	0.04666189	
746.97	0.04083326	0.04680914	
747.17	0.04126011	0.04695627	
747.37	0.04168374	0.04710328	
747.57	0.04136524	0.04725017	
747.77	0.04135948	0.04739694	
747.97	0.04182222	0.04754359	
748.17	0.04169669	0.04769012	
748.37	0.04162667	0.04783653	
748.57	0.04227748	0.04798283	
748.77	0.04201673	0.048129	
748.97	0.04186179	0.04827505	
749.17	0.04174882	0.04842099	
749.37	0.04163257	0.04856681	
749.57	0.04141868	0.04871251	
749.77	0.04089548	0.04885809	
749.97	0.04115211	0.04900355	
750.17	0.04131019	0.04914889	
750.37	0.04163219	0.04929412	
750.57	0.04156542	0.04943923	
750.77	0.04162682	0.04958421	
750.97	0.04189114	0.04972909	
751.17	0.04239085	0.04987384	
751.37	0.04250357	0.05001847	
751.57	0.04205602	0.05016299	
751.77	0.04267426	0.05030739	
751.97	0.04332728	0.05045168	
752.17	0.04302397	0.05059584	
752.37	0.04241969	0.05073989	
752.57	0.04218074	0.05088382	
752.77	0.04224373	0.05102763	
752.97	0.04251706	0.05117133	
753.17	0.04218915	0.05131491	
753.37	0.04255777	0.05145837	
753.57	0.0427198	0.05160172	
753.77	0.04287104	0.05174495	
753.97	0.04356556	0.05188806	
754.17	0.04420772	0.05203106	
754.37	0.04433511	0.05217394	
754.57	0.0439107	0.0523167	
754.77	0.04353996	0.05245935	
754.97	0.04403369	0.05260189	
755.17	0.04399497	0.0527443	
755.37	0.04415419	0.0528866	
755.57	0.04401283	0.05302879	
755.77	0.0444103	0.05317085	
755.97	0.04448484	0.05331281	
756.17	0.04385546	0.05345465	
756.37	0.04356405	0.05359637	
756.57	0.044093	0.05373797	
756.77	0.04494839	0.05387947	
756.97	0.04509254	0.05402084	
757.17	0.04486036	0.05416211	
757.37	0.04533795	0.05430325	
757.57	0.04522743	0.05444428	
757.77	0.04580118	0.0545852	
757.97	0.04658614	0.054726	
758.17	0.04690817	0.05486669	
758.37	0.0468916	0.05500727	
758.57	0.04707476	0.05514772	
758.77	0.04693489	0.05528807	
758.97	0.04830341	0.0554283	
759.17	0.04872785	0.05556842	
759.37	0.04937803	0.05570842	
759.57	0.04979136	0.05584831	
759.77	0.05078693	0.05598808	
759.97	0.05153387	0.05612774	
760.17	0.05148678	0.05626729	
760.37	0.05146841	0.05640673	
760.57	0.05178358	0.05654605	
760.77	0.05215083	0.05668525	
760.97	0.05207053	0.05682435	
761.17	0.05181445	0.05696333	
761.37	0.05164035	0.0571022	
761.57	0.05184474	0.05724095	
761.77	0.05174817	0.05737959	
761.97	0.05199424	0.05751812	
762.17	0.05167236	0.05765654	
762.37	0.05164994	0.05779484	
762.57	0.05201007	0.05793303	
762.77	0.05186843	0.05807111	
762.97	0.05200579	0.05820908	
763.17	0.05186566	0.05834693	
763.37	0.05220297	0.05848468	
763.57	0.05251751	0.05862231	
763.77	0.05259948	0.05875982	
763.97	0.05265454	0.05889723	
764.17	0.05247744	0.05903452	
764.37	0.0524498	0.05917171	
764.57	0.05229302	0.05930878	
764.77	0.05256689	0.05944574	
764.97	0.05280382	0.05958259	
765.17	0.0527633	0.05971932	
765.37	0.05278483	0.05985595	
765.57	0.05372142	0.05999246	
765.77	0.05401937	0.06012887	
765.97	0.05461071	0.06026516	
766.17	0.05496472	0.06040134	
766.37	0.05565649	0.06053741	
766.57	0.05608224	0.06067337	
766.77	0.05572478	0.06080922	
766.97	0.05559801	0.06094496	
767.17	0.05574007	0.06108059	
767.37	0.05539795	0.06121611	
767.57	0.05491844	0.06135151	
767.77	0.05433855	0.06148681	
767.97	0.05408744	0.061622	
768.17	0.0540928	0.06175708	
768.37	0.05372056	0.06189205	
768.57	0.05362519	0.0620269	
768.77	0.05347812	0.06216165	
768.97	0.0533735	0.06229629	
769.17	0.05312153	0.06243082	
769.37	0.0533824	0.06256524	
769.57	0.05415856	0.06269955	
769.77	0.05421932	0.06283375	
769.97	0.05435404	0.06296784	
770.17	0.05450087	0.06310183	
770.37	0.05441849	0.0632357	
770.57	0.05440166	0.06336946	
770.77	0.05469313	0.06350312	
770.97	0.05500905	0.06363667	
771.17	0.0545982	0.06377011	
771.37	0.05448523	0.06390344	
771.57	0.05509761	0.06403666	
771.77	0.05525116	0.06416977	
771.97	0.05634685	0.06430278	
772.17	0.05713236	0.06443567	
772.37	0.05735742	0.06456846	
772.57	0.05742532	0.06470114	
772.77	0.05803497	0.06483371	
772.97	0.05830457	0.06496618	
773.17	0.05895684	0.06509854	
773.37	0.05944268	0.06523079	
773.57	0.0598858	0.06536293	
773.77	0.05949878	0.06549496	
773.97	0.05892701	0.06562689	
774.17	0.05861223	0.06575871	
774.37	0.05908432	0.06589042	
774.57	0.05933977	0.06602202	
774.77	0.05958531	0.06615352	
774.97	0.05895274	0.06628491	
775.17	0.05870863	0.0664162	
775.37	0.05878461	0.06654738	
775.57	0.05921159	0.06667845	
775.77	0.05946031	0.06680941	
775.97	0.06032237	0.06694027	
776.17	0.06054789	0.06707102	
776.37	0.06087874	0.06720166	
776.57	0.06140374	0.0673322	
776.77	0.06220406	0.06746263	
776.97	0.06147549	0.06759296	
777.17	0.06216161	0.06772318	
777.37	0.06215356	0.06785329	
777.57	0.06253976	0.0679833	
777.77	0.06244363	0.0681132	
777.97	0.06283877	0.068243	
778.17	0.06351751	0.06837269	
778.37	0.06413382	0.06850228	
778.57	0.06393947	0.06863176	
778.77	0.06344974	0.06876113	
778.97	0.06297561	0.0688904	
779.17	0.06292068	0.06901957	
779.37	0.06287299	0.06914863	
779.57	0.06330923	0.06927758	
779.77	0.06352099	0.06940643	
779.97	0.06388914	0.06953517	
780.17	0.06402563	0.06966381	
780.37	0.06419355	0.06979235	
780.57	0.06445012	0.06992078	
780.77	0.06428847	0.07004911	
780.97	0.06393646	0.07017733	
781.17	0.06453017	0.07030544	
781.37	0.06466296	0.07043346	
781.57	0.06491042	0.07056137	
781.77	0.06508932	0.07068917	
781.97	0.06530957	0.07081687	
782.17	0.06559804	0.07094447	
782.37	0.06537203	0.07107196	
782.57	0.06521738	0.07119935	
782.77	0.06487714	0.07132664	
782.97	0.06493487	0.07145382	
783.17	0.0651385	0.0715809	
783.37	0.06549186	0.07170788	
783.57	0.06562883	0.07183475	
783.77	0.06602776	0.07196152	
783.97	0.06647351	0.07208818	
