Conc1	1E-06	
Start1	689.97	
Stop1	2789.78	
Kobs	0.00207967926531536	
Error Kobs	1.6414084759304E-05	
Koff	0.00332179547099377	
Error Koff	1.95989018569822E-05	
Time1	Data1	Fit1	
689.97	0.03833861	0.03833861	
690.17	0.05041053	0.05209515	
690.37	0.06446939	0.06522844	
690.57	0.08012672	0.07776691	
690.77	0.09678612	0.08973771	
690.97	0.11410891	0.10116671	
691.17	0.13159804	0.11207865	
691.37	0.14844931	0.1224971	
691.57	0.16493405	0.13244458	
691.77	0.17958845	0.14194256	
691.97	0.19219897	0.15101156	
692.17	0.2021045	0.15967114	
692.37	0.2104079	0.16793998	
692.57	0.21709319	0.17583591	
692.77	0.22233059	0.18337592	
692.97	0.22687671	0.19057626	
693.17	0.23155653	0.19745242	
693.37	0.23555731	0.20401919	
693.57	0.23945267	0.21029067	
693.77	0.2426993	0.21628035	
693.97	0.24587129	0.22200107	
694.17	0.24833192	0.22746511	
694.37	0.25135547	0.23268416	
694.57	0.25429912	0.23766941	
694.77	0.25691402	0.24243151	
694.97	0.25955436	0.24698065	
695.17	0.26160941	0.25132654	
695.37	0.26401642	0.25547845	
695.57	0.26613375	0.25944523	
695.77	0.26726189	0.26323532	
695.97	0.26870875	0.26685678	
696.17	0.27092246	0.2703173	
696.37	0.27279853	0.27362422	
696.57	0.2739547	0.27678455	
696.77	0.2755659	0.27980497	
696.97	0.27708183	0.28269187	
697.17	0.2786746	0.28545133	
697.37	0.27965743	0.28808916	
697.57	0.28093344	0.29061092	
697.77	0.28190792	0.29302189	
697.97	0.28299617	0.29532712	
698.17	0.28428009	0.29753145	
698.37	0.28544868	0.29963947	
698.57	0.28698948	0.30165557	
698.77	0.28813066	0.30358394	
698.97	0.28921346	0.30542859	
699.17	0.29014718	0.30719333	
699.37	0.29121924	0.30888181	
699.57	0.29190856	0.3104975	
699.77	0.29265213	0.31204372	
699.97	0.29390171	0.31352365	
700.17	0.29550373	0.31494029	
700.37	0.29631349	0.31629654	
700.57	0.29743872	0.31759515	
700.77	0.29851388	0.31883875	
700.97	0.2992963	0.32002985	
701.17	0.30002341	0.32117083	
701.37	0.30053966	0.32226399	
701.57	0.30137989	0.32331151	
701.77	0.30190115	0.32431545	
701.97	0.30255958	0.32527782	
