Conc1	1E-06	
Start1	690.04	
Stop1	2789.83	
Kobs	0.220627356071483	
Error Kobs	0.00327257146418358	
Koff	0.00396142301408717	
Error Koff	2.72533670041452E-05	
Time1	Data1	Fit1	
690.04	0.02822536	0.02822536	
690.24	0.03963433	0.04123547	
690.44	0.05303939	0.05368714	
690.64	0.06817074	0.06560448	
690.84	0.08425369	0.07701054	
691.04	0.10108431	0.08792741	
691.24	0.11805136	0.09837619	
691.44	0.13456943	0.10837709	
691.64	0.15040796	0.11794945	
691.84	0.16465531	0.12711175	
692.04	0.17733456	0.1358817	
692.24	0.18687147	0.14427623	
692.44	0.19468912	0.15231155	
692.64	0.20196803	0.16000317	
692.84	0.20774405	0.16736591	
693.04	0.21307954	0.17441398	
693.24	0.21774618	0.18116095	
693.44	0.22272125	0.18761982	
693.64	0.22646682	0.19380304	
693.84	0.2302363	0.19972248	
694.04	0.23301364	0.20538955	
694.24	0.23578738	0.21081513	
694.44	0.23866861	0.21600964	
694.64	0.24161069	0.22098307	
694.84	0.24405379	0.22574495	
695.04	0.24663452	0.23030441	
695.24	0.24827373	0.23467019	
695.44	0.2503838	0.23885065	
695.64	0.25251414	0.24285378	
695.84	0.25412315	0.24668725	
696.04	0.25568142	0.25035837	
696.24	0.25701416	0.25387415	
696.44	0.25837599	0.25724129	
696.64	0.26001257	0.26046622	
696.84	0.26161758	0.26355506	
697.04	0.26335217	0.2665137	
697.24	0.26497412	0.26934774	
697.44	0.2665383	0.27206258	
697.64	0.26775457	0.27466334	
697.84	0.26885188	0.27715496	
698.04	0.26985027	0.27954215	
698.24	0.27152036	0.28182941	
698.44	0.27257003	0.28402106	
698.64	0.27391076	0.28612121	
698.84	0.27512084	0.28813383	
699.04	0.27602805	0.29006269	
699.24	0.27697447	0.2919114	
699.44	0.27838062	0.29368341	
699.64	0.27933526	0.29538205	
699.84	0.27995612	0.29701048	
700.04	0.28041801	0.29857172	
700.24	0.28120332	0.30006868	
700.44	0.28119046	0.30150413	
700.64	0.2815041	0.30288072	
700.84	0.28216666	0.304201	
701.04	0.28304011	0.30546739	
701.24	0.28375392	0.30668222	
701.44	0.2848467	0.30784771	
701.64	0.28593676	0.30896599	
701.84	0.28648584	0.31003911	
702.04	0.2871535	0.311069	
702.24	0.28841576	0.31205753	
702.44	0.28906924	0.31300649	
702.64	0.29066883	0.31391758	
702.84	0.29154181	0.31479244	
703.04	0.29237744	0.31563264	
703.24	0.2934744	0.31643965	
703.44	0.29425972	0.31721493	
703.64	0.29520332	0.31795983	
703.84	0.29597651	0.31867567	
704.04	0.29655095	0.31936369	
704.24	0.29672282	0.32002511	
704.44	0.29692952	0.32066106	
704.64	0.29753181	0.32127265	
704.84	0.29824283	0.32186093	
705.04	0.29896506	0.3224269	
705.24	0.29898443	0.32297152	
705.44	0.299384	0.32349571	
705.64	0.29969962	0.32400036	
705.84	0.29977566	0.32448631	
706.04	0.30021195	0.32495436	
706.24	0.30088907	0.32540528	
706.44	0.30178909	0.32583982	
706.64	0.30221636	0.32625868	
706.84	0.30189335	0.32666254	
707.04	0.3023826	0.32705203	
707.24	0.30241499	0.32742779	
707.44	0.30335882	0.3277904	
707.64	0.30422906	0.32814043	
707.84	0.30489614	0.32847843	
708.04	0.30535952	0.3288049	
708.24	0.30541295	0.32912035	
708.44	0.30627853	0.32942525	
708.64	0.30680175	0.32972006	
708.84	0.30692811	0.33000521	
709.04	0.3070645	0.33028112	
709.24	0.30716113	0.33054818	
709.44	0.30768478	0.33080677	
709.64	0.30813946	0.33105727	
709.84	0.30863346	0.33130001	
710.04	0.30930576	0.33153534	
710.24	0.30978691	0.33176357	
710.44	0.31042006	0.331985	
710.64	0.31003436	0.33219994	
710.84	0.30990395	0.33240865	
711.04	0.31052079	0.33261141	
711.24	0.31073204	0.33280848	
711.44	0.31169415	0.33300008	
711.64	0.31231357	0.33318648	
711.84	0.31246802	0.33336787	
712.04	0.31252701	0.33354449	
712.24	0.31259431	0.33371654	
712.44	0.31301755	0.3338842	
712.64	0.31314291	0.33404768	
712.84	0.31396498	0.33420715	
713.04	0.31448719	0.33436278	
713.24	0.31488269	0.33451474	
713.44	0.3151005	0.33466318	
713.64	0.31551051	0.33480826	
713.84	0.31607799	0.33495012	
714.04	0.31685882	0.33508889	
714.24	0.3173313	0.33522472	
714.44	0.31751906	0.33535772	
714.64	0.31745118	0.33548802	
714.84	0.31783363	0.33561573	
715.04	0.31852825	0.33574096	
715.24	0.31879348	0.33586383	
715.44	0.31896407	0.33598442	
715.64	0.3196122	0.33610285	
715.84	0.31929837	0.33621919	
716.04	0.31939377	0.33633354	
716.24	0.31988011	0.33644599	
716.44	0.32009163	0.33655662	
716.64	0.32094476	0.33666549	
716.84	0.32152651	0.3367727	
717.04	0.32120419	0.3368783	
717.24	0.32093505	0.33698238	
717.44	0.32088617	0.33708498	
717.64	0.3213606	0.33718618	
717.84	0.32150362	0.33728603	
718.04	0.32204012	0.3373846	
718.24	0.32221299	0.33748193	
718.44	0.32244454	0.33757808	
718.64	0.32224021	0.3376731	
718.84	0.32302839	0.33776703	
719.04	0.32315672	0.33785993	
719.24	0.32307631	0.33795184	
719.44	0.32292901	0.33804279	
719.64	0.32341327	0.33813283	
719.84	0.32337679	0.338222	
720.04	0.32400264	0.33831033	
720.24	0.32468998	0.33839786	
720.44	0.32496477	0.33848462	
720.64	0.32564136	0.33857064	
720.84	0.32584638	0.33865596	
721.04	0.32610822	0.33874061	
721.24	0.32634896	0.33882461	
721.44	0.32694004	0.33890799	
721.64	0.32720162	0.33899077	
721.84	0.32766036	0.33907298	
722.04	0.3281689	0.33915465	
722.24	0.32856935	0.3392358	
722.44	0.3288563	0.33931644	
722.64	0.32874444	0.3393966	
722.84	0.32948639	0.3394763	
