Conc1	4E-08	
Start1	690.04	
Stop1	2789.83	
Kobs	0.0021798082798268	
Error Kobs	2.15781120294438E-05	
Koff	0.00341251725035848	
Error Koff	2.15175435397851E-05	
Time1	Data1	Fit1	
690.04	0.0021171	0.0021171	
690.24	0.00277564	0.00367977	
690.44	0.00349401	0.005232	
690.64	0.0042383	0.00677386	
690.84	0.00500081	0.00830542	
691.04	0.00604538	0.00982674	
691.24	0.0070968	0.01133791	
691.44	0.00839413	0.01283899	
691.64	0.00912082	0.01433005	
691.84	0.01000038	0.01581115	
692.04	0.01084199	0.01728238	
692.24	0.01189572	0.01874378	
692.44	0.01294832	0.02019544	
692.64	0.01414208	0.02163742	
692.84	0.01484376	0.02306978	
693.04	0.01642494	0.0244926	
693.24	0.01796306	0.02590593	
693.44	0.01886555	0.02730984	
693.64	0.02018469	0.0287044	
693.84	0.0218604	0.03008967	
694.04	0.02384646	0.03146572	
694.24	0.0254138	0.0328326	
694.44	0.02704678	0.03419038	
694.64	0.02834572	0.03553913	
694.84	0.02991668	0.0368789	
695.04	0.03149978	0.03820976	
695.24	0.03284642	0.03953177	
695.44	0.03436969	0.04084499	
695.64	0.03493674	0.04214947	
695.84	0.03568109	0.04344529	
696.04	0.036983	0.04473249	
696.24	0.03814414	0.04601114	
696.44	0.03954017	0.0472813	
696.64	0.04154528	0.04854302	
696.84	0.04261619	0.04979636	
697.04	0.0441296	0.05104138	
697.24	0.04504901	0.05227815	
697.44	0.04627837	0.0535067	
697.64	0.04745656	0.05472711	
697.84	0.04884075	0.05593942	
698.04	0.05055889	0.05714369	
698.24	0.05208143	0.05833998	
698.44	0.05311583	0.05952834	
698.64	0.05430425	0.06070883	
698.84	0.05547375	0.06188149	
699.04	0.0565367	0.0630464	
699.24	0.05825034	0.06420358	
699.44	0.05964292	0.06535311	
699.64	0.06070927	0.06649503	
699.84	0.06193924	0.0676294	
700.04	0.06348998	0.06875626	
700.24	0.06450328	0.06987567	
700.44	0.06624878	0.07098767	
700.64	0.06747458	0.07209233	
700.84	0.06804407	0.07318969	
701.04	0.06892046	0.0742798	
701.24	0.06965484	0.07536271	
701.44	0.07072725	0.07643847	
701.64	0.07179983	0.07750712	
701.84	0.07262817	0.07856873	
702.04	0.07374486	0.07962333	
702.24	0.07488298	0.08067097	
702.44	0.07566619	0.08171171	
702.64	0.07669975	0.08274558	
702.84	0.07730283	0.08377264	
703.04	0.07908675	0.08479293	
703.24	0.08123294	0.0858065	
703.44	0.08291047	0.0868134	
703.64	0.08461539	0.08781367	
703.84	0.08572404	0.08880735	
704.04	0.08672463	0.0897945	
704.24	0.08817048	0.09077515	
704.44	0.08999511	0.09174935	
704.64	0.09137057	0.09271715	
704.84	0.09247241	0.09367858	
705.04	0.09374986	0.0946337	
705.24	0.09499949	0.09558255	
705.44	0.09618662	0.09652516	
705.64	0.09728333	0.09746159	
705.84	0.09815648	0.09839187	
706.04	0.09918791	0.09931605	
706.24	0.10017737	0.10023416	
706.44	0.10074639	0.10114626	
706.64	0.10123569	0.10205238	
706.84	0.10213207	0.10295255	
707.04	0.10354628	0.10384684	
707.24	0.10475026	0.10473526	
707.44	0.10560101	0.10561787	
707.64	0.10638379	0.1064947	
707.84	0.10693164	0.10736579	
708.04	0.10762086	0.10823119	
708.24	0.1086689	0.10909093	
708.44	0.10972839	0.10994504	
708.64	0.11061156	0.11079358	
708.84	0.11161847	0.11163657	
709.04	0.11277766	0.11247406	
709.24	0.11356592	0.11330608	
709.44	0.11463039	0.11413267	
709.64	0.11560291	0.11495387	
709.84	0.11655509	0.11576971	
710.04	0.11771185	0.11658023	
710.24	0.11887481	0.11738548	
710.44	0.11990837	0.11818547	
710.64	0.12068496	0.11898025	
710.84	0.1218443	0.11976986	
711.04	0.12246924	0.12055433	
711.24	0.12361245	0.1213337	
711.44	0.12451825	0.122108	
711.64	0.12533699	0.12287726	
711.84	0.12621328	0.12364152	
712.04	0.12717149	0.12440082	
712.24	0.12819804	0.12515518	
712.44	0.12938669	0.12590465	
712.64	0.13048956	0.12664926	
712.84	0.13129253	0.12738903	
713.04	0.13197539	0.12812401	
713.24	0.1325552	0.12885422	
713.44	0.13356899	0.1295797	
713.64	0.13410671	0.13030047	
713.84	0.13551066	0.13101659	
714.04	0.13668779	0.13172806	
714.24	0.13775728	0.13243493	
714.44	0.13817614	0.13313723	
714.64	0.13890317	0.13383499	
714.84	0.13913816	0.13452824	
715.04	0.13976846	0.13521701	
715.24	0.14041381	0.13590133	
715.44	0.14056198	0.13658124	
715.64	0.14119954	0.13725676	
715.84	0.14184524	0.13792791	
716.04	0.14245789	0.13859475	
716.24	0.14333597	0.13925728	
716.44	0.14404425	0.13991554	
716.64	0.14480275	0.14056957	
716.84	0.145034	0.14121939	
717.04	0.14565132	0.14186502	
717.24	0.14670596	0.1425065	
717.44	0.14730797	0.14314386	
717.64	0.14805516	0.14377712	
717.84	0.14937475	0.14440631	
718.04	0.14991432	0.14503146	
718.24	0.15085956	0.1456526	
718.44	0.15122432	0.14626976	
718.64	0.1521069	0.14688296	
718.84	0.15264043	0.14749222	
719.04	0.15313311	0.14809759	
719.24	0.15308324	0.14869907	
719.44	0.15343626	0.14929671	
719.64	0.15442097	0.14989052	
719.84	0.15512751	0.15048053	
720.04	0.15603481	0.15106677	
720.24	0.15672991	0.15164927	
720.44	0.15725115	0.15222804	
720.64	0.15770789	0.15280312	
720.84	0.15774928	0.15337453	
721.04	0.15851491	0.1539423	
721.24	0.15939159	0.15450644	
721.44	0.15996847	0.15506699	
721.64	0.16031996	0.15562397	
721.84	0.16093348	0.15617741	
722.04	0.16146688	0.15672732	
722.24	0.16202972	0.15727374	
722.44	0.16257724	0.15781668	
722.64	0.16312681	0.15835617	
722.84	0.16375896	0.15889224	
723.04	0.16423301	0.1594249	
723.24	0.16481763	0.15995418	
723.44	0.16543345	0.16048011	
723.64	0.16596885	0.1610027	
723.84	0.16641101	0.16152199	
724.04	0.16696653	0.16203798	
724.24	0.16735468	0.16255071	
724.44	0.16795267	0.1630602	
724.64	0.16844484	0.16356646	
724.84	0.16913075	0.16406953	
725.04	0.16987873	0.16456942	
725.24	0.17062116	0.16506616	
725.44	0.17093972	0.16555976	
725.64	0.17116522	0.16605025	
725.84	0.17152463	0.16653764	
726.04	0.17227814	0.16702197	
726.24	0.17248535	0.16750325	
726.44	0.1727479	0.1679815	
726.64	0.17269278	0.16845675	
726.84	0.17307772	0.168929	
727.04	0.17377449	0.16939829	
727.24	0.17416265	0.16986464	
727.44	0.17454745	0.17032806	
727.64	0.17484831	0.17078857	
727.84	0.17544536	0.1712462	
728.04	0.17626892	0.17170096	
728.24	0.17655899	0.17215287	
728.44	0.17732449	0.17260196	
728.64	0.17827155	0.17304824	
728.84	0.17900583	0.17349173	
729.04	0.1790869	0.17393245	
729.24	0.17932006	0.17437042	
729.44	0.17912489	0.17480566	
729.64	0.17947903	0.17523818	
729.84	0.17967093	0.17566801	
730.04	0.17996842	0.17609517	
730.24	0.17971508	0.17651966	
730.44	0.17954954	0.17694152	
730.64	0.17968885	0.17736075	
730.84	0.18031061	0.17777738	
731.04	0.18145336	0.17819143	
731.24	0.18195357	0.1786029	
731.44	0.18201612	0.17901183	
731.64	0.18232052	0.17941822	
731.84	0.18264587	0.17982209	
732.04	0.18274432	0.18022347	
732.24	0.1828714	0.18062236	
732.44	0.18348179	0.18101879	
732.64	0.18432295	0.18141277	
732.84	0.18420673	0.18180432	
733.04	0.18386733	0.18219345	
733.24	0.18410499	0.18258019	
733.44	0.1844622	0.18296454	
733.64	0.18479386	0.18334653	
733.84	0.18575097	0.18372617	
734.04	0.18615403	0.18410348	
734.24	0.18669559	0.18447847	
734.44	0.18727995	0.18485115	
734.64	0.18800537	0.18522155	
734.84	0.1884032	0.18558968	
735.04	0.18954038	0.18595556	
735.24	0.18972127	0.18631919	
735.44	0.18988384	0.1866806	
735.64	0.19035289	0.1870398	
735.84	0.19053088	0.18739681	
736.04	0.19094044	0.18775164	
736.24	0.19143557	0.18810431	
736.44	0.1919387	0.18845482	
736.64	0.19251798	0.1888032	
736.84	0.19201556	0.18914946	
737.04	0.19227076	0.18949362	
737.24	0.19225368	0.18983568	
737.44	0.19259942	0.19017567	
737.64	0.19292616	0.19051359	
737.84	0.19357757	0.19084946	
738.04	0.19317095	0.1911833	
738.24	0.19296917	0.19151512	
738.44	0.19322755	0.19184493	
738.64	0.1930812	0.19217275	
738.84	0.19319769	0.19249859	
739.04	0.19447277	0.19282246	
739.24	0.19489944	0.19314438	
739.44	0.19541339	0.19346436	
739.64	0.19589761	0.19378241	
739.84	0.19639066	0.19409855	
740.04	0.19705827	0.19441279	
740.24	0.19739729	0.19472514	
740.44	0.19751426	0.19503561	
740.64	0.19769856	0.19534423	
740.84	0.19777748	0.19565099	
741.04	0.19831899	0.19595592	
741.24	0.19851487	0.19625903	
741.44	0.1988873	0.19656032	
741.64	0.19923185	0.19685982	
741.84	0.19965836	0.19715752	
742.04	0.199291	0.19745346	
742.24	0.19943339	0.19774763	
742.44	0.19955909	0.19804005	
742.64	0.19960325	0.19833073	
742.84	0.20032725	0.19861968	
743.04	0.20150134	0.19890692	
743.24	0.20186758	0.19919246	
743.44	0.20209866	0.1994763	
743.64	0.20198054	0.19975846	
743.84	0.20267185	0.20003896	
744.04	0.20286041	0.2003178	
744.24	0.20299483	0.20059499	
744.44	0.20318434	0.20087054	
744.64	0.20333754	0.20114447	
744.84	0.2035291	0.20141679	
745.04	0.20365423	0.20168751	
745.24	0.20378224	0.20195664	
745.44	0.20376058	0.20222418	
745.64	0.20404186	0.20249016	
745.84	0.2041	0.20275458	
746.04	0.20357911	0.20301745	
746.24	0.20391653	0.20327878	
746.44	0.20353628	0.20353858	
746.64	0.20343457	0.20379687	
746.84	0.20332095	0.20405365	
747.04	0.20366676	0.20430894	
747.24	0.20303686	0.20456274	
747.44	0.20276556	0.20481506	
747.64	0.20304541	0.20506592	
747.84	0.20359371	0.20531532	
748.04	0.20353457	0.20556328	
748.24	0.20383112	0.2058098	
748.44	0.20392656	0.20605489	
748.64	0.20385921	0.20629857	
748.84	0.20376517	0.20654084	
749.04	0.20405665	0.20678171	
749.24	0.20484284	0.20702119	
749.44	0.20488463	0.2072593	
749.64	0.20515158	0.20749603	
749.84	0.20612772	0.20773141	
750.04	0.2064551	0.20796543	
750.24	0.20672399	0.20819812	
750.44	0.20656727	0.20842947	
750.64	0.20676057	0.2086595	
750.84	0.20690641	0.20888821	
751.04	0.20700176	0.20911562	
751.24	0.20699319	0.20934173	
751.44	0.20764936	0.20956655	
751.64	0.20851464	0.2097901	
751.84	0.2091806	0.21001237	
752.04	0.20992336	0.21023339	
752.24	0.21045702	0.21045314	
752.44	0.21029481	0.21067166	
752.64	0.21017415	0.21088894	
752.84	0.21055095	0.21110499	
753.04	0.21104965	0.21131982	
753.24	0.21118884	0.21153344	
753.44	0.21110696	0.21174586	
